Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\dui70.dll

File Type: DLL

  Section contains the following exports for DUI70.dll

    00000000 characteristics
     E9BCC11 time date stamp
        0.00 version
           1 ordinal base
        4321 number of functions
        4321 number of names

    ordinal hint RVA      name

         63   3E 0000B2F0 ??0CCHScrollBar@DirectUI@@QEAA@XZ
         64   3F 0006F590 ??0CCListBox@DirectUI@@QEAA@$$QEAV01@@Z
         65   40 0006F590 ??0CCListBox@DirectUI@@QEAA@AEBV01@@Z
         66   41 000CB760 ??0CCListBox@DirectUI@@QEAA@XZ
         67   42 0006F5C0 ??0CCListView@DirectUI@@QEAA@$$QEAV01@@Z
         68   43 0006F5C0 ??0CCListView@DirectUI@@QEAA@AEBV01@@Z
         69   44 00004DE0 ??0CCListView@DirectUI@@QEAA@XZ
         70   45 0006F5F0 ??0CCProgressBar@DirectUI@@QEAA@$$QEAV01@@Z
         71   46 0006F5F0 ??0CCProgressBar@DirectUI@@QEAA@AEBV01@@Z
         72   47 000CB7B0 ??0CCProgressBar@DirectUI@@QEAA@XZ
         73   48 0006F620 ??0CCPushButton@DirectUI@@QEAA@$$QEAV01@@Z
         74   49 0006F620 ??0CCPushButton@DirectUI@@QEAA@AEBV01@@Z
         75   4A 0006F650 ??0CCPushButton@DirectUI@@QEAA@K@Z
         76   4B 0006F6A0 ??0CCRadioButton@DirectUI@@QEAA@$$QEAV01@@Z
         77   4C 0006F6A0 ??0CCRadioButton@DirectUI@@QEAA@AEBV01@@Z
         78   4D 000CB800 ??0CCRadioButton@DirectUI@@QEAA@XZ
         79   4E 0006F6D0 ??0CCSysLink@DirectUI@@QEAA@$$QEAV01@@Z
         80   4F 0006F6D0 ??0CCSysLink@DirectUI@@QEAA@AEBV01@@Z
         81   50 000CB850 ??0CCSysLink@DirectUI@@QEAA@XZ
         82   51 0006F700 ??0CCTrackBar@DirectUI@@QEAA@$$QEAV01@@Z
         83   52 0006F700 ??0CCTrackBar@DirectUI@@QEAA@AEBV01@@Z
         84   53 000CB8A0 ??0CCTrackBar@DirectUI@@QEAA@XZ
         85   54 0006F730 ??0CCTreeView@DirectUI@@QEAA@$$QEAV01@@Z
         86   55 0006F730 ??0CCTreeView@DirectUI@@QEAA@AEBV01@@Z
         87   56 0006F760 ??0CCTreeView@DirectUI@@QEAA@K@Z
         88   57 0006F7B0 ??0CCVScrollBar@DirectUI@@QEAA@$$QEAV01@@Z
         89   58 0006F7B0 ??0CCVScrollBar@DirectUI@@QEAA@AEBV01@@Z
         90   59 0000B290 ??0CCVScrollBar@DirectUI@@QEAA@XZ
         91   5A 0006C0A0 ??0CallstackTracker@DirectUI@@QEAA@XZ
         92   5B 0006F7F0 ??0CheckBoxGlyph@DirectUI@@QEAA@AEBV01@@Z
         93   5C 000831B0 ??0CheckBoxGlyph@DirectUI@@QEAA@XZ
         94   5D 00064DD0 ??0ClassInfoBase@DirectUI@@QEAA@AEBV01@@Z
         95   5E 0003FBB0 ??0ClassInfoBase@DirectUI@@QEAA@XZ
         96   5F 0008A690 ??0Clipper@DirectUI@@QEAA@$$QEAV01@@Z
