Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\dui70.dll

File Type: DLL

  Section contains the following exports for DUI70.dll

    00000000 characteristics
     E9BCC11 time date stamp
        0.00 version
           1 ordinal base
        4321 number of functions
        4321 number of names

    ordinal hint RVA      name

       1254  4E5 000C7C50 ?Create@XProvider@DirectUI@@SAJPEAVElement@2@PEAVIXProviderCP@2@PEAPEAV12@@Z
       1255  4E6 000C7CD0 ?Create@XResourceProvider@DirectUI@@SAJPEAPEAV12@@Z
       1256  4E7 000C7D10 ?Create@XResourceProvider@DirectUI@@SAJPEAUHINSTANCE__@@PEBG11PEAPEAV12@@Z
       1257  4E8 00085E80 ?CreateAccNameLabel@HWNDHost@DirectUI@@IEAAPEAUHWND__@@PEAU3@@Z
       1258  4E9 0007FB10 ?CreateAtom@Value@DirectUI@@SAPEAV12@G@Z
       1259  4EA 0000D960 ?CreateAtom@Value@DirectUI@@SAPEAV12@PEBG@Z
       1260  4EB 000391B0 ?CreateBool@Value@DirectUI@@SAPEAV12@_N@Z
       1261  4EC 00093550 ?CreateButtons@ScrollBar@DirectUI@@MEAAJXZ
       1262  4ED 000B5F80 ?CreateButtons@TouchScrollBar@DirectUI@@UEAAJXZ
       1263  4EE 0008C520 ?CreateCache@RichText@DirectUI@@SAJIPEAPEAUIDUIRichTextCache@@@Z
       1264  4EF 00045BC0 ?CreateColor@Value@DirectUI@@SAPEAV12@K@Z
       1265  4F0 0003BFE0 ?CreateColor@Value@DirectUI@@SAPEAV12@KKE@Z
       1266  4F1 0003BF60 ?CreateColor@Value@DirectUI@@SAPEAV12@KKKE@Z
       1267  4F2 00048880 ?CreateCursor@Value@DirectUI@@SAPEAV12@PEAUHICON__@@@Z
       1268  4F3 0007FB60 ?CreateCursor@Value@DirectUI@@SAPEAV12@PEBG@Z
       1269  4F4 0007FB90 ?CreateDFCFill@Value@DirectUI@@SAPEAV12@II@Z
       1270  4F5 0007FBF0 ?CreateDTBFill@Value@DirectUI@@SAPEAV12@PEBGHH@Z
       1271  4F6 000C7DB0 ?CreateDUI@XProvider@DirectUI@@UEAAJPEAVIXElementCP@2@PEAPEAUHWND__@@@Z
       1272  4F7 000CF460 ?CreateDUICP@TaskPage@DirectUI@@EEAAJPEAVHWNDElement@2@PEAUHWND__@@1PEAPEAVElement@2@PEAPEAVDUIXmlParser@2@@Z
       1273  4F8 000C7F70 ?CreateDUICP@XResourceProvider@DirectUI@@UEAAJPEAVHWNDElement@2@PEAUHWND__@@1PEAPEAVElement@2@PEAPEAVDUIXmlParser@2@@Z
       1275  4F9 0007FC90 ?CreateDoubleList@Value@DirectUI@@SAPEAV12@PEAV?$DynamicArray@N$0A@@2@@Z
       1276  4FA 0007FCF0 ?CreateDoubleList@Value@DirectUI@@SAPEAV12@PEBNH@Z
       1277  4FB 0002ADC0 ?CreateElement@DUIXmlParser@DirectUI@@QEAAJPEBGPEAVElement@2@1PEAKPEAPEAV32@@Z
       1278  4FC 0003ED20 ?CreateElementList@Value@DirectUI@@SAPEAV12@PEAV?$DynamicArray@PEAVElement@DirectUI@@$0A@@2@@Z
       1279  4FD 0003A430 ?CreateElementRef@Value@DirectUI@@SAPEAV12@PEAVElement@2@@Z
       1280  4FE 00022030 ?CreateElementScaledValue@Value@DirectUI@@SAPEAV12@PEAVElement@2@PEAV12@@Z
       1281  4FF 0007FE00 ?CreateEncodedString@Value@DirectUI@@SAPEAV12@PEBG@Z
       1282  500 0007FF10 ?CreateExpression@Value@DirectUI@@SAPEAV12@PEAVExpression@2@@Z
       1283  501 0007FF60 ?CreateFill@Value@DirectUI@@SAPEAV12@AEBUFill@2@@Z
       1284  502 00080000 ?CreateFloat@Value@DirectUI@@SAPEAV12@MW4DynamicScaleValue@@@Z
       1285  503 000365F0 ?CreateGraphic@Value@DirectUI@@SAPEAV12@PEAUHBITMAP__@@EI_N11@Z
       1286  504 00080060 ?CreateGraphic@Value@DirectUI@@SAPEAV12@PEAUHENHMETAFILE__@@0@Z
       1287  505 0000E680 ?CreateGraphic@Value@DirectUI@@SAPEAV12@PEAUHICON__@@_N11@Z
       1288  506 000801D0 ?CreateGraphic@Value@DirectUI@@SAPEAV12@PEAUISharedBitmap@@EI@Z
       1289  507 00036520 ?CreateGraphic@Value@DirectUI@@SAPEAV12@PEBGEIGGPEAUHINSTANCE__@@_N2@Z
       1290  508 00080420 ?CreateGraphic@Value@DirectUI@@SAPEAV12@PEBGGGPEAUHINSTANCE__@@_N2@Z
       1291  509 00039610 ?CreateGraphic@Value@DirectUI@@SAPEAV12@PEBGUScaledSIZE@2@PEAUHINSTANCE__@@_N3@Z
       1292  50A 0002C9A0 ?CreateHWND@CCBase@DirectUI@@UEAAPEAUHWND__@@PEAU3@@Z
       1293  50B 0002CE00 ?CreateHWND@CCBaseScrollBar@DirectUI@@UEAAPEAUHWND__@@PEAU3@@Z
       1294  50C 00085700 ?CreateHWND@Combobox@DirectUI@@UEAAPEAUHWND__@@PEAU3@@Z
       1295  50D 00084B80 ?CreateHWND@Edit@DirectUI@@MEAAPEAUHWND__@@PEAU3@@Z
       1296  50E 00084BA0 ?CreateHWND@Edit@DirectUI@@MEAAPEAUHWND__@@PEAU3@_N@Z
       1297  50F 0003E490 ?CreateHWND@HWNDHost@DirectUI@@MEAAPEAUHWND__@@PEAU3@@Z
       1298  510 000C80C0 ?CreateHWND@XElement@DirectUI@@UEAAPEAUHWND__@@PEAU3@@Z
       1299  511 0003F2E0 ?CreateHostWindow@NativeHWNDHost@DirectUI@@UEAAPEAUHWND__@@KPEBG0KHHHHPEAU3@PEAUHMENU__@@PEAUHINSTANCE__@@PEAX@Z
       1300  512 0000E930 ?CreateIconGraphicHelper@Value@DirectUI@@CAPEAV12@PEAUHICON__@@_N11@Z
       1301  513 00045F40 ?CreateInstance@CSafeElementProxy@@SAJPEAVElement@DirectUI@@PEAPEAV1@@Z
       1302  514 0000E190 ?CreateInt@Value@DirectUI@@SAPEAV12@HW4DynamicScaleValue@@@Z
       1303  515 0000D4A0 ?CreateLayout@DUIXmlParser@DirectUI@@IEAAJPEBUExprNode@ParserTools@2@P6AJHPEAHPEAPEAVValue@2@@Z@Z
       1304  516 0000FDC0 ?CreateLayout@Value@DirectUI@@SAPEAV12@PEAVLayout@2@@Z
       1305  517 000C6F60 ?CreateParser@DUIFactory@DirectUI@@QEAAJXZ
       1306  518 000C8250 ?CreateParser@XProvider@DirectUI@@QEAAJPEAPEAVDUIXmlParser@2@@Z
       1307  519 000CF610 ?CreateParserCP@TaskPage@DirectUI@@EEAAJPEAPEAVDUIXmlParser@2@@Z
       1308  51A 000C8280 ?CreateParserCP@XResourceProvider@DirectUI@@UEAAJPEAPEAVDUIXmlParser@2@@Z
       1309  51B 000EDF60 ?CreatePatternProvider@Schema@DirectUI@@SAJW4Pattern@12@PEAVElementProvider@2@PEAPEAUIUnknown@@@Z
       1310  51C 000370A0 ?CreatePoint@Value@DirectUI@@SAPEAV12@HHW4DynamicScaleValue@@@Z
       1311  51D 0003EFA0 ?CreateRect@Value@DirectUI@@SAPEAV12@HHHHW4DynamicScaleValue@@@Z
       1312  51E 00019530 ?CreateScaledValue@Value@DirectUI@@SAPEAV12@MPEAV12@@Z
       1313  51F 0000B940 ?CreateScrollBars@ScrollViewer@DirectUI@@MEAAJXZ
       1314  520 00094580 ?CreateScrollBars@StyledScrollViewer@DirectUI@@MEAAJXZ
       1315  521 00039AA0 ?CreateSize@Value@DirectUI@@SAPEAV12@HHW4DynamicScaleValue@@@Z
       1316  522 0000BD90 ?CreateString@Value@DirectUI@@SAPEAV12@PEBGPEAUHINSTANCE__@@@Z
       1317  523 00080480 ?CreateStringRP@Value@DirectUI@@SAPEAV12@PEBGPEAUHINSTANCE__@@@Z
       1318  524 00040670 ?CreateStyleParser@HWNDElement@DirectUI@@UEAAJPEAPEAVDUIXmlParser@2@@Z
       1319  525 000C8340 ?CreateStyleParser@XBaby@DirectUI@@UEAAJPEAPEAVDUIXmlParser@2@@Z
       1320  526 00011360 ?CreateStyleSheet@DUIXmlParser@DirectUI@@IEAAJPEAUIXmlReader@@PEBGPEAPEAVStyleSheet@2@@Z
       1321  527 000107F0 ?CreateStyleSheet@Value@DirectUI@@SAPEAV12@PEAVStyleSheet@2@@Z
       1322  528 000804A0 ?CreateValueList@Value@DirectUI@@SAPEAV12@PEAV12@@Z
       1323  529 00080570 ?CreateValueList@Value@DirectUI@@SAPEAV12@PEAV?$DynamicArray@PEAVValue@DirectUI@@$0A@@2@@Z
       1324  52A 000C8400 ?CreateXBaby@XProvider@DirectUI@@UEAAJPEAVIXElementCP@2@PEAUHWND__@@PEAVElement@2@PEAKPEAPEAUIXBaby@2@@Z
       1325  52B 0002ECE0 ?CreateXmlReader@DUIXmlParser@DirectUI@@IEAAJPEAPEAUIXmlReader@@@Z
       1326  52C 0002EB10 ?CreateXmlReaderFromHGLOBAL@DUIXmlParser@DirectUI@@IEAAJPEAXPEAPEAUIXmlReader@@@Z
       1327  52D 0002EC50 ?CreateXmlReaderInputWithEncodingName@DUIXmlParser@DirectUI@@IEAAJPEAUIStream@@PEBGPEAPEAUIUnknown@@@Z
       1328  52E 00037FE0 ?CtrlSubclassProc@HWNDHost@DirectUI@@KA_JPEAUHWND__@@I_K_J@Z
       1329  52F 0018DF8C ?CultureProperty@Schema@DirectUI@@2HA
       1330  530 00035B80 ?CursorProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
       1331  531 0018DF08 ?CustomControlType@Schema@DirectUI@@2HA
       1332  532 00078430 ?CustomDragDropScalingHint@PVLAnimation@DirectUI@@SA?AVUID@@XZ
       1333  533 0006CBF0 ?CustomProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
       1334  534 00078450 ?CustomReflowHint@PVLAnimation@DirectUI@@SA?AVUID@@XZ
       1335  535 00078470 ?CustomTapHint@PVLAnimation@DirectUI@@SA?AVUID@@XZ
       1336  536 0009BFD0 ?Cut@TouchEditBase@DirectUI@@SA?AVUID@@XZ
       1337  537 0006CC00 ?DCompDeviceRebuilt@Element@DirectUI@@SA?AVUID@@XZ
       1338  538 0006CC20 ?DPIProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
       1339  539 000CF630 ?DUICreatePropertySheetPage@TaskPage@DirectUI@@QEAAJPEAUHINSTANCE__@@@Z
       1340  53A 0018DF0C ?DataGridControlType@Schema@DirectUI@@2HA
       1341  53B 0018DF00 ?DataItemControlType@Schema@DirectUI@@2HA
       1342  53C 00083470 ?DefaultAction@Button@DirectUI@@UEAAJXZ
       1343  53D 0003E490 ?DefaultAction@CCBase@DirectUI@@UEAAJXZ
       1344  53E 000CBE00 ?DefaultAction@CCPushButton@DirectUI@@UEAAJXZ
       1345  53F 0003E490 ?DefaultAction@Element@DirectUI@@UEAAJXZ
       1346  540 000C4880 ?DefaultAction@SemanticZoomToggle@DirectUI@@UEAAJXZ
       1347  541 00095970 ?DefaultAction@TouchButton@DirectUI@@UEAAJXZ
       1348  542 000959C0 ?DefaultAction@TouchRepeatButton@DirectUI@@UEAAJXZ
       1349  543 000CDA60 ?DefaultButtonTrackingProp@DialogElement@DirectUI@@SAPEBUPropertyInfo@2@XZ
       1350  544 000710A0 ?DelayActivateTooltip@HWNDElement@DirectUI@@QEAAXXZ
       1351  545 000713D0 ?DeleteString@CCListBox@DirectUI@@QEAAHH@Z
       1352  546 00037EC0 ?DesiredSizeProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
       1353  547 0006CC30 ?Destroy@ClassInfoBase@DirectUI@@UEAAXXZ
       1354  548 0003E850 ?Destroy@DUIXmlParser@DirectUI@@QEAAXXZ
       1355  549 00038650 ?Destroy@Element@DirectUI@@QEAAJ_N@Z
       1356  54A 00069550 ?Destroy@Expression@DirectUI@@QEAAXXZ
       1357  54B 00076690 ?Destroy@Layout@DirectUI@@QEAAXXZ
       1358  54C 0003E850 ?Destroy@NativeHWNDHost@DirectUI@@QEAAXXZ
       1359  54D 00069550 ?Destroy@XHost@DirectUI@@QEAAXXZ
       1360  54E 00038580 ?DestroyAll@Element@DirectUI@@QEAAJ_N@Z
       1361  54F 00040310 ?DestroyCP@TaskPage@DirectUI@@EEAAXXZ
       1362  550 00069550 ?DestroyCP@XResourceProvider@DirectUI@@UEAAXXZ
       1363  551 00032FB0 ?DestroyListener@EventManager@DirectUI@@SAXPEAVElement@2@@Z
       1364  552 00038D60 ?DestroyMsg@NativeHWNDHost@DirectUI@@SAIXZ
       1365  553 00086FA0 ?DestroyWindow@NativeHWNDHost@DirectUI@@QEAAXXZ
       1366  554 000C84D0 ?DestroyWindow@XHost@DirectUI@@QEAAXXZ
       1367  555 00046120 ?Detach@CSafeElementProxy@@QEAAXXZ
       1368  556 00036F70 ?Detach@Element@DirectUI@@QEAAXPEAVDeferCycle@2@@Z
       1369  557 0003EF20 ?Detach@HWNDHost@DirectUI@@QEAAXXZ
       1370  558 00039240 ?Detach@Layout@DirectUI@@UEAAXPEAVElement@2@@Z
       1371  559 0008C640 ?DetachParser@DUIFactory@DirectUI@@QEAAPEAVDUIXmlParser@2@XZ
       1372  55A 00047D20 ?DeterminateProp@ModernProgressBar@DirectUI@@SAPEBUPropertyInfo@2@XZ
       1373  55B 00035EA0 ?DirectionProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
       1374  55C 00084CA0 ?DirtyProp@Edit@DirectUI@@SAPEBUPropertyInfo@2@XZ
       1375  55D 0008C650 ?DisableAccTextExtendProp@RichText@DirectUI@@SAPEBUPropertyInfo@2@XZ
       1376  55E 00095B40 ?DisableMouseInRectCheckProp@TouchRepeatButton@DirectUI@@SAPEBUPropertyInfo@2@XZ
       1377  55F 0009C030 ?DisableSelectionHandlesOnEmptyContent@TouchEdit2@DirectUI@@QEAAXXZ
       1378  560 00048460 ?Disconnect@DuiAccessible@DirectUI@@UEAAJXZ
       1379  561 0006A370 ?Disconnect@HWNDElementAccessible@DirectUI@@UEAAJXZ
       1380  562 000483F0 ?Disconnect@HWNDHostAccessible@DirectUI@@UEAAJXZ
       1381  563 000C2F10 ?DismissIHMAsync@TouchHWNDElement@DirectUI@@QEAAJXZ
       1382  564 00069560 ?DllsLoaded@CallstackTracker@DirectUI@@CAHXZ
       1383  565 000E6720 ?DoInvoke@?$PatternProvider@VExpandCollapseProvider@DirectUI@@UIExpandCollapseProvider@@$00@DirectUI@@IEAAJHZZ
       1384  566 000E6720 ?DoInvoke@?$PatternProvider@VGridItemProvider@DirectUI@@UIGridItemProvider@@$01@DirectUI@@IEAAJHZZ
       1385  567 000E6720 ?DoInvoke@?$PatternProvider@VGridProvider@DirectUI@@UIGridProvider@@$02@DirectUI@@IEAAJHZZ
       1386  568 000E6720 ?DoInvoke@?$PatternProvider@VInvokeProvider@DirectUI@@UIInvokeProvider@@$0A@@DirectUI@@IEAAJHZZ
       1387  569 000E6720 ?DoInvoke@?$PatternProvider@VRangeValueProvider@DirectUI@@UIRangeValueProvider@@$03@DirectUI@@IEAAJHZZ
       1388  56A 000E6720 ?DoInvoke@?$PatternProvider@VScrollItemProvider@DirectUI@@UIScrollItemProvider@@$05@DirectUI@@IEAAJHZZ
       1389  56B 000E6720 ?DoInvoke@?$PatternProvider@VScrollProvider@DirectUI@@UIScrollProvider@@$04@DirectUI@@IEAAJHZZ
       1390  56C 000E6720 ?DoInvoke@?$PatternProvider@VSelectionItemProvider@DirectUI@@UISelectionItemProvider@@$06@DirectUI@@IEAAJHZZ
       1391  56D 000E6720 ?DoInvoke@?$PatternProvider@VSelectionProvider@DirectUI@@UISelectionProvider@@$07@DirectUI@@IEAAJHZZ
       1392  56E 000E6720 ?DoInvoke@?$PatternProvider@VTableItemProvider@DirectUI@@UITableItemProvider@@$09@DirectUI@@IEAAJHZZ
       1393  56F 000E6720 ?DoInvoke@?$PatternProvider@VTableProvider@DirectUI@@UITableProvider@@$08@DirectUI@@IEAAJHZZ
       1394  570 000E6720 ?DoInvoke@?$PatternProvider@VToggleProvider@DirectUI@@UIToggleProvider@@$0L@@DirectUI@@IEAAJHZZ
       1395  571 000E6720 ?DoInvoke@?$PatternProvider@VValueProvider@DirectUI@@UIValueProvider@@$0M@@DirectUI@@IEAAJHZZ
       1396  572 000438E0 ?DoInvoke@ElementProvider@DirectUI@@IEAAJHZZ
       1397  573 00043930 ?DoInvoke@InvokeHelper@DirectUI@@QEAAJHPEAVElementProvider@2@P6APEAVProviderProxy@2@PEAVElement@2@@ZPEAD@Z
       1398  574 000E4B40 ?DoInvokeArgs@ElementProvider@DirectUI@@QEAAJHP6APEAVProviderProxy@2@PEAVElement@2@@ZPEAD@Z
       1399  575 00015EA0 ?DoLayout@BorderLayout@DirectUI@@UEAAXPEAVElement@2@HH@Z
       1400  576 000296E0 ?DoLayout@FillLayout@DirectUI@@UEAAXPEAVElement@2@HH@Z
       1401  577 00027D00 ?DoLayout@FlowLayout@DirectUI@@UEAAXPEAVElement@2@HH@Z
       1402  578 00002970 ?DoLayout@GridLayout@DirectUI@@UEAAXPEAVElement@2@HH@Z
       1403  579 00040310 ?DoLayout@Layout@DirectUI@@UEAAXPEAVElement@2@HH@Z
       1404  57A 0002B580 ?DoLayout@NineGridLayout@DirectUI@@UEAAXPEAVElement@2@HH@Z
       1405  57B 000C5710 ?DoLayout@RowLayout@DirectUI@@UEAAXPEAVElement@2@HH@Z
       1406  57C 000C5FA0 ?DoLayout@TableLayout@DirectUI@@UEAAXPEAVElement@2@HH@Z
       1407  57D 00028970 ?DoLayout@VerticalFlowLayout@DirectUI@@UEAAXPEAVElement@2@HH@Z
       1408  57E 000EB960 ?DoMethod@BrowserSelectionProxy@DirectUI@@UEAAJHPEAD@Z
       1409  57F 00041A70 ?DoMethod@ElementProxy@DirectUI@@UEAAJHPEAD@Z
       1410  580 000E8300 ?DoMethod@ExpandCollapseProxy@DirectUI@@UEAAJHPEAD@Z
       1411  581 000E87E0 ?DoMethod@GridItemProxy@DirectUI@@UEAAJHPEAD@Z
       1412  582 000E8EA0 ?DoMethod@GridProxy@DirectUI@@UEAAJHPEAD@Z
       1413  583 00041A40 ?DoMethod@HWNDElementProxy@DirectUI@@UEAAJHPEAD@Z
       1414  584 000E9800 ?DoMethod@InvokeProxy@DirectUI@@UEAAJHPEAD@Z
       1415  585 000E9AC0 ?DoMethod@ModernProgressBarRangeValueProxy@DirectUI@@UEAAJHPEAD@Z
       1416  586 000EB2A0 ?DoMethod@NavigatorSelectionItemProxy@DirectUI@@UEAAJHPEAD@Z
       1417  587 000E9B60 ?DoMethod@ProgressRangeValueProxy@DirectUI@@UEAAJHPEAD@Z
       1418  588 000E9C00 ?DoMethod@RangeValueProxy@DirectUI@@UEAAJHPEAD@Z
       1419  589 000E9C10 ?DoMethod@ScrollBarRangeValueProxy@DirectUI@@UEAAJHPEAD@Z
       1420  58A 000EA3C0 ?DoMethod@ScrollItemProxy@DirectUI@@UEAAJHPEAD@Z
       1421  58B 000EA650 ?DoMethod@ScrollProxy@DirectUI@@UEAAJHPEAD@Z
       1422  58C 000E9C00 ?DoMethod@SelectionItemProxy@DirectUI@@UEAAJHPEAD@Z
       1423  58D 000E9C00 ?DoMethod@SelectionProxy@DirectUI@@UEAAJHPEAD@Z
       1424  58E 000EB330 ?DoMethod@SelectorSelectionItemProxy@DirectUI@@UEAAJHPEAD@Z
       1425  58F 000EB9B0 ?DoMethod@SelectorSelectionProxy@DirectUI@@UEAAJHPEAD@Z
       1426  590 000EC040 ?DoMethod@TableItemProxy@DirectUI@@UEAAJHPEAD@Z
       1427  591 000EC6D0 ?DoMethod@TableProxy@DirectUI@@UEAAJHPEAD@Z
       1428  592 000ECB70 ?DoMethod@ToggleProxy@DirectUI@@UEAAJHPEAD@Z
       1429  593 000EE150 ?DoMethod@ValueProxy@DirectUI@@UEAAJHPEAD@Z
       1430  594 0018DE58 ?DockPattern@Schema@DirectUI@@2HA
       1431  595 0018DF04 ?DocumentControlType@Schema@DirectUI@@2HA
       1432  596 0006CC60 ?DoubleBuffered@Element@DirectUI@@QEAAX_N@Z
       1433  597 000495A0 ?Drag@Thumb@DirectUI@@SA?AVUID@@XZ
       1434  598 0018DE20 ?DragDragCancelEvent@Schema@DirectUI@@2HA
       1435  599 0018DE2C ?DragDragCompleteEvent@Schema@DirectUI@@2HA
       1436  59A 0018DE28 ?DragDragStartEvent@Schema@DirectUI@@2HA
       1437  59B 0018DE5C ?DragPattern@Schema@DirectUI@@2HA
       1438  59C 0018DF7C ?Drag_DropEffect_Property@Schema@DirectUI@@2HA
       1439  59D 0018DF70 ?Drag_DropEffects_Property@Schema@DirectUI@@2HA
       1440  59E 0018DF78 ?Drag_IsGrabbed_Property@Schema@DirectUI@@2HA
       1441  59F 000FB120 ?DrawOutlinesProp@Movie@DirectUI@@SAPEBUPropertyInfo@2@XZ
       1443  5A0 0006CC90 ?DumpDuiProperties@@YAXPEAVElement@DirectUI@@@Z
       1444  5A1 0006CCB0 ?DumpDuiTree@@YAXPEAVElement@DirectUI@@H@Z
       1445  5A2 0006CFD0 ?EdgeHighlightColorProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
       1446  5A3 00004FC0 ?EdgeHighlightThicknessProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
       1447  5A4 0018DEF8 ?EditControlType@Schema@DirectUI@@2HA
       1448  5A5 00071500 ?ElementFromPoint@HWNDElement@DirectUI@@QEAAPEAVElement@2@PEAUtagPOINT@@@Z
       1449  5A6 000E9460 ?ElementFromPoint@HWNDElementProxy@DirectUI@@IEAAJNNPEAPEAUIRawElementProviderFragment@@@Z
       1450  5A7 0009C050 ?ElementMovesOnIHMNotifyProp@TouchEditBase@DirectUI@@SAPEBUPropertyInfo@2@XZ
       1451  5A8 000E9570 ?ElementProviderFromPoint@HWNDElementProvider@DirectUI@@UEAAJNNPEAPEAUIRawElementProviderFragment@@@Z
       1452  5A9 000D0420 ?EnableDesignMode@DUIXmlParser@DirectUI@@QEAAXXZ
       1453  5AA 0006CFE0 ?EnableUiaEvents@Element@DirectUI@@QEAAX_N@Z
       1454  5AB 00036C60 ?EnabledProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
       1455  5AC 00071550 ?End@BaseScrollBar@DirectUI@@UEAAXXZ
       1456  5AD 0001A3A0 ?EndDefer@Element@DirectUI@@QEAAXK@Z
       1457  5AE 000E71C0 ?EndDefer@EventManager@DirectUI@@SAJPEAVElement@2@@Z
       1458  5AF 000C6C70 ?EnforceSizeProp@PushButton@DirectUI@@SAPEBUPropertyInfo@2@XZ
       1459  5B0 0006D000 ?EnsureVisible@Element@DirectUI@@QEAA_NI@Z
       1460  5B1 0003F100 ?EnsureVisible@Element@DirectUI@@QEAA_NXZ
       1461  5B2 0002D450 ?EnsureVisible@Element@DirectUI@@UEAA_NHHHH@Z
       1462  5B3 000BCF40 ?EnsureVisible@Viewer@DirectUI@@UEAA_NHHHH@Z
       1463  5B4 00084CB0 ?Enter@Edit@DirectUI@@SA?AVUID@@XZ
       1464  5B5 0009C060 ?Enter@TouchEditBase@DirectUI@@SA?AVUID@@XZ
       1465  5B6 000CE650 ?Entered@Browser@DirectUI@@SA?AVUID@@XZ
       1466  5B7 0006C190 ?EnumCallstackFrames@CallstackTracker@DirectUI@@QEAAHP6AXPEBD0KK@Z@Z
       1467  5B8 0002FC20 ?EnumPropertyInfo@ClassInfoBase@DirectUI@@UEAAPEBUPropertyInfo@2@I@Z
       1468  5B9 00046AD0 ?EraseBkgnd@HWNDHost@DirectUI@@MEAA_NPEAUHDC__@@PEA_J@Z
       1469  5BA 000B8930 ?EraseFeedback@TouchSlider@DirectUI@@QEAAXXZ
       1470  5BB 000CC040 ?EstimateContentSize@CCPushButton@DirectUI@@UEAA?AUtagSIZE@@HHPEAVSurface@2@@Z
       1471  5BC 000437B0 ?EventFromEventId@Schema@DirectUI@@SA?AW4Event@12@H@Z
       1472  5BD 00038150 ?EventListener@EventManager@DirectUI@@SAJPEAVElement@2@PEAUEvent@2@@Z
       1473  5BE 000A7990 ?ExecuteManualSwapDeferredZoomToRect@TouchScrollViewer@DirectUI@@QEAAJ_N@Z
       1474  5BF 000E8410 ?Expand@ExpandCollapseProvider@DirectUI@@UEAAJXZ
       1475  5C0 0018DE8C ?ExpandCollapsePattern@Schema@DirectUI@@2HA
       1476  5C1 0018DDFC ?ExpandCollapse_ExpandCollapseState_Property@Schema@DirectUI@@2HA
       1477  5C2 00003BC0 ?ExpandProp@Macro@DirectUI@@SAPEBUPropertyInfo@2@XZ
       1478  5C3 00047630 ?ExpandedProp@Expandable@DirectUI@@SAPEBUPropertyInfo@2@XZ
       1479  5C4 00018040 ?ExtentProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
       1480  5C5 0003F6B0 ?FWantAnyEvent@EventManager@DirectUI@@SA_NPEAVElement@2@@Z
       1481  5C6 0006C230 ?FillSymbolInfo@CallstackTracker@DirectUI@@AEAAXPEAUSTACK_SYMBOL_INFO@12@_K@Z
       1482  5C7 0009C080 ?FilterOnPasteProp@TouchEditBase@DirectUI@@SAPEBUPropertyInfo@2@XZ
       1483  5C8 0009C090 ?FinalizeCurrentIMEComposition@TouchEdit2@DirectUI@@UEAAJXZ
       1484  5C9 00047140 ?FinalizeCurrentIMEComposition@TouchEditBase@DirectUI@@UEAAJXZ
       1485  5CA 00041970 ?Find@ElementProviderManager@DirectUI@@SAPEAVElementProvider@2@PEAVElement@2@@Z
       1486  5CB 00001480 ?FindAccessibleRole@AccessibleButton@DirectUI@@CAPEBUACCESSIBLEROLE@12@H@Z
       1487  5CC 000176A0 ?FindDescendent@Element@DirectUI@@QEAAPEAV12@G@Z
       1488  5CD 00018650 ?FindDescendentWorker@Element@DirectUI@@AEAAPEAV12@G@Z
       1489  5CE 000C8500 ?FindElementWithShortcutAndDoDefaultAction@XProvider@DirectUI@@UEAAHGH@Z
       1490  5CF 00044290 ?FindInvokeHelper@InvokeManager@DirectUI@@CAPEAVInvokeHelper@2@PEAI@Z
       1491  5D0 000E67A0 ?FindProviderCallback@ElementProviderManager@DirectUI@@CA_NPEAVElementProvider@2@PEAX@Z
       1492  5D1 00089A60 ?FindRefPoint@RefPointElement@DirectUI@@SAPEAVElement@2@PEAV32@PEAUtagPOINT@@@Z
       1493  5D2 000715D0 ?FindShortcut@HWNDElement@DirectUI@@SA_NGPEAVElement@2@PEAPEAV32@PEAH2H@Z
       1494  5D3 000715F0 ?FindShortcutRecursive@HWNDElement@DirectUI@@KA_NGPEAVElement@2@PEAPEAV32@PEAH2H@Z
       1495  5D4 00094640 ?FireAnimationChangeEvent@BaseScrollViewer@DirectUI@@IEAAX_N@Z
       1496  5D5 00095BE0 ?FireClickEvent@TouchButton@DirectUI@@UEAAXIIW4ClickDevice@12@PEAUtagPOINT@@@Z
       1497  5D6 00040310 ?FireClickEvent@TouchRepeatButton@DirectUI@@UEAAXIIW4ClickDevice@TouchButton@2@PEAUtagPOINT@@@Z
       1498  5D7 00037A50 ?FireEvent@Element@DirectUI@@QEAAXPEAUEvent@2@_N1@Z
       1499  5D8 000B89D0 ?FireEventOnMouseOrPointerRelease@TouchSlider@DirectUI@@QEAAXXZ
       1500  5D9 000C6C80 ?FireHostEvent@PushButton@DirectUI@@AEAAXPEAVElement@2@_N@Z
       1501  5DA 000CE670 ?FireNavigate@Browser@DirectUI@@AEAAHG@Z
       1502  5DB 000CE7C0 ?FireNavigationEvent@Navigator@DirectUI@@AEAAXXZ
       1503  5DC 00095C90 ?FireRightClickEvent@TouchButton@DirectUI@@UEAAXIPEAUtagPOINT@@@Z
