Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\wer.dll

File Type: DLL

  Section contains the following exports for wer.dll

    00000000 characteristics
    857E5A6D time date stamp
        0.00 version
           1 ordinal base
         145 number of functions
         145 number of names

    ordinal hint RVA      name

         82   83 0004DCF0 WerpShowUpsellUI
         83   84 00054030 WerpStitchedMinidumpVmPostReadCallback
         84   85 00054170 WerpStitchedMinidumpVmPreReadCallback
         85   86 00023210 WerpStitchedMinidumpVmQueryCallback
         86   87 0004DD40 WerpSubmitReportFromStore
         87   88 0004E320 WerpTraceAuxMemDumpStatistics
         88   89 0004E470 WerpTraceDuration
         89   8A 0004E660 WerpTraceImageCacheStatistics
         90   8B 0004E8F0 WerpTraceSnapshotStatistics
         91   8C 000231D0 WerpTraceStitchedDumpWriterStatistics
         92   8D 0004ECD0 WerpTraceUnmappedVaRangesStatistics
         93   8E 0004EDA0 WerpUnmapProcessViews
         94   8F 0004EFE0 WerpValidateReportKey
         95   90 0004F040 WerpWalkGatherBlocks

  Summary

        4000 .data
        1000 .didat
        7000 .pdata
       2B000 .rdata
        1000 .reloc
        2000 .rsrc
       A2000 .text
