Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\user32.dll

File Type: DLL

  Section contains the following exports for USER32.dll

    00000000 characteristics
    5960D576 time date stamp
        0.00 version
        1502 ordinal base
        1215 number of functions
        1007 number of names

    ordinal hint RVA      name

       2085  242 000232A0 IsWindowEnabled
       2086  243 0000A970 IsWindowInDestroy
       2087  244 00007B90 IsWindowRedirectedForPrint
       2088  245 00022150 IsWindowUnicode
       2089  246 0001F7E0 IsWindowVisible
       2090  247 0004DBF0 IsWow64Message
       2091  248 0000D8A0 IsZoomed
       2092  249 00034280 KillTimer
       2093  24A 0004EAD0 LoadAcceleratorsA
       2094  24B 000286C0 LoadAcceleratorsW
       2095  24C 00031E40 LoadBitmapA
       2096  24D 0002C050 LoadBitmapW
       2097  24E 00011C60 LoadCursorA
       2098  24F 00049B40 LoadCursorFromFileA
       2099  250 00049BB0 LoadCursorFromFileW
       2100  251 00012E30 LoadCursorW
       2101  252 0002D260 LoadIconA
       2102  253 00012280 LoadIconW
       2103  254 0002FE90 LoadImageA
       2104  255 000124C0 LoadImageW
       2105  256 0007E3D0 LoadKeyboardLayoutA
       2106  257 0007E460 LoadKeyboardLayoutEx
       2107  258 0001E3E0 LoadKeyboardLayoutW
       2108  259 0002D4C0 LoadLocalFonts
       2109  25A 0004D470 LoadMenuA
       2110  25B 000240E0 LoadMenuIndirectA
       2111  25C 000240E0 LoadMenuIndirectW
       2112  25D 00024020 LoadMenuW
       2113  25E 0002D3F0 LoadRemoteFonts
       2114  25F 0004EB10 LoadStringA
       2115  260 000283B0 LoadStringW
       2116  261 0007E490 LockSetForegroundWindow
       2117  262 000342A0 LockWindowStation
       2118  263 000342B0 LockWindowUpdate
       2119  264 000342C0 LockWorkStation
       2120  265 000342E0 LogicalToPhysicalPoint
       2121  266 000342F0 LogicalToPhysicalPointForPerMonitorDPI
       2122  267 0004EBA0 LookupIconIdFromDirectory
       2123  268 00017D80 LookupIconIdFromDirectoryEx
       2124  269 00026F10 MBToWCSEx
       2125  26A 00026EE0 MBToWCSExt
       2126  26B 00072460 MB_GetString
       2127  26C 0002D610 MITActivateInputProcessing
       2128  26D 000747C0 MITCoreMsgKGetConnectionHandle
       2129  26E 0002D330 MITCoreMsgKOpenConnectionTo
       2130  26F 000747D0 MITCoreMsgKSend
       2131  270 000747E0 MITDeactivateInputProcessing
       2132  271 000747F0 MITDisableMouseIntercept
       2133  272 0002AD70 MITDispatchCompletion
       2134  273 00074800 MITEnableMouseIntercept
       2135  274 0002D5E0 MITGetCursorUpdateHandle
       2136  275 0002D5F0 MITRegisterManipulationThread
       2137  276 0002D650 MITSetForegroundRoutingInfo
       2138  277 0002D600 MITSetInputCallbacks
       2139  278 0002BE80 MITSetInputDelegationMode
       2140  279 00074810 MITSetLastInputRecipient
       2141  27A 00074820 MITSetManipulationInputTarget
       2142  27B 00074830 MITStopAndEndInertia
       2143  27C 00074840 MITSynthesizeMouseInput
       2144  27D 00074850 MITSynthesizeMouseWheel
       2145  27E 00074860 MITSynthesizeTouchInput
       2146  27F 0002D560 MITUpdateInputGlobals
       2147  280 00074870 MITWaitForMultipleObjectsEx
       2148  281 0002B050 MakeThreadTSFEventAware
       2149  282 00031B80 MapDialogRect
       2150  283 0007AD90 MapVirtualKeyA
       2151  284 0007ADF0 MapVirtualKeyExA
       2152  285 0002B100 MapVirtualKeyExW
       2153  286 000285E0 MapVirtualKeyW
       2154  287 00034300 MapVisualRelativePoints
       2155  288 0000AE10 MapWindowPoints
       2156  289 00034310 MenuItemFromPoint
       2157  28A 0004DC10 MenuWindowProcA
       2158  28B 0004DC90 MenuWindowProcW
       2159  28C 0007E4B0 MessageBeep
       2160  28D 00072490 MessageBoxA
       2161  28E 000724F0 MessageBoxExA
       2162  28F 00072520 MessageBoxExW
       2163  290 00072550 MessageBoxIndirectA
       2164  291 000726F0 MessageBoxIndirectW
       2165  292 000727B0 MessageBoxTimeoutA
       2166  293 00072900 MessageBoxTimeoutW
       2167  294 00072AD0 MessageBoxW
       2168  295 00082420 ModifyMenuA
       2169  296 00031C90 ModifyMenuW
       2170  297 00012240 MonitorFromPoint
       2171  298 00013990 MonitorFromRect
       2172  299 0001FAB0 MonitorFromWindow
       2173  29A 00034320 MoveWindow
       2174  29B 0001F490 MsgWaitForMultipleObjects
       2175  29C 0001F530 MsgWaitForMultipleObjectsEx
       2176  29D 0007E4D0 NotifyOverlayWindow
       2177  29E 00004AA0 NotifyWinEvent
       2178  29F 000734C0 OemKeyScan
       2179  2A0 00073540 OemToCharA
       2180  2A1 00073590 OemToCharBuffA
       2181  2A2 000735E0 OemToCharBuffW
       2182  2A3 00073630 OemToCharW
       2183  2A4 000064D0 OffsetRect
       2184  2A5 0002BEB0 OpenClipboard
       2185  2A6 0002CB50 OpenDesktopA
       2186  2A7 00019780 OpenDesktopW
       2187  2A8 0007E4F0 OpenIcon
       2188  2A9 00034340 OpenInputDesktop
       2189  2AA 00034350 OpenThreadDesktop
       2190  2AB 0002CEC0 OpenWindowStationA
       2191  2AC 0002CB00 OpenWindowStationW
       2192  2AD 000566A0 PackDDElParam
       2193  2AE 00077480 PackTouchHitTestingProximityEvaluation
       2194  2AF 000811E0 PaintDesktop
       2195  2B0 00034360 PaintMenuBar
       2196  2B1 00034370 PaintMonitor
       2197  2B2 0000ECB0 PeekMessageA
       2198  2B3 0000E320 PeekMessageW
       2199  2B4 00034390 PhysicalToLogicalPoint
       2200  2B5 000343A0 PhysicalToLogicalPointForPerMonitorDPI
       2201  2B6 00029B50 PostMessageA
       2202  2B7 00003C50 PostMessageW
       2203  2B8 0002C070 PostQuitMessage
       2204  2B9 00031FB0 PostThreadMessageA
       2205  2BA 00027850 PostThreadMessageW
       2206  2BB 000343B0 PrintWindow
       2207  2BC 00066670 PrivateExtractIconExA
       2208  2BD 00066700 PrivateExtractIconExW
       2209  2BE 000668A0 PrivateExtractIconsA
       2210  2BF 00010280 PrivateExtractIconsW
       2211  2C0 00002120 PrivateRegisterICSProc
       2212  2C1 000235A0 PtInRect
       2213  2C2 000343E0 QueryBSDRWindow
       2214  2C3 000253E0 QueryDisplayConfig
       2215  2C4 000343F0 QuerySendMessage
       2216  2C5 000746B0 RIMAddInputObserver
       2217  2C6 000746C0 RIMAreSiblingDevices
       2218  2C7 000746D0 RIMDeviceIoControl
       2219  2C8 000746E0 RIMEnableMonitorMappingForDevice
       2220  2C9 000746F0 RIMFreeInputBuffer
       2221  2CA 00074700 RIMGetDevicePreparsedData
       2222  2CB 00074710 RIMGetDevicePreparsedDataLockfree
       2223  2CC 00074720 RIMGetDeviceProperties
       2224  2CD 00074730 RIMGetDevicePropertiesLockfree
       2225  2CE 00074740 RIMGetPhysicalDeviceRect
       2226  2CF 00074750 RIMGetSourceProcessId
       2227  2D0 00074760 RIMObserveNextInput
       2228  2D1 0002D2A0 RIMOnPnpNotification
       2229  2D2 00074770 RIMOnTimerNotification
       2230  2D3 0002D0E0 RIMReadInput
       2231  2D4 0002CF40 RIMRegisterForInput
       2232  2D5 00074780 RIMRemoveInputObserver
       2233  2D6 00074790 RIMSetTestModeStatus
       2234  2D7 000747A0 RIMUnregisterForInput
       2235  2D8 000747B0 RIMUpdateInputObserverRegistration
       2236  2D9 00034400 RealChildWindowFromPoint
       2237  2DA 0007AED0 RealGetWindowClass
       2238  2DB 0007AED0 RealGetWindowClassA
       2239  2DC 00027A60 RealGetWindowClassW
       2240  2DD 00074560 ReasonCodeNeedsBugID
       2241  2DE 00074570 ReasonCodeNeedsComment
       2242  2DF 00032CE0 RecordShutdownReason
       2243  2E0 00034410 RedrawWindow
       2244  2E1 00034420 RegisterBSDRWindow
       2245  2E2 00026740 RegisterClassA
       2246  2E3 000824A0 RegisterClassExA
       2247  2E4 000107D0 RegisterClassExW
       2248  2E5 00010800 RegisterClassW
       2249  2E6 00026BB0 RegisterClipboardFormatA
       2250  2E7 00027A90 RegisterClipboardFormatW
       2251  2E8 00034430 RegisterDManipHook
       2252  2E9 000824E0 RegisterDeviceNotificationA
       2253  2EA 0002BC00 RegisterDeviceNotificationW
       2254  2EB 00034440 RegisterErrorReportingDialog
       2255  2EC 0007E570 RegisterFrostWindow
       2256  2ED 0007E590 RegisterGhostWindow
       2257  2EE 00034450 RegisterHotKey
       2258  2EF 0002D1B0 RegisterLogonProcess
       2259  2F0 0002C5A0 RegisterMessagePumpHook
       2260  2F1 00034460 RegisterPointerDeviceNotifications
       2261  2F2 0004E210 RegisterPointerInputTarget
       2262  2F3 0004E230 RegisterPointerInputTargetEx
       2263  2F4 00029E90 RegisterPowerSettingNotification
       2264  2F5 00034470 RegisterRawInputDevices
       2265  2F6 00034480 RegisterServicesProcess
       2266  2F7 00034490 RegisterSessionPort
       2267  2F8 0002D2D0 RegisterShellHookWindow
       2268  2F9 000813E0 RegisterSuspendResumeNotification
       2269  2FA 00032290 RegisterSystemThread
       2270  2FB 000344B0 RegisterTasklist
       2271  2FC 000344C0 RegisterTouchHitTestingWindow
       2272  2FD 00081440 RegisterTouchWindow
       2273  2FE 0002CC60 RegisterUserApiHook
       2274  2FF 00026BB0 RegisterWindowMessageA
       2275  300 00027A90 RegisterWindowMessageW
       2276  301 0002C870 ReleaseCapture
       2277  302 000171F0 ReleaseDC
       2278  303 000344E0 ReleaseDwmHitTestWaiters
       2279  304 0002D5A0 RemoveClipboardFormatListener
       2280  305 000339F0 RemoveInjectionDevice
       2281  306 000344F0 RemoveMenu
       2282  307 0007AF80 RemovePropA
       2283  308 00027030 RemovePropW
       2284  309 00001F10 RemoveThreadTSFEventAwareness
       2285  30A 00001680 ReplyMessage
       2551  30B 00034500 ReportInertia
       2286  30C 00034520 ResolveDesktopForWOW
       2287  30D 00056720 ReuseDDElParam
       2288  30E 00022630 ScreenToClient
       2289  30F 0006F620 ScrollChildren
       2290  310 00028140 ScrollDC
       2291  311 0007E5F0 ScrollWindow
       2292  312 00027FC0 ScrollWindowEx
       2293  313 00082540 SendDlgItemMessageA
       2294  314 000016A0 SendDlgItemMessageW
       2295  315 0007B490 SendIMEMessageExA
       2296  316 0007B4B0 SendIMEMessageExW
       2297  317 00034550 SendInput
       2298  318 00029A60 SendMessageA
       2299  319 0007B020 SendMessageCallbackA
       2300  31A 00028630 SendMessageCallbackW
       2301  31B 00030F80 SendMessageTimeoutA
       2302  31C 00022C20 SendMessageTimeoutW
       2303  31D 0000BD40 SendMessageW
       2304  31E 00030C40 SendNotifyMessageA
       2305  31F 000295A0 SendNotifyMessageW
       2306  320 00034590 SetActiveWindow
       2307  321 000345E0 SetCapture
       2308  322 0002AE70 SetCaretBlinkTime
       2309  323 0002BD40 SetCaretPos
       2310  324 0007B0B0 SetClassLongA
       2311  325 0007B0D0 SetClassLongPtrA
       2312  326 0002D110 SetClassLongPtrW
       2313  327 000807A0 SetClassLongW
       2314  328 00034600 SetClassWord
       2315  329 00030600 SetClipboardData
       2316  32A 000322F0 SetClipboardViewer
       2317  32B 00034610 SetCoalescableTimer
       2571  32C 00034620 SetCoreWindow
       2318  32D 0002B040 SetCursor
       2319  32E 00034640 SetCursorContents
       2320  32F 0002D420 SetCursorPos
       2321  330 0002D640 SetDebugErrorLevel
       2322  331 0007E650 SetDeskWallpaper
       2323  332 00034660 SetDesktopColorTransform
       2324  333 00034670 SetDialogControlDpiChangeBehavior
       2325  334 00057140 SetDialogDpiChangeBehavior
       2326  335 00034680 SetDisplayAutoRotationPreferences
       2327  336 00083BA0 SetDisplayConfig
       2328  337 000018E0 SetDlgItemInt
       2329  338 00082590 SetDlgItemTextA
       2330  339 0007F0B0 SetDlgItemTextW
       2331  33A 0007E670 SetDoubleClickTime
       2332  33B 000346B0 SetFeatureReportResponse
       2333  33C 000346C0 SetFocus
       2334  33D 0002C6B0 SetForegroundWindow
       2335  33E 000346E0 SetGestureConfig
       2336  33F 00034710 SetInternalWindowPos
       2337  340 00034720 SetKeyboardState
       2338  341 000736A0 SetLastErrorEx
       2339  342 00034730 SetLayeredWindowAttributes
       2340  343 0006D9B0 SetMagnificationDesktopColorEffect
       2341  344 0006DA80 SetMagnificationDesktopMagnification
       2342  345 0006DAF0 SetMagnificationDesktopSamplingMode
       2343  346 00034740 SetMagnificationLensCtxInformation
       2344  347 0002D190 SetMenu
       2345  348 00034750 SetMenuContextHelpId
       2346  349 00034760 SetMenuDefaultItem
       2347  34A 0006F9C0 SetMenuInfo
       2348  34B 0006FA00 SetMenuItemBitmaps
       2349  34C 000825C0 SetMenuItemInfoA
       2350  34D 0002BDF0 SetMenuItemInfoW
       2351  34E 0004DD10 SetMessageExtraInfo
       2352  34F 0002D670 SetMessageQueue
       2353  350 00034770 SetMirrorRendering
       2354  351 0002CBE0 SetParent
       2355  352 0002D420 SetPhysicalCursorPos
       2356  353 00034780 SetPointerDeviceInputSpace
       2357  354 0001D240 SetProcessDPIAware
       2358  355 0007E690 SetProcessDefaultLayout
       2359  356 0001C6E0 SetProcessDpiAwarenessContext
       2360  357 0001C690 SetProcessDpiAwarenessInternal
       2361  358 000347B0 SetProcessRestrictionExemption
       2362  359 000347C0 SetProcessWindowStation
       2363  35A 0007E6B0 SetProgmanWindow
       2364  35B 0007B1F0 SetPropA
       2365  35C 00007340 SetPropW
       2366  35D 00025090 SetRect
       2367  35E 00022F70 SetRectEmpty
       2368  35F 00004940 SetScrollInfo
       2369  360 00074880 SetScrollPos
       2370  361 00031220 SetScrollRange
       2371  362 0002D580 SetShellChangeNotifyWindow
       2372  363 0007E6D0 SetShellWindow
       2373  364 000347E0 SetShellWindowEx
       2374  365 0002D460 SetSysColors
       2375  366 000736B0 SetSysColorsTemp
       2376  367 00081460 SetSystemCursor
       2377  368 000347F0 SetSystemMenu
       2378  369 0002D540 SetTaskmanWindow
       2379  36A 0002C890 SetThreadDesktop
       2380  36B 00023900 SetThreadDpiAwarenessContext
       2381  36C 0007E700 SetThreadDpiHostingBehavior
       2382  36D 00034810 SetThreadInputBlocked
       2383  36E 00026E40 SetTimer
       2384  36F 0007E7E0 SetUserObjectInformationA
       2385  370 0007E850 SetUserObjectInformationW
       2386  371 0002CE60 SetUserObjectSecurity
       2387  372 00029660 SetWinEventHook
       2388  373 00034830 SetWindowBand
       2389  374 00029B30 SetWindowCompositionAttribute
       2390  375 00034840 SetWindowCompositionTransition
       2391  376 0007E860 SetWindowContextHelpId
       2392  377 00034850 SetWindowDisplayAffinity
       2393  378 00034860 SetWindowFeedbackSetting
       2394  379 0002C120 SetWindowLongA
       2395  37A 00004E20 SetWindowLongPtrA
       2396  37B 000083E0 SetWindowLongPtrW
       2397  37C 0000B1F0 SetWindowLongW
       2398  37D 00034880 SetWindowPlacement
       2399  37E 00034890 SetWindowPos
       2400  37F 0000FED0 SetWindowRgn
       2401  380 000814C0 SetWindowRgnEx
       2402  381 0002CDA0 SetWindowStationUser
       2403  382 00082630 SetWindowTextA
       2404  383 00009010 SetWindowTextW
       2405  384 000348B0 SetWindowWord
       2406  385 0004D0B0 SetWindowsHookA
       2407  386 0004D0D0 SetWindowsHookExA
       2408  387 00002320 SetWindowsHookExW
       2409  388 0004D0F0 SetWindowsHookW
       2410  389 00028480 ShowCaret
       2411  38A 000348C0 ShowCursor
       2412  38B 00032180 ShowOwnedPopups
       2413  38C 000348D0 ShowScrollBar
       2414  38D 0007E880 ShowStartGlass
       2415  38E 000348E0 ShowSystemCursor
       2416  38F 000348F0 ShowWindow
       2417  390 00034900 ShowWindowAsync
       2418  391 0002AFD0 ShutdownBlockReasonCreate
       2419  392 00034910 ShutdownBlockReasonDestroy
       2420  393 00034920 ShutdownBlockReasonQuery
       2421  394 00034930 SignalRedirectionStartComplete
       2422  395 00034940 SkipPointerFrameMessages
       2423  396 00072B30 SoftModalMessageBox
       2424  397 00034960 SoundSentry
       2425  398 00021490 SubtractRect
       2426  399 0007E8A0 SwapMouseButton
       2427  39A 0002D2B0 SwitchDesktop
       2428  39B 0002D570 SwitchDesktopWithFade
       2429  39C 00001F70 SwitchToThisWindow
       2430  39D 00022E80 SystemParametersInfoA
       2431  39E 0000EE40 SystemParametersInfoForDpi
       2432  39F 00021680 SystemParametersInfoW
       2433  3A0 000548B0 TabbedTextOutA
       2434  3A1 000549D0 TabbedTextOutW
       2435  3A2 0007E8C0 TileChildWindows
       2436  3A3 0006F650 TileWindows
       2437  3A4 0007E8F0 ToAscii
       2438  3A5 0007E970 ToAsciiEx
       2439  3A6 00081500 ToUnicode
       2440  3A7 000294B0 ToUnicodeEx
       2441  3A8 00034970 TrackMouseEvent
       2442  3A9 0006FA90 TrackPopupMenu
       2443  3AA 00034980 TrackPopupMenuEx
       2444  3AB 0007EAE0 TranslateAccelerator
       2445  3AC 0007EAE0 TranslateAcceleratorA
       2446  3AD 00027290 TranslateAcceleratorW
       2447  3AE 0006F680 TranslateMDISysAccel
       2448  3AF 00006D60 TranslateMessage
       2449  3B0 00028070 TranslateMessageEx
       2504  3B1 00034990 UndelegateInput
       2450  3B2 000349A0 UnhookWinEvent
       2451  3B3 0007EB70 UnhookWindowsHook
       2452  3B4 0002B2A0 UnhookWindowsHookEx
       2453  3B5 000262B0 UnionRect
       2454  3B6 0007EB90 UnloadKeyboardLayout
       2455  3B7 000349B0 UnlockWindowStation
       2456  3B8 000567E0 UnpackDDElParam
       2457  3B9 000263B0 UnregisterClassA
       2458  3BA 00023C50 UnregisterClassW
       2459  3BB 0002CA30 UnregisterDeviceNotification
       2460  3BC 000349C0 UnregisterHotKey
       2461  3BD 00031E80 UnregisterMessagePumpHook
       2462  3BE 0004E260 UnregisterPointerInputTarget
       2463  3BF 0004E230 UnregisterPointerInputTargetEx
       2464  3C0 0002B6B0 UnregisterPowerSettingNotification
       2465  3C1 000349D0 UnregisterSessionPort
       2466  3C2 00081550 UnregisterSuspendResumeNotification
       2467  3C3 00081580 UnregisterTouchWindow
       2468  3C4 000349E0 UnregisterUserApiHook
       2469  3C5 000349F0 UpdateDefaultDesktopThumbnail
       2470  3C6 00031090 UpdateLayeredWindow
       2471  3C7 0007EBC0 UpdateLayeredWindowIndirect
       2472  3C8 0001DDC0 UpdatePerUserSystemParameters
       2473  3C9 0000D0E0 UpdateWindow
       2474  3CA 00034A00 UpdateWindowInputSinkHints
       2475  3CB 0001BA60 User32InitializeImmEntryTable
       2476  3CC 0001A630 UserClientDllInitialize
       2477  3CD 00034A20 UserHandleGrantAccess
       2478  3CE 00054A20 UserLpkPSMTextOut
       2479  3CF 00054C30 UserLpkTabbedTextOut
       2480  3D0 0007EC30 UserRealizePalette
       2481  3D1 0007EC50 UserRegisterWowHandlers
       2482  3D2 0002D650 VRipOutput
       2483  3D3 0002D650 VTagOutput
       2484  3D4 00034A30 ValidateRect
       2485  3D5 000020F0 ValidateRgn
       2486  3D6 0007B2C0 VkKeyScanA
       2487  3D7 0007B320 VkKeyScanExA
       2488  3D8 00001A40 VkKeyScanExW
       2489  3D9 0002C030 VkKeyScanW
       2490  3DA 00005F50 WCSToMBEx
       2491  3DB 0007B4D0 WINNLSEnableIME
       2492  3DC 0007B4F0 WINNLSGetEnableStatus
       2493  3DD 0002D650 WINNLSGetIMEHotkey
       2494  3DE 0002D070 WaitForInputIdle
       2495  3DF 00034A50 WaitForRedirectionStartComplete
       2496  3E0 00034A60 WaitMessage
       2497  3E1 00030930 WinHelpA
       2498  3E2 00030880 WinHelpW
       2499  3E3 00034A70 WindowFromDC
       2500  3E4 00034A80 WindowFromPhysicalPoint
       2501  3E5 00034A90 WindowFromPoint
       2502  3E6 00077BB0 _UserTestTokenForInteractive
       2543  3E7 000A9F30 gSharedInfo
       2547  3E8 00088930 gapfnScSendMessage
       2562  3E9 000815A0 keybd_event
       2580  3EA 0002C820 mouse_event
       2583  3EB 00001130 wsprintfA
       2596  3EC 00029EF0 wsprintfW
       2601  3ED 00001160 wvsprintfA
       2602  3EE 00029F20 wvsprintfW
       1502      0004F170 [NONAME]
       1550      000745D0 [NONAME]
       1551      00074650 [NONAME]
       1552      00074580 [NONAME]
       1554      0002D650 [NONAME]
       2001      0006DB30 [NONAME]
       2002      0006D910 [NONAME]
       2005      000345F0 [NONAME]
       2010      00034950 [NONAME]
       2506      0004CE40 [NONAME]
       2507      000345A0 [NONAME]
       2508      000343D0 [NONAME]
       2509      000337C0 [NONAME]
       2510      00033AD0 [NONAME]
       2511      000346A0 [NONAME]
       2512      00033CF0 [NONAME]
       2513      00034580 [NONAME]
       2514      0004E1F0 [NONAME]
       2515      0004E250 [NONAME]
       2516      00033990 [NONAME]
       2517      00033FC0 [NONAME]
       2518      0002C7F0 [NONAME]
       2519      00033AF0 [NONAME]
       2520      00034200 [NONAME]
       2522      000345C0 [NONAME]
       2523      00001010 [NONAME]
       2524      0004C380 [NONAME]
       2525      00002690 [NONAME]
       2526      0004C350 [NONAME]
       2527      00003A80 [NONAME]
       2529      00033A10 [NONAME]
       2530      00034A40 [NONAME]
       2531      000345D0 [NONAME]
       2532      00034690 [NONAME]
       2533      00033850 [NONAME]
       2534      000061E0 [NONAME]
       2535      000333B0 [NONAME]
       2536      00006AF0 [NONAME]
       2537      00034540 [NONAME]
       2538      00034290 [NONAME]
       2539      000340B0 [NONAME]
       2540      00079990 [NONAME]
       2541      00033F00 [NONAME]
       2542      000344A0 [NONAME]
       2544      00033B40 [NONAME]
       2545      00033E30 [NONAME]
       2546      000344D0 [NONAME]
       2548      00033ED0 [NONAME]
       2549      00034790 [NONAME]
       2550      000338F0 [NONAME]
       2552      0007E5B0 [NONAME]
       2553      0007EA60 [NONAME]
       2554      0007E530 [NONAME]
       2555      00085B10 [NONAME]
       2556      00034570 [NONAME]
       2557      0001C770 [NONAME]
       2558      0001C9A0 [NONAME]
       2559      00033E20 [NONAME]
       2560      0004DD30 [NONAME]
       2561      0002D440 [NONAME]
       2563      000338B0 [NONAME]
       2564      0002D480 [NONAME]
       2565      0002CD50 [NONAME]
       2566      00034820 [NONAME]
       2567      0002D520 [NONAME]
       2568      00001F90 [NONAME]
       2569      00028330 [NONAME]
       2570      0007E780 [NONAME]
       2572      00021C40 [NONAME]
       2573      00008E70 [NONAME]
       2574      00023180 [NONAME]
       2575      0007DFF0 [NONAME]
       2576      00034630 [NONAME]
       2577      0002D2F0 [NONAME]
       2578      00034330 [NONAME]
       2579      000348A0 [NONAME]
       2581      0002CBC0 [NONAME]
       2582      00027880 [NONAME]
       2584      0007DF70 [NONAME]
       2585      00034A10 [NONAME]
       2586      0002B0E0 [NONAME]
       2587      000244D0 [NONAME]
       2588      000337D0 [NONAME]
       2589      00033D70 [NONAME]
       2590      00033D60 [NONAME]
       2591      00034560 [NONAME]
       2592      000346F0 [NONAME]
       2593      000341B0 [NONAME]
       2594      00034700 [NONAME]
       2595      000347A0 [NONAME]
       2597      0002ACF0 [NONAME]
       2598      0004E970 [NONAME]
       2599      000276D0 [NONAME]
       2600      0002D500 [NONAME]
       2606      00033B30 [NONAME]
       2608      000343C0 [NONAME]
       2609      00033D80 [NONAME]
       2610      00033900 [NONAME]
       2611      00033B70 [NONAME]
       2612      0002BE90 [NONAME]
       2613      000250C0 [NONAME]
       2614      00033F50 [NONAME]
       2615      00033B20 [NONAME]
       2616      000337F0 [NONAME]
       2617      00034230 [NONAME]
       2618      00083DB0 [NONAME]
       2619      00083B70 [NONAME]
       2620      00083B30 [NONAME]
       2621      00033920 [NONAME]
       2622      00034800 [NONAME]
       2626      00034510 [NONAME]
       2627      000345B0 [NONAME]
       2628      00033970 [NONAME]
       2629      000339C0 [NONAME]
       2630      00034040 [NONAME]
       2631      00033B60 [NONAME]
       2632      00034870 [NONAME]
       2634      0007E6E0 [NONAME]
       2635      0000A9C0 [NONAME]
       2636      00029AD0 [NONAME]
       2637      000347D0 [NONAME]
       2638      00033910 [NONAME]
       2639      00034650 [NONAME]
       2640      0007CB70 [NONAME]
       2641      0007CD00 [NONAME]
       2642      00033BE0 [NONAME]
       2643      00034530 [NONAME]
       2644      00033980 [NONAME]
       2645      0007CE60 [NONAME]
       2646      000346D0 [NONAME]
       2700      0007E010 [NONAME]
       2702      0006F940 [NONAME]
       2703      00034210 [NONAME]
       2704      00033AC0 [NONAME]
       2705      000341E0 [NONAME]
       2706      00034260 [NONAME]
       2707      0000D7F0 [NONAME]
       2708      00033820 [NONAME]
       2709      00033B50 [NONAME]
       2710      00034270 [NONAME]
       2711      00033C00 [NONAME]
       2712      0001F250 [NONAME]
       2713      0002CF20 [NONAME]
       2714      00032040 [NONAME]
       2715      000342D0 [NONAME]
       2716      00034380 [NONAME]

  Summary

        2000 .data
        1000 .didat
        8000 .pdata
       21000 .rdata
        1000 .reloc
       E2000 .rsrc
       87000 .text
