Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\user32.dll

File Type: DLL

  Section contains the following exports for USER32.dll

    00000000 characteristics
    5960D576 time date stamp
        0.00 version
        1502 ordinal base
        1215 number of functions
        1007 number of names

    ordinal hint RVA      name

       1645   89 0004B750 DdeEnableCallback
       1646   8A 00067820 DdeFreeDataHandle
       1647   8B 00068010 DdeFreeStringHandle
       1648   8C 00067890 DdeGetData
       1649   8D 00054EB0 DdeGetLastError
       1650   8E 0002D670 DdeGetQualityOfService
       1651   8F 00054F00 DdeImpersonateClient
       1652   90 00054F90 DdeInitializeA
       1653   91 0002B2D0 DdeInitializeW
       1654   92 000680E0 DdeKeepStringHandle
       1655   93 00003180 DdeNameService
       1656   94 0007A370 DdePostAdvise
       1657   95 0007A620 DdeQueryConvInfo
       1658   96 00053BF0 DdeQueryNextServer
       1659   97 000681A0 DdeQueryStringA
       1660   98 000681C0 DdeQueryStringW
       1661   99 00053D40 DdeReconnect
       1662   9A 0002D670 DdeSetQualityOfService
       1663   9B 0007A840 DdeSetUserHandle
       1664   9C 000679E0 DdeUnaccessData
       1665   9D 00054FB0 DdeUninitialize
       1666   9E          DefDlgProcA (forwarded to NTDLL.NtdllDialogWndProc_A)
       1667   9F          DefDlgProcW (forwarded to NTDLL.NtdllDialogWndProc_W)
       1668   A0 0006F5D0 DefFrameProcA
       1669   A1 0002FD40 DefFrameProcW
       1670   A2 0006F600 DefMDIChildProcA
       1671   A3 0002DD70 DefMDIChildProcW
       1672   A4 0004DBD0 DefRawInputProc
       1673   A5          DefWindowProcA (forwarded to NTDLL.NtdllDefWindowProc_A)
       1674   A6          DefWindowProcW (forwarded to NTDLL.NtdllDefWindowProc_W)
       1675   A7 00028560 DeferWindowPos
       1676   A8 0007DF10 DeferWindowPosAndBand
       2503   A9 000339A0 DelegateInput
       1677   AA 000339B0 DeleteMenu
       1678   AB 0002D4A0 DeregisterShellHookWindow
       1679   AC 000288A0 DestroyAcceleratorTable
       1680   AD 0002CEA0 DestroyCaret
       1681   AE 000292C0 DestroyCursor
       1682   AF 000339D0 DestroyDCompositionHwndTarget
       1683   B0 000292C0 DestroyIcon
       1684   B1 000339E0 DestroyMenu
       1685   B2 000327E0 DestroyReasons
       1686   B3 000339F0 DestroySyntheticPointerDevice
       1687   B4 00033A00 DestroyWindow
       1688   B5 0004E850 DialogBoxIndirectParamA
       1689   B6 0002F4A0 DialogBoxIndirectParamAorW
       1690   B7 0002F470 DialogBoxIndirectParamW
       1691   B8 0004E880 DialogBoxParamA
       1692   B9 0002F3E0 DialogBoxParamW
       1693   BA 0002D310 DisableProcessWindowsGhosting
       1694   BB 0000EE30 DispatchMessageA
       1695   BC 0000C3C0 DispatchMessageW
