Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\mfcsubs.dll

File Type: DLL

  Section contains the following exports for MfcSubs.dll

    00000000 characteristics
    4AB08E0A time date stamp
        0.00 version
           1 ordinal base
         165 number of functions
         165 number of names

    ordinal hint RVA      name

         90   59 00002330 ?CopyBeforeWrite@CString@@IEAAXXZ
         91   5A 00004130 ?Create@CPlex@@SAPEAU1@AEAPEAU1@II@Z
         92   5B 00001710 ?ElementAt@CStringArray@@QEAAAEAVCString@@H@Z
         93   5C 000022E0 ?Empty@CString@@QEAAXXZ
         94   5D 00002CA0 ?Find@CString@@QEBAHG@Z
         95   5E 00003280 ?Find@CString@@QEBAHPEBG@Z
         96   5F 00002CD0 ?FindOneOf@CString@@QEBAHPEBG@Z
         97   60 000036B0 ?Format@CString@@QEAAXIZZ
         98   61 00003680 ?Format@CString@@QEAAXPEBGZZ
         99   62 00003780 ?FormatMessageW@CString@@QEAAXIZZ
        100   63 00003700 ?FormatMessageW@CString@@QEAAXPEBGZZ
        101   64 000032B0 ?FormatV@CString@@IEAAXPEBGPEAD@Z
        102   65 00003C70 ?FreeAssoc@CMapStringToPtr@@IEAAXPEAUCAssoc@1@@Z
        103   66 000041D0 ?FreeDataChain@CPlex@@QEAAXXZ
        104   67 00002BF0 ?FreeExtra@CString@@QEAAXXZ
        105   68 00001D30 ?FreeExtra@CStringArray@@QEAAXXZ
        106   69 00001210 ?GetAllocLength@CString@@QEBAHXZ
        107   6A 00003CC0 ?GetAssocAt@CMapStringToPtr@@IEBAPEAUCAssoc@1@PEBGAEAI@Z
        108   6B 000012C0 ?GetAt@CString@@QEBAGH@Z
        109   6C 000016C0 ?GetAt@CStringArray@@QEBA?AVCString@@H@Z
        110   6D 00002AB0 ?GetBuffer@CString@@QEAAPEAGH@Z
        111   6E 00002BB0 ?GetBufferSetLength@CString@@QEAAPEAGH@Z
        112   6F 00001770 ?GetCount@CMapStringToPtr@@QEBAHXZ
        113   70 000010D0 ?GetData@CString@@IEBAPEAUCStringData@@XZ
        114   71 00001730 ?GetData@CStringArray@@QEAAPEAVCString@@XZ
        115   72 00001730 ?GetData@CStringArray@@QEBAPEBVCString@@XZ
        116   73 00001680 ?GetHashTableSize@CMapStringToPtr@@QEBAIXZ
        117   74 00001200 ?GetLength@CString@@QEBAHXZ
        118   75 00003EF0 ?GetNextAssoc@CMapStringToPtr@@QEBAXAEAPEAU__POSITION@@AEAVCString@@AEAPEAX@Z
        119   76 00001680 ?GetSize@CStringArray@@QEBAHXZ
        120   77 000017B0 ?GetStartPosition@CMapStringToPtr@@QEBAPEAU__POSITION@@XZ
        121   78 00001690 ?GetUpperBound@CStringArray@@QEBAHXZ
        122   79 00003A50 ?HashKey@CMapStringToPtr@@QEBAIPEBG@Z
        123   7A 000010E0 ?Init@CString@@IEAAXXZ
        124   7B 00003A80 ?InitHashTable@CMapStringToPtr@@QEAAXIH@Z
        125   7C 00001F90 ?InsertAt@CStringArray@@QEAAXHPEAV1@@Z
        126   7D 00001E10 ?InsertAt@CStringArray@@QEAAXHPEBGH@Z
        127   7E 00001780 ?IsEmpty@CMapStringToPtr@@QEBAHXZ
        128   7F 00001220 ?IsEmpty@CString@@QEBAHXZ
        129   80 00003170 ?Left@CString@@QEBA?AV1@H@Z
        130   81 000020D0 ?LoadStringW@CString@@QEAAHI@Z
        131   82 00001900 ?Lock@CCriticalSection@@QEAAHXZ
        132   83 00001900 ?Lock@CCriticalSection@@UEAAHK@Z
        133   84 00004080 ?Lock@CSyncObject@@UEAAHK@Z
        134   85 00002C50 ?LockBuffer@CString@@QEAAPEAGXZ
        135   86 00003D40 ?Lookup@CMapStringToPtr@@QEBAHPEBGAEAPEAX@Z
        136   87 00003D70 ?LookupKey@CMapStringToPtr@@QEBAHPEBGAEAPEBG@Z
        137   88 00002D30 ?MakeLower@CString@@QEAAXXZ
        138   89 00002D60 ?MakeReverse@CString@@QEAAXXZ
        139   8A 00002D00 ?MakeUpper@CString@@QEAAXXZ
        140   8B 00003040 ?Mid@CString@@QEBA?AV1@H@Z
        141   8C 00003070 ?Mid@CString@@QEBA?AV1@HH@Z
        142   8D 00003BF0 ?NewAssoc@CMapStringToPtr@@IEAAPEAUCAssoc@1@XZ
        143   8E 00002240 ?Release@CString@@IEAAXXZ
        144   8F 000022A0 ?Release@CString@@KAXPEAUCStringData@@@Z
        145   90 00002B50 ?ReleaseBuffer@CString@@QEAAXH@Z
        146   91 00003B20 ?RemoveAll@CMapStringToPtr@@QEAAXXZ
        147   92 000016A0 ?RemoveAll@CStringArray@@QEAAXXZ
        148   93 00001EF0 ?RemoveAt@CStringArray@@QEAAXHH@Z
        149   94 00003E40 ?RemoveKey@CMapStringToPtr@@QEAAHPEBG@Z
        150   95 00003250 ?ReverseFind@CString@@QEBAHG@Z
        151   96 00003100 ?Right@CString@@QEBA?AV1@H@Z
        152   97 00001250 ?SafeStrlen@CString@@KAHPEBG@Z
        153   98 00001790 ?SetAt@CMapStringToPtr@@QEAAXPEBGPEAX@Z
        154   99 00002D90 ?SetAt@CString@@QEAAXHG@Z
        155   9A 000016F0 ?SetAt@CStringArray@@QEAAXHPEBG@Z
        156   9B 00001DB0 ?SetAtGrow@CStringArray@@QEAAXHPEBG@Z
        157   9C 00001A40 ?SetSize@CStringArray@@QEAAXHH@Z
        158   9D 00003210 ?SpanExcluding@CString@@QEBA?AV1@PEBG@Z
        159   9E 000031D0 ?SpanIncluding@CString@@QEBA?AV1@PEBG@Z
        160   9F 000038B0 ?TrimLeft@CString@@QEAAXXZ
        161   A0 00003820 ?TrimRight@CString@@QEAAXXZ
        162   A1 00001920 ?Unlock@CCriticalSection@@UEAAHXZ
        163   A2 000017C0 ?Unlock@CSyncObject@@UEAAHJPEAJ@Z
        164   A3 00002C80 ?UnlockBuffer@CString@@QEAAXXZ
        165   A4 00001940 ?data@CPlex@@QEAAPEAXXZ

  Summary

        1000 .data
        1000 .pdata
        4000 .rdata
        1000 .reloc
        1000 .rsrc
        5000 .text
