Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\IPHLPAPI.DLL

File Type: DLL

  Section contains the following exports for IPHLPAPI.DLL

    00000000 characteristics
    55458551 time date stamp
        0.00 version
           1 ordinal base
         293 number of functions
         293 number of names

    ordinal hint RVA      name

        125   7C 00021350 GetPerTcp6ConnectionEStats
        126   7D 000215D0 GetPerTcp6ConnectionStats
        127   7E 00021690 GetPerTcpConnectionEStats
        128   7F 000218F0 GetPerTcpConnectionStats
        129   80 0001F1C0 GetRTTAndHopCount
        130   81 00009270 GetSessionCompartmentId
        131   82 000219A0 GetTcp6Table
        132   83 00021C00 GetTcp6Table2
        133   84 00022460 GetTcpStatistics
        134   85 00022470 GetTcpStatisticsEx
        135   86 000225C0 GetTcpStatisticsEx2
        136   87 00022710 GetTcpTable
        137   88 00022730 GetTcpTable2
        138   89 00029550 GetTeredoPort
        139   8A 000232F0 GetUdp6Table
        140   8B 00023A20 GetUdpStatistics
        141   8C 00023A30 GetUdpStatisticsEx
        142   8D 00023B30 GetUdpStatisticsEx2
        143   8E 00023C30 GetUdpTable
        144   8F 0001E770 GetUniDirectionalAdapterInfo
        145   90 000096C0 GetUnicastIpAddressEntry
        146   91 00009890 GetUnicastIpAddressTable
        147   92 00024330 GetWPAOACSupportLevel
        148   93 0001F3F0 Icmp6CreateFile
        149   94 000012F0 Icmp6ParseReplies
        150   95 00001010 Icmp6SendEcho2
        151   96 000023D0 IcmpCloseHandle
        152   97 0001F410 IcmpCreateFile
        153   98 0001F7A0 IcmpParseReplies
        154   99 0001F7F0 IcmpSendEcho
        155   9A 0001F850 IcmpSendEcho2
        156   9B 0001F8C0 IcmpSendEcho2Ex
        157   9C 00025270 InitializeCompartmentEntry
        158   9D 0000DEE0 InitializeIpForwardEntry
        159   9E 00028FE0 InitializeIpInterfaceEntry
        160   9F 00026070 InitializeUnicastIpAddressEntry
        161   A0 00029170 InternalCleanupPersistentStore
        162   A1 000261F0 InternalCreateAnycastIpAddressEntry
        163   A2 0001C7C0 InternalCreateIpForwardEntry
        164   A3 00027360 InternalCreateIpForwardEntry2
        165   A4 0001C7E0 InternalCreateIpNetEntry
        166   A5 00027B80 InternalCreateIpNetEntry2
        167   A6 00026210 InternalCreateUnicastIpAddressEntry
