Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\FWPUCLNT.DLL

File Type: DLL

  Section contains the following exports for fwpuclnt.dll

    00000000 characteristics
    6BE2599D time date stamp
        0.00 version
           1 ordinal base
         276 number of functions
         276 number of names

    ordinal hint RVA      name

        107   6A 000043B0 FwpmProviderContextAdd3
        108   6B 0000D990 FwpmProviderContextCreateEnumHandle0
        109   6C 0000DA00 FwpmProviderContextDeleteById0
        110   6D 0000DAA0 FwpmProviderContextDeleteByKey0
        111   6E 0000DB40 FwpmProviderContextDestroyEnumHandle0
        112   6F 0000DBC0 FwpmProviderContextEnum0
        113   70 0000DD00 FwpmProviderContextEnum1
        114   71 0000DE40 FwpmProviderContextEnum2
        115   72 0000DF60 FwpmProviderContextEnum3
        116   73 0000E000 FwpmProviderContextGetById0
        117   74 0000E0F0 FwpmProviderContextGetById1
        118   75 0000E1E0 FwpmProviderContextGetById2
        119   76 0000E2B0 FwpmProviderContextGetById3
        120   77 0000E340 FwpmProviderContextGetByKey0
        121   78 0000E430 FwpmProviderContextGetByKey1
        122   79 0000E520 FwpmProviderContextGetByKey2
        123   7A 0000E5F0 FwpmProviderContextGetByKey3
        124   7B 0000E680 FwpmProviderContextGetSecurityInfoByKey0
        125   7C 0000E790 FwpmProviderContextSetSecurityInfoByKey0
        126   7D 0000E8B0 FwpmProviderContextSubscribeChanges0
        127   7E 0000EA10 FwpmProviderContextSubscriptionsGet0
        128   7F 0000EAA0 FwpmProviderContextUnsubscribeChanges0
        129   80 0000EB50 FwpmProviderCreateEnumHandle0
        130   81 0000EBC0 FwpmProviderDeleteByKey0
        131   82 0000EC60 FwpmProviderDestroyEnumHandle0
        132   83 0000ECE0 FwpmProviderEnum0
        133   84 0000ED80 FwpmProviderGetByKey0
        134   85 0000EE10 FwpmProviderGetSecurityInfoByKey0
        135   86 0000EF20 FwpmProviderSetSecurityInfoByKey0
        136   87 0000F040 FwpmProviderSubscribeChanges0
        137   88 0000F1A0 FwpmProviderSubscriptionsGet0
        138   89 0000F230 FwpmProviderUnsubscribeChanges0
        139   8A 0000F2E0 FwpmSessionCreateEnumHandle0
        140   8B 0000F350 FwpmSessionDestroyEnumHandle0
        141   8C 0000F3D0 FwpmSessionEnum0
        142   8D 00004920 FwpmSubLayerAdd0
        143   8E 0000F470 FwpmSubLayerCreateEnumHandle0
        144   8F 0000F4E0 FwpmSubLayerDeleteByKey0
        145   90 0000F580 FwpmSubLayerDestroyEnumHandle0
        146   91 0000F600 FwpmSubLayerEnum0
        147   92 0000F6A0 FwpmSubLayerGetByKey0
        148   93 0000F730 FwpmSubLayerGetSecurityInfoByKey0
        149   94 0000F840 FwpmSubLayerSetSecurityInfoByKey0
        150   95 0000F960 FwpmSubLayerSubscribeChanges0
        151   96 0000FAC0 FwpmSubLayerSubscriptionsGet0
        152   97 0000FB50 FwpmSubLayerUnsubscribeChanges0
        153   98 000145C0 FwpmSystemPortsGet0
        154   99 00014600 FwpmSystemPortsSubscribe0
        155   9A 000146D0 FwpmSystemPortsUnsubscribe0
        156   9B 00014A20 FwpmTraceRestoreDefaults0
        157   9C 0000FC00 FwpmTransactionAbort0
        158   9D 00003840 FwpmTransactionBegin0
        159   9E 000037D0 FwpmTransactionCommit0
        160   9F 0000FC90 FwpmvSwitchEventSubscribe0
        161   A0 0000FDF0 FwpmvSwitchEventUnsubscribe0
        162   A1 0000FEA0 FwpmvSwitchEventsGetSecurityInfo0
        163   A2 0000FFB0 FwpmvSwitchEventsSetSecurityInfo0
        164   A3 00010160 FwppConnectionGetByIPsecInfo
        165   A4 000101F0 FwppConnectionGetByS2STunnelId
        166   A5 00010280 FwppConnectionGetS2STunnelId
        167   A6 000104C0 FwppGetMD5HashBytes
        168   A7 000104E0 FwppIPsecSaContextCreate
        169   A8 000108C0 FwpsAleEndpointCreateEnumHandle0
