Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\ucrtbase_enclave.dll

File Type: DLL

  Section contains the following exports for ucrtbase_enclave.dll

    00000000 characteristics
    8B7FEE4D time date stamp
        0.00 version
           1 ordinal base
         785 number of functions
         785 number of names

    ordinal hint RVA      name

        153   98 000137C0 _exit
        154   99 00010360 _expand
        155   9A 0000AB20 _fcvt
        156   9B 0000AA10 _fcvt_s
        157   9C 000326E0 _fd_int
        158   9D 0002E860 _fdclass
        159   9E 000296B0 _fdexp
        160   9F 0002E240 _fdlog
        161   A0 00031E80 _fdnorm
        162   A1 0002E880 _fdpcomp
        163   A2 00028D00 _fdpoly
        164   A3 00032210 _fdscale
        165   A4 0002E900 _fdsign
        166   A5 0002D8F0 _fdsin
        167   A6 00032480 _fdtest
        168   A7 00032860 _fdunscale
        169   A8 00042070 _finite
        170   A9 000420A0 _finitef
        171   AA 00045500 _fpclass
        172   AB 00045590 _fpclassf
        173   AC 00042210 _fpieee_flt
        174   AD 00045180 _fpreset
        175   AE 00010390 _free_base
        176   AF 0000AFE0 _gcvt
        177   B0 0000ADF0 _gcvt_s
        178   B1 0002AEA0 _get_FMA3_enable
        179   B2 00011C10 _get_current_locale
        180   B3 000123D0 _get_doserrno
        181   B4 00012340 _get_errno
        182   B5 00010430 _get_heap_handle
        183   B6 00012730 _get_invalid_parameter_handler
        184   B7 000535B0 _get_purecall_handler
        185   B8 00012E10 _get_terminate
        186   B9 00012780 _get_thread_local_invalid_parameter_handler
        187   BA 00053650 _get_unexpected
        188   BB 00012110 _getmbcp
        189   BC 00040420 _hypot
        190   BD 000406A0 _hypotf
        191   BE 0000DC90 _i64toa
        192   BF 0000DC40 _i64toa_s
        193   C0 0000DE10 _i64tow
        194   C1 0000DDC0 _i64tow_s
        195   C2 000139A0 _initialize_onexit_table
        196   C3 000138A0 _initterm
        197   C4 00013910 _initterm_e
        198   C5 00012690 _invalid_parameter_noinfo
        199   C6 000126B0 _invalid_parameter_noinfo_noreturn
        200   C7 000126E0 _invoke_watson
        201   C8 0004A6E0 _is_exception_typeof
        202   C9 0000EB10 _isalnum_l
        203   CA 0000E480 _isalpha_l
        204   CB 0000EA30 _isblank_l
        205   CC 0000ED80 _iscntrl_l
        206   CD 0000B090 _isctype
        207   CE 0000B020 _isctype_l
        208   CF 0000E6F0 _isdigit_l
        209   D0 0000ECB0 _isgraph_l
        210   D1 0000EFF0 _isleadbyte_l
        211   D2 0000E620 _islower_l
        212   D3 00045600 _isnan
        213   D4 00045640 _isnanf
        214   D5 0000EBE0 _isprint_l
        215   D6 0000E960 _ispunct_l
        216   D7 0000E890 _isspace_l
        217   D8 0000E550 _isupper_l
        218   D9 0000F260 _iswalnum_l
        219   DA 0000F0B0 _iswalpha_l
        220   DB 0000F220 _iswblank_l
        221   DC 0000F320 _iswcntrl_l
        222   DD 0000F370 _iswcsym_l
        223   DE 0000F3C0 _iswcsymf_l
        224   DF 0000B0D0 _iswctype_l
        225   E0 0000F150 _iswdigit_l
        226   E1 0000F2E0 _iswgraph_l
        227   E2 0000F120 _iswlower_l
        228   E3 0000F2A0 _iswprint_l
        229   E4 0000F1F0 _iswpunct_l
        230   E5 0000F1C0 _iswspace_l
        231   E6 0000F0F0 _iswupper_l
        232   E7 0000F180 _iswxdigit_l
        233   E8 0000E7C0 _isxdigit_l
        234   E9 0000DBD0 _itoa
        235   EA 0000DB80 _itoa_s
        236   EB 0000DD50 _itow
        237   EC 0000DD00 _itow_s
        238   ED 00022FD0 _j0
        239   EE 00023140 _j1
        240   EF 00023630 _jn
        241   F0 000326D0 _ld_int
        242   F1 0002E790 _ldclass
        243   F2 00029A00 _ldexp
        244   F3 0002E060 _ldlog
        245   F4 0002E7B0 _ldpcomp
        246   F5 00028A60 _ldpoly
        247   F6 000323F0 _ldscale
        248   F7 0002E830 _ldsign
        249   F8 0002D010 _ldsin
        250   F9 00032470 _ldtest
        251   FA 000328F0 _ldunscale
        252   FB 00021DE0 _lfind
        253   FC 00021EA0 _lfind_s
        254   FD 000536F0 _local_unwind
        255   FE 00010A60 _lock_locales
        256   FF 00040BC0 _logb
        257  100 00040CB0 _logbf
        258  101 00022A30 _lrotl
        259  102 00022A60 _lrotr
        260  103 00021F80 _lsearch
        261  104 00022050 _lsearch_s
        262  105 0000DBD0 _ltoa
        263  106 0000DB80 _ltoa_s
        264  107 0000DD50 _ltow
        265  108 0000DD00 _ltow_s
        266  109 00010450 _malloc_base
        267  10A 00032900 _memccpy
        268  10B 00032B10 _memicmp
        269  10C 00032B70 _memicmp_l
        270  10D 00010520 _msize
        271  10E 00045660 _nextafter
        272  10F 00045670 _nextafterf
        273  110 000535D0 _purecall
        274  111 000105A0 _query_new_handler
        275  112 00010680 _query_new_mode
        276  113 000106A0 _realloc_base
        277  114 000107F0 _recalloc
        278  115 000139D0 _register_onexit_function
        279  116 00013650 _register_thread_local_exe_atexit_callback
        280  117 00022A30 _rotl
        281  118 00022A40 _rotl64
        282  119 00022A60 _rotr
        283  11A 00022A70 _rotr64
        284  11B 00045680 _scalb
        285  11C 00045840 _scalbf
        286  11D 00012480 _seh_filter_dll
        287  11E 000124A0 _seh_filter_exe
        288  11F 0002AE80 _set_FMA3_enable
        289  120 00013440 _set_abort_behavior
        290  121 00045190 _set_controlfp
        291  122 00012390 _set_doserrno
        292  123 00012300 _set_errno
        293  124 000127A0 _set_error_mode
        294  125 000126F0 _set_invalid_parameter_handler
        295  126 00010530 _set_new_handler
        296  127 00010630 _set_new_mode
        297  128 00053610 _set_purecall_handler
        298  129 00053720 _set_se_translator
        299  12A 00012750 _set_thread_local_invalid_parameter_handler
        300  12B 000451D0 _statusfp
        301  12C 00033370 _strdup
        302  12D 00012E70 _strerror
        303  12E 00012FD0 _strerror_s
        304  12F 00033430 _stricmp
        305  130 00033480 _stricmp_l
        306  131 000337E0 _strlwr
        307  132 00033850 _strlwr_l
        308  133 00033880 _strlwr_s
        309  134 00033890 _strlwr_s_l
        310  135 00033EF0 _strnicmp
        311  136 00033F50 _strnicmp_l
        312  137 00032930 _strnset
