Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\dnsapi.dll

File Type: DLL

  Section contains the following exports for DNSAPI.dll

    00000000 characteristics
    33466D5F time date stamp
        0.00 version
           1 ordinal base
         277 number of functions
         277 number of names

    ordinal hint RVA      name

        118   75 00004F00 DnsQuery_UTF8
        119   76 0000B6B0 DnsQuery_W
        120   77 0004C2A0 DnsRecordBuild_UTF8
        121   78 0004C2B0 DnsRecordBuild_W
        122   79 0004C2C0 DnsRecordCompare
        123   7A 0004C2D0 DnsRecordCopyEx
        124   7B 0004C2E0 DnsRecordListFree
        125   7C 00024220 DnsRecordListUnmapV4MappedAAAAInPlace
        126   7D 0004C350 DnsRecordSetCompare
        127   7E 0004C370 DnsRecordSetCopyEx
        128   7F 0004C390 DnsRecordSetDetach
        129   80 0004C3A0 DnsRecordStringForType
        130   81 0004C3D0 DnsRecordStringForWritableType
        131   82 0004C410 DnsRecordTypeForName
        132   83 00066790 DnsRegisterLocal
        133   84 00058760 DnsReleaseContextHandle
        134   85 0005C390 DnsRemoveNrptRule
        135   86 0004C420 DnsRemoveRegistrations
        136   87 000587B0 DnsReplaceRecordSetA
        137   88 000587E0 DnsReplaceRecordSetUTF8
        138   89 00058810 DnsReplaceRecordSetW
        139   8A 0004BD20 DnsResetQueryRetryTimeouts
        140   8B 000253C0 DnsResolverOp
        141   8C 0004E410 DnsScreenLocalAddrsForRegistration
        142   8D 00065730 DnsServiceBrowse
        143   8E 000659E0 DnsServiceBrowseCancel
        144   8F 00065A90 DnsServiceConstructInstance
        145   90 00065F00 DnsServiceCopyInstance
        146   91 00065F60 DnsServiceDeRegister
        147   92 00066080 DnsServiceFreeInstance
        148   93 00066120 DnsServiceRegister
        149   94 00066300 DnsServiceRegisterCancel
        150   95 000663B0 DnsServiceResolve
        151   96 00066480 DnsServiceResolveCancel
        152   97 00048F80 DnsSetConfigDword
        153   98 00048FD0 DnsSetConfigValue
        154   99 0005C640 DnsSetNrptRule
        155   9A 0004BDC0 DnsSetQueryRetryTimeouts
        156   9B 0001F190 DnsStartMulticastQuery
        157   9C 0004C430 DnsStatusString
        158   9D 0001EF00 DnsStopMulticastQuery
        159   9E 0004C440 DnsStringCopyAllocateEx
        160   9F 00006CA0 DnsTraceServerConfig
        161   A0 0004C460 DnsUnicodeToUtf8
        162   A1 00058840 DnsUpdate
        163   A2 000258E0 DnsUpdateMachinePresence
        164   A3 00058850 DnsUpdateTest_A
        165   A4 00058900 DnsUpdateTest_UTF8
        166   A5 000589B0 DnsUpdateTest_W
        167   A6 0004C470 DnsUtf8ToUnicode
        168   A7 0004EB80 DnsValidateNameOrIp_TempW
        169   A8 0004C4B0 DnsValidateName_A
        170   A9 0004C550 DnsValidateName_UTF8
        171   AA 000049B0 DnsValidateName_W
        172   AB 0005A820 DnsValidateServerArray_A
        173   AC 0005A900 DnsValidateServerArray_W
        174   AD 0005A970 DnsValidateServerStatus
        175   AE 0005AA20 DnsValidateServer_A
        176   AF 0005AB00 DnsValidateServer_W
        177   B0 0004C600 DnsValidateUtf8Byte
        178   B1 000530A0 DnsWriteQuestionToBuffer_UTF8
        179   B2 00053190 DnsWriteQuestionToBuffer_W
        180   B3 0004C610 DnsWriteReverseNameStringForIpAddress
        181   B4 00021BA0 Dns_AddRecordsToMessage
        182   B5 00022C40 Dns_AllocateMsgBuf
        183   B6 00017E20 Dns_BuildPacket
        184   B7 0004B7F0 Dns_CacheServiceCleanup
        185   B8 0002A2F0 Dns_CacheServiceInit
        186   B9 0004B830 Dns_CacheServiceStopIssued
        187   BA 0004C620 Dns_CleanupWinsock
        188   BB 0004C630 Dns_CloseConnection
        189   BC 0004C640 Dns_CloseSocket
        190   BD 0004C650 Dns_CreateMulticastSocket
        191   BE 0004C660 Dns_CreateSocket
        192   BF 0004C690 Dns_CreateSocketEx
        193   C0 0000D360 Dns_ExtractRecordsFromMessage
        194   C1 0004C720 Dns_FindAuthoritativeZoneLib
        195   C2 00023CB0 Dns_FreeMsgBuf
        196   C3 000534B0 Dns_GetRandomXid
        197   C4 00003220 Dns_InitializeMsgBuf
        198   C5 000547F0 Dns_InitializeMsgRemoteSockaddr
        199   C6 0004C730 Dns_InitializeWinsock
        200   C7 00054840 Dns_OpenTcpConnectionAndSend
        201   C8 0000DD10 Dns_ParseMessage
        202   C9 000535C0 Dns_ParsePacketRecord
        203   CA 00055100 Dns_PingAdapterServers
        204   CB 0000E3F0 Dns_ReadPacketName
        205   CC 00053630 Dns_ReadPacketNameAllocate
        206   CD 00053720 Dns_ReadRecordStructureFromPacket
        207   CE 000286B0 Dns_RecvTcp
        208   CF 000551E0 Dns_ResetNetworkInfo
        209   D0 00054890 Dns_SendAndRecvUdp
        210   D1 00054950 Dns_SendEx
        211   D2 00053850 Dns_SetRecordDatalength
        212   D3 00053860 Dns_SetRecordsSection
        213   D4 00053890 Dns_SetRecordsTtl
        214   D5 000294A0 Dns_SkipPacketName
        215   D6 000538B0 Dns_SkipToRecord
        216   D7 00058840 Dns_UpdateLib
        217   D8 00058840 Dns_UpdateLibEx
        218   D9 00018100 Dns_WriteDottedNameToPacket
        219   DA 00053A50 Dns_WriteQuestionToMessage
        220   DB 00053C40 Dns_WriteRecordStructureToPacketEx
        221   DC 0005A6B0 ExtraInfo_Init
        222   DD 0004C820 Faz_AreServerListsInSameNameSpace
        223   DE 00023CE0 FlushDnsPolicyUnreachableStatus
        224   DF 0004C740 GetCurrentTimeInSeconds
        225   E0 0002A4D0 HostsFile_Close
        226   E1 000299C0 HostsFile_Open
        227   E2 00027FC0 HostsFile_ReadLine
