Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\gdi32full.dll

File Type: DLL

  Section contains the following exports for gdi32full.dll

    00000000 characteristics
    6E3B72C0 time date stamp
        0.00 version
        1000 ordinal base
        1221 number of functions
        1211 number of names

    ordinal hint RVA      name

       1147   89 0001DB80 ExtTextOutWImpl
       1148   8A 0003E9A0 FillPath
       1149   8B 0003B8E0 FillPathImpl
       1150   8C 000731A0 FillRgn
       1151   8D 00030600 FixBrushOrgEx
       1152   8E 00074930 FlattenPath
       1153   8F 000732B0 FloodFill
       1154   90 00062990 FontIsLinked
       1155   91 000732D0 FrameRgn
       1156   92 0003C540 GdiAddFontResourceW
       1157   93 00083150 GdiAddGlsBounds
       1158   94 00083180 GdiAddGlsRecord
       1159   95 0003EC90 GdiAddInitialFonts
       1160   96 0002E3D0 GdiAlphaBlend
       1161   97 00091370 GdiArtificialDecrementDriver
       1162   98 0005F5F0 GdiCleanCacheDC
       1163   99 000325B0 GdiComment
       1164   9A 00073410 GdiConsoleTextOut
       1165   9B 0002FE90 GdiConvertAndCheckDC
       1166   9C 0002EB20 GdiConvertBitmap
       1167   9D 00064DE0 GdiConvertBitmapV5
       1168   9E 0002EB20 GdiConvertBrush
       1169   9F 0002EB20 GdiConvertDC
       1170   A0 00089A50 GdiConvertEnhMetaFile
       1171   A1 0002EB20 GdiConvertFont
       1172   A2 00089AD0 GdiConvertMetaFilePict
       1173   A3 0002EB20 GdiConvertPalette
       1174   A4 0002EB20 GdiConvertRegion
       1175   A5 0005FC10 GdiConvertToDevmodeW
       1176   A6 00089B90 GdiCreateLocalEnhMetaFile
       1177   A7 00089BA0 GdiCreateLocalMetaFilePict
       1178   A8 0003C330 GdiCurrentProcessSplWow64
       1179   A9 0003D350 GdiDeleteLocalDC
       1180   AA 0003BD20 GdiDeleteSpoolFileHandle
       1181   AB 00074DD0 GdiDescribePixelFormat
       1182   AC 0001B5C0 GdiDllInitialize
       1183   AD 0002E7A0 GdiDllInitializeWrapper
       1184   AE 0002E340 GdiDrawStream
       1185   AF 0003C180 GdiEndDocEMF
       1186   B0 00036E10 GdiEndPageEMF
       1187   B1 0005F290 GdiEntry1
       1188   B2 00030600 GdiEntry10
       1189   B3 0005F310 GdiEntry11
       1190   B4 0002E7A0 GdiEntry12
       1191   B5 00030600 GdiEntry14
       1192   B6 00030600 GdiEntry15
       1193   B7 0003D350 GdiEntry16
       1194   B8 0005F330 GdiEntry2
       1195   B9 0005F390 GdiEntry3
       1196   BA 0005F3D0 GdiEntry4
       1197   BB 0005F3E0 GdiEntry5
       1198   BC 00030600 GdiEntry6
       1199   BD 00030600 GdiEntry7
       1200   BE 00030600 GdiEntry8
       1201   BF 0005F400 GdiEntry9
       1202   C0 0002E5A0 GdiFixUpHandle
       1203   C1 0002ED70 GdiFlush
       1204   C2 00073440 GdiGetBatchLimit
       1205   C3 00029C80 GdiGetBitmapBitsSize
       1206   C4 0001E830 GdiGetCharDimensions
       1207   C5 0003C260 GdiGetDC
       1208   C6 00035FD0 GdiGetDevmodeForPage
       1209   C7 0002EB20 GdiGetLocalBrush
       1210   C8 0002EB20 GdiGetLocalDC
       1211   C9 0002EB20 GdiGetLocalFont
       1212   CA 00075AE0 GdiGetPageCount
       1213   CB 00035EF0 GdiGetPageHandle
       1214   CC 00034450 GdiGetSpoolFileHandle
       1215   CD 000917F0 GdiGetVariationStoreDelta
       1216   CE 00008D50 GdiGradientFill
       1217   CF 0001BE10 GdiInitializeLanguagePack
       1218   D0 0005F630 GdiIsMetaFileDC
       1219   D1 0005F690 GdiIsMetaPrintDC
       1220   D2 0006AE20 GdiIsPlayMetafileDC
       1221   D3 0005FD70 GdiIsScreenDC
       1222   D4 00030600 GdiIsTrackingEnabled
       1223   D5 00038A90 GdiIsUMPDSandboxingEnabled
       1224   D6 0003D290 GdiLoadType1Fonts
       1225   D7 00030600 GdiPlayDCScript
       1226   D8 00075B60 GdiPlayEMF
