Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\gdi32full.dll

File Type: DLL

  Section contains the following exports for gdi32full.dll

    00000000 characteristics
    6E3B72C0 time date stamp
        0.00 version
        1000 ordinal base
        1221 number of functions
        1211 number of names

    ordinal hint RVA      name

       1541  213 0003F3B0 NtGdiDdDDICreateSwapChain
       1542  214 0003F3C0 NtGdiDdDDICreateSynchronizationObject
       1543  215 0003F3D0 NtGdiDdDDIDDisplayEnum
       1544  216 0003F3E0 NtGdiDdDDIDestroyAllocation
       1545  217 0003F3F0 NtGdiDdDDIDestroyAllocation2
       1546  218 0003F400 NtGdiDdDDIDestroyContext
       1547  219 0003F410 NtGdiDdDDIDestroyDCFromMemory
       1548  21A 0003F420 NtGdiDdDDIDestroyDevice
       1549  21B 0003F430 NtGdiDdDDIDestroyHwContext
       1550  21C 0003F440 NtGdiDdDDIDestroyHwQueue
       1551  21D 0003F450 NtGdiDdDDIDestroyKeyedMutex
       1552  21E 0003F460 NtGdiDdDDIDestroyOutputDupl
       1553  21F 0003F470 NtGdiDdDDIDestroyOverlay
       1554  220 0003F480 NtGdiDdDDIDestroyPagingQueue
       1555  221 0003F490 NtGdiDdDDIDestroyProtectedSession
       1556  222 0003F4A0 NtGdiDdDDIDestroySynchronizationObject
       1557  223 0003F4B0 NtGdiDdDDIDispMgrCreate
       1558  224 0003F4C0 NtGdiDdDDIDispMgrSourceOperation
       1559  225 0003F4D0 NtGdiDdDDIDispMgrTargetOperation
       1560  226 0003F4E0 NtGdiDdDDIEnumAdapters
       1561  227 0003F4F0 NtGdiDdDDIEnumAdapters2
       1562  228 0003F500 NtGdiDdDDIEscape
       1563  229 0003F510 NtGdiDdDDIEvict
       1564  22A 0003F520 NtGdiDdDDIExtractBundleObject
       1565  22B 0003F530 NtGdiDdDDIFlipOverlay
       1566  22C 0003F540 NtGdiDdDDIFlushHeapTransitions
       1567  22D 0003F550 NtGdiDdDDIFreeGpuVirtualAddress
       1568  22E 0003F560 NtGdiDdDDIGetAllocationPriority
       1569  22F 0003F570 NtGdiDdDDIGetCachedHybridQueryValue
       1570  230 0003F580 NtGdiDdDDIGetContextInProcessSchedulingPriority
       1571  231 0003F590 NtGdiDdDDIGetContextSchedulingPriority
       1572  232 0003F5A0 NtGdiDdDDIGetDWMVerticalBlankEvent
       1573  233 0003F5B0 NtGdiDdDDIGetDeviceState
       1574  234 0003F5C0 NtGdiDdDDIGetDisplayModeList
       1575  235 0003F5D0 NtGdiDdDDIGetMemoryBudgetTarget
       1576  236 0003F5E0 NtGdiDdDDIGetMultiPlaneOverlayCaps
       1577  237 0003F5F0 NtGdiDdDDIGetMultisampleMethodList
       1578  238 0003F600 NtGdiDdDDIGetOverlayState
       1579  239 0003F610 NtGdiDdDDIGetPostCompositionCaps
       1580  23A 0003F620 NtGdiDdDDIGetPresentHistory
       1581  23B 0003F630 NtGdiDdDDIGetPresentQueueEvent
       1582  23C 0003F640 NtGdiDdDDIGetProcessDeviceRemovalSupport
       1583  23D 0003F650 NtGdiDdDDIGetProcessSchedulingPriorityBand
       1584  23E 0003F660 NtGdiDdDDIGetProcessSchedulingPriorityClass
       1585  23F 0003F670 NtGdiDdDDIGetResourcePresentPrivateDriverData
       1586  240 0003F680 NtGdiDdDDIGetRuntimeData
       1587  241 0003F690 NtGdiDdDDIGetScanLine
       1588  242 0003F6A0 NtGdiDdDDIGetSetSwapChainMetadata
       1589  243 0003F6B0 NtGdiDdDDIGetSharedPrimaryHandle
       1590  244 0003F6C0 NtGdiDdDDIGetSharedResourceAdapterLuid
       1591  245 0003F6D0 NtGdiDdDDIGetYieldPercentage
       1592  246 0003F6E0 NtGdiDdDDIInvalidateActiveVidPn
       1593  247 0003F6F0 NtGdiDdDDIInvalidateCache
       1594  248 0003F700 NtGdiDdDDILock
       1595  249 0003F710 NtGdiDdDDILock2
       1596  24A 0003F720 NtGdiDdDDIMakeResident
       1597  24B 0003F730 NtGdiDdDDIMapGpuVirtualAddress
       1598  24C 0003F740 NtGdiDdDDIMarkDeviceAsError
       1599  24D 0003F750 NtGdiDdDDINetDispGetNextChunkInfo
       1600  24E 0003F760 NtGdiDdDDINetDispQueryMiracastDisplayDeviceStatus
       1601  24F 0003F770 NtGdiDdDDINetDispQueryMiracastDisplayDeviceSupport
       1602  250 0003F780 NtGdiDdDDINetDispStartMiracastDisplayDevice
       1603  251 0003F790 NtGdiDdDDINetDispStopMiracastDisplayDevice
       1604  252 0003F7A0 NtGdiDdDDINetDispStopSessions
       1605  253 0003F7B0 NtGdiDdDDIOfferAllocations
       1606  254 0003F7C0 NtGdiDdDDIOpenAdapterFromDeviceName
       1607  255 0003F7D0 NtGdiDdDDIOpenAdapterFromHdc
       1608  256 0003F7E0 NtGdiDdDDIOpenAdapterFromLuid
       1609  257 0003F7F0 NtGdiDdDDIOpenBundleObjectNtHandleFromName
       1610  258 0003F800 NtGdiDdDDIOpenKeyedMutex
       1611  259 0003F810 NtGdiDdDDIOpenKeyedMutex2
       1612  25A 0003F820 NtGdiDdDDIOpenKeyedMutexFromNtHandle
       1613  25B 0003F830 NtGdiDdDDIOpenNtHandleFromName
       1614  25C 0003F840 NtGdiDdDDIOpenProtectedSessionFromNtHandle
       1615  25D 0003F850 NtGdiDdDDIOpenResource
       1616  25E 0003F860 NtGdiDdDDIOpenResourceFromNtHandle
       1617  25F 0003F870 NtGdiDdDDIOpenSwapChain
       1618  260 0003F880 NtGdiDdDDIOpenSyncObjectFromNtHandle
       1619  261 0003F890 NtGdiDdDDIOpenSyncObjectFromNtHandle2
       1620  262 0003F8A0 NtGdiDdDDIOpenSyncObjectNtHandleFromName
       1621  263 0003F8B0 NtGdiDdDDIOpenSynchronizationObject
       1622  264 0003F8C0 NtGdiDdDDIOutputDuplGetFrameInfo
       1623  265 0003F8D0 NtGdiDdDDIOutputDuplGetMetaData
       1624  266 0003F8E0 NtGdiDdDDIOutputDuplGetPointerShapeData
       1625  267 0003F8F0 NtGdiDdDDIOutputDuplPresent
       1626  268 0003F900 NtGdiDdDDIOutputDuplReleaseFrame
       1627  269 0003F910 NtGdiDdDDIPinDirectFlipResources
       1628  26A 0003F920 NtGdiDdDDIPollDisplayChildren
       1629  26B 0003F930 NtGdiDdDDIPresent
       1630  26C 0003F940 NtGdiDdDDIPresentMultiPlaneOverlay
       1631  26D 0003F950 NtGdiDdDDIPresentMultiPlaneOverlay2
       1632  26E 0003F960 NtGdiDdDDIPresentMultiPlaneOverlay3
       1633  26F 0003F970 NtGdiDdDDIPresentRedirected
       1634  270 0003F980 NtGdiDdDDIQueryAdapterInfo
       1635  271 0003F990 NtGdiDdDDIQueryAllocationResidency
       1636  272 0003F9A0 NtGdiDdDDIQueryClockCalibration
       1637  273 0003F9B0 NtGdiDdDDIQueryFSEBlock
       1638  274 0003F9C0 NtGdiDdDDIQueryProcessOfferInfo
       1639  275 0003F9D0 NtGdiDdDDIQueryProtectedSessionInfoFromNtHandle
       1640  276 0003F9E0 NtGdiDdDDIQueryProtectedSessionStatus
       1641  277 0003F9F0 NtGdiDdDDIQueryRemoteVidPnSourceFromGdiDisplayName
       1642  278 0003FA00 NtGdiDdDDIQueryResourceInfo
       1643  279 0003FA10 NtGdiDdDDIQueryResourceInfoFromNtHandle
       1644  27A 0003FA20 NtGdiDdDDIQueryStatistics
       1645  27B 0003FA30 NtGdiDdDDIQueryVidPnExclusiveOwnership
       1646  27C 0003FA40 NtGdiDdDDIQueryVideoMemoryInfo
       1647  27D 0003FA50 NtGdiDdDDIReclaimAllocations
       1648  27E 0003FA60 NtGdiDdDDIReclaimAllocations2
       1649  27F 0003FA70 NtGdiDdDDIReleaseKeyedMutex
       1650  280 0003FA80 NtGdiDdDDIReleaseKeyedMutex2
       1651  281 0003FA90 NtGdiDdDDIReleaseProcessVidPnSourceOwners
       1652  282 0003FAA0 NtGdiDdDDIReleaseSwapChain
       1653  283 0003FAB0 NtGdiDdDDIRemoveSurfaceFromSwapChain
       1654  284 0003FAC0 NtGdiDdDDIRender
       1655  285 0003FAD0 NtGdiDdDDIReserveGpuVirtualAddress
       1656  286 0003FAE0 NtGdiDdDDISetAllocationPriority
       1657  287 0003FAF0 NtGdiDdDDISetContextInProcessSchedulingPriority
       1658  288 0003FB00 NtGdiDdDDISetContextSchedulingPriority
       1659  289 0003FB10 NtGdiDdDDISetDisplayMode
       1660  28A 0003FB20 NtGdiDdDDISetDisplayPrivateDriverFormat
       1661  28B 0003FB30 NtGdiDdDDISetDodIndirectSwapchain
       1662  28C 0003FB40 NtGdiDdDDISetFSEBlock
       1663  28D 0003FB50 NtGdiDdDDISetGammaRamp
       1664  28E 0003FB60 NtGdiDdDDISetHwProtectionTeardownRecovery
       1665  28F 0003FB70 NtGdiDdDDISetMemoryBudgetTarget
       1666  290 0003FB80 NtGdiDdDDISetMonitorColorSpaceTransform
       1667  291 0003FB90 NtGdiDdDDISetProcessDeviceRemovalSupport
       1668  292 0003FBA0 NtGdiDdDDISetProcessSchedulingPriorityBand
       1669  293 0003FBB0 NtGdiDdDDISetProcessSchedulingPriorityClass
       1670  294 0003FBC0 NtGdiDdDDISetQueuedLimit
       1671  295 0003FBD0 NtGdiDdDDISetStablePowerState
       1672  296 0003FBE0 NtGdiDdDDISetStereoEnabled
       1673  297 0003FBF0 NtGdiDdDDISetSyncRefreshCountWaitTarget
       1674  298 0003FC00 NtGdiDdDDISetVidPnSourceHwProtection
       1675  299 0003FC10 NtGdiDdDDISetVidPnSourceOwner
       1676  29A 0003FC20 NtGdiDdDDISetYieldPercentage
       1677  29B 0003FC30 NtGdiDdDDIShareObjects
       1678  29C 0003FC40 NtGdiDdDDISharedPrimaryLockNotification
       1679  29D 0003FC50 NtGdiDdDDISharedPrimaryUnLockNotification
       1680  29E 0003FC60 NtGdiDdDDISignalSynchronizationObject
       1681  29F 0003FC70 NtGdiDdDDISignalSynchronizationObjectFromCpu
       1682  2A0 0003FC80 NtGdiDdDDISignalSynchronizationObjectFromGpu
       1683  2A1 0003FC90 NtGdiDdDDISignalSynchronizationObjectFromGpu2
       1684  2A2 0003FCA0 NtGdiDdDDISubmitCommand
       1685  2A3 0003FCB0 NtGdiDdDDISubmitCommandToHwQueue
       1686  2A4 0003FCC0 NtGdiDdDDISubmitSignalSyncObjectsToHwQueue
       1687  2A5 0003FCD0 NtGdiDdDDISubmitWaitForSyncObjectsToHwQueue
       1688  2A6 0003FCE0 NtGdiDdDDITrimProcessCommitment
       1689  2A7 0003FCF0 NtGdiDdDDIUnOrderedPresentSwapChain
       1690  2A8 0003FD00 NtGdiDdDDIUnlock
       1691  2A9 0003FD10 NtGdiDdDDIUnlock2
       1692  2AA 0003FD20 NtGdiDdDDIUnpinDirectFlipResources
       1693  2AB 0003FD30 NtGdiDdDDIUpdateAllocationProperty
       1694  2AC 0003FD40 NtGdiDdDDIUpdateGpuVirtualAddress
       1695  2AD 0003FD50 NtGdiDdDDIUpdateOverlay
       1696  2AE 0003FD60 NtGdiDdDDIWaitForIdle
       1697  2AF 0003FD70 NtGdiDdDDIWaitForSynchronizationObject
       1698  2B0 0003FD80 NtGdiDdDDIWaitForSynchronizationObjectFromCpu
       1699  2B1 0003FD90 NtGdiDdDDIWaitForSynchronizationObjectFromGpu
       1700  2B2 0003FDA0 NtGdiDdDDIWaitForVerticalBlankEvent
       1701  2B3 0003FDB0 NtGdiDdDDIWaitForVerticalBlankEvent2
       1702  2B4 00030600 NtGdiDdDeleteDirectDrawObject
       1703  2B5 00030600 NtGdiDdDeleteSurfaceObject
       1704  2B6 00030600 NtGdiDdDestroyD3DBuffer
       1705  2B7 0003FDC0 NtGdiDdDestroyFullscreenSprite
       1706  2B8 00030600 NtGdiDdDestroyMoComp
       1707  2B9 00030600 NtGdiDdDestroySurface
       1708  2BA 00030600 NtGdiDdEndMoCompFrame
       1709  2BB 00030600 NtGdiDdFlip
       1710  2BC 00030600 NtGdiDdFlipToGDISurface
       1711  2BD 00030600 NtGdiDdGetAvailDriverMemory
       1712  2BE 00030600 NtGdiDdGetBltStatus
       1713  2BF 00030600 NtGdiDdGetDC
       1714  2C0 00030600 NtGdiDdGetDriverInfo
       1715  2C1 00030600 NtGdiDdGetDriverState
       1716  2C2 00030600 NtGdiDdGetDxHandle
       1717  2C3 00030600 NtGdiDdGetFlipStatus
       1718  2C4 00030600 NtGdiDdGetInternalMoCompInfo
       1719  2C5 00030600 NtGdiDdGetMoCompBuffInfo
       1720  2C6 00030600 NtGdiDdGetMoCompFormats
       1721  2C7 00030600 NtGdiDdGetMoCompGuids
       1722  2C8 00030600 NtGdiDdGetScanLine
       1723  2C9 00030600 NtGdiDdLock
       1724  2CA 00030600 NtGdiDdLockD3D
       1725  2CB 0003FDD0 NtGdiDdNotifyFullscreenSpriteUpdate
       1726  2CC 00030600 NtGdiDdQueryDirectDrawObject
       1727  2CD 00030600 NtGdiDdQueryMoCompStatus
       1728  2CE 0003FDE0 NtGdiDdQueryVisRgnUniqueness
       1729  2CF 00030600 NtGdiDdReenableDirectDrawObject
       1730  2D0 00030600 NtGdiDdReleaseDC
       1731  2D1 00030600 NtGdiDdRenderMoComp
       1732  2D2 00030600 NtGdiDdResetVisrgn
       1733  2D3 00030600 NtGdiDdSetColorKey
       1734  2D4 00030600 NtGdiDdSetExclusiveMode
       1735  2D5 00030600 NtGdiDdSetGammaRamp
       1736  2D6 00030600 NtGdiDdSetOverlayPosition
       1737  2D7 0005F500 NtGdiDdUnattachSurface
       1738  2D8 00030600 NtGdiDdUnlock
       1739  2D9 00030600 NtGdiDdUnlockD3D
       1740  2DA 00030600 NtGdiDdUpdateOverlay
       1741  2DB 00030600 NtGdiDdWaitForVerticalBlank
       1742  2DC 0003FDF0 NtGdiDeleteClientObj
       1743  2DD 0003FE00 NtGdiDeleteColorSpace
       1744  2DE 0003FE10 NtGdiDeleteColorTransform
       1745  2DF 0003FE20 NtGdiDeleteObjectApp
       1746  2E0 0003FE30 NtGdiDescribePixelFormat
       1747  2E1 0003FE40 NtGdiDestroyOPMProtectedOutput
       1748  2E2 0003FE50 NtGdiDestroyPhysicalMonitor
       1749  2E3 0003FE60 NtGdiDoBanding
       1750  2E4 0003FE70 NtGdiDoPalette
       1751  2E5 0003FE80 NtGdiDrawEscape
       1752  2E6 0003FE90 NtGdiDrawStream
       1753  2E7 00030600 NtGdiDvpAcquireNotification
       1754  2E8 00030600 NtGdiDvpCanCreateVideoPort
       1755  2E9 00030600 NtGdiDvpColorControl
       1756  2EA 00030600 NtGdiDvpCreateVideoPort
       1757  2EB 00030600 NtGdiDvpDestroyVideoPort
       1758  2EC 00030600 NtGdiDvpFlipVideoPort
       1759  2ED 00030600 NtGdiDvpGetVideoPortBandwidth
       1760  2EE 00030600 NtGdiDvpGetVideoPortConnectInfo
       1761  2EF 00030600 NtGdiDvpGetVideoPortField
       1762  2F0 00030600 NtGdiDvpGetVideoPortFlipStatus
       1763  2F1 00030600 NtGdiDvpGetVideoPortInputFormats
       1764  2F2 00030600 NtGdiDvpGetVideoPortLine
       1765  2F3 00030600 NtGdiDvpGetVideoPortOutputFormats
       1766  2F4 00030600 NtGdiDvpGetVideoSignalStatus
       1767  2F5 00030600 NtGdiDvpReleaseNotification
       1768  2F6 00030600 NtGdiDvpUpdateVideoPort
       1769  2F7 00030600 NtGdiDvpWaitForVideoPortSync
       1770  2F8 0003FEA0 NtGdiDwmCreatedBitmapRemotingOutput
       1771  2F9 00030600 NtGdiDxgGenericThunk
       1772  2FA 0003FEB0 NtGdiEllipse
       1773  2FB 0003FEC0 NtGdiEnableEudc
       1774  2FC 0003FED0 NtGdiEndDoc
       1775  2FD 0003FEE0 NtGdiEndGdiRendering
       1776  2FE 0003FEF0 NtGdiEndPage
       1777  2FF 0003FF00 NtGdiEndPath
       1778  300 0003FF10 NtGdiEngAlphaBlend
       1779  301 0003FF20 NtGdiEngAssociateSurface
       1780  302 0003FF30 NtGdiEngBitBlt
       1781  303 0003FF40 NtGdiEngCheckAbort
       1782  304 0003FF50 NtGdiEngComputeGlyphSet
       1783  305 0003FF60 NtGdiEngCopyBits
       1784  306 0003FF70 NtGdiEngCreateBitmap
       1785  307 0003FF80 NtGdiEngCreateClip
       1786  308 0003FF90 NtGdiEngCreateDeviceBitmap
       1787  309 0003FFA0 NtGdiEngCreateDeviceSurface
       1788  30A 0003FFB0 NtGdiEngCreatePalette
       1789  30B 0003FFC0 NtGdiEngDeleteClip
       1790  30C 0003FFD0 NtGdiEngDeletePalette
       1791  30D 0003FFE0 NtGdiEngDeletePath
       1792  30E 0003FFF0 NtGdiEngDeleteSurface
       1793  30F 00040000 NtGdiEngEraseSurface
       1794  310 00040010 NtGdiEngFillPath
       1795  311 00040020 NtGdiEngGradientFill
       1796  312 00040030 NtGdiEngLineTo
       1797  313 00040040 NtGdiEngLockSurface
       1798  314 00040050 NtGdiEngMarkBandingSurface
       1799  315 00040060 NtGdiEngPaint
       1800  316 00040070 NtGdiEngPlgBlt
       1801  317 00040080 NtGdiEngStretchBlt
       1802  318 00040090 NtGdiEngStretchBltROP
       1803  319 000400A0 NtGdiEngStrokeAndFillPath
       1804  31A 000400B0 NtGdiEngStrokePath
       1805  31B 000400C0 NtGdiEngTextOut
       1806  31C 000400D0 NtGdiEngTransparentBlt
       1807  31D 000400E0 NtGdiEngUnlockSurface
       1808  31E 000400F0 NtGdiEnsureDpiDepDefaultGuiFontForPlateau
       1809  31F 00040100 NtGdiEnumFonts
       1810  320 00040110 NtGdiEnumObjects
       1811  321 00040120 NtGdiEqualRgn
       1812  322 00040130 NtGdiEudcLoadUnloadLink
       1813  323 00040140 NtGdiExcludeClipRect
       1814  324 00040150 NtGdiExtCreatePen
       1815  325 00040160 NtGdiExtCreateRegion
       1816  326 00040170 NtGdiExtEscape
       1817  327 00040180 NtGdiExtFloodFill
       1818  328 00040190 NtGdiExtGetObjectW
       1819  329 000401A0 NtGdiExtSelectClipRgn
       1820  32A 000401B0 NtGdiExtTextOutW
       1821  32B 000401C0 NtGdiFONTOBJ_cGetAllGlyphHandles
       1822  32C 000401D0 NtGdiFONTOBJ_cGetGlyphs
       1823  32D 000401E0 NtGdiFONTOBJ_pQueryGlyphAttrs
       1824  32E 000401F0 NtGdiFONTOBJ_pfdg
       1825  32F 00040200 NtGdiFONTOBJ_pifi
       1826  330 00040210 NtGdiFONTOBJ_pvTrueTypeFontFile
       1827  331 00040220 NtGdiFONTOBJ_pxoGetXform
       1828  332 00040230 NtGdiFONTOBJ_vGetInfo
       1829  333 00040240 NtGdiFillPath
       1830  334 00040250 NtGdiFillRgn
       1831  335 00040260 NtGdiFlattenPath
       1832  336 00040270 NtGdiFlush
       1833  337 00040280 NtGdiFontIsLinked
       1834  338 00040290 NtGdiForceUFIMapping
       1835  339 000402A0 NtGdiFrameRgn
       1836  33A 000402B0 NtGdiFullscreenControl
       1837  33B 000402C0 NtGdiGetAndSetDCDword
       1838  33C 000402D0 NtGdiGetAppClipBox
       1839  33D 000402E0 NtGdiGetAppliedDeviceGammaRamp
       1840  33E 000402F0 NtGdiGetBitmapBits
       1841  33F 00040300 NtGdiGetBitmapDimension
       1842  340 00040310 NtGdiGetBitmapDpiScaleValue
       1843  341 00040320 NtGdiGetBoundsRect
       1844  342 00040330 NtGdiGetCOPPCompatibleOPMInformation
       1845  343 00040340 NtGdiGetCertificate
       1846  344 00040350 NtGdiGetCertificateByHandle
       1847  345 00040360 NtGdiGetCertificateSize
       1848  346 00040370 NtGdiGetCertificateSizeByHandle
       1849  347 00040380 NtGdiGetCharABCWidthsW
       1850  348 00040390 NtGdiGetCharSet
       1851  349 000403A0 NtGdiGetCharWidthInfo
       1852  34A 000403B0 NtGdiGetCharWidthW
       1853  34B 000403C0 NtGdiGetCharacterPlacementW
       1854  34C 000403D0 NtGdiGetColorAdjustment
       1855  34D 000403E0 NtGdiGetColorSpaceforBitmap
       1856  34E 000403F0 NtGdiGetCurrentDpiInfo
       1857  34F 00040400 NtGdiGetDCDpiScaleValue
       1858  350 00040410 NtGdiGetDCDword
       1859  351 00040420 NtGdiGetDCObject
       1860  352 00040430 NtGdiGetDCPoint
       1861  353 00040440 NtGdiGetDCforBitmap
       1862  354 00040450 NtGdiGetDIBitsInternal
       1863  355 00040460 NtGdiGetDeviceCaps
       1864  356 00040470 NtGdiGetDeviceCapsAll
       1865  357 00040480 NtGdiGetDeviceGammaRamp
       1866  358 00040490 NtGdiGetDeviceWidth
       1867  359 000404A0 NtGdiGetDhpdev
       1868  35A 000404B0 NtGdiGetETM
       1869  35B 000404C0 NtGdiGetEmbUFI
       1870  35C 000404D0 NtGdiGetEmbedFonts
       1871  35D 000404E0 NtGdiGetEntry
       1872  35E 000404F0 NtGdiGetEudcTimeStampEx
       1873  35F 00040500 NtGdiGetFontData
       1874  360 00040510 NtGdiGetFontFileData
       1875  361 00040520 NtGdiGetFontFileInfo
       1876  362 00040530 NtGdiGetFontResourceInfoInternalW
       1877  363 0003ECA0 NtGdiGetFontUnicodeRanges
       1878  364 00040540 NtGdiGetGammaRampCapability
       1879  365 00040550 NtGdiGetGlyphIndicesW
       1880  366 00040560 NtGdiGetGlyphIndicesWInternal
       1881  367 00040570 NtGdiGetGlyphOutline
       1882  368 00040580 NtGdiGetKerningPairs
       1883  369 00040590 NtGdiGetLinkedUFIs
       1884  36A 000405A0 NtGdiGetMiterLimit
       1885  36B 000405B0 NtGdiGetMonitorID
       1886  36C 000405C0 NtGdiGetNearestColor
       1887  36D 000405D0 NtGdiGetNearestPaletteIndex
       1888  36E 000405E0 NtGdiGetNumberOfPhysicalMonitors
       1889  36F 000405F0 NtGdiGetOPMInformation
       1890  370 00040600 NtGdiGetOPMRandomNumber
       1891  371 00040610 NtGdiGetObjectBitmapHandle
       1892  372 00040620 NtGdiGetOutlineTextMetricsInternalW
       1893  373 00040630 NtGdiGetPath
       1894  374 00040640 NtGdiGetPerBandInfo
       1895  375 00040650 NtGdiGetPhysicalMonitorDescription
       1896  376 00040660 NtGdiGetPhysicalMonitors
       1897  377 00040670 NtGdiGetPixel
       1898  378 00040680 NtGdiGetRandomRgn
       1899  379 00040690 NtGdiGetRasterizerCaps
       1900  37A 000406A0 NtGdiGetRealizationInfo
       1901  37B 000406B0 NtGdiGetRegionData
       1902  37C 000406C0 NtGdiGetRgnBox
       1903  37D 000406D0 NtGdiGetServerMetaFileBits
       1904  37E 000406E0 NtGdiGetSpoolMessage
       1905  37F 000406F0 NtGdiGetStats
       1906  380 00040700 NtGdiGetStringBitmapW
       1907  381 00040710 NtGdiGetSuggestedOPMProtectedOutputArraySize
       1908  382 00040720 NtGdiGetSystemPaletteUse
       1909  383 0003ECB0 NtGdiGetTextCharsetInfo
       1910  384 00040730 NtGdiGetTextExtent
       1911  385 00040740 NtGdiGetTextExtentExW
       1912  386 00040750 NtGdiGetTextFaceW
       1913  387 00040760 NtGdiGetTextMetricsW
       1914  388 00040770 NtGdiGetTransform
       1915  389 00040780 NtGdiGetUFI
       1916  38A 00040790 NtGdiGetUFIPathname
       1917  38B 000407A0 NtGdiGetWidthTable
       1918  38C 000407B0 NtGdiGradientFill
       1919  38D 000407C0 NtGdiHLSurfGetInformation
       1920  38E 000407D0 NtGdiHLSurfSetInformation
       1921  38F 000407E0 NtGdiHT_Get8BPPFormatPalette
       1922  390 000407F0 NtGdiHT_Get8BPPMaskPalette
       1923  391 00040800 NtGdiHfontCreate
       1924  392 00040810 NtGdiIcmBrushInfo
       1925  393 00040820 NtGdiInit
       1926  394 00040830 NtGdiInitSpool
       1927  395 00040840 NtGdiIntersectClipRect
       1928  396 00040850 NtGdiInvertRgn
       1929  397 00040860 NtGdiLineTo
       1930  398 00040870 NtGdiMakeFontDir
       1931  399 00040880 NtGdiMakeInfoDC
       1932  39A 00040890 NtGdiMakeObjectUnXferable
       1933  39B 000408A0 NtGdiMakeObjectXferable
       1934  39C 000408B0 NtGdiMaskBlt
       1935  39D 000408C0 NtGdiMirrorWindowOrg
       1936  39E 000408D0 NtGdiModifyWorldTransform
       1937  39F 000408E0 NtGdiMonoBitmap
       1938  3A0 000408F0 NtGdiMoveTo
       1939  3A1 00040900 NtGdiOffsetClipRgn
       1940  3A2 00040910 NtGdiOffsetRgn
       1941  3A3 00040920 NtGdiOpenDCW
       1942  3A4 00040930 NtGdiPATHOBJ_bEnum
       1943  3A5 00040940 NtGdiPATHOBJ_bEnumClipLines
       1944  3A6 00040950 NtGdiPATHOBJ_vEnumStart
       1945  3A7 00040960 NtGdiPATHOBJ_vEnumStartClipLines
       1946  3A8 00040970 NtGdiPATHOBJ_vGetBounds
       1947  3A9 00040980 NtGdiPatBlt
       1948  3AA 00040990 NtGdiPathToRegion
       1949  3AB 000409A0 NtGdiPlgBlt
       1950  3AC 000409B0 NtGdiPolyDraw
       1951  3AD 000409C0 NtGdiPolyPatBlt
       1952  3AE 000409D0 NtGdiPolyPolyDraw
       1953  3AF 000409E0 NtGdiPolyTextOutW
       1954  3B0 000409F0 NtGdiPtInRegion
       1955  3B1 00040A00 NtGdiPtVisible
       1956  3B2 00040A10 NtGdiQueryFontAssocInfo
       1957  3B3 00040A20 NtGdiQueryFonts
       1958  3B4 00040A30 NtGdiRectInRegion
       1959  3B5 00040A40 NtGdiRectVisible
       1960  3B6 00040A50 NtGdiRectangle
       1961  3B7 00040A60 NtGdiRemoveFontMemResourceEx
       1962  3B8 00040A70 NtGdiRemoveFontResourceW
       1963  3B9 00040A80 NtGdiRemoveMergeFont
       1964  3BA 00040A90 NtGdiResetDC
       1965  3BB 00040AA0 NtGdiResizePalette
       1966  3BC 00040AB0 NtGdiRestoreDC
       1967  3BD 00040AC0 NtGdiRoundRect
       1968  3BE 00040AD0 NtGdiSTROBJ_bEnum
       1969  3BF 00040AE0 NtGdiSTROBJ_bEnumPositionsOnly
       1970  3C0 00040AF0 NtGdiSTROBJ_bGetAdvanceWidths
       1971  3C1 00040B00 NtGdiSTROBJ_dwGetCodePage
       1972  3C2 00040B10 NtGdiSTROBJ_vEnumStart
       1973  3C3 00040B20 NtGdiSaveDC
       1974  3C4 00040B30 NtGdiScaleRgn
       1975  3C5 00040B40 NtGdiScaleValues
       1976  3C6 00040B50 NtGdiScaleViewportExtEx
       1977  3C7 00040B60 NtGdiScaleWindowExtEx
       1978  3C8 00040B70 NtGdiSelectBitmap
       1979  3C9 00040B80 NtGdiSelectBrush
       1980  3CA 00040B90 NtGdiSelectClipPath
       1981  3CB 00040BA0 NtGdiSelectFont
       1982  3CC 00040BB0 NtGdiSelectPen
       1983  3CD 00040BC0 NtGdiSetBitmapAttributes
       1984  3CE 00040BD0 NtGdiSetBitmapBits
       1985  3CF 00040BE0 NtGdiSetBitmapDimension
       1986  3D0 00040BF0 NtGdiSetBoundsRect
       1987  3D1 00040C00 NtGdiSetBrushAttributes
       1988  3D2 00040C10 NtGdiSetBrushOrg
       1989  3D3 00040C20 NtGdiSetColorAdjustment
       1990  3D4 00040C30 NtGdiSetColorSpace
       1991  3D5 00040C40 NtGdiSetDIBitsToDeviceInternal
       1992  3D6 00040C50 NtGdiSetDeviceGammaRamp
       1993  3D7 00040C60 NtGdiSetFontEnumeration
       1994  3D8 00040C70 NtGdiSetFontXform
       1995  3D9 00040C80 NtGdiSetIcmMode
       1996  3DA 00040C90 NtGdiSetLayout
       1997  3DB 00040CA0 NtGdiSetLinkedUFIs
       1998  3DC 00040CB0 NtGdiSetMagicColors
       1999  3DD 00040CC0 NtGdiSetMetaRgn
       2000  3DE 00040CD0 NtGdiSetMiterLimit
       2001  3DF 00040CE0 NtGdiSetOPMSigningKeyAndSequenceNumbers
