Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\framedynos.dll

File Type: DLL

  Section contains the following exports for framedynos.dll

    00000000 characteristics
    29F94FA1 time date stamp
        0.00 version
           1 ordinal base
         611 number of functions
         611 number of names

    ordinal hint RVA      name

        303  12E 00029E70 ?GetCurrentSubKeyName@CRegistry@@QEAAKAEAVCHString@@@Z
        304  12F 00029F00 ?GetCurrentSubKeyPath@CRegistry@@QEAAKAEAVCHString@@@Z
        305  130 0002A000 ?GetCurrentSubKeyValue@CRegistry@@QEAAKPEBGAEAK@Z
        306  131 0002A050 ?GetCurrentSubKeyValue@CRegistry@@QEAAKPEBGAEAVCHString@@@Z
        307  132 0002A0A0 ?GetCurrentSubKeyValue@CRegistry@@QEAAKPEBGPEAXPEAK@Z
        308  133 000012B0 ?GetDMTF@WBEMTime@@QEBAPEAGH@Z
        309  134 00028650 ?GetDMTFNonNtfs@WBEMTime@@QEBAPEAGXZ
        310  135 0001ECB0 ?GetDOUBLE@CInstance@@QEBA_NPEBGAEAN@Z
        311  136 000118E0 ?GetDWORD@CInstance@@QEBA_NPEBGAEAK@Z
        312  137 00002870 ?GetData@CHPtrArray@@QEAAPEAPEAXXZ
        313  138 00002870 ?GetData@CHPtrArray@@QEBAPEAPEBXXZ
        314  139 0000B0F0 ?GetData@CHString@@IEBAPEAUCHStringData@@XZ
        315  13A 00002870 ?GetData@CHStringArray@@QEAAPEAVCHString@@XZ
        316  13B 00002870 ?GetData@CHStringArray@@QEBAPEBVCHString@@XZ
        317  13C 0001EE40 ?GetDateTime@CInstance@@QEBA_NPEBGAEAVWBEMTime@@@Z
        318  13D 0001EFF0 ?GetEmbeddedObject@CInstance@@QEBA_NPEBGPEAPEAV1@PEAVMethodContext@@@Z
        319  13E 00022AB0 ?GetEmptyInstance@CWbemProviderGlue@@SAJPEAVMethodContext@@PEBGPEAPEAVCInstance@@1@Z
        320  13F 00022C60 ?GetEmptyInstance@CWbemProviderGlue@@SAJPEBGPEAPEAVCInstance@@0@Z
        321  140 00001430 ?GetFILETIME@WBEMTime@@QEBAHPEAU_FILETIME@@@Z
        322  141 000286C0 ?GetFILETIME@WBEMTimeSpan@@QEBAHPEAU_FILETIME@@@Z
        323  142 00002B80 ?GetIWBEMContext@MethodContext@@UEAAPEAUIWbemContext@@XZ
        324  143 0000E9D0 ?GetInstanceByPath@CWbemProviderGlue@@SAJPEBGPEAPEAVCInstance@@PEAVMethodContext@@@Z
        325  144 0000F810 ?GetInstanceFromCIMOM@CWbemProviderGlue@@CAJPEBG0PEAVMethodContext@@PEAPEAVCInstance@@@Z
        326  145 00010DF0 ?GetInstanceKeysByPath@CWbemProviderGlue@@SAJPEBGPEAPEAVCInstance@@PEAVMethodContext@@@Z
        327  146 00010FA0 ?GetInstancePropertiesByPath@CWbemProviderGlue@@SAJPEBGPEAPEAVCInstance@@PEAVMethodContext@@AEAVCHStringArray@@@Z
        328  147 000042E0 ?GetInstancesByQuery@CWbemProviderGlue@@SAJPEBGPEAV?$TRefPointerCollection@VCInstance@@@@PEAVMethodContext@@0@Z
        329  148 00022D80 ?GetInstancesByQueryAsynch@CWbemProviderGlue@@SAJPEBGPEAVProvider@@P6AJ1PEAVCInstance@@PEAVMethodContext@@PEAX@Z034@Z
        330  149 000258D0 ?GetKeyString@ParsedObjectPath@@QEAAPEAGXZ
        331  14A 00002980 ?GetLength@CHString@@QEBAHXZ
        332  14B 00002C70 ?GetLocalComputerName@Provider@@IEAAAEBVCHString@@XZ
        333  14C 00011250 ?GetLocalInstancePath@Provider@@IEAA_NPEBVCInstance@@AEAVCHString@@@Z
        334  14D 000286F0 ?GetLocalOffsetForDate@WBEMTime@@SAJAEB_J@Z
        335  14E 00028760 ?GetLocalOffsetForDate@WBEMTime@@SAJPEBU_FILETIME@@@Z
        336  14F 00003930 ?GetLocalOffsetForDate@WBEMTime@@SAJPEBU_SYSTEMTIME@@@Z
        337  150 000287A0 ?GetLocalOffsetForDate@WBEMTime@@SAJPEBUtm@@@Z
        338  151 0001D6D0 ?GetLongestClassStringSize@CRegistry@@QEAAKXZ
        339  152 0001D6E0 ?GetLongestSubKeySize@CRegistry@@QEAAKXZ
        340  153 0001D6F0 ?GetLongestValueData@CRegistry@@QEAAKXZ
        341  154 0001D700 ?GetLongestValueName@CRegistry@@QEAAKXZ
        342  155 0000CD80 ?GetMapCountPtr@CWbemProviderGlue@@KAPEAJPEBVCWbemGlueFactory@@@Z
        343  156 00003700 ?GetMethodContext@CInstance@@QEBAPEAVMethodContext@@XZ
        344  157 0001D930 ?GetNamespace@CFrameworkQuery@@IEAAAEBVCHString@@XZ
        345  158 00003920 ?GetNamespace@Provider@@IEAAAEBVCHString@@XZ
        346  159 00023330 ?GetNamespaceConnection@CWbemProviderGlue@@SAPEAUIWbemServices@@PEBG@Z
        347  15A 00006540 ?GetNamespaceConnection@CWbemProviderGlue@@SAPEAUIWbemServices@@PEBGPEAVMethodContext@@@Z
        348  15B 00025C40 ?GetNamespacePart@ParsedObjectPath@@QEAAPEAGXZ
        349  15C 0001CF80 ?GetOSMajorVersion@CWbemProviderGlue@@SAKXZ
        350  15D 0001CF20 ?GetObject@CWbemProviderGlue@@UEAAJQEAGJPEAUIWbemContext@@PEAPEAUIWbemClassObject@@PEAPEAUIWbemCallResult@@@Z
        351  15E 0000FA40 ?GetObject@Provider@@AEAAJPEAUParsedObjectPath@@PEAVMethodContext@@J@Z
        352  15F 000039C0 ?GetObject@Provider@@MEAAJPEAVCInstance@@J@Z
        353  160 00011D40 ?GetObject@Provider@@MEAAJPEAVCInstance@@JAEAVCFrameworkQuery@@@Z
        354  161 0000FC80 ?GetObjectAsync@CWbemProviderGlue@@UEAAJQEAGJPEAUIWbemContext@@PEAUIWbemObjectSink@@@Z
        355  162 00025DD0 ?GetParentNamespacePart@ParsedObjectPath@@QEAAPEAGXZ
        356  163 0001CF90 ?GetPlatform@CWbemProviderGlue@@SAKXZ
        357  164 000114E0 ?GetPropertyBitMask@CFrameworkQueryEx@@QEAAXAEBVCHPtrArray@@PEAX@Z
        358  165 00020700 ?GetProviderGlue@MethodContext@@AEAAPEAVCWbemProviderGlue@@XZ
        359  166 0001CFA0 ?GetProviderName@Provider@@IEAAAEBVCHString@@XZ
        360  167 0001D940 ?GetQuery@CFrameworkQuery@@QEAAAEBVCHString@@XZ
        361  168 0001CFB0 ?GetQueryClassName@CFrameworkQuery@@QEAAPEAGXZ
        362  169 00025F70 ?GetRelativePath@CObjectPathParser@@SAPEAGPEAG@Z
        363  16A 0001DB20 ?GetRequiredProperties@CFrameworkQuery@@QEAAXAEAVCHStringArray@@@Z
        364  16B 000013E0 ?GetSYSTEMTIME@WBEMTime@@QEBAHPEAU_SYSTEMTIME@@@Z
        365  16C 00002C60 ?GetSize@CHPtrArray@@QEBAHXZ
        366  16D 00002C60 ?GetSize@CHStringArray@@QEBAHXZ
        367  16E 0001F220 ?GetStatus@CInstance@@QEBA_NPEBGAEA_NAEAG@Z
        368  16F 00023510 ?GetStatusObject@CWbemProviderGlue@@CAPEAUIWbemClassObject@@PEAVMethodContext@@PEBG@Z
        369  170 000059F0 ?GetStatusObject@MethodContext@@QEAAPEAUIWbemClassObject@@XZ
        370  171 0001F340 ?GetStringArray@CInstance@@QEBA_NPEBGAEAPEAUtagSAFEARRAY@@@Z
        371  172 000287E0 ?GetStructtm@WBEMTime@@QEBAHPEAUtm@@@Z
        372  173 00002870 ?GetTime@WBEMTime@@QEBA_KXZ
        373  174 00002870 ?GetTime@WBEMTimeSpan@@QEBA_KXZ
        374  175 0001F500 ?GetTimeSpan@CInstance@@QEBA_NPEBGAEAVWBEMTimeSpan@@@Z
        375  176 0001CFD0 ?GetUpperBound@CHPtrArray@@QEBAHXZ
        376  177 0001CFD0 ?GetUpperBound@CHStringArray@@QEBAHXZ
        377  178 0001D710 ?GetValueCount@CRegistry@@QEAAKXZ
        378  179 0000E2E0 ?GetValuesForProp@CFrameworkQuery@@QEAAJPEBGAEAV?$vector@V_bstr_t@@V?$allocator@V_bstr_t@@@std@@@std@@@Z
        379  17A 0000F4C0 ?GetValuesForProp@CFrameworkQuery@@QEAAJPEBGAEAVCHStringArray@@@Z
        380  17B 0000DF80 ?GetValuesForProp@CFrameworkQueryEx@@QEAAJPEBGAEAV?$vector@HV?$allocator@H@std@@@std@@@Z
        381  17C 0001DFE0 ?GetValuesForProp@CFrameworkQueryEx@@QEAAJPEBGAEAV?$vector@V_variant_t@@V?$allocator@V_variant_t@@@std@@@std@@@Z
        382  17D 00011C20 ?GetVariant@CInstance@@QEBA_NPEBGAEAUtagVARIANT@@@Z
        383  17E 0001F6B0 ?GetWBEMINT16@CInstance@@QEBA_NPEBGAEAF@Z
        384  17F 0001F850 ?GetWBEMINT64@CInstance@@QEBA_NPEBGAEAVCHString@@@Z
        385  180 0001F860 ?GetWBEMINT64@CInstance@@QEBA_NPEBGAEA_J@Z
        386  181 000119F0 ?GetWBEMINT64@CInstance@@QEBA_NPEBGAEA_K@Z
        387  182 0001F8D0 ?GetWCHAR@CInstance@@QEBA_NPEBGPEAPEAG@Z
        388  183 0001FAB0 ?GetWORD@CInstance@@QEBA_NPEBGAEAG@Z
        389  184 0001FC40 ?Getbool@CInstance@@QEBA_NPEBGAEA_N@Z
        390  185 00003140 ?GethKey@CRegistry@@QEAAPEAUHKEY__@@XZ
        391  186 00028840 ?Gettime_t@WBEMTime@@QEBAHPEA_J@Z
        392  187 000288A0 ?Gettime_t@WBEMTimeSpan@@QEBAHPEA_J@Z
        393  188 000236B0 ?IncrementMapCount@CWbemProviderGlue@@KAJPEAJ@Z
        394  189 0000D0F0 ?IncrementMapCount@CWbemProviderGlue@@KAJPEBVCWbemGlueFactory@@@Z
        395  18A 000236D0 ?IncrementObjectCount@CWbemProviderGlue@@SAXXZ
        396  18B 000067F0 ?Init2@CFrameworkQuery@@QEAAXPEAUIWbemClassObject@@@Z
        397  18C 00009B40 ?Init@CFrameworkQuery@@QEAAJPEAUParsedObjectPath@@PEAUIWbemContext@@PEBGAEAVCHString@@@Z
        398  18D 00007150 ?Init@CFrameworkQuery@@QEAAJQEAG0JAEAVCHString@@@Z
        399  18E 000132E0 ?Init@CHString@@IEAAXXZ
        400  18F 00003B30 ?Init@CWbemProviderGlue@@CAXXZ
        401  190 00009A80 ?InitComputerName@Provider@@CAXXZ
        402  191 0001E290 ?InitEx@CFrameworkQueryEx@@UEAAJQEAG0JAEAVCHString@@@Z
        403  192 0000D340 ?Initialize@CWbemProviderGlue@@UEAAJPEAGJ00PEAUIWbemServices@@PEAUIWbemContext@@PEAUIWbemProviderInitSink@@@Z
        404  193 00029060 ?InsertAt@CHPtrArray@@QEAAXHPEAV1@@Z
        405  194 000290E0 ?InsertAt@CHPtrArray@@QEAAXHPEAXH@Z
        406  195 00028D90 ?InsertAt@CHStringArray@@QEAAXHPEAV1@@Z
        407  196 00028E70 ?InsertAt@CHStringArray@@QEAAXHPEBGH@Z
        408  197 00006570 ?InternalGetNamespaceConnection@CWbemProviderGlue@@AEAAPEAUIWbemServices@@PEBG@Z
        409  198 0001E4C0 ?Is3TokenOR@CFrameworkQueryEx@@QEAAHPEBG0AEAUtagVARIANT@@1@Z
        410  199 00011CE0 ?IsClass@ParsedObjectPath@@QEAAHXZ
        411  19A 00011640 ?IsDerivedFrom@CWbemProviderGlue@@SA_NPEBG0PEAVMethodContext@@0@Z
        412  19B 00001B80 ?IsEmpty@CHString@@QEBAHXZ
        413  19C 00001B60 ?IsExtended@CFrameworkQueryEx@@UEAA_NXZ
        414  19D 0000A1D0 ?IsInList@CFrameworkQuery@@IEAAKAEBVCHStringArray@@PEBG@Z
        415  19E 00011CA0 ?IsInstance@ParsedObjectPath@@QEAAHXZ
        416  19F 0000EC70 ?IsLocal@ParsedObjectPath@@QEAAHPEBG@Z
        417  1A0 000092E0 ?IsLoggingOn@ProviderLog@@QEAA?AW4LogLevel@1@PEAVCHString@@@Z
        418  1A1 0001E670 ?IsNTokenAnd@CFrameworkQueryEx@@QEAAHAEAVCHStringArray@@AEAVCHPtrArray@@@Z
        419  1A2 00002500 ?IsNull@CInstance@@QEBA_NPEBG@Z
        420  1A3 00011D10 ?IsObject@ParsedObjectPath@@QEAAHXZ
        421  1A4 0001CFE0 ?IsOk@WBEMTime@@QEBA_NXZ
        422  1A5 0001CFE0 ?IsOk@WBEMTimeSpan@@QEBA_NXZ
        423  1A6 00011860 ?IsPropertyRequired@CFrameworkQuery@@QEAA_NPEBG@Z
        424  1A7 0000E7B0 ?IsReference@CFrameworkQuery@@IEAAHPEBG@Z
        425  1A8 0000EC00 ?IsRelative@ParsedObjectPath@@QEAAHPEBG0@Z
        426  1A9 00003830 ?KeysOnly@CFrameworkQuery@@QEAA_NXZ
        427  1AA 0000B140 ?Left@CHString@@QEBA?AV1@H@Z
        428  1AB 00027FA0 ?LoadStringW@CHString@@IEAAHIPEAGI@Z
        429  1AC 00027FA0 ?LoadStringW@CHString@@QEAAHI@Z
        430  1AD 00009240 ?LocalLogMessage@ProviderLog@@QEAAXPEBG0HW4LogLevel@1@@Z
        431  1AE 00007110 ?LocalLogMessage@ProviderLog@@QEAAXPEBGHW4LogLevel@1@0ZZ
        432  1AF 0002A100 ?LocateKeyByNameOrValueName@CRegistrySearch@@QEAAHPEAUHKEY__@@PEBG1PEAPEBGKAEAVCHString@@3@Z
        433  1B0 0001CFF0 ?Lock@CThreadBase@@AEAAXXZ
        434  1B1 00027FB0 ?LockBuffer@CHString@@QEAAPEAGXZ
        435  1B2 0001D010 ?LockFactoryMap@CWbemProviderGlue@@CAXXZ
        436  1B3 0001D030 ?LockProviderMap@CWbemProviderGlue@@CAXXZ
        437  1B4 0001D800 ?LockServer@CWbemGlueFactory@@UEAAJH@Z
        438  1B5 0001FDD0 ?LogError@CInstance@@IEBAXPEBG00J@Z
        439  1B6 00001640 ?MakeLocalPath@Provider@@IEAA?AVCHString@@AEBV2@@Z
        440  1B7 00027FF0 ?MakeLower@CHString@@QEAAXXZ
        441  1B8 00028020 ?MakeReverse@CHString@@QEAAXXZ
        442  1B9 0000A8B0 ?MakeUpper@CHString@@QEAAXXZ
        443  1BA 0000AAA0 ?Mid@CHString@@QEBA?AV1@H@Z
        444  1BB 0000A960 ?Mid@CHString@@QEBA?AV1@HH@Z
        445  1BC 00026460 ?MsgWndProc@CWinMsgEvent@@CA_JPEAUHWND__@@I_K_J@Z
        446  1BD 0002A390 ?NextSubKey@CRegistry@@QEAAKXZ
        447  1BE 00010B20 ?NextToken@CObjectPathParser@@AEAAHXZ
        448  1BF 0000F330 ?NormalizePath@@YAKPEBG00KAEAVCHString@@@Z
        449  1C0 00023730 ?NullOutUnsetProperties@CWbemProviderGlue@@AEAAJPEAUIWbemClassObject@@PEAPEAU2@AEBUtagVARIANT@@@Z
        450  1C1 00002AB0 ?OnFinalRelease@CThreadBase@@MEAAXXZ
        451  1C2 0000C410 ?Open@CRegistry@@QEAAJPEAUHKEY__@@PEBGK@Z
        452  1C3 0002A3D0 ?OpenAndEnumerateSubKeys@CRegistry@@QEAAJPEAUHKEY__@@PEBGK@Z
        453  1C4 0002A3E0 ?OpenCurrentUser@CRegistry@@QEAAKPEBGK@Z
        454  1C5 0000A6B0 ?OpenLocalMachineKeyAndReadValue@CRegistry@@QEAAJPEBG0AEAVCHString@@@Z
        455  1C6 0001CF20 ?OpenNamespace@CWbemProviderGlue@@UEAAJQEAGJPEAUIWbemContext@@PEAPEAUIWbemServices@@PEAPEAUIWbemCallResult@@@Z
        456  1C7 0002A510 ?OpenSubKey@CRegistry@@AEAAKXZ
        457  1C8 000104A0 ?Parse@CObjectPathParser@@QEAAHPEBGPEAPEAUParsedObjectPath@@@Z
        458  1C9 00023AE0 ?PreProcessPutInstanceParms@CWbemProviderGlue@@AEAAJPEAUIWbemClassObject@@PEAPEAU2@PEAUIWbemContext@@@Z
        459  1CA 0002A5A0 ?PrepareToReOpen@CRegistry@@AEAAXXZ
        460  1CB 0001CF20 ?PutClass@CWbemProviderGlue@@UEAAJPEAUIWbemClassObject@@JPEAUIWbemContext@@PEAPEAUIWbemCallResult@@@Z
        461  1CC 0001CF20 ?PutClassAsync@CWbemProviderGlue@@UEAAJPEAUIWbemClassObject@@JPEAUIWbemContext@@PEAUIWbemObjectSink@@@Z
        462  1CD 0001CF20 ?PutInstance@CWbemProviderGlue@@UEAAJPEAUIWbemClassObject@@JPEAUIWbemContext@@PEAPEAUIWbemCallResult@@@Z
        463  1CE 000209C0 ?PutInstance@Provider@@AEAAJPEAUIWbemClassObject@@JPEAVMethodContext@@@Z
        464  1CF 000039C0 ?PutInstance@Provider@@MEAAJAEBVCInstance@@J@Z
        465  1D0 00023D60 ?PutInstanceAsync@CWbemProviderGlue@@UEAAJPEAUIWbemClassObject@@JPEAUIWbemContext@@PEAUIWbemObjectSink@@@Z
        466  1D1 0000CA70 ?QueryInterface@CWbemGlueFactory@@UEAAJAEBU_GUID@@PEAPEAX@Z
        467  1D2 00006BE0 ?QueryInterface@CWbemProviderGlue@@UEAAJAEBU_GUID@@PEAPEAX@Z
        468  1D3 0001CF20 ?QueryObjectSink@CWbemProviderGlue@@UEAAJJPEAPEAUIWbemObjectSink@@@Z
        469  1D4 0000DF60 ?QueryPostProcess@MethodContext@@UEAAXXZ
        470  1D5 000265F0 ?RegisterForMessage@CWinMsgEvent@@IEAAXIH@Z
        471  1D6 0000B710 ?Release@CHString@@QEAAXXZ
        472  1D7 0000B110 ?Release@CHString@@SAXPEAUCHStringData@@@Z
        473  1D8 00004970 ?Release@CInstance@@QEAAJXZ
        474  1D9 00005A40 ?Release@CThreadBase@@QEAAJXZ
        475  1DA 0000BFE0 ?Release@CWbemGlueFactory@@UEAAKXZ
        476  1DB 00007C60 ?Release@CWbemProviderGlue@@UEAAKXZ
        477  1DC 00020710 ?Release@MethodContext@@QEAAJXZ
        478  1DD 0000CBD0 ?ReleaseBuffer@CHString@@QEAAXH@Z
        479  1DE 00002A50 ?RemoveAll@CHPtrArray@@QEAAXXZ
        480  1DF 00011D60 ?RemoveAll@CHStringArray@@QEAAXXZ
        481  1E0 000292B0 ?RemoveAt@CHPtrArray@@QEAAXHH@Z
        482  1E1 00028F40 ?RemoveAt@CHStringArray@@QEAAXHH@Z
        483  1E2 0000D170 ?RemoveFromFactoryMap@CWbemProviderGlue@@KAXPEBVCWbemGlueFactory@@@Z
        484  1E3 0000A5E0 ?Reset@CFrameworkQuery@@AEAAXXZ
        485  1E4 00002AE0 ?ReverseFind@CHString@@QEBAHG@Z
        486  1E5 0002A5D0 ?RewindSubKeys@CRegistry@@QEAAXXZ
        487  1E6 0000AAE0 ?Right@CHString@@QEBA?AV1@H@Z
        488  1E7 0000A430 ?SafeStrlen@CHString@@KAHPEBG@Z
        489  1E8 0002A5E0 ?SearchAndBuildList@CRegistrySearch@@QEAAHVCHString@@AEAVCHPtrArray@@00HPEAUHKEY__@@@Z
        490  1E9 00007910 ?SearchMapForProvider@CWbemProviderGlue@@CAPEAVProvider@@PEBG0@Z
        491  1EA 00029310 ?SetAt@CHPtrArray@@QEAAXHPEAX@Z
        492  1EB 00001270 ?SetAt@CHString@@QEAAXHG@Z
        493  1EC 0001D050 ?SetAt@CHStringArray@@QEAAXHPEBG@Z
        494  1ED 00029330 ?SetAtGrow@CHPtrArray@@QEAAXHPEAX@Z
        495  1EE 00006660 ?SetAtGrow@CHStringArray@@QEAAXHPEBG@Z
        496  1EF 000020D0 ?SetByte@CInstance@@QEAA_NPEBGE@Z
        497  1F0 00001D60 ?SetCHString@CInstance@@QEAA_NPEBG0@Z
        498  1F1 00001C80 ?SetCHString@CInstance@@QEAA_NPEBGAEBVCHString@@@Z
        499  1F2 00011BB0 ?SetCHString@CInstance@@QEAA_NPEBGPEBD@Z
        500  1F3 0000DF60 ?SetCHStringResourceHandle@@YAXPEAUHINSTANCE__@@@Z
        501  1F4 00001D60 ?SetCharSplat@CInstance@@QEAA_NPEBG0@Z
        502  1F5 00020020 ?SetCharSplat@CInstance@@QEAA_NPEBGK@Z
        503  1F6 00020040 ?SetCharSplat@CInstance@@QEAA_NPEBGPEBD@Z
        504  1F7 00025FA0 ?SetClassName@ParsedObjectPath@@QEAAHPEBG@Z
        505  1F8 00002000 ?SetCreationClassName@Provider@@IEAA_NPEAVCInstance@@@Z
        506  1F9 0002A920 ?SetCurrentKeyValue@CRegistry@@QEAAKPEAUHKEY__@@PEBGAEAK@Z
        507  1FA 0002A950 ?SetCurrentKeyValue@CRegistry@@QEAAKPEAUHKEY__@@PEBGAEAVCHString@@@Z
        508  1FB 0002A9D0 ?SetCurrentKeyValue@CRegistry@@QEAAKPEAUHKEY__@@PEBGAEAVCHStringArray@@@Z
        509  1FC 0002ABB0 ?SetCurrentKeyValue@CRegistry@@QEAAKPEBGAEAK@Z
        510  1FD 0002ABE0 ?SetCurrentKeyValue@CRegistry@@QEAAKPEBGAEAVCHString@@@Z
        511  1FE 0002AC40 ?SetCurrentKeyValue@CRegistry@@QEAAKPEBGAEAVCHStringArray@@@Z
        512  1FF 0002AC60 ?SetCurrentKeyValueExpand@CRegistry@@QEAAKPEAUHKEY__@@PEBGAEAVCHString@@@Z
        513  200 000288D0 ?SetDMTF@WBEMTime@@QEAAHQEAG@Z
        514  201 000200B0 ?SetDOUBLE@CInstance@@QEAA_NPEBGN@Z
        515  202 00001580 ?SetDWORD@CInstance@@QEAA_NPEBGK@Z
        516  203 0000DA60 ?SetDateTime@CInstance@@QEAA_NPEBGAEBVWBEMTime@@@Z
        517  204 0000DA20 ?SetDefaultValues@CRegistry@@AEAAXXZ
        518  205 000201B0 ?SetEmbeddedObject@CInstance@@QEAA_NPEBGAEAV1@@Z
        519  206 0000FBE0 ?SetKeyFromParsedObjectPath@Provider@@AEAAHPEAVCInstance@@PEAUParsedObjectPath@@@Z
        520  207 00020310 ?SetNull@CInstance@@QEAA_NPEBG@Z
        521  208 0000C7C0 ?SetPlatformID@CRegistry@@CAHXZ
        522  209 00004A60 ?SetSize@CHPtrArray@@QEAAXHH@Z
        523  20A 0000A2E0 ?SetSize@CHStringArray@@QEAAXHH@Z
        524  20B 00024310 ?SetStatusObject@CWbemProviderGlue@@SA_NPEAVMethodContext@@PEBG1JPEBUtagSAFEARRAY@@2@Z
        525  20C 00020720 ?SetStatusObject@MethodContext@@QEAA_NPEAUIWbemClassObject@@@Z
        526  20D 00002770 ?SetStringArray@CInstance@@QEAA_NPEBGAEBUtagSAFEARRAY@@@Z
        527  20E 00020440 ?SetTimeSpan@CInstance@@QEAA_NPEBGAEBVWBEMTimeSpan@@@Z
        528  20F 000026F0 ?SetVariant@CInstance@@QEAA_NPEBGAEBUtagVARIANT@@@Z
        529  210 000023B0 ?SetWBEMINT16@CInstance@@QEAA_NPEBGAEBF@Z
        530  211 00020590 ?SetWBEMINT64@CInstance@@QEAA_NPEBGAEBVCHString@@@Z
        531  212 000025D0 ?SetWBEMINT64@CInstance@@QEAA_NPEBG_J@Z
        532  213 00001460 ?SetWBEMINT64@CInstance@@QEAA_NPEBG_K@Z
        533  214 00001BB0 ?SetWCHARSplat@CInstance@@QEAA_NPEBG0@Z
        534  215 00003710 ?SetWORD@CInstance@@QEAA_NPEBGG@Z
        535  216 00001F30 ?Setbool@CInstance@@QEAA_NPEBG_N@Z
        536  217 00026870 ?Signal@CAutoEvent@@QEAAHXZ
        537  218 00011B70 ?SpanExcluding@CHString@@QEBA?AV1@PEBG@Z
        538  219 00028050 ?SpanIncluding@CHString@@QEBA?AV1@PEBG@Z
        539  21A 00028090 ?TrimLeft@CHString@@QEAAXXZ
        540  21B 00028110 ?TrimRight@CHString@@QEAAXXZ
        541  21C 0000C880 ?UnInit@CWbemProviderGlue@@CAXXZ
        542  21D 00026880 ?UnRegisterAllMessages@CWinMsgEvent@@IEAAXXZ
        543  21E 000269C0 ?UnRegisterMessage@CWinMsgEvent@@IEAA_NIH@Z
        544  21F 00003120 ?Unlock@CThreadBase@@AEAAXXZ
        545  220 000281A0 ?UnlockBuffer@CHString@@QEAAXXZ
        546  221 0001D070 ?UnlockFactoryMap@CWbemProviderGlue@@CAXXZ
        547  222 0001D090 ?UnlockProviderMap@CWbemProviderGlue@@CAXXZ
        548  223 0000ECB0 ?Unparse@CObjectPathParser@@SAHPEAUParsedObjectPath@@PEAPEAG@Z
        549  224 00020AB0 ?ValidateDeletionFlags@Provider@@MEAAJJ@Z
        550  225 00002A90 ?ValidateEnumerationFlags@Provider@@MEAAJJ@Z
        551  226 00020AD0 ?ValidateFlags@Provider@@IEAAJJW4FlagDefs@1@@Z
        552  227 00002A90 ?ValidateGetObjFlags@Provider@@MEAAJJ@Z
        553  228 00012BA0 ?ValidateIMOSPointer@Provider@@AEAAHXZ
        554  229 00020AB0 ?ValidateMethodFlags@Provider@@MEAAJJ@Z
        555  22A 00020AF0 ?ValidatePutInstanceFlags@Provider@@MEAAJJ@Z
        556  22B 00002A90 ?ValidateQueryFlags@Provider@@MEAAJJ@Z
        557  22C 00026B20 ?Wait@CAutoEvent@@QEAAKK@Z
        558  22D 00026B30 ?WindowsDispatch@CWinMsgEvent@@CAXXZ
        559  22E 00010310 ?Zero@CObjectPathParser@@AEAAXXZ
        560  22F 00010AA0 ?begin_parse@CObjectPathParser@@AEAAHXZ
        561  230 00048530 ?captainsLog@@3VProviderLog@@A
        562  231 00026EB0 ?dwThreadProc@CWinMsgEvent@@CAKPEAX@Z
        563  232 00010460 ?ident_becomes_class@CObjectPathParser@@AEAAHXZ
        564  233 00026100 ?ident_becomes_ns@CObjectPathParser@@AEAAHXZ
        565  234 000039D0 ?initFailed@Provider@@SAHXZ
        566  235 00048588 ?initFailed_@Provider@@0HA
        567  236 00010A10 ?key_const@CObjectPathParser@@AEAAHXZ
        568  237 000108B0 ?keyref@CObjectPathParser@@AEAAHXZ
        569  238 00011DA0 ?keyref_list@CObjectPathParser@@AEAAHXZ
        570  239 00010870 ?keyref_term@CObjectPathParser@@AEAAHXZ
        571  23A 00048440 ?m_FlushPtrs@CWbemProviderGlue@@0V?$set@PEAXU?$less@PEAX@std@@V?$allocator@PEAX@2@@std@@A
        572  23B 00048458 ?m_csFlushPtrs@CWbemProviderGlue@@0VCCritSec@@A
        573  23C 00048418 ?m_csStatusObject@CWbemProviderGlue@@0VCCritSec@@A
        574  23D 000481D8 ?m_pStatusObject@CWbemProviderGlue@@0PEAUIWbemClassObject@@EA
        575  23E 00048500 ?mg_aeCreateWindow@CWinMsgEvent@@0VCAutoEvent@@A
        576  23F 000484B0 ?mg_csMapLock@CWinMsgEvent@@0VCCritSec@@A
        577  240 000484D8 ?mg_csWindowLock@CWinMsgEvent@@0VCCritSec@@A
        578  241 00048598 ?mg_hDevNotify@CWinMsgEvent@@0PEAXEA
        579  242 000485A8 ?mg_hThreadPumpHandle@CWinMsgEvent@@0PEAXEA
        580  243 000485A0 ?mg_hWnd@CWinMsgEvent@@0PEAUHWND__@@EA
        581  244 00048508 ?mg_oSinkMap@CWinMsgEvent@@0V?$multimap@IPEAVCWinMsgEvent@@U?$less@I@std@@V?$allocator@U?$pair@$$CBIPEAVCWinMsgEvent@@@std@@@3@@std@@A
        582  245 0002ACE0 ?myRegCreateKeyEx@CRegistry@@AEAAJPEAUHKEY__@@PEBGKPEAGKKQEAU_SECURITY_ATTRIBUTES@@PEAPEAU2@PEAK@Z
        583  246 0002AD50 ?myRegDeleteKey@CRegistry@@AEAAJPEAUHKEY__@@PEBG@Z
        584  247 00029750 ?myRegDeleteValue@CRegistry@@AEAAJPEAUHKEY__@@PEBG@Z
