Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\framedynos.dll

File Type: DLL

  Section contains the following exports for framedynos.dll

    00000000 characteristics
    29F94FA1 time date stamp
        0.00 version
           1 ordinal base
         611 number of functions
         611 number of names

    ordinal hint RVA      name

         84   53 0001C990 ??4CHStringArray@@QEAAAEAV0@AEBV0@@Z
         85   54 0001CA20 ??4CInstance@@QEAAAEAV0@AEBV0@@Z
         86   55 0001CA40 ??4CObjectPathParser@@QEAAAEAV0@AEBV0@@Z
         87   56 0001D3A0 ??4CRegistry@@QEAAAEAV0@AEBV0@@Z
         88   57 0001D490 ??4CRegistrySearch@@QEAAAEAV0@AEBV0@@Z
         89   58 0001CA60 ??4CThreadBase@@QEAAAEAV0@AEBV0@@Z
         90   59 0001CA90 ??4CWbemGlueFactory@@QEAAAEAV0@AEBV0@@Z
         91   5A 0001CAA0 ??4CWbemProviderGlue@@QEAAAEAV0@AEBV0@@Z
         92   5B 000261C0 ??4CWinMsgEvent@@QEAAAEAV0@AEBV0@@Z
         93   5C 0001CC10 ??4CreateMutexAsProcess@@QEAAAEAV0@AEBV0@@Z
         94   5D 0001CAF0 ??4KeyRef@@QEAAAEAU0@AEBU0@@Z
         95   5E 0001CB10 ??4MethodContext@@QEAAAEAV0@AEBV0@@Z
         96   5F 0001CB60 ??4ParsedObjectPath@@QEAAAEAU0@AEBU0@@Z
         97   60 0001CB90 ??4Provider@@QEAAAEAV0@AEBV0@@Z
         98   61 0001D4E0 ??4ProviderLog@@QEAAAEAV0@AEBV0@@Z
         99   62 0001CC10 ??4WBEMTime@@QEAAAEAV0@$$QEAV0@@Z
        100   63 0001CC10 ??4WBEMTime@@QEAAAEAV0@AEBV0@@Z
        101   64 00002880 ??4WBEMTime@@QEAAAEBV0@AEBU_FILETIME@@@Z
        102   65 00003860 ??4WBEMTime@@QEAAAEBV0@AEBU_SYSTEMTIME@@@Z
        103   66 000282A0 ??4WBEMTime@@QEAAAEBV0@AEBUtm@@@Z
        104   67 000036D0 ??4WBEMTime@@QEAAAEBV0@AEB_J@Z
        105   68 00028300 ??4WBEMTime@@QEAAAEBV0@QEAG@Z
        106   69 0001CC10 ??4WBEMTimeSpan@@QEAAAEAV0@$$QEAV0@@Z
        107   6A 0001CC10 ??4WBEMTimeSpan@@QEAAAEAV0@AEBV0@@Z
        108   6B 000281E0 ??4WBEMTimeSpan@@QEAAAEBV0@AEBU_FILETIME@@@Z
        109   6C 00028370 ??4WBEMTimeSpan@@QEAAAEBV0@AEB_J@Z
        110   6D 00028390 ??4WBEMTimeSpan@@QEAAAEBV0@QEAG@Z
        111   6E 0001CC60 ??8WBEMTime@@QEBAHAEBV0@@Z
