Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\shell32.dll

File Type: DLL

  Section contains the following exports for SHELL32.dll

    00000000 characteristics
    6A056922 time date stamp
        0.00 version
           2 ordinal base
        2000 number of functions
         482 number of names

    ordinal hint RVA      name

        325   86 00252170 SHBrowseForFolderA
        326   87 002523A0 SHBrowseForFolderW
        147   88 000C56C0 SHCLSIDFromString
        644   89 000A96E0 SHChangeNotification_Lock
        645   8A 000B0F80 SHChangeNotification_Unlock
        327   8B 0003C8D0 SHChangeNotify
          4   8C 000405F0 SHChangeNotifyDeregister
          2   8D 0003EDE0 SHChangeNotifyRegister
        328   8E 0008BBC0 SHChangeNotifyRegisterThread
        329   8F 00247760 SHChangeNotifySuspendResume
         89   90 000C3FC0 SHCloneSpecialIDList
        102   91 000B0160 SHCoCreateInstance
        330   92 00252F70 SHCoCreateInstanceWorker
        331   93 000A71F0 SHCreateAssociationRegistration
        332   94 00258090 SHCreateCategoryEnum
        333   95 0000E850 SHCreateDataObject
        334   96 00055230 SHCreateDefaultContextMenu
        335   97 000DE240 SHCreateDefaultExtractIcon
        336   98 00247BA0 SHCreateDefaultPropertiesOp
        165   99 0010CB60 SHCreateDirectory
        337   9A 001E95B0 SHCreateDirectoryExA
        338   9B 000C4420 SHCreateDirectoryExW
        339   9C 0025A690 SHCreateDrvExtIcon
        743   9D 001FA770 SHCreateFileExtractIconW
        340   9E 00039560 SHCreateItemFromIDList
        341   9F 000526F0 SHCreateItemFromParsingName
        342   A0 001FA880 SHCreateItemFromRelativeName
        343   A1 00039610 SHCreateItemInKnownFolder
        344   A2 00039BE0 SHCreateItemWithParent
        345   A3 00024E70 SHCreateLocalServerRunDll
        346   A4 001B1AC0 SHCreateProcessAsUserW
        168   A5 00247F80 SHCreatePropSheetExtArray
        347   A6 00268930 SHCreateQueryCancelAutoPlayMoniker
        256   A7 0007F450 SHCreateShellFolderView
        174   A8 00269470 SHCreateShellFolderViewEx
        348   A9 000FBCE0 SHCreateShellItem
        349   AA 00197D00 SHCreateShellItemArray
        350   AB 00197D20 SHCreateShellItemArrayFromDataObject
        351   AC 000C3740 SHCreateShellItemArrayFromIDLists
        352   AD 00023F00 SHCreateShellItemArrayFromShellItem
         74   AE 00189140 SHCreateStdEnumFmtEtc
          3   AF 002303C0 SHDefExtractIconA
          6   B0 0005B280 SHDefExtractIconW
        169   B1 00248160 SHDestroyPropSheetExtArray
         88   B2 0021F370 SHDoDragDrop
        353   B3 000B73C0 SHELL32_AddToBackIconTable
        354   B4 000BBEA0 SHELL32_AddToFrontIconTable
