Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\shell32.dll

File Type: DLL

  Section contains the following exports for SHELL32.dll

    00000000 characteristics
    6A056922 time date stamp
        0.00 version
           2 ordinal base
        2000 number of functions
         482 number of names

    ordinal hint RVA      name

         38               [NONAME] (forwarded to shlwapi.PathStripPathW)
         39               [NONAME] (forwarded to shlwapi.PathIsUNCW)
         40               [NONAME] (forwarded to shlwapi.PathIsRelativeW)
         44      00207F10 [NONAME]
         45      00205860 [NONAME]
         46               [NONAME] (forwarded to shlwapi.PathMatchSpecW)
         48               [NONAME] (forwarded to shlwapi.PathSetDlgItemPathW)
         50               [NONAME] (forwarded to shlwapi.PathStripToRootW)
         52               [NONAME] (forwarded to shlwapi.PathGetArgsW)
         53               [NONAME] (forwarded to SHUNIMPL.#388)
         54      0021FF40 [NONAME]
         55               [NONAME] (forwarded to shlwapi.PathQuoteSpacesW)
         56               [NONAME] (forwarded to shlwapi.PathUnquoteSpacesW)
         57               [NONAME] (forwarded to shlwapi.PathGetDriveNumberW)
         58      001E8B20 [NONAME]
         60      0021FE60 [NONAME]
         61      000ED8F0 [NONAME]
         65      000D9740 [NONAME]
         69      0023DCF0 [NONAME]
         70      001895E0 [NONAME]
         76      0018E160 [NONAME]
         78               [NONAME] (forwarded to SHUNIMPL.#37)
         79               [NONAME] (forwarded to SHUNIMPL.#38)
         82               [NONAME] (forwarded to SHUNIMPL.#39)
         84               [NONAME] (forwarded to SHUNIMPL.#40)
         86               [NONAME] (forwarded to SHUNIMPL.#41)
         87               [NONAME] (forwarded to SHUNIMPL.#42)
         91      001E9C10 [NONAME]
         93               [NONAME] (forwarded to shcore.Win32CreateDirectory)
         94      0018C590 [NONAME]
         95      00034360 [NONAME]
         96               [NONAME] (forwarded to SHUNIMPL.#43)
         97      0010A060 [NONAME]
         99      0004FCA0 [NONAME]
        101               [NONAME] (forwarded to SHUNIMPL.#1)
        104               [NONAME] (forwarded to SHUNIMPL.#2)
        105               [NONAME] (forwarded to SHUNIMPL.#3)
        106               [NONAME] (forwarded to SHUNIMPL.#4)
        107               [NONAME] (forwarded to SHUNIMPL.#5)
        108               [NONAME] (forwarded to SHUNIMPL.#6)
        109               [NONAME] (forwarded to SHUNIMPL.#7)
        110               [NONAME] (forwarded to SHUNIMPL.#8)
        111               [NONAME] (forwarded to SHUNIMPL.#9)
        112               [NONAME] (forwarded to SHUNIMPL.#10)
        113               [NONAME] (forwarded to SHUNIMPL.#11)
        114               [NONAME] (forwarded to SHUNIMPL.#12)
        115               [NONAME] (forwarded to SHUNIMPL.#13)
        116               [NONAME] (forwarded to SHUNIMPL.#14)
        117               [NONAME] (forwarded to SHUNIMPL.#15)
        118               [NONAME] (forwarded to SHUNIMPL.#16)
        120               [NONAME] (forwarded to SHUNIMPL.#17)
        121               [NONAME] (forwarded to SHUNIMPL.#44)
        122               [NONAME] (forwarded to SHUNIMPL.#45)
        123               [NONAME] (forwarded to SHUNIMPL.#46)
        124               [NONAME] (forwarded to SHUNIMPL.#18)
        126               [NONAME] (forwarded to SHUNIMPL.#47)
        127               [NONAME] (forwarded to SHUNIMPL.#371)
        128      00033150 [NONAME]
        130               [NONAME] (forwarded to SHUNIMPL.#48)
        140               [NONAME] (forwarded to SHUNIMPL.#19)
        141               [NONAME] (forwarded to SHUNIMPL.#20)
        142               [NONAME] (forwarded to SHUNIMPL.#21)
        143               [NONAME] (forwarded to SHUNIMPL.#22)
        144               [NONAME] (forwarded to SHUNIMPL.#23)
        145               [NONAME] (forwarded to shlwapi.PathFindOnPathW)
        146               [NONAME] (forwarded to SHUNIMPL.#49)
        148               [NONAME] (forwarded to SHUNIMPL.#50)
        151               [NONAME] (forwarded to SHUNIMPL.#51)
        156      000A6E80 [NONAME]
        158               [NONAME] (forwarded to SHUNIMPL.#389)
        159               [NONAME] (forwarded to shlwapi.PathIsDirectoryW)
        160      0023DE90 [NONAME]
        161               [NONAME] (forwarded to SHUNIMPL.#214)
        163               [NONAME] (forwarded to SHUNIMPL.#52)
        166               [NONAME] (forwarded to SHUNIMPL.#53)
        172      001FA9B0 [NONAME]
        175      000C34C0 [NONAME]
        177               [NONAME] (forwarded to SHUNIMPL.#54)
        181      000C3D70 [NONAME]
        184      0010A060 [NONAME]
        185               [NONAME] (forwarded to SHUNIMPL.#390)
        186      0023CC80 [NONAME]
        187               [NONAME] (forwarded to SHUNIMPL.#235)
        188      000BEE40 [NONAME]
        194      00247F90 [NONAME]
        197               [NONAME] (forwarded to SHUNIMPL.#55)
        198               [NONAME] (forwarded to SHUNIMPL.#56)
        200      000C1230 [NONAME]
        201      0008BB20 [NONAME]
        202               [NONAME] (forwarded to SHUNIMPL.#57)
        203      001E61D0 [NONAME]
        204      001EB140 [NONAME]
        205      001AE380 [NONAME]
        206      000B0AF0 [NONAME]
        209      001E8150 [NONAME]
        210      001E89E0 [NONAME]
        211      000D5210 [NONAME]
        212      001ADFE0 [NONAME]
        213      001AE4C0 [NONAME]
        214      001AE5E0 [NONAME]
        215      0026D3F0 [NONAME]
        216               [NONAME] (forwarded to SHUNIMPL.#24)
        217               [NONAME] (forwarded to SHUNIMPL.#25)
        218               [NONAME] (forwarded to SHUNIMPL.#26)
        219               [NONAME] (forwarded to SHUNIMPL.#27)
        220               [NONAME] (forwarded to SHUNIMPL.#28)
        221               [NONAME] (forwarded to SHUNIMPL.#29)
        222               [NONAME] (forwarded to SHUNIMPL.#30)
        223               [NONAME] (forwarded to SHUNIMPL.#31)
        224               [NONAME] (forwarded to SHUNIMPL.#32)
        225               [NONAME] (forwarded to SHUNIMPL.#33)
        227               [NONAME] (forwarded to SHUNIMPL.#34)
        230               [NONAME] (forwarded to SHUNIMPL.#372)
        233               [NONAME] (forwarded to SHUNIMPL.#58)
        234               [NONAME] (forwarded to SHUNIMPL.#59)
        235               [NONAME] (forwarded to SHUNIMPL.#212)
        236      0023D690 [NONAME]
        237      000C3F20 [NONAME]
        241      000E6B20 [NONAME]
        242               [NONAME] (forwarded to SHUNIMPL.#373)
        243               [NONAME] (forwarded to SHUNIMPL.#374)
        244      00078D10 [NONAME]
        246               [NONAME] (forwarded to SHUNIMPL.#375)
        247               [NONAME] (forwarded to SHUNIMPL.#376)
        248               [NONAME] (forwarded to SHUNIMPL.#377)
        249               [NONAME] (forwarded to shlwapi.PathParseIconLocationW)
        250               [NONAME] (forwarded to shlwapi.PathRemoveExtensionW)
        251               [NONAME] (forwarded to shlwapi.PathRemoveArgsW)
        252               [NONAME] (forwarded to api-ms-win-core-url-l1.PathIsURLW)
        253               [NONAME] (forwarded to SHUNIMPL.#378)
        254      0021FE40 [NONAME]
        257      0010A060 [NONAME]
        258      00108570 [NONAME]
        259      000C3F20 [NONAME]
        260      0020FCD0 [NONAME]
        261      00272400 [NONAME]
        262      00272740 [NONAME]
        264      0020FD00 [NONAME]
        265      00232590 [NONAME]
        266      002327E0 [NONAME]
        270      00271580 [NONAME]
        271      0027C670 [NONAME]
        520               [NONAME] (forwarded to SHUNIMPL.#60)
        521               [NONAME] (forwarded to SHUNIMPL.#61)
        522               [NONAME] (forwarded to SHUNIMPL.#62)
        523               [NONAME] (forwarded to SHUNIMPL.#63)
        525               [NONAME] (forwarded to SHUNIMPL.#234)
        640               [NONAME] (forwarded to SHUNIMPL.#64)
        641               [NONAME] (forwarded to SHUNIMPL.#65)
        643               [NONAME] (forwarded to SHUNIMPL.#66)
        646               [NONAME] (forwarded to SHUNIMPL.#67)
        648               [NONAME] (forwarded to SHUNIMPL.#379)
        650               [NONAME] (forwarded to shlwapi.PathIsSameRootW)
        651      001894E0 [NONAME]
        653               [NONAME] (forwarded to SHUNIMPL.#68)
        660      00077C10 [NONAME]
        681               [NONAME] (forwarded to SHUNIMPL.#428)
        683      000D3410 [NONAME]
        684      000D3410 [NONAME]
        690      002240B0 [NONAME]
        691               [NONAME] (forwarded to SHUNIMPL.#216)
        700               [NONAME] (forwarded to SHUNIMPL.#380)
        702      0006B2E0 [NONAME]
        703               [NONAME] (forwarded to SHLWAPI.#269)
        704               [NONAME] (forwarded to SHLWAPI.#270)
        707               [NONAME] (forwarded to SHUNIMPL.#69)
        708               [NONAME] (forwarded to SHUNIMPL.#70)
        711      001E64A0 [NONAME]
        712               [NONAME] (forwarded to SHUNIMPL.#71)
        713      00205E70 [NONAME]
        714      00105580 [NONAME]
        715               [NONAME] (forwarded to SHUNIMPL.#191)
        719               [NONAME] (forwarded to SHUNIMPL.#478)
        720               [NONAME] (forwarded to SHUNIMPL.#72)
        721               [NONAME] (forwarded to SHUNIMPL.#73)
        722               [NONAME] (forwarded to SHUNIMPL.#236)
        723      000BBAE0 [NONAME]
        724               [NONAME] (forwarded to SHUNIMPL.#381)
        725               [NONAME] (forwarded to SHUNIMPL.#74)
        726               [NONAME] (forwarded to SHUNIMPL.#75)
        731               [NONAME] (forwarded to SHUNIMPL.#479)
        732               [NONAME] (forwarded to SHUNIMPL.#480)
        733      000C21A0 [NONAME]
        740      0025CA20 [NONAME]
        744      0021A5C0 [NONAME]
        745               [NONAME] (forwarded to SHUNIMPL.#382)
        748      00279020 [NONAME]
        749               [NONAME] (forwarded to SHUNIMPL.#76)
        751      001EAC10 [NONAME]
        752      0023DAB0 [NONAME]
        753      000C4B90 [NONAME]
        754      002792E0 [NONAME]
        755      001E8DC0 [NONAME]
        756               [NONAME] (forwarded to SHUNIMPL.#77)
        757      001003C0 [NONAME]
        758      00016B90 [NONAME]
        759      00016AE0 [NONAME]
        760      00197CE0 [NONAME]
        761      00247720 [NONAME]
        762               [NONAME] (forwarded to SHUNIMPL.#383)
        763      0021A5F0 [NONAME]
        764      0004A860 [NONAME]
        765      0024DB50 [NONAME]
        766               [NONAME] (forwarded to SHUNIMPL.#385)
        767      000D24F0 [NONAME]
        777      0001ECF0 [NONAME]
        778      000E6D30 [NONAME]
        779      001E8490 [NONAME]
        781      00249CF0 [NONAME]
        782      00235A80 [NONAME]
        786               [NONAME] (forwarded to SHUNIMPL.#237)
        787      00074070 [NONAME]
        788      00268CF0 [NONAME]
        789      00268D90 [NONAME]
        790      00025030 [NONAME]
        791      00268CA0 [NONAME]
        792      000741D0 [NONAME]
        810      00272430 [NONAME]
        811      00272230 [NONAME]
        812      004DB830 [NONAME]
        813      004DB8D0 [NONAME]
        814      00194E50 [NONAME]
        815      00194DD0 [NONAME]
        816      001D0D00 [NONAME]
        817      001D4180 [NONAME]
        818      00194E40 [NONAME]
        819      00194FC0 [NONAME]
        820               [NONAME] (forwarded to SHUNIMPL.#249)
        821               [NONAME] (forwarded to SHUNIMPL.#250)
        822               [NONAME] (forwarded to SHUNIMPL.#251)
        823      000BFF70 [NONAME]
        824      00082A20 [NONAME]
        825      001BE2D0 [NONAME]
        826               [NONAME] (forwarded to SHUNIMPL.#252)
        827               [NONAME] (forwarded to SHUNIMPL.#253)
        828      001FF6F0 [NONAME]
        829      001FFC30 [NONAME]
        830      001CFFE0 [NONAME]
        831      001E95D0 [NONAME]
        832               [NONAME] (forwarded to SHUNIMPL.#387)
        833      002240D0 [NONAME]
        834               [NONAME] (forwarded to SHUNIMPL.#254)
        835               [NONAME] (forwarded to SHUNIMPL.#255)
        836               [NONAME] (forwarded to SHUNIMPL.#256)
        837               [NONAME] (forwarded to SHUNIMPL.#257)
        838               [NONAME] (forwarded to SHUNIMPL.#258)
        839               [NONAME] (forwarded to SHUNIMPL.#259)
        840      0023D8A0 [NONAME]
        841               [NONAME] (forwarded to SHUNIMPL.#424)
        842               [NONAME] (forwarded to SHUNIMPL.#425)
        843               [NONAME] (forwarded to SHUNIMPL.#386)
        844      002232C0 [NONAME]
        845      001935E0 [NONAME]
        847      00194CB0 [NONAME]
        848      0024DBA0 [NONAME]
        849      00194E10 [NONAME]
        850      000A6280 [NONAME]
        851      001DC4D0 [NONAME]
        852               [NONAME] (forwarded to SHUNIMPL.#391)
        853      00036110 [NONAME]
        854               [NONAME] (forwarded to SHUNIMPL.#260)
        856               [NONAME] (forwarded to SHUNIMPL.#423)
        857               [NONAME] (forwarded to SHUNIMPL.#426)
        858               [NONAME] (forwarded to SHUNIMPL.#392)
        859      00290C10 [NONAME]
        860      000179A0 [NONAME]
        861               [NONAME] (forwarded to SHUNIMPL.#261)
        862      0023CF90 [NONAME]
        863               [NONAME] (forwarded to SHUNIMPL.#262)
        864      00237080 [NONAME]
        865      001E8540 [NONAME]
        866      000C4360 [NONAME]
        867               [NONAME] (forwarded to SHUNIMPL.#263)
        868               [NONAME] (forwarded to SHUNIMPL.#264)
        869               [NONAME] (forwarded to SHUNIMPL.#384)
        870      000C4190 [NONAME]
        871      00198480 [NONAME]
        872               [NONAME] (forwarded to SHUNIMPL.#265)
        873      00074110 [NONAME]
        874      000FAAB0 [NONAME]
        875      000FAA30 [NONAME]
        876      0022F780 [NONAME]
        877      0022FB80 [NONAME]
        878      0022FA10 [NONAME]
        880      001E6A90 [NONAME]
        881      0026E8C0 [NONAME]
        882      0026EA20 [NONAME]
        883      004D9CE0 [NONAME]
        884      0021F530 [NONAME]
        885      00084FD0 [NONAME]
        886      001EA720 [NONAME]
        887      00253000 [NONAME]
        888      00279360 [NONAME]
        889               [NONAME] (forwarded to SHUNIMPL.#474)
        890               [NONAME] (forwarded to SHUNIMPL.#475)
        891      00240D40 [NONAME]
        892               [NONAME] (forwarded to SHUNIMPL.#476)
        893      00089220 [NONAME]
        894      00197C80 [NONAME]
        895      000AE840 [NONAME]
        896      00197B80 [NONAME]
        897      0027F3F0 [NONAME]
        898      001FA9E0 [NONAME]
        899      000C4E60 [NONAME]
        900      000BB980 [NONAME]
        901      0047ECB0 [NONAME]
        902               [NONAME] (forwarded to SHUNIMPL.#473)
        903      00109670 [NONAME]
        904      002241D0 [NONAME]
        905      00223FF0 [NONAME]
        906      000C4E10 [NONAME]
        907      00236B10 [NONAME]
        909               [NONAME] (forwarded to SHUNIMPL.#477)
        910      0020E9C0 [NONAME]
        911      001DB2C0 [NONAME]
        912      00218C70 [NONAME]
        913      002194F0 [NONAME]
        914      00197B40 [NONAME]
        915      000ABEF0 [NONAME]
        916      0001FA90 [NONAME]
        922      0027C3B0 [NONAME]
        923      00024FC0 [NONAME]
        924      00024A60 [NONAME]
        926      0024D9F0 [NONAME]
        927      0025A390 [NONAME]
        928      0026CB50 [NONAME]
        930      000FB6B0 [NONAME]
        932      00197E00 [NONAME]
        933      00197DA0 [NONAME]
        938      00247650 [NONAME]
        939      000585D0 [NONAME]
        940      00197CC0 [NONAME]
        943      00486B50 [NONAME]
        944      0027A990 [NONAME]
        945      00244C60 [NONAME]
        946      001FAEB0 [NONAME]
        970      001E8F50 [NONAME]
        971      001FA0D0 [NONAME]
        972      002100D0 [NONAME]
       2000      00244F50 [NONAME]
       2001      0028CE10 [NONAME]

  Summary

        9000 .data
        3000 .didat
       45000 .pdata
      118000 .rdata
       14000 .reloc
      E1D000 .rsrc
      555000 .text
