Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\uxlib.dll

File Type: DLL

  Section contains the following exports for UXLIB.DLL

    00000000 characteristics
    2B8FF314 time date stamp
        0.00 version
           1 ordinal base
         414 number of functions
         414 number of names

    ordinal hint RVA      name

         43   2A 00008F00 ??0CLayeredDriver@@QEAA@V?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@0@Z
         44   2B 00001800 ??0CLayeredDrivers@@QEAA@AEBV0@@Z
         45   2C 0000A7B0 ??0CLayeredDrivers@@QEAA@XZ
         46   2D 0000B260 ??0CLoadDriver@@AEAA@XZ
         47   2E 00001B10 ??0CLoadDriver@@QEAA@AEBV0@@Z
         48   2F 000015A0 ??0CLocale@@QEAA@AEBV0@@Z
         49   30 00008F00 ??0CLocale@@QEAA@V?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@0@Z
         50   31 00001630 ??0CLocales@@QEAA@AEBV0@@Z
         51   32 00009040 ??0CLocales@@QEAA@XZ
         52   33 0000D8B0 ??0COSK@@QEAA@XZ
         53   34 00001A90 ??0CProductKeyModule@@QEAA@AEBV0@@Z
         54   35 0000E290 ??0CProductKeyModule@@QEAA@XZ
         55   36 00001CC0 ??0IImageData@@QEAA@$$QEAV0@@Z
         56   37 00001CC0 ??0IImageData@@QEAA@AEBV0@@Z
         57   38 00001CC0 ??0IImageData@@QEAA@XZ
         58   39 00001A60 ??0IProductKeyModule@@QEAA@$$QEAV0@@Z
         59   3A 00001A60 ??0IProductKeyModule@@QEAA@AEBV0@@Z
         60   3B 00001A60 ??0IProductKeyModule@@QEAA@XZ
         61   3C 0000DAE0 ??0MyUtilString@@QEAA@XZ
         62   3D 00001920 ??0PIDUtilStringView@@QEAA@AEBV0@@Z
         63   3E 0000DCD0 ??0PIDUtilStringView@@QEAA@XZ
         64   3F 000025A0 ??1?$CSimpleArray@PEAU_BLOCKED_REASON@@V?$CSimpleArrayEqualHelper@PEAU_BLOCKED_REASON@@@ATL@@@ATL@@QEAA@XZ
         65   40 000025A0 ??1?$CSimpleArray@PEAVCLocale@@V?$CSimpleArrayEqualHelper@PEAVCLocale@@@ATL@@@ATL@@QEAA@XZ
         66   41 00006C90 ??1?$CSimpleArray@VCDriverItem@@V?$CSimpleArrayEqualHelper@VCDriverItem@@@ATL@@@ATL@@QEAA@XZ
         67   42 00006CA0 ??1?$CSimpleArray@VCLanguageItem@@V?$CSimpleArrayEqualHelper@VCLanguageItem@@@ATL@@@ATL@@QEAA@XZ
         68   43 00004F20 ??1?$CSimpleStringT@G$0A@@ATL@@QEAA@XZ
         69   44 00004F20 ??1?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAA@XZ
         70   45 0000D210 ??1CImageData@@EEAA@XZ
         71   46 0000BDA0 ??1CInternationalUtils@@QEAA@XZ
         72   47 00008FE0 ??1CKeyboardLayout@@QEAA@XZ
         73   48 00009BB0 ??1CKeyboardLayouts@@QEAA@XZ
         74   49 00006E50 ??1CLanguage@@QEAA@XZ
         75   4A 00007040 ??1CLanguages@@QEAA@XZ
         76   4B 00008FE0 ??1CLayeredDriver@@QEAA@XZ
         77   4C 0000A8C0 ??1CLayeredDrivers@@QEAA@XZ
         78   4D 0000B2B0 ??1CLoadDriver@@EEAA@XZ
         79   4E 00008FE0 ??1CLocale@@QEAA@XZ
         80   4F 000090E0 ??1CLocales@@QEAA@XZ
         81   50 0000D8C0 ??1COSK@@QEAA@XZ
         82   51 0000DD40 ??1PIDUtilStringView@@UEAA@XZ
         83   52 00002750 ??4?$CSimpleArray@PEAU_BLOCKED_REASON@@V?$CSimpleArrayEqualHelper@PEAU_BLOCKED_REASON@@@ATL@@@ATL@@QEAAAEAV01@AEBV01@@Z
         84   53 00002750 ??4?$CSimpleArray@PEAVCLocale@@V?$CSimpleArrayEqualHelper@PEAVCLocale@@@ATL@@@ATL@@QEAAAEAV01@AEBV01@@Z
         85   54 00002D60 ??4?$CSimpleArray@VCDriverItem@@V?$CSimpleArrayEqualHelper@VCDriverItem@@@ATL@@@ATL@@QEAAAEAV01@AEBV01@@Z
         86   55 00002380 ??4?$CSimpleArray@VCLanguageItem@@V?$CSimpleArrayEqualHelper@VCLanguageItem@@@ATL@@@ATL@@QEAAAEAV01@AEBV01@@Z
         87   56 00006470 ??4?$CSimpleStringT@G$0A@@ATL@@QEAAAEAV01@AEBV01@@Z
         88   57 00006470 ??4?$CSimpleStringT@G$0A@@ATL@@QEAAAEAV01@AEBV?$CSimpleStringT@G$00@1@@Z
         89   58 00004EC0 ??4?$CSimpleStringT@G$0A@@ATL@@QEAAAEAV01@PEBG@Z
         90   59 00006840 ??4?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAAEAV01@AEBUtagVARIANT@@@Z
         91   5A 00004F00 ??4?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAAEAV01@AEBV01@@Z
         92   5B 00004DA0 ??4?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAAEAV01@D@Z
         93   5C 00004D50 ??4?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAAEAV01@G@Z
         94   5D 00004DE0 ??4?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAAEAV01@PEBD@Z
         95   5E 00004DD0 ??4?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAAEAV01@PEBE@Z
         96   5F 00004EC0 ??4?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAAEAV01@PEBG@Z
         97   60 00001D90 ??4CImageData@@QEAAAEAV0@AEBV0@@Z
         98   61 00001A80 ??4CInternationalUtils@@QEAAAEAV0@AEBV0@@Z
         99   62 000015F0 ??4CKeyboardLayout@@QEAAAEAV0@AEBV0@@Z
        100   63 00001780 ??4CKeyboardLayouts@@QEAAAEAV0@AEBV0@@Z
        101   64 00001470 ??4CLanguage@@QEAAAEAV0@AEBV0@@Z
        102   65 00001540 ??4CLanguages@@QEAAAEAV0@AEBV0@@Z
        103   66 000015F0 ??4CLayeredDriver@@QEAAAEAV0@AEBV0@@Z
        104   67 00001860 ??4CLayeredDrivers@@QEAAAEAV0@AEBV0@@Z
        105   68 00001BA0 ??4CLoadDriver@@QEAAAEAV0@AEBV0@@Z
        106   69 000015F0 ??4CLocale@@QEAAAEAV0@AEBV0@@Z
        107   6A 00001690 ??4CLocales@@QEAAAEAV0@AEBV0@@Z
        108   6B 00001A50 ??4COSK@@QEAAAEAV0@AEBV0@@Z
        109   6C 00001AD0 ??4CProductKeyModule@@QEAAAEAV0@AEBV0@@Z
        110   6D 00001A80 ??4IImageData@@QEAAAEAV0@$$QEAV0@@Z
        111   6E 00001A80 ??4IImageData@@QEAAAEAV0@AEBV0@@Z
        112   6F 00001A80 ??4IProductKeyModule@@QEAAAEAV0@$$QEAV0@@Z
        113   70 00001A80 ??4IProductKeyModule@@QEAAAEAV0@AEBV0@@Z
        114   71 000018E0 ??4MyUtilString@@QEAAAEAV0@$$QEAV0@@Z
        115   72 000018B0 ??4MyUtilString@@QEAAAEAV0@AEBV0@@Z
        116   73 00001970 ??4PIDUtilStringView@@QEAAAEAV0@AEBV0@@Z
        117   74 00002570 ??A?$CSimpleArray@PEAU_BLOCKED_REASON@@V?$CSimpleArrayEqualHelper@PEAU_BLOCKED_REASON@@@ATL@@@ATL@@QEAAAEAPEAU_BLOCKED_REASON@@H@Z
        118   75 00002570 ??A?$CSimpleArray@PEAU_BLOCKED_REASON@@V?$CSimpleArrayEqualHelper@PEAU_BLOCKED_REASON@@@ATL@@@ATL@@QEBAAEBQEAU_BLOCKED_REASON@@H@Z
        119   76 00002570 ??A?$CSimpleArray@PEAVCLocale@@V?$CSimpleArrayEqualHelper@PEAVCLocale@@@ATL@@@ATL@@QEAAAEAPEAVCLocale@@H@Z
        120   77 00002570 ??A?$CSimpleArray@PEAVCLocale@@V?$CSimpleArrayEqualHelper@PEAVCLocale@@@ATL@@@ATL@@QEBAAEBQEAVCLocale@@H@Z
