Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\uxlib.dll

File Type: DLL

  Section contains the following exports for UXLIB.DLL

    00000000 characteristics
    2B8FF314 time date stamp
        0.00 version
           1 ordinal base
         414 number of functions
         414 number of names

    ordinal hint RVA      name

        208   CF 00006130 ?GetAllocLength@?$CSimpleStringT@G$0A@@ATL@@QEBAHXZ
        209   D0 00006100 ?GetAt@?$CSimpleStringT@G$0A@@ATL@@QEBAGH@Z
        210   D1 000059B0 ?GetBuffer@?$CSimpleStringT@G$0A@@ATL@@QEAAPEAGH@Z
        211   D2 000060D0 ?GetBuffer@?$CSimpleStringT@G$0A@@ATL@@QEAAPEAGXZ
        212   D3 00006060 ?GetBufferSetLength@?$CSimpleStringT@G$0A@@ATL@@QEAAPEAGH@Z
        213   D4 0000D720 ?GetColumnDataAtIndex@CImageData@@UEAAPEAGI@Z
        214   D5 0000D710 ?GetCount@CImageData@@UEAAIXZ
        215   D6 0000B9F0 ?GetCount@CLoadDriver@@UEAAIXZ
        216   D7 00002070 ?GetData@?$CSimpleArray@PEAU_BLOCKED_REASON@@V?$CSimpleArrayEqualHelper@PEAU_BLOCKED_REASON@@@ATL@@@ATL@@QEBAPEAPEAU_BLOCKED_REASON@@XZ
        217   D8 00002070 ?GetData@?$CSimpleArray@PEAVCLocale@@V?$CSimpleArrayEqualHelper@PEAVCLocale@@@ATL@@@ATL@@QEBAPEAPEAVCLocale@@XZ
        218   D9 00002070 ?GetData@?$CSimpleArray@VCDriverItem@@V?$CSimpleArrayEqualHelper@VCDriverItem@@@ATL@@@ATL@@QEBAPEAVCDriverItem@@XZ
        219   DA 00002070 ?GetData@?$CSimpleArray@VCLanguageItem@@V?$CSimpleArrayEqualHelper@VCLanguageItem@@@ATL@@@ATL@@QEBAPEAVCLanguageItem@@XZ
        220   DB 000059F0 ?GetData@?$CSimpleStringT@G$0A@@ATL@@AEBAPEAUCStringData@2@XZ
        221   DC 0000BA00 ?GetDefault@CLoadDriver@@UEAAHXZ
        222   DD 00007230 ?GetDefaultFallbackLanguage@CLanguages@@UEAA?AVCLanguage@@XZ
        223   DE 0000D3B0 ?GetDefaultLanguage@CImageData@@UEAAPEAGXZ
        224   DF 00009D20 ?GetDefaultLayout@CKeyboardLayouts@@QEAA?AVCKeyboardLayout@@XZ
        225   E0 0000D310 ?GetDescription@CImageData@@UEAAPEAGXZ
        226   E1 0000B890 ?GetDriverListAsync@CLoadDriver@@UEAAHV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@HP6AXPEAXH@Z1@Z
        227   E2 0000D750 ?GetEditionName@CImageData@@UEAAPEAGXZ
        228   E3 000031E0 ?GetEnvironmentVariableW@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAHPEBG@Z
        229   E4 00009D10 ?GetFoundationFlag@CImageData@@UEAAHXZ
        230   E5 0000BD70 ?GetHardwareFilter@CLoadDriver@@UEAAHXZ
        231   E6 00006F40 ?GetID@CLayeredDriver@@QEAA?AV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@XZ
        232   E7 0000D450 ?GetImageIdentifier@CImageData@@UEAAPEAGXZ
        233   E8 0000D090 ?GetInstance@CImageData@@SAPEAVIImageData@@XZ
        234   E9 0000B1B0 ?GetInstance@CLoadDriver@@SAPEAVILoadDriver@@XZ
        235   EA 0000BFD0 ?GetKeyboard@CInternationalUtils@@SA?AV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@XZ
        236   EB 0000BE70 ?GetLanguage@CInternationalUtils@@SA?AV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@XZ
        237   EC 00007E20 ?GetLanguage@CLanguages@@UEAA?AVCLanguage@@H@Z
        238   ED 00007210 ?GetLanguageCount@CLanguages@@UEAAHXZ
        239   EE 000074F0 ?GetLanguageFromLocalizedName@CLanguages@@UEAA?AVCLanguage@@V?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@@Z
        240   EF 00007800 ?GetLanguageFromNativeDisplayName@CLanguages@@UEAA?AVCLanguage@@V?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@@Z
        241   F0 00007B10 ?GetLanguageFromNativeName@CLanguages@@UEAA?AVCLanguage@@V?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@@Z
        242   F1 00007220 ?GetLanguageNativeDisplayNameCount@CLanguages@@QEAAHXZ
        243   F2 0000AD30 ?GetLayeredDriver@CLayeredDrivers@@UEAA?AVCLayeredDriver@@H@Z
        244   F3 0000AB40 ?GetLayeredDriver@CLayeredDrivers@@UEAA?AVCLayeredDriver@@V?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@@Z
        245   F4 0000A9E0 ?GetLayeredDriverCount@CLayeredDrivers@@UEAAHXZ
        246   F5 0000A040 ?GetLayout@CKeyboardLayouts@@UEAA?AVCKeyboardLayout@@H@Z
        247   F6 00009E50 ?GetLayout@CKeyboardLayouts@@UEAA?AVCKeyboardLayout@@V?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@@Z
        248   F7 00009D10 ?GetLayoutCount@CKeyboardLayouts@@UEAAHXZ
        249   F8 00006F10 ?GetLayoutID@CKeyboardLayout@@QEAA?AV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@XZ
        250   F9 00006F40 ?GetLayoutName@CKeyboardLayout@@QEAA?AV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@XZ
        251   FA 00006050 ?GetLength@?$CSimpleStringT@G$0A@@ATL@@QEBAHXZ
        252   FB 0000BF20 ?GetLocale@CInternationalUtils@@SA?AV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@XZ
        253   FC 000095D0 ?GetLocale@CLocales@@UEAA?AVCLocale@@H@Z
        254   FD 00009390 ?GetLocale@CLocales@@UEAA?AVCLocale@@V?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@@Z
        255   FE 00007210 ?GetLocaleCount@CLocales@@UEAAHXZ
        256   FF 00006F40 ?GetLocaleName@CLocale@@QEAA?AV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@XZ
        257  100 00006FA0 ?GetLocalizedName@CLanguage@@QEAA?AV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@XZ
        258  101 00006020 ?GetManager@?$CSimpleStringT@G$0A@@ATL@@QEBAPEAUIAtlStringMgr@2@XZ
        259  102 00004B50 ?GetManager@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEBAPEAUIAtlStringMgr@2@XZ
        260  103 00006F10 ?GetName@CLayeredDriver@@QEAA?AV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@XZ
        261  104 00006F70 ?GetNativeDisplayName@CLanguage@@QEAA?AV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@XZ
        262  105 00006F40 ?GetNativeName@CLanguage@@QEAA?AV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@XZ
        263  106 0000DD70 ?GetPidStr@PIDUtilStringView@@QEAAPEBGXZ
        264  107 0000ED70 ?GetShowFlag@CProductKeyModule@@UEAAHXZ
        265  108 0000B340 ?GetShowFlagEarlyF6@CLoadDriver@@UEAAHXZ
        266  109 0000BE10 ?GetShowLangKeyboard@CInternationalUtils@@SAHXZ
        267  10A 0000BDB0 ?GetShowLangNeutral@CInternationalUtils@@SAHXZ
        268  10B 00002370 ?GetSize@?$CSimpleArray@PEAU_BLOCKED_REASON@@V?$CSimpleArrayEqualHelper@PEAU_BLOCKED_REASON@@@ATL@@@ATL@@QEBAHXZ
        269  10C 00002370 ?GetSize@?$CSimpleArray@PEAVCLocale@@V?$CSimpleArrayEqualHelper@PEAVCLocale@@@ATL@@@ATL@@QEBAHXZ
        270  10D 00002370 ?GetSize@?$CSimpleArray@VCDriverItem@@V?$CSimpleArrayEqualHelper@VCDriverItem@@@ATL@@@ATL@@QEBAHXZ
        271  10E 00002370 ?GetSize@?$CSimpleArray@VCLanguageItem@@V?$CSimpleArrayEqualHelper@VCLanguageItem@@@ATL@@@ATL@@QEBAHXZ
        272  10F 00002070 ?GetString@?$CSimpleStringT@G$0A@@ATL@@QEBAPEBGXZ
        273  110 00001A80 ?GetString@MyUtilString@@QEAAPEBGXZ
        274  111 0000D1C0 ?Initialize@CImageData@@UEAAHPEAX@Z
        275  112 00009C30 ?Initialize@CKeyboardLayouts@@UEAAHV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@0@Z
        276  113 000070E0 ?Initialize@CLanguages@@UEAAHXZ
        277  114 0000A930 ?Initialize@CLayeredDrivers@@UEAAHV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@0@Z
        278  115 0000B2F0 ?Initialize@CLoadDriver@@UEAAHPEAX@Z
        279  116 000091B0 ?Initialize@CLocales@@UEAAHV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@@Z
        280  117 0000E2D0 ?Initialize@CProductKeyModule@@UEAAHPEAX@Z
        281  118 000048B0 ?Insert@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAHHG@Z
        282  119 00004750 ?Insert@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAHHPEBG@Z
        283  11A 0000DB10 ?InsertChar@MyUtilString@@QEAAHHG@Z
        284  11B 0000DB50 ?InsertString@MyUtilString@@QEAAHHPEBG@Z
        285  11C 0000DE50 ?InsertString@PIDUtilStringView@@QEAAHHPEBG@Z
        286  11D 0000BBA0 ?InstallDriver@CLoadDriver@@UEAAHJP6AXPEAXH@Z0@Z
        287  11E 000024F0 ?InternalSetAtIndex@?$CSimpleArray@PEAU_BLOCKED_REASON@@V?$CSimpleArrayEqualHelper@PEAU_BLOCKED_REASON@@@ATL@@@ATL@@QEAAXHAEBQEAU_BLOCKED_REASON@@@Z
        288  11F 000024F0 ?InternalSetAtIndex@?$CSimpleArray@PEAVCLocale@@V?$CSimpleArrayEqualHelper@PEAVCLocale@@@ATL@@@ATL@@QEAAXHAEBQEAVCLocale@@@Z
        289  120 000028B0 ?InternalSetAtIndex@?$CSimpleArray@VCDriverItem@@V?$CSimpleArrayEqualHelper@VCDriverItem@@@ATL@@@ATL@@QEAAXHAEBVCDriverItem@@@Z
        290  121 00001EF0 ?InternalSetAtIndex@?$CSimpleArray@VCLanguageItem@@V?$CSimpleArrayEqualHelper@VCLanguageItem@@@ATL@@@ATL@@QEAAXHAEBVCLanguageItem@@@Z
        291  122 0000EA20 ?IsDigitalMarkerKeyValid@CProductKeyModule@@AEAAHXZ
        292  123 00006000 ?IsEmpty@?$CSimpleStringT@G$0A@@ATL@@QEBA_NXZ
        293  124 0000C7C0 ?IsLanguageEnabled@CInternationalUtils@@SAHV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@0@Z
        294  125 0000E360 ?IsVolumeLicensingKeyValid@CProductKeyModule@@AEAAHXZ
        295  126 000035E0 ?Left@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEBA?AV12@H@Z
        296  127 00003120 ?LoadStringW@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAHI@Z
        297  128 00003000 ?LoadStringW@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAHPEAUHINSTANCE__@@I@Z
        298  129 00002EE0 ?LoadStringW@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAHPEAUHINSTANCE__@@IG@Z
        299  12A 00005FB0 ?LockBuffer@?$CSimpleStringT@G$0A@@ATL@@QEAAPEAGXZ
        300  12B 00003F10 ?MakeLower@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAAEAV12@XZ
        301  12C 00003EA0 ?MakeReverse@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAAEAV12@XZ
        302  12D 00003F90 ?MakeUpper@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAAEAV12@XZ
        303  12E 00003850 ?Mid@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEBA?AV12@H@Z
        304  12F 00003740 ?Mid@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEBA?AV12@HH@Z
        305  130 00003880 ?OemToCharA@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAXXZ
        306  131 0000EEB0 ?OnCallback@CProductKeyModule@@UEAA_KPEBUWDS_DATA@@@Z
        307  132 0000B380 ?PopulateDriverList@CLoadDriver@@AEAAHXZ
        308  133 0000D4F0 ?PopulateImageData@CImageData@@UEAAHPEBGPEAGHPEAUHINSTANCE__@@@Z
        309  134 00005F60 ?Preallocate@?$CSimpleStringT@G$0A@@ATL@@QEAAXH@Z
        310  135 00005940 ?PrepareWrite2@?$CSimpleStringT@G$0A@@ATL@@AEAAXH@Z
        311  136 000059B0 ?PrepareWrite@?$CSimpleStringT@G$0A@@ATL@@AEAAPEAGH@Z
        312  137 0000C770 ?PublishLanguageGatherEvent@CInternationalUtils@@SAJPEAX@Z
        313  138 000058E0 ?Reallocate@?$CSimpleStringT@G$0A@@ATL@@AEAAXH@Z
        314  139 00005F00 ?ReleaseBuffer@?$CSimpleStringT@G$0A@@ATL@@QEAAXH@Z
        315  13A 000058A0 ?ReleaseBufferSetLength@?$CSimpleStringT@G$0A@@ATL@@QEAAXH@Z
        316  13B 00002670 ?Remove@?$CSimpleArray@PEAU_BLOCKED_REASON@@V?$CSimpleArrayEqualHelper@PEAU_BLOCKED_REASON@@@ATL@@@ATL@@QEAAHAEBQEAU_BLOCKED_REASON@@@Z
        317  13C 00002670 ?Remove@?$CSimpleArray@PEAVCLocale@@V?$CSimpleArrayEqualHelper@PEAVCLocale@@@ATL@@@ATL@@QEAAHAEBQEAVCLocale@@@Z
        318  13D 00002C60 ?Remove@?$CSimpleArray@VCDriverItem@@V?$CSimpleArrayEqualHelper@VCDriverItem@@@ATL@@@ATL@@QEAAHAEBVCDriverItem@@@Z
        319  13E 00002280 ?Remove@?$CSimpleArray@VCLanguageItem@@V?$CSimpleArrayEqualHelper@VCLanguageItem@@@ATL@@@ATL@@QEAAHAEBVCLanguageItem@@@Z
        320  13F 000042A0 ?Remove@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAHG@Z
        321  140 000025A0 ?RemoveAll@?$CSimpleArray@PEAU_BLOCKED_REASON@@V?$CSimpleArrayEqualHelper@PEAU_BLOCKED_REASON@@@ATL@@@ATL@@QEAAXXZ
        322  141 000025A0 ?RemoveAll@?$CSimpleArray@PEAVCLocale@@V?$CSimpleArrayEqualHelper@PEAVCLocale@@@ATL@@@ATL@@QEAAXXZ
        323  142 00002A80 ?RemoveAll@?$CSimpleArray@VCDriverItem@@V?$CSimpleArrayEqualHelper@VCDriverItem@@@ATL@@@ATL@@QEAAXXZ
        324  143 000020B0 ?RemoveAll@?$CSimpleArray@VCLanguageItem@@V?$CSimpleArrayEqualHelper@VCLanguageItem@@@ATL@@@ATL@@QEAAXXZ
        325  144 000025D0 ?RemoveAt@?$CSimpleArray@PEAU_BLOCKED_REASON@@V?$CSimpleArrayEqualHelper@PEAU_BLOCKED_REASON@@@ATL@@@ATL@@QEAAHH@Z
        326  145 000025D0 ?RemoveAt@?$CSimpleArray@PEAVCLocale@@V?$CSimpleArrayEqualHelper@PEAVCLocale@@@ATL@@@ATL@@QEAAHH@Z
        327  146 00002B40 ?RemoveAt@?$CSimpleArray@VCDriverItem@@V?$CSimpleArrayEqualHelper@VCDriverItem@@@ATL@@@ATL@@QEAAHH@Z
        328  147 00002170 ?RemoveAt@?$CSimpleArray@VCLanguageItem@@V?$CSimpleArrayEqualHelper@VCLanguageItem@@@ATL@@@ATL@@QEAAHH@Z
        329  148 0000DB40 ?RemoveChar@MyUtilString@@QEAAHH@Z
        330  149 0000DC10 ?RemoveString@MyUtilString@@QEAAHHH@Z
        331  14A 0000DFE0 ?RemoveString@PIDUtilStringView@@QEAAHHHH@Z
        332  14B 00004670 ?Replace@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAHGG@Z
        333  14C 00004380 ?Replace@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAHPEBG0@Z
        334  14D 0000E0A0 ?ReplaceString@PIDUtilStringView@@QEAAHHHPEBG@Z
        335  14E 00004010 ?ReverseFind@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEBAHG@Z
        336  14F 00003680 ?Right@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEBA?AV12@H@Z
        337  150 0000EE40 ?SetActivation@CProductKeyModule@@UEAAHK@Z
        338  151 00005E00 ?SetAt@?$CSimpleStringT@G$0A@@ATL@@QEAAXHG@Z
        339  152 00002510 ?SetAtIndex@?$CSimpleArray@PEAU_BLOCKED_REASON@@V?$CSimpleArrayEqualHelper@PEAU_BLOCKED_REASON@@@ATL@@@ATL@@QEAAHHAEBQEAU_BLOCKED_REASON@@@Z
        340  153 00002510 ?SetAtIndex@?$CSimpleArray@PEAVCLocale@@V?$CSimpleArrayEqualHelper@PEAVCLocale@@@ATL@@@ATL@@QEAAHHAEBQEAVCLocale@@@Z
        341  154 00002910 ?SetAtIndex@?$CSimpleArray@VCDriverItem@@V?$CSimpleArrayEqualHelper@VCDriverItem@@@ATL@@@ATL@@QEAAHHAEBVCDriverItem@@@Z
        342  155 00001F50 ?SetAtIndex@?$CSimpleArray@VCLanguageItem@@V?$CSimpleArrayEqualHelper@VCLanguageItem@@@ATL@@@ATL@@QEAAHHAEBVCLanguageItem@@@Z
        343  156 0000D730 ?SetEditionName@CImageData@@UEAAXPEAG@Z
        344  157 0000D760 ?SetFoundationFlag@CImageData@@UEAAXH@Z
        345  158 0000BD80 ?SetHardwareFilter@CLoadDriver@@UEAAHH@Z
        346  159 0000C640 ?SetHideOOBELang@CInternationalUtils@@SAHV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@@Z
        347  15A 0000D110 ?SetInstance@CImageData@@SAXPEAVIImageData@@@Z
        348  15B 0000B250 ?SetInstance@CLoadDriver@@SAXPEAVILoadDriver@@@Z
        349  15C 000058A0 ?SetLength@?$CSimpleStringT@G$0A@@ATL@@AEAAXH@Z
        350  15D 0000AA30 ?SetLocale@CLayeredDrivers@@UEAAHV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@@Z
        351  15E 00005DA0 ?SetManager@?$CSimpleStringT@G$0A@@ATL@@QEAAXPEAUIAtlStringMgr@2@@Z
        352  15F 0000EF10 ?SetProductKey@CProductKeyModule@@AEAAXV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@@Z
        353  160 00005D70 ?SetString@?$CSimpleStringT@G$0A@@ATL@@QEAAXPEBG@Z
        354  161 00005C90 ?SetString@?$CSimpleStringT@G$0A@@ATL@@QEAAXPEBGH@Z
        355  162 000032B0 ?SetSysString@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEBAPEAGPEAPEAG@Z
        356  163 0000C420 ?SetTargetKeyboard@CInternationalUtils@@SAHV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@@Z
        357  164 0000C180 ?SetTargetLanguage@CInternationalUtils@@SAHV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@@Z
        358  165 0000C520 ?SetTargetLayeredDriver@CInternationalUtils@@SAHV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@@Z
        359  166 0000C320 ?SetTargetLocale@CInternationalUtils@@SAHV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@@Z
        360  167 0000C080 ?SetUILanguage@CInternationalUtils@@SAHV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@@Z
        361  168 00009D80 ?SetUILanguage@CKeyboardLayouts@@UEAAHV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@@Z
        362  169 00007430 ?SetUILanguage@CLanguages@@UEAAHV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@@Z
        363  16A 0000AA90 ?SetUILanguage@CLayeredDrivers@@UEAAHV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@@Z
        364  16B 000092D0 ?SetUILanguage@CLocales@@UEAAHV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@@Z
        365  16C 0000D990 ?ShowOSK@COSK@@QEAAPEAXHPEAG0@Z
        366  16D 00003540 ?SpanExcluding@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEBA?AV12@PEBG@Z
        367  16E 00003590 ?SpanIncluding@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEBA?AV12@PEBG@Z
        368  16F 0000BA10 ?StaticInstallCallback@CLoadDriver@@CAXW4WDS_EVENT_RESULT@@PEBUWDS_DATA@@PEAX@Z
        369  170 0000B850 ?StaticScanCallback@CLoadDriver@@CAXW4WDS_EVENT_RESULT@@PEBUWDS_DATA@@PEAX@Z
        370  171 00005BF0 ?StringLength@?$CSimpleStringT@G$0A@@ATL@@SAHPEBD@Z
        371  172 00005BD0 ?StringLength@?$CSimpleStringT@G$0A@@ATL@@SAHPEBG@Z
        372  173 00005AE0 ?ThrowMemoryException@?$CSimpleStringT@G$0A@@ATL@@KAXXZ
        373  174 00004100 ?Tokenize@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEBA?AV12@PEBGAEAH@Z
        374  175 00003C90 ?Trim@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAAEAV12@G@Z
        375  176 00003C60 ?Trim@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAAEAV12@PEBG@Z
        376  177 00003CC0 ?Trim@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAAEAV12@XZ
        377  178 000039D0 ?TrimLeft@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAAEAV12@G@Z
        378  179 000038B0 ?TrimLeft@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAAEAV12@PEBG@Z
        379  17A 00003CE0 ?TrimLeft@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAAEAV12@XZ
        380  17B 00003BB0 ?TrimRight@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAAEAV12@G@Z
        381  17C 00003AC0 ?TrimRight@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAAEAV12@PEBG@Z
        382  17D 00003DE0 ?TrimRight@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAAEAV12@XZ
        383  17E 00005E90 ?Truncate@?$CSimpleStringT@G$0A@@ATL@@QEAAXH@Z
        384  17F 00005F90 ?UnlockBuffer@?$CSimpleStringT@G$0A@@ATL@@QEAAXXZ
        385  180 0000E300 ?ValidatePid@CProductKeyModule@@AEAAJXZ
        386  181 0000F010 ?ValidateProductKey@CProductKeyModule@@UEAAHPEAXPEAGP6AX0_K@Z@Z
        387  182 00028C70 ?s_Instance@CImageData@@0PEAVIImageData@@EA
        388  183 00028C68 ?s_Instance@CLoadDriver@@0PEAVILoadDriver@@EA
        389  184 0000CBD0 ?v_AddBlockedReason@CImageData@@AEAAXPEBG0@Z
        390  185 0000CA40 ?v_AddLanguage@CImageData@@AEAAXPEBG0H@Z
        391  186 0000C8F0 ?v_BuildKey@CImageData@@AEAAPEAGPEBG0@Z
        392  187 0000C870 ?v_CopyStr@CImageData@@AEAAPEAGPEBG@Z
        393  188 0000A660 ?v_DeleteKeyboardLayouts@CKeyboardLayouts@@AEAAXXZ
        394  189 00008D90 ?v_DeleteLanguages@CLanguages@@AEAAXXZ
        395  18A 0000B140 ?v_DeleteLayeredDrivers@CLayeredDrivers@@AEAAXXZ
        396  18B 00009750 ?v_EnumLocalesProc@CLocales@@CAHPEAGK_J@Z
        397  18C 0000CA20 ?v_FreeLanguages@CImageData@@AEAAXXZ
        398  18D 0000C960 ?v_FreeReasons@CImageData@@AEAAXXZ
        399  18E 0000CFD0 ?v_GetArchitectureName@CImageData@@AEAAPEAGPEAUHINSTANCE__@@K@Z
        400  18F 0000CC60 ?v_GetAvailableLanguages@CImageData@@AEAAXPEBG@Z
        401  190 0000C850 ?v_GetBBStr@CImageData@@AEAAPEAGPEBG0@Z
        402  191 0000C860 ?v_GetBBVal@CImageData@@AEAAKPEBG0K@Z
        403  192 0000CE50 ?v_GetBlockedReasons@CImageData@@AEAAXPEBG@Z
        404  193 00008CC0 ?v_GetLangIniPath@CLanguages@@AEAA?AV?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@XZ
        405  194 0000A6E0 ?v_InitInputProcs@CKeyboardLayouts@@AEAAHXZ
        406  195 00008300 ?v_InitLanguage@CLanguages@@AEAAPEAVCLanguage@@V?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@@Z
        407  196 0000E0F0 ?v_IsValid@PIDUtilStringView@@AEAAHG@Z
        408  197 0000A400 ?v_LoadInputProcs@CKeyboardLayouts@@AEAAHXZ
