Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\wintrust.dll

File Type: DLL

  Section contains the following exports for WINTRUST.dll

    00000000 characteristics
    D51E499A time date stamp
        0.00 version
           1 ordinal base
         156 number of functions
         156 number of names

    ordinal hint RVA      name

        119   76 0001B7F0 WVTAsn1IntentToSealAttributeEncode
        120   77 0001B830 WVTAsn1SealingSignatureAttributeDecode
        121   78 0001B910 WVTAsn1SealingSignatureAttributeEncode
        122   79 0001B9D0 WVTAsn1SealingTimestampAttributeDecode
        123   7A 0001BAB0 WVTAsn1SealingTimestampAttributeEncode
        124   7B 0001BB10 WVTAsn1SpcFinancialCriteriaInfoDecode
        125   7C 0001BBC0 WVTAsn1SpcFinancialCriteriaInfoEncode
        126   7D 0001BC00 WVTAsn1SpcIndirectDataContentDecode
        127   7E 0001BDB0 WVTAsn1SpcIndirectDataContentEncode
        128   7F 0001BE90 WVTAsn1SpcLinkDecode
        129   80 00004A00 WVTAsn1SpcLinkEncode
        130   81 0001BF70 WVTAsn1SpcMinimalCriteriaInfoDecode
        131   82 0001C020 WVTAsn1SpcMinimalCriteriaInfoEncode
        132   83 0001C050 WVTAsn1SpcPeImageDataDecode
        133   84 0000EBB0 WVTAsn1SpcPeImageDataEncode
        134   85 0001C190 WVTAsn1SpcSigInfoDecode
        135   86 0001C240 WVTAsn1SpcSigInfoEncode
        136   87 0001C2D0 WVTAsn1SpcSpAgencyInfoDecode
        137   88 0001C660 WVTAsn1SpcSpAgencyInfoEncode
        138   89 0001C810 WVTAsn1SpcSpOpusInfoDecode
        139   8A 0001C960 WVTAsn1SpcSpOpusInfoEncode
        140   8B 0001CA40 WVTAsn1SpcStatementTypeDecode
        141   8C 0001CB70 WVTAsn1SpcStatementTypeEncode
        142   8D 00006370 WinVerifyTrust
        143   8E 0001F150 WinVerifyTrustEx
        144   8F 0001CC30 WintrustAddActionID
        145   90 0001E870 WintrustAddDefaultForUsage
        146   91 00001970 WintrustCertificateTrust
        147   92 0001EBB0 WintrustGetDefaultForUsage
        148   93 0001D950 WintrustGetRegPolicyFlags
