Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\combase.dll

File Type: DLL

  Section contains the following exports for combase.dll

    00000000 characteristics
    1C3DC270 time date stamp
        0.00 version
           1 ordinal base
         532 number of functions
         451 number of names

    ordinal hint RVA      name

        279   7D 0018D0D0 CoSetCancelObject
        280   7E 00081620 CoSetErrorInfo
        281   7F 000B6BB0 CoSetProxyBlanket
        282   80 000B0F90 CoSuspendClassObjects
        283   81 000BF440 CoSwitchCallContext
        284   82 000AB2D0 CoTaskMemAlloc
        285   83 000AA800 CoTaskMemFree
        286   84 000BCBF0 CoTaskMemRealloc
        287   85 0018D170 CoTestCancel
        288   86 0002EB60 CoUninitialize
        289   87 000D9CA0 CoUnloadingWOW
        290   88 00185660 CoUnmarshalHresult
        291   89 0004A360 CoUnmarshalInterface
        292   8A 001C13A0 CoVrfCheckThreadState
        293   8B 001C1990 CoVrfGetThreadState
        294   8C 001C1A90 CoVrfReleaseThreadState
        295   8D 00028830 CoWaitForMultipleHandles
        296   8E 00028790 CoWaitForMultipleObjects
        297   8F 000BA4A0 CreateErrorInfo
        298   90 0008FC40 CreateStreamOnHGlobal
        299   91 000AE140 DcomChannelSetHResult
        300   92 001A4B90 DllDebugObjectRPCHook
        301   93 000D25C0 DllGetActivationFactory
        302   94 00087190 DllGetClassObject
        303   95 00186F70 EnableHookObject
        304   96 00092A60 FreePropVariantArray
        305   97 00092F00 FreePropVariantArrayWorker
        306   98 000D1FB0 GetCatalogHelper
        307   99 000C02F0 GetErrorInfo
        308   9A 000C2E00 GetFuncDescs
        309   9B 000C4D00 GetHGlobalFromStream
        310   9C 00186FD0 GetHookInterface
        311   9D 00083290 GetRestrictedErrorInfo
        312   9E 00016C50 HACCEL_UserFree
        313   9F 00016C50 HACCEL_UserFree64
        314   A0 001C9860 HACCEL_UserMarshal
        315   A1 001C9860 HACCEL_UserMarshal64
        316   A2 001C9870 HACCEL_UserSize
        317   A3 001C9870 HACCEL_UserSize64
        318   A4 001C9880 HACCEL_UserUnmarshal
        319   A5 001C9880 HACCEL_UserUnmarshal64
        320   A6 00015E20 HBITMAP_UserFree
        321   A7 00015E20 HBITMAP_UserFree64
        322   A8 00014D40 HBITMAP_UserMarshal
        323   A9 00014AB0 HBITMAP_UserMarshal64
        324   AA 00015510 HBITMAP_UserSize
        325   AB 000150C0 HBITMAP_UserSize64
        326   AC 00012550 HBITMAP_UserUnmarshal
        327   AD 00012130 HBITMAP_UserUnmarshal64
        328   AE 00016C50 HBRUSH_UserFree
        329   AF 00016C50 HBRUSH_UserFree64
        330   B0 001C9860 HBRUSH_UserMarshal
        331   B1 001C9860 HBRUSH_UserMarshal64
        332   B2 001C9870 HBRUSH_UserSize
        333   B3 001C9870 HBRUSH_UserSize64
        334   B4 001C9880 HBRUSH_UserUnmarshal
        335   B5 001C9880 HBRUSH_UserUnmarshal64
        336   B6 001C9830 HDC_UserFree
        337   B7 00016C50 HDC_UserFree64
        338   B8 001C9860 HDC_UserMarshal
        339   B9 001C9860 HDC_UserMarshal64
        340   BA 001C9870 HDC_UserSize
        341   BB 001C9870 HDC_UserSize64
        342   BC 001C9880 HDC_UserUnmarshal
        343   BD 001C9880 HDC_UserUnmarshal64
        344   BE 0000EDC0 HGLOBAL_UserFree
        345   BF 0000EDC0 HGLOBAL_UserFree64
        346   C0 00011E40 HGLOBAL_UserMarshal
        347   C1 0000E2C0 HGLOBAL_UserMarshal64
        348   C2 00011EF0 HGLOBAL_UserSize
        349   C3 0000E380 HGLOBAL_UserSize64
        350   C4 00011320 HGLOBAL_UserUnmarshal
        351   C5 0000D850 HGLOBAL_UserUnmarshal64
        352   C6 00016C50 HICON_UserFree
        353   C7 00016C50 HICON_UserFree64
        354   C8 0007A8A0 HICON_UserMarshal
        355   C9 0007A8A0 HICON_UserMarshal64
        356   CA 0007A920 HICON_UserSize
        357   CB 0007A920 HICON_UserSize64
        358   CC 00078D50 HICON_UserUnmarshal
        359   CD 00078D50 HICON_UserUnmarshal64
        360   CE 00016C50 HMENU_UserFree
        361   CF 00016C50 HMENU_UserFree64
        362   D0 001C9860 HMENU_UserMarshal
        363   D1 001C9860 HMENU_UserMarshal64
        364   D2 001C9870 HMENU_UserSize
        365   D3 001C9870 HMENU_UserSize64
        366   D4 001C9880 HMENU_UserUnmarshal
        367   D5 001C9880 HMENU_UserUnmarshal64
        368   D6 00016C50 HMONITOR_UserFree
        369   D7 00016C50 HMONITOR_UserFree64
        370   D8 0007A8A0 HMONITOR_UserMarshal
        371   D9 0007A8A0 HMONITOR_UserMarshal64
        372   DA 0007A920 HMONITOR_UserSize
        373   DB 0007A920 HMONITOR_UserSize64
        374   DC 00078D50 HMONITOR_UserUnmarshal
        375   DD 00078D50 HMONITOR_UserUnmarshal64
        376   DE 001CA4D0 HPALETTE_UserFree
        377   DF 001CA4D0 HPALETTE_UserFree64
        378   E0 001CA520 HPALETTE_UserMarshal
        379   E1 001CA610 HPALETTE_UserMarshal64
        380   E2 001CA710 HPALETTE_UserSize
        381   E3 001CA790 HPALETTE_UserSize64
        382   E4 001CA810 HPALETTE_UserUnmarshal
        383   E5 001CA890 HPALETTE_UserUnmarshal64
         72   E6 001C9830 HRGN_UserFree
         62   E7 00016C50 HRGN_UserFree64
         74   E8 001C9860 HRGN_UserMarshal
         73   E9 001C9860 HRGN_UserMarshal64
         76   EA 001C9870 HRGN_UserSize
         75   EB 001C9870 HRGN_UserSize64
         78   EC 001C9880 HRGN_UserUnmarshal
         77   ED 001C9880 HRGN_UserUnmarshal64
        384   EE 000D3DE0 HSTRING_UserFree
        385   EF 000B9BE0 HSTRING_UserFree64
        386   F0 0007D720 HSTRING_UserMarshal
        387   F1 0007D730 HSTRING_UserMarshal64
        388   F2 000AFC60 HSTRING_UserSize
        389   F3 000AFC20 HSTRING_UserSize64
        390   F4 00077D10 HSTRING_UserUnmarshal
        391   F5 000B0490 HSTRING_UserUnmarshal64
        392   F6 00016C50 HWND_UserFree
        393   F7 00016C50 HWND_UserFree64
        394   F8 0007A8A0 HWND_UserMarshal
        395   F9 0007A8A0 HWND_UserMarshal64
        396   FA 0007A920 HWND_UserSize
        397   FB 0007A920 HWND_UserSize64
        398   FC 00078D50 HWND_UserUnmarshal
        399   FD 00078D50 HWND_UserUnmarshal64
        400   FE 00186FF0 HkOleRegisterObject
        401   FF 0006EC00 IIDFromString
        402  100 0017B920 InternalAppInvokeExceptionFilter
        403  101 000BF620 InternalCAggIdRelease
        404  102 000DCE90 InternalCAggIdSetHandler
        405  103 0017B940 InternalCCFreeUnused
        406  104 001C6F50 InternalCCGetClassInformationForDde
        407  105 001C6F70 InternalCCGetClassInformationFromKey
        408  106 001C6F90 InternalCCSetDdeServerWindow
        409  107 00198DF0 InternalCMLSendReceive
        410  108 000DD080 InternalCStdIdentityGetIProxyManager
        411  109 000DD090 InternalCStdIdentityGetInternalUnk
        412  10A 000DCFF0 InternalCStdIdentityUpdateFlags
        413  10B 0017B950 InternalCallAsProxyExceptionFilter
        414  10C 0017B960 InternalCallFrameExceptionFilter
        415  10D 0017B970 InternalCallerIsAppContainer
        416  10E 00198EE0 InternalCanMakeOutCall
        417  10F 0017B980 InternalCoIsSurrogateProcess
        418  110 000D7340 InternalCoRegisterDisconnectCallback
        419  111 0017B9A0 InternalCoRegisterSurrogatedObject
        420  112 0017B9B0 InternalCoStdMarshalObject
        421  113 000DD0F0 InternalCoUnregisterDisconnectCallback
        422  114 0017B9C0 InternalCompleteObjRef
        423  115 000DCD20 InternalCreateCAggId
        424  116 001A5630 InternalCreateIdentityHandler
        425  117 000DD500 InternalDoATClassCreate
        426  118 0017B9C0 InternalFillLocalOXIDInfo
        427  119 00016C50 InternalFreeObjRef
        428  11A 0017B9C0 InternalGetWindowPropInterface
        429  11B 000DCEB0 InternalGetWindowPropInterface2
        430  11C 00016840 InternalIrotEnumRunning
        431  11D 0017B9D0 InternalIrotEnumRunning2
        432  11E 00016840 InternalIrotGetObject
        433  11F 00016840 InternalIrotGetObject2
        434  120 000E26C0 InternalIrotGetObject3
        435  121 00016840 InternalIrotGetTimeOfLastChange
        436  122 0017B9F0 InternalIrotGetTimeOfLastChange2
        437  123 00016840 InternalIrotIsRunning
        438  124 0017BA10 InternalIrotIsRunning2
        439  125 0017BA30 InternalIrotNoteChangeTime
        440  126 000D99F0 InternalIrotRegister
        441  127 000DCC30 InternalIrotRevoke
        442  128 000D8BB0 InternalIsApartmentInitialized
        443  129 000D93E0 InternalIsProcessInitialized
        444  12A 0017B9C0 InternalMarshalObjRef
        445  12B 0017BA50 InternalNotifyDDStartOrStop
        446  12C 00198F00 InternalOleModalLoopBlockFn
        447  12D 0017B9C0 InternalRegisterWindowPropInterface
        448  12E 00094030 InternalRegisterWindowPropInterface2
        449  12F 0017B9C0 InternalReleaseMarshalObjRef
        450  130 000C7640 InternalRevokeWindowPropInterface
        451  131 0017BA60 InternalSTAInvoke
        452  132 0017B950 InternalServerExceptionFilter
        453  133 00198F40 InternalSetAptCallCtrlOnTlsIfRequired
        454  134 00016C50 InternalSetOleThunkWowPtr
        455  135 0017B9C0 InternalStubInvoke
        456  136 000D9990 InternalTlsAllocData
        457  137 0017B9C0 InternalUnmarshalObjRef
        458  138 000C5B40 IsErrorPropagationEnabled
        459  139 000A5C20 NdrCStdStubBuffer2_Release
        460  13A 000B5320 NdrCStdStubBuffer_Release
        461  13B 000AD5E0 NdrExtStubInitialize
        462  13C 000A6190 NdrOleDllGetClassObject
         82  13D 000C45D0 NdrOleInitializeExtension
         39  13E 000E4AF0 NdrProxyForwardingFunction10
         40  13F 000E4B40 NdrProxyForwardingFunction11
         41  140 000E4B90 NdrProxyForwardingFunction12
         42  141 000E4BE0 NdrProxyForwardingFunction13
         43  142 000E4C30 NdrProxyForwardingFunction14
         44  143 000E4C80 NdrProxyForwardingFunction15
         45  144 000E4CD0 NdrProxyForwardingFunction16
         46  145 000E4D20 NdrProxyForwardingFunction17
         47  146 000E4D70 NdrProxyForwardingFunction18
         48  147 000E4DC0 NdrProxyForwardingFunction19
         49  148 000E4E10 NdrProxyForwardingFunction20
         50  149 000E4E60 NdrProxyForwardingFunction21
         51  14A 000E4EB0 NdrProxyForwardingFunction22
         52  14B 000E4F00 NdrProxyForwardingFunction23
         53  14C 000E4F50 NdrProxyForwardingFunction24
         54  14D 000E4FA0 NdrProxyForwardingFunction25
         55  14E 000E4FF0 NdrProxyForwardingFunction26
         56  14F 000E5040 NdrProxyForwardingFunction27
         57  150 000E5090 NdrProxyForwardingFunction28
         58  151 000E50E0 NdrProxyForwardingFunction29
         32  152 000E48C0 NdrProxyForwardingFunction3
         59  153 000E5130 NdrProxyForwardingFunction30
         60  154 000E5180 NdrProxyForwardingFunction31
