Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\msi.dll

File Type: DLL

  Section contains the following exports for msi.dll

    00000000 characteristics
    EC1E5BAB time date stamp
        0.00 version
           5 ordinal base
         295 number of functions
         295 number of names

    ordinal hint RVA      name

        243   7E 0010B8D0 MsiGetPatchInfoExA
        244   7F 0010BBA0 MsiGetPatchInfoExW
        179   80 000DB570 MsiGetPatchInfoW
         65   81 000DB670 MsiGetProductCodeA
        183   82 000DBA10 MsiGetProductCodeFromPackageCodeA
        184   83 000DBBB0 MsiGetProductCodeFromPackageCodeW
         66   84 000DC150 MsiGetProductCodeW
         67   85 000DC280 MsiGetProductInfoA
        247   86 0010C4D0 MsiGetProductInfoExA
        248   87 0010C750 MsiGetProductInfoExW
         68   88 000DC3E0 MsiGetProductInfoFromScriptA
         69   89 000DC810 MsiGetProductInfoFromScriptW
         70   8A 00002D40 MsiGetProductInfoW
         71   8B 000DD830 MsiGetProductPropertyA
         72   8C 000DDAC0 MsiGetProductPropertyW
         73   8D 00128900 MsiGetPropertyA
         74   8E 00128C00 MsiGetPropertyW
        216   8F 000DE650 MsiGetShortcutTargetA
        217   90 000DE980 MsiGetShortcutTargetW
         75   91 001294F0 MsiGetSourcePathA
         76   92 00129750 MsiGetSourcePathW
         77   93 00129FA0 MsiGetSummaryInformationA
         78   94 0012A040 MsiGetSummaryInformationW
         79   95 0012A960 MsiGetTargetPathA
         80   96 0012ABC0 MsiGetTargetPathW
         81   97 000DFEA0 MsiGetUserInfoA
         82   98 000E0110 MsiGetUserInfoW
         83   99 000E0380 MsiInstallMissingComponentA
         84   9A 000E07C0 MsiInstallMissingComponentW
         85   9B 000E1730 MsiInstallMissingFileA
         86   9C 000E1A40 MsiInstallMissingFileW
         87   9D 000E2880 MsiInstallProductA
         88   9E 000E2AF0 MsiInstallProductW
        191   9F 00006D40 MsiInvalidateFeatureCache
