Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\resutils.dll

File Type: DLL

  Section contains the following exports for RESUTILS.dll

    00000000 characteristics
    FEFADBAA time date stamp
        0.00 version
           1 ordinal base
         144 number of functions
         144 number of names

    ordinal hint RVA      name

        119   76 00002950 ResUtilResourcesEqual
        120   77 00004EC0 ResUtilSetBinaryValue
        121   78 000053B0 ResUtilSetDwordValue
        122   79 000051A0 ResUtilSetExpandSzValue
        123   7A 000052C0 ResUtilSetMultiSzValue
        124   7B 00001E60 ResUtilSetPrivatePropertyList
        125   7C 00001C40 ResUtilSetPropertyParameterBlock
        126   7D 00001CF0 ResUtilSetPropertyParameterBlockEx
        127   7E 00001A90 ResUtilSetPropertyTable
        128   7F 00001B60 ResUtilSetPropertyTableEx
        129   80 00005400 ResUtilSetQwordValue
        130   81 00009130 ResUtilSetResourceServiceEnvironment
        131   82 00009730 ResUtilSetResourceServiceStartParameters
        132   83 00009470 ResUtilSetResourceServiceStartParametersEx
        133   84 00005060 ResUtilSetSzValue
        134   85 00001DA0 ResUtilSetUnknownProperties
        135   86 00004FB0 ResUtilSetValueEx
        136   87 000043F0 ResUtilStartResourceService
        137   88 00004540 ResUtilStopResourceService
        138   89 00004750 ResUtilStopService
        139   8A 000048A0 ResUtilTerminateServiceProcessFromResDll
        140   8B 00001E40 ResUtilVerifyPrivatePropertyList
        141   8C 00001A40 ResUtilVerifyPropertyTable
        142   8D 00004680 ResUtilVerifyResourceService
        143   8E 00004830 ResUtilVerifyService
        144   8F 0000A8C0 ResUtilsDeleteKeyTree

  Summary

        6000 .data
        1000 .didat
        5000 .pdata
       2B000 .rdata
        1000 .reloc
        1000 .rsrc
       64000 .text
