Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\framedyn.dll

File Type: DLL

  Section contains the following exports for framedyn.dll

    00000000 characteristics
    4FD9ED7D time date stamp
        0.00 version
           1 ordinal base
         614 number of functions
         614 number of names

    ordinal hint RVA      name

        304  12F 000024E0 ?GetCurrentSubKeyCount@CRegistry@@QEAAKXZ
        305  130 0001DE20 ?GetCurrentSubKeyName@CRegistry@@QEAAKAEAVCHString@@@Z
        306  131 0001DED0 ?GetCurrentSubKeyPath@CRegistry@@QEAAKAEAVCHString@@@Z
        307  132 0001E1E0 ?GetCurrentSubKeyValue@CRegistry@@QEAAKPEBGAEAK@Z
        308  133 0001E190 ?GetCurrentSubKeyValue@CRegistry@@QEAAKPEBGAEAVCHString@@@Z
        309  134 0001E130 ?GetCurrentSubKeyValue@CRegistry@@QEAAKPEBGPEAXPEAK@Z
        310  135 0001BDA0 ?GetDMTF@WBEMTime@@QEBAPEAGH@Z
        311  136 0001B920 ?GetDMTFNonNtfs@WBEMTime@@QEBAPEAGXZ
        312  137 00007800 ?GetDOUBLE@CInstance@@QEBA_NPEBGAEAN@Z
        313  138 000075A0 ?GetDWORD@CInstance@@QEBA_NPEBGAEAK@Z
        314  139 00001720 ?GetData@CHPtrArray@@QEAAPEAPEAXXZ
        315  13A 00001720 ?GetData@CHPtrArray@@QEBAPEAPEBXXZ
        316  13B 00019410 ?GetData@CHString@@IEBAPEAUCHStringData@@XZ
        317  13C 00001720 ?GetData@CHStringArray@@QEAAPEAVCHString@@XZ
        318  13D 00001720 ?GetData@CHStringArray@@QEBAPEBVCHString@@XZ
        319  13E 000083F0 ?GetDateTime@CInstance@@QEBA_NPEBGAEAVWBEMTime@@@Z
        320  13F 00007CF0 ?GetEmbeddedObject@CInstance@@QEBA_NPEBGPEAPEAV1@PEAVMethodContext@@@Z
        321  140 0000F0B0 ?GetEmptyInstance@CWbemProviderGlue@@SAJPEAVMethodContext@@PEBGPEAPEAVCInstance@@1@Z
        322  141 0000EF90 ?GetEmptyInstance@CWbemProviderGlue@@SAJPEBGPEAPEAVCInstance@@0@Z
        323  142 0001BAF0 ?GetFILETIME@WBEMTime@@QEBAHPEAU_FILETIME@@@Z
        324  143 0001C260 ?GetFILETIME@WBEMTimeSpan@@QEBAHPEAU_FILETIME@@@Z
        325  144 00009290 ?GetIWBEMContext@MethodContext@@UEAAPEAUIWbemContext@@XZ
        326  145 0000F870 ?GetInstanceByPath@CWbemProviderGlue@@SAJPEBGPEAPEAVCInstance@@PEAVMethodContext@@@Z
        327  146 0000FB00 ?GetInstanceFromCIMOM@CWbemProviderGlue@@CAJPEBG0PEAVMethodContext@@PEAPEAVCInstance@@@Z
        328  147 0000F3B0 ?GetInstanceKeysByPath@CWbemProviderGlue@@SAJPEBGPEAPEAVCInstance@@PEAVMethodContext@@@Z
        329  148 0000F580 ?GetInstancePropertiesByPath@CWbemProviderGlue@@SAJPEBGPEAPEAVCInstance@@PEAVMethodContext@@AEAVCHStringArray@@@Z
        330  149 0000E870 ?GetInstancesByQuery@CWbemProviderGlue@@SAJPEBGPEAV?$TRefPointerCollection@VCInstance@@@@PEAVMethodContext@@0@Z
        331  14A 00010560 ?GetInstancesByQueryAsynch@CWbemProviderGlue@@SAJPEBGPEAVProvider@@P6AJ1PEAVCInstance@@PEAVMethodContext@@PEAX@Z034@Z
        332  14B 00014DA0 ?GetKeyString@ParsedObjectPath@@QEAAPEAGXZ
        333  14C 000016A0 ?GetLength@CHString@@QEBAHXZ
        334  14D 00001FF0 ?GetLocalComputerName@Provider@@IEAAAEBVCHString@@XZ
        335  14E 0000A130 ?GetLocalInstancePath@Provider@@IEAA_NPEBVCInstance@@AEAVCHString@@@Z
        336  14F 0001B500 ?GetLocalOffsetForDate@WBEMTime@@SAJAEB_J@Z
        337  150 0001B580 ?GetLocalOffsetForDate@WBEMTime@@SAJPEBU_FILETIME@@@Z
        338  151 0001B5C0 ?GetLocalOffsetForDate@WBEMTime@@SAJPEBU_SYSTEMTIME@@@Z
        339  152 0001B540 ?GetLocalOffsetForDate@WBEMTime@@SAJPEBUtm@@@Z
        340  153 00002500 ?GetLongestClassStringSize@CRegistry@@QEAAKXZ
        341  154 000024F0 ?GetLongestSubKeySize@CRegistry@@QEAAKXZ
        342  155 00002530 ?GetLongestValueData@CRegistry@@QEAAKXZ
        343  156 00002520 ?GetLongestValueName@CRegistry@@QEAAKXZ
        344  157 00011100 ?GetMapCountPtr@CWbemProviderGlue@@KAPEAJPEBVCWbemGlueFactory@@@Z
        345  158 00008E60 ?GetMethodContext@CInstance@@QEBAPEAVMethodContext@@XZ
        346  159 000054B0 ?GetNamespace@CFrameworkQuery@@IEAAAEBVCHString@@XZ
        347  15A 00002000 ?GetNamespace@Provider@@IEAAAEBVCHString@@XZ
        348  15B 0000E090 ?GetNamespaceConnection@CWbemProviderGlue@@SAPEAUIWbemServices@@PEBG@Z
        349  15C 00010C90 ?GetNamespaceConnection@CWbemProviderGlue@@SAPEAUIWbemServices@@PEBGPEAVMethodContext@@@Z
        350  15D 00014FF0 ?GetNamespacePart@ParsedObjectPath@@QEAAPEAGXZ
        351  15E 000021D0 ?GetOSMajorVersion@CWbemProviderGlue@@SAKXZ
        352  15F 000021C0 ?GetObject@CWbemProviderGlue@@UEAAJQEAGJPEAUIWbemContext@@PEAPEAUIWbemClassObject@@PEAPEAUIWbemCallResult@@@Z
        353  160 00009F40 ?GetObject@Provider@@AEAAJPEAUParsedObjectPath@@PEAVMethodContext@@J@Z
        354  161 00009CB0 ?GetObject@Provider@@MEAAJPEAVCInstance@@J@Z
        355  162 0000A680 ?GetObject@Provider@@MEAAJPEAVCInstance@@JAEAVCFrameworkQuery@@@Z
        356  163 0000C440 ?GetObjectAsync@CWbemProviderGlue@@UEAAJQEAGJPEAUIWbemContext@@PEAUIWbemObjectSink@@@Z
        357  164 000150D0 ?GetParentNamespacePart@ParsedObjectPath@@QEAAPEAGXZ
        358  165 000021E0 ?GetPlatform@CWbemProviderGlue@@SAKXZ
        359  166 000062F0 ?GetPropertyBitMask@CFrameworkQueryEx@@QEAAXAEBVCHPtrArray@@PEAX@Z
        360  167 00009310 ?GetProviderGlue@MethodContext@@AEAAPEAVCWbemProviderGlue@@XZ
        361  168 00002010 ?GetProviderName@Provider@@IEAAAEBVCHString@@XZ
        362  169 00005120 ?GetQuery@CFrameworkQuery@@QEAAAEBVCHString@@XZ
        363  16A 00001E70 ?GetQueryClassName@CFrameworkQuery@@QEAAPEAGXZ
        364  16B 00014030 ?GetRelativePath@CObjectPathParser@@SAPEAGPEAG@Z
        365  16C 00004D40 ?GetRequiredProperties@CFrameworkQuery@@QEAAXAEAVCHStringArray@@@Z
        366  16D 0001BAA0 ?GetSYSTEMTIME@WBEMTime@@QEBAHPEAU_SYSTEMTIME@@@Z
        367  16E 00001820 ?GetSize@CHPtrArray@@QEBAHXZ
        368  16F 00001820 ?GetSize@CHStringArray@@QEBAHXZ
        369  170 00008D80 ?GetStatus@CInstance@@QEBA_NPEBGAEA_NAEAG@Z
        370  171 0000B760 ?GetStatusObject@CWbemProviderGlue@@CAPEAUIWbemClassObject@@PEAVMethodContext@@PEBG@Z
        371  172 00009390 ?GetStatusObject@MethodContext@@QEAAPEAUIWbemClassObject@@XZ
        372  173 00006EF0 ?GetStringArray@CInstance@@QEBA_NPEBGAEAPEAUtagSAFEARRAY@@@Z
        373  174 0001BA00 ?GetStructtm@WBEMTime@@QEBAHPEAUtm@@@Z
        374  175 00001720 ?GetTime@WBEMTime@@QEBA_KXZ
        375  176 00001720 ?GetTime@WBEMTimeSpan@@QEBA_KXZ
        376  177 00008690 ?GetTimeSpan@CInstance@@QEBA_NPEBGAEAVWBEMTimeSpan@@@Z
        377  178 00001830 ?GetUpperBound@CHPtrArray@@QEBAHXZ
        378  179 00001830 ?GetUpperBound@CHStringArray@@QEBAHXZ
        379  17A 00002510 ?GetValueCount@CRegistry@@QEAAKXZ
        380  17B 000049E0 ?GetValuesForProp@CFrameworkQuery@@QEAAJPEBGAEAV?$vector@V_bstr_t@@V?$allocator@V_bstr_t@@@std@@@std@@@Z
        381  17C 00004730 ?GetValuesForProp@CFrameworkQuery@@QEAAJPEBGAEAVCHStringArray@@@Z
        382  17D 00005C10 ?GetValuesForProp@CFrameworkQueryEx@@QEAAJPEBGAEAV?$vector@HV?$allocator@H@std@@@std@@@Z
        383  17E 00005D40 ?GetValuesForProp@CFrameworkQueryEx@@QEAAJPEBGAEAV?$vector@V_variant_t@@V?$allocator@V_variant_t@@@std@@@std@@@Z
        384  17F 00008210 ?GetVariant@CInstance@@QEBA_NPEBGAEAUtagVARIANT@@@Z
        385  180 00008B10 ?GetWBEMINT16@CInstance@@QEBA_NPEBGAEAF@Z
        386  181 00008920 ?GetWBEMINT64@CInstance@@QEBA_NPEBGAEAVCHString@@@Z
        387  182 00008930 ?GetWBEMINT64@CInstance@@QEBA_NPEBGAEA_J@Z
        388  183 00008990 ?GetWBEMINT64@CInstance@@QEBA_NPEBGAEA_K@Z
        389  184 00007080 ?GetWCHAR@CInstance@@QEBA_NPEBGPEAPEAG@Z
        390  185 00007350 ?GetWORD@CInstance@@QEBA_NPEBGAEAG@Z
        391  186 00007FF0 ?Getbool@CInstance@@QEBA_NPEBGAEA_N@Z
        392  187 000024C0 ?GethKey@CRegistry@@QEAAPEAUHKEY__@@XZ
        393  188 0001B9A0 ?Gettime_t@WBEMTime@@QEBAHPEA_J@Z
        394  189 0001C230 ?Gettime_t@WBEMTimeSpan@@QEBAHPEA_J@Z
        395  18A 00010FA0 ?IncrementMapCount@CWbemProviderGlue@@KAJPEAJ@Z
        396  18B 00010ED0 ?IncrementMapCount@CWbemProviderGlue@@KAJPEBVCWbemGlueFactory@@@Z
        397  18C 00010220 ?IncrementObjectCount@CWbemProviderGlue@@SAXXZ
        398  18D 00004D80 ?Init2@CFrameworkQuery@@QEAAXPEAUIWbemClassObject@@@Z
        399  18E 000042E0 ?Init@CFrameworkQuery@@QEAAJPEAUParsedObjectPath@@PEAUIWbemContext@@PEBGAEAVCHString@@@Z
        400  18F 00004010 ?Init@CFrameworkQuery@@QEAAJQEAG0JAEAVCHString@@@Z
        401  190 00019430 ?Init@CHString@@IEAAXXZ
        402  191 0000AD00 ?Init@CWbemProviderGlue@@CAXXZ
        403  192 00009880 ?InitComputerName@Provider@@CAXXZ
        404  193 000063D0 ?InitEx@CFrameworkQueryEx@@UEAAJQEAG0JAEAVCHString@@@Z
        405  194 0000AFE0 ?Initialize@CWbemProviderGlue@@UEAAJPEAGJ00PEAUIWbemServices@@PEAUIWbemContext@@PEAUIWbemProviderInitSink@@@Z
        406  195 0001CE80 ?InsertAt@CHPtrArray@@QEAAXHPEAV1@@Z
        407  196 0001CBB0 ?InsertAt@CHPtrArray@@QEAAXHPEAXH@Z
        408  197 0001C850 ?InsertAt@CHStringArray@@QEAAXHPEAV1@@Z
        409  198 0001C6C0 ?InsertAt@CHStringArray@@QEAAXHPEBGH@Z
        410  199 00010A60 ?InternalGetNamespaceConnection@CWbemProviderGlue@@AEAAPEAUIWbemServices@@PEBG@Z
        411  19A 000058C0 ?Is3TokenOR@CFrameworkQueryEx@@QEAAHPEBG0AEAUtagVARIANT@@1@Z
        412  19B 000135F0 ?IsClass@ParsedObjectPath@@QEAAHXZ
        413  19C 0000ED00 ?IsDerivedFrom@CWbemProviderGlue@@SA_NPEBG0PEAVMethodContext@@0@Z
        414  19D 000016D0 ?IsEmpty@CHString@@QEBAHXZ
        415  19E 000065E0 ?IsExtended@CFrameworkQueryEx@@UEAA_NXZ
        416  19F 00005360 ?IsInList@CFrameworkQuery@@IEAAKAEBVCHStringArray@@PEBG@Z
        417  1A0 00013630 ?IsInstance@ParsedObjectPath@@QEAAHXZ
        418  1A1 00015330 ?IsLocal@ParsedObjectPath@@QEAAHPEBG@Z
        419  1A2 00002BE0 ?IsLoggingOn@ProviderLog@@QEAA?AW4LogLevel@1@PEAVCHString@@@Z
        420  1A3 00005A80 ?IsNTokenAnd@CFrameworkQueryEx@@QEAAHAEAVCHStringArray@@AEAVCHPtrArray@@@Z
        421  1A4 00008C80 ?IsNull@CInstance@@QEBA_NPEBG@Z
        422  1A5 00013680 ?IsObject@ParsedObjectPath@@QEAAHXZ
        423  1A6 00001A10 ?IsOk@WBEMTime@@QEBA_NXZ
        424  1A7 00001A10 ?IsOk@WBEMTimeSpan@@QEBA_NXZ
        425  1A8 000046B0 ?IsPropertyRequired@CFrameworkQuery@@QEAA_NPEBG@Z
        426  1A9 00005460 ?IsReference@CFrameworkQuery@@IEAAHPEBG@Z
        427  1AA 000151C0 ?IsRelative@ParsedObjectPath@@QEAAHPEBG0@Z
        428  1AB 00001EA0 ?KeysOnly@CFrameworkQuery@@QEAA_NXZ
        429  1AC 0001ADB0 ?Left@CHString@@QEBA?AV1@H@Z
        430  1AD 0001B1C0 ?LoadStringW@CHString@@IEAAHIPEAGI@Z
        431  1AE 0001B1C0 ?LoadStringW@CHString@@QEAAHI@Z
        432  1AF 00002F30 ?LocalLogMessage@ProviderLog@@QEAAXPEBG0HW4LogLevel@1@@Z
        433  1B0 00003280 ?LocalLogMessage@ProviderLog@@QEAAXPEBGHW4LogLevel@1@0ZZ
        434  1B1 0001EB80 ?LocateKeyByNameOrValueName@CRegistrySearch@@QEAAHPEAUHKEY__@@PEBG1PEAPEBGKAEAVCHString@@3@Z
        435  1B2 00001C20 ?Lock@CThreadBase@@AEAAXXZ
        436  1B3 0001AA40 ?LockBuffer@CHString@@QEAAPEAGXZ
        437  1B4 000022F0 ?LockFactoryMap@CWbemProviderGlue@@CAXXZ
        438  1B5 000022B0 ?LockProviderMap@CWbemProviderGlue@@CAXXZ
        439  1B6 000038A0 ?LockServer@CWbemGlueFactory@@UEAAJH@Z
        440  1B7 00008E70 ?LogError@CInstance@@IEBAXPEBG00J@Z
        441  1B8 0000A1D0 ?MakeLocalPath@Provider@@IEAA?AVCHString@@AEBV2@@Z
        442  1B9 0001ABA0 ?MakeLower@CHString@@QEAAXXZ
        443  1BA 0001ABD0 ?MakeReverse@CHString@@QEAAXXZ
        444  1BB 0001AB70 ?MakeUpper@CHString@@QEAAXXZ
        445  1BC 0001AC00 ?Mid@CHString@@QEBA?AV1@H@Z
        446  1BD 0001AC40 ?Mid@CHString@@QEBA?AV1@HH@Z
        447  1BE 00016230 ?MsgWndProc@CWinMsgEvent@@CA_JPEAUHWND__@@I_K_J@Z
        448  1BF 0001E230 ?NextSubKey@CRegistry@@QEAAKXZ
        449  1C0 00014520 ?NextToken@CObjectPathParser@@AEAAHXZ
        450  1C1 0001F0C0 ?NormalizePath@@YAKPEBG00KAEAVCHString@@@Z
        451  1C2 0000CFA0 ?NullOutUnsetProperties@CWbemProviderGlue@@AEAAJPEAUIWbemClassObject@@PEAPEAU2@AEBUtagVARIANT@@@Z
        452  1C3 0000AB30 ?OnFinalRelease@CThreadBase@@MEAAXXZ
        453  1C4 0001D340 ?Open@CRegistry@@QEAAJPEAUHKEY__@@PEBGK@Z
        454  1C5 0001D610 ?OpenAndEnumerateSubKeys@CRegistry@@QEAAJPEAUHKEY__@@PEBGK@Z
        455  1C6 0001D210 ?OpenCurrentUser@CRegistry@@QEAAKPEBGK@Z
        456  1C7 0001D620 ?OpenLocalMachineKeyAndReadValue@CRegistry@@QEAAJPEBG0AEAVCHString@@@Z
        457  1C8 000021C0 ?OpenNamespace@CWbemProviderGlue@@UEAAJQEAGJPEAUIWbemContext@@PEAPEAUIWbemServices@@PEAPEAUIWbemCallResult@@@Z
        458  1C9 0001E000 ?OpenSubKey@CRegistry@@AEAAKXZ
        459  1CA 00014140 ?Parse@CObjectPathParser@@QEAAHPEBGPEAPEAUParsedObjectPath@@@Z
        460  1CB 0000CDA0 ?PreProcessPutInstanceParms@CWbemProviderGlue@@AEAAJPEAUIWbemClassObject@@PEAPEAU2@PEAUIWbemContext@@@Z
        461  1CC 0001E270 ?PrepareToReOpen@CRegistry@@AEAAXXZ
        462  1CD 000021C0 ?PutClass@CWbemProviderGlue@@UEAAJPEAUIWbemClassObject@@JPEAUIWbemContext@@PEAPEAUIWbemCallResult@@@Z
        463  1CE 000021C0 ?PutClassAsync@CWbemProviderGlue@@UEAAJPEAUIWbemClassObject@@JPEAUIWbemContext@@PEAUIWbemObjectSink@@@Z
        464  1CF 000021C0 ?PutInstance@CWbemProviderGlue@@UEAAJPEAUIWbemClassObject@@JPEAUIWbemContext@@PEAPEAUIWbemCallResult@@@Z
        465  1D0 00009CC0 ?PutInstance@Provider@@AEAAJPEAUIWbemClassObject@@JPEAVMethodContext@@@Z
        466  1D1 00009CB0 ?PutInstance@Provider@@MEAAJAEBVCInstance@@J@Z
        467  1D2 0000C8E0 ?PutInstanceAsync@CWbemProviderGlue@@UEAAJPEAUIWbemClassObject@@JPEAUIWbemContext@@PEAUIWbemObjectSink@@@Z
        468  1D3 000035B0 ?QueryInterface@CWbemGlueFactory@@UEAAJAEBU_GUID@@PEAPEAX@Z
        469  1D4 0000AE20 ?QueryInterface@CWbemProviderGlue@@UEAAJAEBU_GUID@@PEAPEAX@Z
        470  1D5 000021C0 ?QueryObjectSink@CWbemProviderGlue@@UEAAJJPEAPEAUIWbemObjectSink@@@Z
        471  1D6 00003330 ?QueryPostProcess@MethodContext@@UEAAXXZ
        472  1D7 00015940 ?RegisterForMessage@CWinMsgEvent@@IEAAXIH@Z
        473  1D8 00019EC0 ?Release@CHString@@QEAAXXZ
        474  1D9 00019F20 ?Release@CHString@@SAXPEAUCHStringData@@@Z
        475  1DA 000067D0 ?Release@CInstance@@QEAAJXZ
        476  1DB 0000AB60 ?Release@CThreadBase@@QEAAJXZ
        477  1DC 000036C0 ?Release@CWbemGlueFactory@@UEAAKXZ
        478  1DD 0000B290 ?Release@CWbemProviderGlue@@UEAAKXZ
        479  1DE 00009300 ?Release@MethodContext@@QEAAJXZ
        480  1DF 0001A8F0 ?ReleaseBuffer@CHString@@QEAAXH@Z
        481  1E0 0001CF00 ?RemoveAll@CHPtrArray@@QEAAXXZ
        482  1E1 00001840 ?RemoveAll@CHStringArray@@QEAAXXZ
        483  1E2 0001CE20 ?RemoveAt@CHPtrArray@@QEAAXHH@Z
        484  1E3 0001C7B0 ?RemoveAt@CHStringArray@@QEAAXHH@Z
        485  1E4 00010E00 ?RemoveFromFactoryMap@CWbemProviderGlue@@KAXPEBVCWbemGlueFactory@@@Z
        486  1E5 000053F0 ?Reset@CFrameworkQuery@@AEAAXXZ
        487  1E6 0001AB10 ?ReverseFind@CHString@@QEBAHG@Z
        488  1E7 0001E080 ?RewindSubKeys@CRegistry@@QEAAXXZ
        489  1E8 0001AD10 ?Right@CHString@@QEBA?AV1@H@Z
        490  1E9 00001650 ?SafeStrlen@CHString@@KAHPEBG@Z
        491  1EA 0001E850 ?SearchAndBuildList@CRegistrySearch@@QEAAHVCHString@@AEAVCHPtrArray@@00HPEAUHKEY__@@@Z
        492  1EB 0000FE10 ?SearchMapForProvider@CWbemProviderGlue@@CAPEAVProvider@@PEBG0@Z
        493  1EC 0001CF50 ?SetAt@CHPtrArray@@QEAAXHPEAX@Z
        494  1ED 0001A2C0 ?SetAt@CHString@@QEAAXHG@Z
        495  1EE 00001890 ?SetAt@CHStringArray@@QEAAXHPEBG@Z
        496  1EF 0001CB60 ?SetAtGrow@CHPtrArray@@QEAAXHPEAX@Z
        497  1F0 0001C670 ?SetAtGrow@CHStringArray@@QEAAXHPEBG@Z
        498  1F1 00007960 ?SetByte@CInstance@@QEAA_NPEBGE@Z
        499  1F2 00009090 ?SetCHString@CInstance@@QEAA_NPEBG0@Z
        500  1F3 00008810 ?SetCHString@CInstance@@QEAA_NPEBGAEBVCHString@@@Z
        501  1F4 000090A0 ?SetCHString@CInstance@@QEAA_NPEBGPEBD@Z
        502  1F5 00003330 ?SetCHStringResourceHandle@@YAXPEAUHINSTANCE__@@@Z
        503  1F6 00009090 ?SetCharSplat@CInstance@@QEAA_NPEBG0@Z
        504  1F7 00009100 ?SetCharSplat@CInstance@@QEAA_NPEBGK@Z
        505  1F8 000090A0 ?SetCharSplat@CInstance@@QEAA_NPEBGPEBD@Z
        506  1F9 000135A0 ?SetClassName@ParsedObjectPath@@QEAAHPEBG@Z
        507  1FA 0000A3C0 ?SetCreationClassName@Provider@@IEAA_NPEAVCInstance@@@Z
        508  1FB 0001E3D0 ?SetCurrentKeyValue@CRegistry@@QEAAKPEAUHKEY__@@PEBGAEAK@Z
        509  1FC 0001E370 ?SetCurrentKeyValue@CRegistry@@QEAAKPEAUHKEY__@@PEBGAEAVCHString@@@Z
        510  1FD 0001E410 ?SetCurrentKeyValue@CRegistry@@QEAAKPEAUHKEY__@@PEBGAEAVCHStringArray@@@Z
        511  1FE 0001E320 ?SetCurrentKeyValue@CRegistry@@QEAAKPEBGAEAK@Z
        512  1FF 0001E2A0 ?SetCurrentKeyValue@CRegistry@@QEAAKPEBGAEAVCHString@@@Z
        513  200 0001E350 ?SetCurrentKeyValue@CRegistry@@QEAAKPEBGAEAVCHStringArray@@@Z
        514  201 0001E5E0 ?SetCurrentKeyValueExpand@CRegistry@@QEAAKPEAUHKEY__@@PEBGAEAVCHString@@@Z
        515  202 0001BB20 ?SetDMTF@WBEMTime@@QEAAHQEAG@Z
        516  203 00007700 ?SetDOUBLE@CInstance@@QEAA_NPEBGN@Z
        517  204 000074A0 ?SetDWORD@CInstance@@QEAA_NPEBGK@Z
        518  205 000082D0 ?SetDateTime@CInstance@@QEAA_NPEBGAEBVWBEMTime@@@Z
        519  206 0001D040 ?SetDefaultValues@CRegistry@@AEAAXXZ
        520  207 00007A60 ?SetEmbeddedObject@CInstance@@QEAA_NPEBGAEAV1@@Z
        521  208 0000A260 ?SetKeyFromParsedObjectPath@Provider@@AEAAHPEAVCInstance@@PEAUParsedObjectPath@@@Z
        522  209 00006B40 ?SetNull@CInstance@@QEAA_NPEBG@Z
        523  20A 0001EDD0 ?SetPlatformID@CRegistry@@CAHXZ
        524  20B 0001C910 ?SetSize@CHPtrArray@@QEAAXHH@Z
        525  20C 0001C300 ?SetSize@CHStringArray@@QEAAXHH@Z
        526  20D 0000B4C0 ?SetStatusObject@CWbemProviderGlue@@SA_NPEAVMethodContext@@PEBG1JPEBUtagSAFEARRAY@@2@Z
        527  20E 00009320 ?SetStatusObject@MethodContext@@QEAA_NPEAUIWbemClassObject@@@Z
        528  20F 00006C40 ?SetStringArray@CInstance@@QEAA_NPEBGAEBUtagSAFEARRAY@@@Z
        529  210 00008570 ?SetTimeSpan@CInstance@@QEAA_NPEBGAEBVWBEMTimeSpan@@@Z
        530  211 00008150 ?SetVariant@CInstance@@QEAA_NPEBGAEBUtagVARIANT@@@Z
        531  212 00008A00 ?SetWBEMINT16@CInstance@@QEAA_NPEBGAEBF@Z
        532  213 00008810 ?SetWBEMINT64@CInstance@@QEAA_NPEBGAEBVCHString@@@Z
        533  214 00008820 ?SetWBEMINT64@CInstance@@QEAA_NPEBG_J@Z
        534  215 000088A0 ?SetWBEMINT64@CInstance@@QEAA_NPEBG_K@Z
        535  216 00006A00 ?SetWCHARSplat@CInstance@@QEAA_NPEBG0@Z
        536  217 00007250 ?SetWORD@CInstance@@QEAA_NPEBGG@Z
        537  218 00007EE0 ?Setbool@CInstance@@QEAA_NPEBG_N@Z
        538  219 00015880 ?Signal@CAutoEvent@@QEAAHXZ
        539  21A 0001AE80 ?SpanExcluding@CHString@@QEBA?AV1@PEBG@Z
        540  21B 0001AE40 ?SpanIncluding@CHString@@QEBA?AV1@PEBG@Z
        541  21C 0001AF60 ?TrimLeft@CHString@@QEAAXXZ
        542  21D 0001AEC0 ?TrimRight@CHString@@QEAAXXZ
        543  21E 0000ADE0 ?UnInit@CWbemProviderGlue@@CAXXZ
        544  21F 00015DF0 ?UnRegisterAllMessages@CWinMsgEvent@@IEAAXXZ
        545  220 00015C70 ?UnRegisterMessage@CWinMsgEvent@@IEAA_NIH@Z
        546  221 00001C00 ?Unlock@CThreadBase@@AEAAXXZ
        547  222 0001AA80 ?UnlockBuffer@CHString@@QEAAXXZ
        548  223 00002310 ?UnlockFactoryMap@CWbemProviderGlue@@CAXXZ
        549  224 000022D0 ?UnlockProviderMap@CWbemProviderGlue@@CAXXZ
        550  225 00013D30 ?Unparse@CObjectPathParser@@SAHPEAUParsedObjectPath@@PEAPEAG@Z
        551  226 0000A430 ?ValidateDeletionFlags@Provider@@MEAAJJ@Z
        552  227 0000A410 ?ValidateEnumerationFlags@Provider@@MEAAJJ@Z
        553  228 0000A3F0 ?ValidateFlags@Provider@@IEAAJJW4FlagDefs@1@@Z
        554  229 0000A410 ?ValidateGetObjFlags@Provider@@MEAAJJ@Z
        555  22A 000099F0 ?ValidateIMOSPointer@Provider@@AEAAHXZ
        556  22B 0000A430 ?ValidateMethodFlags@Provider@@MEAAJJ@Z
        557  22C 0000A450 ?ValidatePutInstanceFlags@Provider@@MEAAJJ@Z
        558  22D 0000A410 ?ValidateQueryFlags@Provider@@MEAAJJ@Z
        559  22E 00015870 ?Wait@CAutoEvent@@QEAAKK@Z
        560  22F 000161F0 ?WindowsDispatch@CWinMsgEvent@@CAXXZ
        561  230 00014060 ?Zero@CObjectPathParser@@AEAAXXZ
        562  231 00014580 ?begin_parse@CObjectPathParser@@AEAAHXZ
        563  232 0003E150 ?captainsLog@@3VProviderLog@@A
        564  233 000160B0 ?dwThreadProc@CWinMsgEvent@@CAKPEAX@Z
        565  234 0003E120 ?g_cs@@3VCCritSec@@A
        566  235 00014800 ?ident_becomes_class@CObjectPathParser@@AEAAHXZ
        567  236 000147D0 ?ident_becomes_ns@CObjectPathParser@@AEAAHXZ
        568  237 00009800 ?initFailed@Provider@@SAHXZ
        569  238 0003E334 ?initFailed_@Provider@@0HA
        570  239 000149A0 ?key_const@CObjectPathParser@@AEAAHXZ
        571  23A 00014BD0 ?keyref@CObjectPathParser@@AEAAHXZ
        572  23B 00014BA0 ?keyref_list@CObjectPathParser@@AEAAHXZ
        573  23C 00014CE0 ?keyref_term@CObjectPathParser@@AEAAHXZ
        574  23D 0003E260 ?m_FlushPtrs@CWbemProviderGlue@@0V?$set@PEAXU?$less@PEAX@std@@V?$allocator@PEAX@2@@std@@A
        575  23E 0003E280 ?m_csFlushPtrs@CWbemProviderGlue@@0VCCritSec@@A
        576  23F 0003E238 ?m_csStatusObject@CWbemProviderGlue@@0VCCritSec@@A
        577  240 0003E588 ?m_pStatusObject@CWbemProviderGlue@@0PEAUIWbemClassObject@@EA
        578  241 0003E328 ?mg_aeCreateWindow@CWinMsgEvent@@0VCAutoEvent@@A
        579  242 0003E2D8 ?mg_csMapLock@CWinMsgEvent@@0VCCritSec@@A
        580  243 0003E300 ?mg_csWindowLock@CWinMsgEvent@@0VCCritSec@@A
        581  244 0003E5A0 ?mg_hDevNotify@CWinMsgEvent@@0PEAXEA
        582  245 0003E5B0 ?mg_hThreadPumpHandle@CWinMsgEvent@@0PEAXEA
        583  246 0003E5A8 ?mg_hWnd@CWinMsgEvent@@0PEAUHWND__@@EA
        584  247 0003D978 ?mg_oSinkMap@CWinMsgEvent@@0V?$multimap@IPEAVCWinMsgEvent@@U?$less@I@std@@V?$allocator@PEAVCWinMsgEvent@@@3@@std@@A
        585  248 0001EE30 ?myRegCreateKeyEx@CRegistry@@AEAAJPEAUHKEY__@@PEBGKPEAGKKQEAU_SECURITY_ATTRIBUTES@@PEAPEAU2@PEAK@Z
        586  249 0001EF70 ?myRegDeleteKey@CRegistry@@AEAAJPEAUHKEY__@@PEBG@Z
