Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\framedyn.dll

File Type: DLL

  Section contains the following exports for framedyn.dll

    00000000 characteristics
    4FD9ED7D time date stamp
        0.00 version
           1 ordinal base
         614 number of functions
         614 number of names

    ordinal hint RVA      name

         85   54 0001A3B0 ??4CHString@@QEAAAEBV0@PEBG@Z
         86   55 00001900 ??4CHStringArray@@QEAAAEAV0@AEBV0@@Z
         87   56 00002390 ??4CInstance@@QEAAAEAV0@AEBV0@@Z
         88   57 00001600 ??4CObjectPathParser@@QEAAAEAV0@AEBV0@@Z
         89   58 00002670 ??4CRegistry@@QEAAAEAV0@AEBV0@@Z
         90   59 000027B0 ??4CRegistrySearch@@QEAAAEAV0@AEBV0@@Z
         91   5A 00001B20 ??4CThreadBase@@QEAAAEAV0@AEBV0@@Z
         92   5B 00002350 ??4CWbemGlueFactory@@QEAAAEAV0@AEBV0@@Z
         93   5C 00002260 ??4CWbemProviderGlue@@QEAAAEAV0@AEBV0@@Z
         94   5D 000158B0 ??4CWinMsgEvent@@QEAAAEAV0@AEBV0@@Z
         95   5E 00001A30 ??4CreateMutexAsProcess@@QEAAAEAV0@AEBV0@@Z
         96   5F 000015B0 ??4KeyRef@@QEAAAEAU0@AEBU0@@Z
         97   60 00001CA0 ??4MethodContext@@QEAAAEAV0@AEBV0@@Z
         98   61 000015D0 ??4ParsedObjectPath@@QEAAAEAU0@AEBU0@@Z
         99   62 000020C0 ??4Provider@@QEAAAEAV0@AEBV0@@Z
        100   63 00002890 ??4ProviderLog@@QEAAAEAV0@AEBV0@@Z
        101   64 00001A30 ??4WBEMTime@@QEAAAEAV0@$$QEAV0@@Z
        102   65 00001A30 ??4WBEMTime@@QEAAAEAV0@AEBV0@@Z
        103   66 00001A80 ??4WBEMTime@@QEAAAEBV0@AEBU_FILETIME@@@Z
        104   67 0001B770 ??4WBEMTime@@QEAAAEBV0@AEBU_SYSTEMTIME@@@Z
        105   68 0001B7C0 ??4WBEMTime@@QEAAAEBV0@AEBUtm@@@Z
        106   69 0001B820 ??4WBEMTime@@QEAAAEBV0@AEB_J@Z
        107   6A 0001B700 ??4WBEMTime@@QEAAAEBV0@QEAG@Z
        108   6B 00001A30 ??4WBEMTimeSpan@@QEAAAEAV0@$$QEAV0@@Z
        109   6C 00001A30 ??4WBEMTimeSpan@@QEAAAEAV0@AEBV0@@Z
        110   6D 0001BFF0 ??4WBEMTimeSpan@@QEAAAEBV0@AEBU_FILETIME@@@Z
        111   6E 0001C010 ??4WBEMTimeSpan@@QEAAAEBV0@AEB_J@Z
        112   6F 0001C030 ??4WBEMTimeSpan@@QEAAAEBV0@QEAG@Z
        113   70 00001950 ??8WBEMTime@@QEBAHAEBV0@@Z
        114   71 00001950 ??8WBEMTimeSpan@@QEBAHAEBV0@@Z
        115   72 00001970 ??9WBEMTime@@QEBAHAEBV0@@Z
        116   73 00001970 ??9WBEMTimeSpan@@QEBAHAEBV0@@Z
        117   74 000018B0 ??ACHPtrArray@@QEAAAEAPEAXH@Z
        118   75 0001CF30 ??ACHPtrArray@@QEBAPEAXH@Z
        119   76 00001700 ??ACHString@@QEBAGH@Z
        120   77 000018B0 ??ACHStringArray@@QEAAAEAVCHString@@H@Z
        121   78 00001860 ??ACHStringArray@@QEBA?AVCHString@@H@Z
        122   79 00001720 ??BCHString@@QEBAPEBGXZ
        123   7A 0001B8B0 ??GWBEMTime@@QEAA?AVWBEMTimeSpan@@AEBV0@@Z
        124   7B 0001B8B0 ??GWBEMTime@@QEBA?AV0@AEBVWBEMTimeSpan@@@Z
        125   7C 0001B8B0 ??GWBEMTimeSpan@@QEBA?AV0@AEBV0@@Z
        126   7D 0001A4A0 ??H@YA?AVCHString@@AEBV0@0@Z
        127   7E 0001A640 ??H@YA?AVCHString@@AEBV0@G@Z
        128   7F 0001A520 ??H@YA?AVCHString@@AEBV0@PEBG@Z
        129   80 0001A6C0 ??H@YA?AVCHString@@GAEBV0@@Z
        130   81 0001A5B0 ??H@YA?AVCHString@@PEBGAEBV0@@Z
        131   82 0001B850 ??HWBEMTime@@QEBA?AV0@AEBVWBEMTimeSpan@@@Z
        132   83 0001B850 ??HWBEMTimeSpan@@QEBA?AV0@AEBV0@@Z
        133   84 00001990 ??MWBEMTime@@QEBAHAEBV0@@Z
        134   85 00001990 ??MWBEMTimeSpan@@QEBAHAEBV0@@Z
        135   86 000019B0 ??NWBEMTime@@QEBAHAEBV0@@Z
        136   87 000019B0 ??NWBEMTimeSpan@@QEBAHAEBV0@@Z
        137   88 000019D0 ??OWBEMTime@@QEBAHAEBV0@@Z
        138   89 000019D0 ??OWBEMTimeSpan@@QEBAHAEBV0@@Z
        139   8A 000019F0 ??PWBEMTime@@QEBAHAEBV0@@Z
        140   8B 000019F0 ??PWBEMTimeSpan@@QEBAHAEBV0@@Z
        141   8C 0001A7B0 ??YCHString@@QEAAAEBV0@AEBV0@@Z
        142   8D 000017D0 ??YCHString@@QEAAAEBV0@D@Z
        143   8E 0001A780 ??YCHString@@QEAAAEBV0@G@Z
        144   8F 0001A740 ??YCHString@@QEAAAEBV0@PEBG@Z
        145   90 0001B880 ??YWBEMTime@@QEAAAEBV0@AEBVWBEMTimeSpan@@@Z
        146   91 0001B880 ??YWBEMTimeSpan@@QEAAAEBV0@AEBV0@@Z
        147   92 0001B8E0 ??ZWBEMTime@@QEAAAEBV0@AEBVWBEMTimeSpan@@@Z
        148   93 0001B8E0 ??ZWBEMTimeSpan@@QEAAAEBV0@AEBV0@@Z
        149   94 000252C0 ??_7CFrameworkQueryEx@@6B@
        150   95 000251D8 ??_7CInstance@@6B@
        151   96 00025270 ??_7CThreadBase@@6B@
        152   97 00025210 ??_7CWbemGlueFactory@@6B@
        153   98 000251E8 ??_7CWbemProviderGlue@@6BIWbemProviderInit@@@
        154   99 00025070 ??_7CWbemProviderGlue@@6BIWbemServices@@@
        155   9A 00025368 ??_7CWinMsgEvent@@6B@
        156   9B 00025240 ??_7MethodContext@@6B@
        157   9C 00025150 ??_7Provider@@6B@
        158   9D 00025288 ??_7ProviderLog@@6B@
        159   9E 00001620 ??_FCObjectPathParser@@QEAAXXZ
        160   9F 00001B50 ??_FCThreadBase@@QEAAXXZ
        161   A0 0001CF70 ?Add@CHPtrArray@@QEAAHPEAX@Z
        162   A1 000018D0 ?Add@CHStringArray@@QEAAHPEBG@Z
        163   A2 000111D0 ?AddFlushPtr@CWbemProviderGlue@@AEAAXPEAX@Z
        164   A3 00013BA0 ?AddKeyRef@ParsedObjectPath@@QEAAHPEAUKeyRef@@@Z
        165   A4 00013AD0 ?AddKeyRef@ParsedObjectPath@@QEAAHPEBGPEBUtagVARIANT@@@Z
        166   A5 00013750 ?AddKeyRefEx@ParsedObjectPath@@QEAAHPEBGPEBUtagVARIANT@@@Z
        167   A6 000136B0 ?AddNamespace@ParsedObjectPath@@QEAAHPEBG@Z
        168   A7 0000FF40 ?AddProviderToMap@CWbemProviderGlue@@CAPEAVProvider@@PEBG0PEAV2@@Z
        169   A8 000067B0 ?AddRef@CInstance@@QEAAJXZ
        170   A9 000092E0 ?AddRef@CThreadBase@@QEAAJXZ
        171   AA 00003670 ?AddRef@CWbemGlueFactory@@UEAAKXZ
        172   AB 0000AF70 ?AddRef@CWbemProviderGlue@@UEAAKXZ
        173   AC 000092E0 ?AddRef@MethodContext@@QEAAJXZ
        174   AD 00010D90 ?AddToFactoryMap@CWbemProviderGlue@@KAXPEBVCWbemGlueFactory@@PEAJ@Z
        175   AE 00001E90 ?AllPropertiesAreRequired@CFrameworkQuery@@QEAA_NXZ
        176   AF 00019E50 ?AllocBeforeWrite@CHString@@IEAAXH@Z
        177   B0 000195B0 ?AllocBuffer@CHString@@IEAAXH@Z
        178   B1 00019450 ?AllocCopy@CHString@@IEBAXAEAV1@HHH@Z
        179   B2 0001B130 ?AllocSysString@CHString@@QEBAPEAGXZ
        180   B3 0001CAC0 ?Append@CHPtrArray@@QEAAHAEBV1@@Z
