Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\icuuc.dll

File Type: DLL

  Section contains the following exports for icuuc.dll

    00000000 characteristics
    A6331E83 time date stamp
        0.00 version
           1 ordinal base
        2815 number of functions
        2815 number of names

    ordinal hint RVA      name

         73   48 0001C880 ??0ICUServiceFactory@icu@@QEAA@XZ
         74   49 0001C8A0 ??0ICUServiceKey@icu@@QEAA@AEBV01@@Z
         75   4A 00047B50 ??0ICUServiceKey@icu@@QEAA@AEBVUnicodeString@1@@Z
         76   4B 000AE910 ??0IDNA@icu@@QEAA@AEBV01@@Z
         77   4C 000AE910 ??0IDNA@icu@@QEAA@XZ
         78   4D 000AE930 ??0IDNAInfo@icu@@QEAA@XZ
         79   4E 00020610 ??0Iterator@BytesTrie@icu@@QEAA@AEBV12@HAEAW4UErrorCode@@@Z
         80   4F 00020710 ??0Iterator@BytesTrie@icu@@QEAA@PEBXHAEAW4UErrorCode@@@Z
         81   50 00026740 ??0Iterator@Edits@icu@@AEAA@PEBGHCC@Z
         82   51 0001E3A0 ??0Iterator@Edits@icu@@QEAA@XZ
         83   52 0001AC40 ??0Iterator@UCharsTrie@icu@@QEAA@AEBV012@@Z
         84   53 0005C190 ??0Iterator@UCharsTrie@icu@@QEAA@AEBV12@HAEAW4UErrorCode@@@Z
         85   54 0005C270 ??0Iterator@UCharsTrie@icu@@QEAA@VConstChar16Ptr@2@HAEAW4UErrorCode@@@Z
         86   55 00029F10 ??0ListFormatter@icu@@QEAA@AEBUListFormatData@1@AEAW4UErrorCode@@@Z
         87   56 00029F80 ??0ListFormatter@icu@@QEAA@AEBV01@@Z
         88   57 0002A000 ??0ListFormatter@icu@@QEAA@PEBUListFormatInternal@1@@Z
         89   58 0000D3F0 ??0Locale@icu@@AEAA@W4ELocaleType@01@@Z
         90   59 00006440 ??0Locale@icu@@QEAA@AEBV01@@Z
         91   5A 00006A20 ??0Locale@icu@@QEAA@PEBD000@Z
         92   5B 000069C0 ??0Locale@icu@@QEAA@XZ
         93   5C 0001C8D0 ??0LocaleBased@icu@@QEAA@PEAD0@Z
         94   5D 0001C8D0 ??0LocaleBased@icu@@QEAA@PEBD0@Z
         95   5E 0002D490 ??0LocaleDisplayNames@icu@@QEAA@AEBV01@@Z
         96   5F 0002D490 ??0LocaleDisplayNames@icu@@QEAA@XZ
         97   60 00049480 ??0LocaleKey@icu@@IEAA@AEBVUnicodeString@1@0PEBV21@H@Z
