Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\icuuc.dll

File Type: DLL

  Section contains the following exports for icuuc.dll

    00000000 characteristics
    A6331E83 time date stamp
        0.00 version
           1 ordinal base
        2815 number of functions
        2815 number of names

    ordinal hint RVA      name

        677  2A4 0001FC60 ?buildStringPiece@BytesTrieBuilder@icu@@QEAA?AVStringPiece@2@W4UStringTrieBuildOption@@AEAW4UErrorCode@@@Z
        678  2A5 0005B590 ?buildUChars@UCharsTrieBuilder@icu@@AEAAXW4UStringTrieBuildOption@@AEAW4UErrorCode@@@Z
        679  2A6 0005B770 ?buildUnicodeString@UCharsTrieBuilder@icu@@QEAAAEAVUnicodeString@2@W4UStringTrieBuildOption@@AEAV32@AEAW4UErrorCode@@@Z
        680  2A7 00047E00 ?canonicalID@ICUServiceKey@icu@@UEBAAEAVUnicodeString@2@AEAV32@@Z
        681  2A8 000495B0 ?canonicalID@LocaleKey@icu@@UEBAAEAVUnicodeString@2@AEAV32@@Z
        682  2A9 000495D0 ?canonicalLocale@LocaleKey@icu@@UEBAAEAVLocale@2@AEAV32@@Z
        683  2AA 00031B50 ?canonicalLocaleString@LocaleUtility@icu@@SAAEAVUnicodeString@2@PEBV32@AEAV32@@Z
        684  2AB 000181F0 ?caseCompare@UnicodeString@icu@@QEBACAEBV12@I@Z
        685  2AC 00018260 ?caseCompare@UnicodeString@icu@@QEBACHHAEBV12@HHI@Z
        686  2AD 00018270 ?caseCompare@UnicodeString@icu@@QEBACHHAEBV12@I@Z
        687  2AE 000182E0 ?caseCompare@UnicodeString@icu@@QEBACHHPEB_SHHI@Z
        688  2AF 000182F0 ?caseCompare@UnicodeString@icu@@QEBACHHPEB_SI@Z
        689  2B0 00018320 ?caseCompare@UnicodeString@icu@@QEBACVConstChar16Ptr@2@HI@Z
        690  2B1 00018380 ?caseCompareBetween@UnicodeString@icu@@QEBACHHAEBV12@HHI@Z
        691  2B2 000949E0 ?caseMap@UnicodeString@icu@@AEAAAEAV12@HIPEAVBreakIterator@2@P6AHHI0PEA_SHPEB_SHPEAVEdits@2@AEAW4UErrorCode@@@Z@Z
        692  2B3 000183A0 ?char32At@Replaceable@icu@@QEBAHH@Z
        693  2B4 000926D0 ?char32At@UnicodeString@icu@@QEBAHH@Z
        694  2B5 000183C0 ?charAt@Replaceable@icu@@QEBA_SH@Z
        695  2B6 0008B8C0 ?charAt@UnicodeSet@icu@@QEBAHH@Z
        696  2B7 00017C70 ?charAt@UnicodeString@icu@@QEBA_SH@Z
        697  2B8 00021170 ?cleanPieces@CanonicalIterator@icu@@AEAAXXZ
        698  2B9 0001FCD0 ?clear@BytesTrieBuilder@icu@@QEAAAEAV12@XZ
        699  2BA 00008200 ?clear@CharString@icu@@QEAAAEAV12@XZ
        700  2BB 000329F0 ?clear@MessagePattern@icu@@QEAAXXZ
        701  2BC 000183E0 ?clear@StringPiece@icu@@QEAAXXZ
        702  2BD 000288F0 ?clear@UCharsTrieBuilder@icu@@QEAAAEAV12@XZ
        703  2BE 0008B910 ?clear@UnicodeSet@icu@@UEAAAEAV12@XZ
        704  2BF 0003AFC0 ?clearBuffer@Normalizer@icu@@AEAAXXZ
        705  2C0 00047E20 ?clearCaches@ICUService@icu@@MEAAXXZ
        706  2C1 00032A20 ?clearPatternAndSetApostropheMode@MessagePattern@icu@@QEAAXW4UMessagePatternApostropheMode@@@Z
        707  2C2 00047E80 ?clearServiceCache@ICUService@icu@@IEAAXXZ
        708  2C3 000266D0 ?clone@DateInterval@icu@@UEBAPEAV12@XZ
        709  2C4 0002F8A0 ?clone@Locale@icu@@QEBAPEAV12@XZ
        710  2C5 0003AFF0 ?clone@Normalizer@icu@@QEBAPEAV12@XZ
        711  2C6 0003BDF0 ?clone@ParsePosition@icu@@QEBAPEAV12@XZ
        712  2C7 0000E410 ?clone@Replaceable@icu@@UEBAPEAV12@XZ
        713  2C8 00046AA0 ?clone@ResourceBundle@icu@@QEBAPEAV12@XZ
        714  2C9 0003EEB0 ?clone@RuleBasedBreakIterator@icu@@UEBAPEAVBreakIterator@2@XZ
        715  2CA 000479F0 ?clone@StringCharacterIterator@icu@@UEBAPEAVCharacterIterator@2@XZ
        716  2CB 0000E410 ?clone@StringEnumeration@icu@@UEBAPEAV12@XZ
        717  2CC 0005CA50 ?clone@UCharCharacterIterator@icu@@UEBAPEAVCharacterIterator@2@XZ
        718  2CD 0008B980 ?clone@UnicodeSet@icu@@UEBAPEAVUnicodeFunctor@2@XZ
        719  2CE 00092780 ?clone@UnicodeString@icu@@UEBAPEAVReplaceable@2@XZ
        720  2CF 00007100 ?cloneArrayIfNeeded@UnicodeString@icu@@AEAACHHCPEAPEAHC@Z
        721  2D0 0008B9C0 ?cloneAsThawed@UnicodeSet@icu@@QEBAPEAVUnicodeFunctor@2@XZ
        722  2D1 0008DC30 ?closeOver@UnicodeSet@icu@@QEAAAEAV12@H@Z
        723  2D2 00036AF0 ?combine@Normalizer2Impl@icu@@CAHPEBGH@Z
        724  2D3 0008BA40 ?compact@UnicodeSet@icu@@UEAAAEAV12@XZ
        725  2D4 00024600 ?compare@Normalizer@icu@@SAHAEBVUnicodeString@2@0IAEAW4UErrorCode@@@Z
        726  2D5 000183F0 ?compare@UnicodeString@icu@@QEBACAEBV12@@Z
        727  2D6 00018450 ?compare@UnicodeString@icu@@QEBACHHAEBV12@@Z
        728  2D7 000184B0 ?compare@UnicodeString@icu@@QEBACHHAEBV12@HH@Z
        729  2D8 000184C0 ?compare@UnicodeString@icu@@QEBACHHPEB_S@Z
        730  2D9 000184E0 ?compare@UnicodeString@icu@@QEBACHHPEB_SHH@Z
        731  2DA 000184F0 ?compare@UnicodeString@icu@@QEBACVConstChar16Ptr@2@H@Z
        732  2DB 00018540 ?compareBetween@UnicodeString@icu@@QEBACHHAEBV12@HH@Z
        733  2DC 00018560 ?compareCodePointOrder@UnicodeString@icu@@QEBACAEBV12@@Z
        734  2DD 000185C0 ?compareCodePointOrder@UnicodeString@icu@@QEBACHHAEBV12@@Z
        735  2DE 00018620 ?compareCodePointOrder@UnicodeString@icu@@QEBACHHAEBV12@HH@Z
        736  2DF 00018630 ?compareCodePointOrder@UnicodeString@icu@@QEBACHHPEB_S@Z
        737  2E0 00018650 ?compareCodePointOrder@UnicodeString@icu@@QEBACHHPEB_SHH@Z
        738  2E1 00018660 ?compareCodePointOrder@UnicodeString@icu@@QEBACVConstChar16Ptr@2@H@Z
        739  2E2 000186B0 ?compareCodePointOrderBetween@UnicodeString@icu@@QEBACHHAEBV12@HH@Z
        740  2E3 0008BAC0 ?complement@UnicodeSet@icu@@QEAAAEAV12@AEBVUnicodeString@2@@Z
        741  2E4 0008BB60 ?complement@UnicodeSet@icu@@QEAAAEAV12@H@Z
        742  2E5 0008BB70 ?complement@UnicodeSet@icu@@UEAAAEAV12@HH@Z
        743  2E6 0008BC20 ?complement@UnicodeSet@icu@@UEAAAEAV12@XZ
        744  2E7 0008BD00 ?complementAll@UnicodeSet@icu@@QEAAAEAV12@AEBVUnicodeString@2@@Z
        745  2E8 0008BD60 ?complementAll@UnicodeSet@icu@@UEAAAEAV12@AEBV12@@Z
        746  2E9 00006F60 ?compose@Normalizer2Impl@icu@@QEBACPEB_S0CCAEAVReorderingBuffer@2@AEAW4UErrorCode@@@Z
        747  2EA 0003B030 ?compose@Normalizer@icu@@SAXAEBVUnicodeString@2@CHAEAV32@AEAW4UErrorCode@@@Z
        748  2EB 00036BD0 ?composeAndAppend@Normalizer2Impl@icu@@QEBAXPEB_S0CCAEAVUnicodeString@2@AEAVReorderingBuffer@2@AEAW4UErrorCode@@@Z
        749  2EC 00029080 ?composePair@FilteredNormalizer2@icu@@UEBAHHH@Z
        750  2ED 0000E5D0 ?composePair@Normalizer2@icu@@UEBAHHH@Z
        751  2EE 00036D80 ?composePair@Normalizer2Impl@icu@@QEBAHHH@Z
        752  2EF 00036E70 ?composeQuickCheck@Normalizer2Impl@icu@@QEBAPEB_SPEB_S0CPEAW4UNormalizationCheckResult@@@Z
        753  2F0 000372A0 ?composeUTF8@Normalizer2Impl@icu@@QEBACICPEBE0PEAVByteSink@2@PEAVEdits@2@AEAW4UErrorCode@@@Z
        754  2F1 0003B050 ?concatenate@Normalizer@icu@@SAAEAVUnicodeString@2@AEBV32@0AEAV32@W4UNormalizationMode@@HAEAW4UErrorCode@@@Z
        755  2F2 00047180 ?constructForLocale@ResourceBundle@icu@@AEAAXAEBVUnicodeString@2@AEBVLocale@2@AEAW4UErrorCode@@@Z
        756  2F3 0001B530 ?contains@UStringSet@icu@@QEAACAEBVUnicodeString@2@@Z
        757  2F4 0001B4E0 ?contains@UVector32@icu@@QEBACH@Z
        758  2F5 0001B500 ?contains@UVector@icu@@QEBACH@Z
        759  2F6 0001B530 ?contains@UVector@icu@@QEBACPEAX@Z
        760  2F7 0008BDF0 ?contains@UnicodeSet@icu@@QEBACAEBVUnicodeString@2@@Z
        761  2F8 0008BE50 ?contains@UnicodeSet@icu@@UEBACH@Z
        762  2F9 0008BEB0 ?contains@UnicodeSet@icu@@UEBACHH@Z
        763  2FA 000B2460 ?containsAll@UVector32@icu@@QEBACAEBV12@@Z
        764  2FB 000B1830 ?containsAll@UVector@icu@@QEBACAEBV12@@Z
        765  2FC 0008BEF0 ?containsAll@UnicodeSet@icu@@QEBACAEBVUnicodeString@2@@Z
        766  2FD 0008BF50 ?containsAll@UnicodeSet@icu@@UEBACAEBV12@@Z
        767  2FE 000B24D0 ?containsNone@UVector32@icu@@QEBACAEBV12@@Z
        768  2FF 000B1890 ?containsNone@UVector@icu@@QEBACAEBV12@@Z
        769  300 0008BFF0 ?containsNone@UnicodeSet@icu@@QEBACAEBV12@@Z
        770  301 0008C090 ?containsNone@UnicodeSet@icu@@QEBACAEBVUnicodeString@2@@Z
        771  302 0000A840 ?containsNone@UnicodeSet@icu@@QEBACHH@Z
        772  303 000187A0 ?containsSome@UnicodeSet@icu@@QEBACAEBV12@@Z
        773  304 000187C0 ?containsSome@UnicodeSet@icu@@QEBACAEBVUnicodeString@2@@Z
        774  305 000187E0 ?containsSome@UnicodeSet@icu@@QEBACHH@Z
        775  306 000927C0 ?copy@UnicodeString@icu@@UEAAXHHH@Z
        776  307 00026B20 ?copyArray@Edits@icu@@AEAAAEAV12@AEBV12@@Z
        777  308 00026BC0 ?copyErrorTo@Edits@icu@@QEAACAEAW4UErrorCode@@@Z
        778  309 00092860 ?copyFieldsFrom@UnicodeString@icu@@AEAAXAEAV12@C@Z
        779  30A 00023190 ?copyFrom@CharString@icu@@QEAAAEAV12@AEBV12@AEAW4UErrorCode@@@Z
        780  30B 000928D0 ?copyFrom@UnicodeString@icu@@AEAAAEAV12@AEBV12@C@Z
        781  30C 00037CB0 ?copyLowPrefixFromNulTerminated@Normalizer2Impl@icu@@AEBAPEB_SPEB_SHPEAVReorderingBuffer@2@AEAW4UErrorCode@@@Z
        782  30D 00021230 ?copyReorderableSuffixTo@ReorderingBuffer@icu@@QEBAXAEAVUnicodeString@2@@Z
        783  30E 00032B40 ?copyStorage@MessagePattern@icu@@AEAACAEBV12@AEAW4UErrorCode@@@Z
        784  30F 0001D880 ?count@Hashtable@icu@@QEBAHXZ
        785  310 000A2880 ?count@UStringEnumeration@icu@@UEBAHAEAW4UErrorCode@@@Z
        786  311 00092A60 ?countChar32@UnicodeString@icu@@QEBAHHH@Z
        787  312 0001FCF0 ?countElementUnits@BytesTrieBuilder@icu@@EEBAHHHH@Z
        788  313 0005B860 ?countElementUnits@UCharsTrieBuilder@icu@@EEBAHHHH@Z
        789  314 00047EB0 ?countFactories@ICUService@icu@@IEBAHXZ
        790  315 00032CD0 ?countParts@MessagePattern@icu@@QEBAHXZ
        791  316 00049A50 ?create@LocaleKeyFactory@icu@@UEBAPEAVUObject@2@AEBVICUServiceKey@2@PEBVICUService@2@AEAW4UErrorCode@@@Z
        792  317 00047ED0 ?create@SimpleFactory@icu@@UEBAPEAVUObject@2@AEBVICUServiceKey@2@PEBVICUService@2@AEAW4UErrorCode@@@Z
        793  318 0004AC30 ?create@SimpleLocaleKeyFactory@icu@@UEBAPEAVUObject@2@AEBVICUServiceKey@2@PEBVICUService@2@AEAW4UErrorCode@@@Z
        794  319 00047F90 ?create@StringPair@icu@@SAPEAV12@AEBVUnicodeString@2@0AEAW4UErrorCode@@@Z
        795  31A 0003EEF0 ?createBufferClone@RuleBasedBreakIterator@icu@@UEAAPEAVBreakIterator@2@PEAXAEAHAEAW4UErrorCode@@@Z
        796  31B 0002F910 ?createCanonical@Locale@icu@@SA?AV12@PEBD@Z
        797  31C 0001D890 ?createCharacterInstance@BreakIterator@icu@@SAPEAV12@AEBVLocale@2@AEAW4UErrorCode@@@Z
        798  31D 0004BCE0 ?createCompactBuilder@StringTrieBuilder@icu@@IEAAXHAEAW4UErrorCode@@@Z
        799  31E 00028990 ?createEmptyInstance@FilteredBreakIteratorBuilder@icu@@SAPEAV12@AEAW4UErrorCode@@@Z
        800  31F 0008C0F0 ?createFrom@UnicodeSet@icu@@SAPEAV12@AEBVUnicodeString@2@@Z
        801  320 0008C140 ?createFromAll@UnicodeSet@icu@@SAPEAV12@AEBVUnicodeString@2@@Z
        802  321 0002F960 ?createFromName@Locale@icu@@SA?AV12@PEBD@Z
        803  322 0001D8A0 ?createInstance@BreakIterator@icu@@CAPEAV12@AEBVLocale@2@HAEAW4UErrorCode@@@Z
        804  323 00028A10 ?createInstance@FilteredBreakIteratorBuilder@icu@@SAPEAV12@AEAW4UErrorCode@@@Z
        805  324 00028A20 ?createInstance@FilteredBreakIteratorBuilder@icu@@SAPEAV12@AEBVLocale@2@AEAW4UErrorCode@@@Z
        806  325 0002A3B0 ?createInstance@ListFormatter@icu@@SAPEAV12@AEAW4UErrorCode@@@Z
        807  326 0002A420 ?createInstance@ListFormatter@icu@@SAPEAV12@AEBVLocale@2@AEAW4UErrorCode@@@Z
        808  327 0002A440 ?createInstance@ListFormatter@icu@@SAPEAV12@AEBVLocale@2@PEBDAEAW4UErrorCode@@@Z
        809  328 0002D9B0 ?createInstance@LocaleDisplayNames@icu@@SAPEAV12@AEBVLocale@2@@Z
        810  329 0002D9C0 ?createInstance@LocaleDisplayNames@icu@@SAPEAV12@AEBVLocale@2@PEAW4UDisplayContext@@H@Z
        811  32A 0002DA20 ?createInstance@LocaleDisplayNames@icu@@SAPEAV12@AEBVLocale@2@W4UDialectHandling@@@Z
        812  32B 0004A100 ?createKey@ICULocaleService@icu@@MEBAPEAVICUServiceKey@2@PEBVUnicodeString@2@AEAW4UErrorCode@@@Z
        813  32C 0004A140 ?createKey@ICULocaleService@icu@@MEBAPEAVICUServiceKey@2@PEBVUnicodeString@2@HAEAW4UErrorCode@@@Z
        814  32D 00048030 ?createKey@ICUService@icu@@UEBAPEAVICUServiceKey@2@PEBVUnicodeString@2@AEAW4UErrorCode@@@Z
        815  32E 0002FA10 ?createKeywords@Locale@icu@@QEBAPEAVStringEnumeration@2@AEAW4UErrorCode@@@Z
        816  32F 0001D990 ?createLineInstance@BreakIterator@icu@@SAPEAV12@AEBVLocale@2@AEAW4UErrorCode@@@Z
        817  330 0001FD80 ?createLinearMatchNode@BytesTrieBuilder@icu@@EEBAPEAVNode@StringTrieBuilder@2@HHHPEAV342@@Z
        818  331 0005B910 ?createLinearMatchNode@UCharsTrieBuilder@icu@@EEBAPEAVNode@StringTrieBuilder@2@HHHPEAV342@@Z
        819  332 0001D9B0 ?createSentenceInstance@BreakIterator@icu@@SAPEAV12@AEBVLocale@2@AEAW4UErrorCode@@@Z
        820  333 00048080 ?createSimpleFactory@ICUService@icu@@MEAAPEAVICUServiceFactory@2@PEAVUObject@2@AEBVUnicodeString@2@CAEAW4UErrorCode@@@Z
        821  334 0001D9D0 ?createTitleInstance@BreakIterator@icu@@SAPEAV12@AEBVLocale@2@AEAW4UErrorCode@@@Z
        822  335 000AEDD0 ?createUTS46Instance@IDNA@icu@@SAPEAV12@IAEAW4UErrorCode@@@Z
        823  336 000495E0 ?createWithCanonicalFallback@LocaleKey@icu@@SAPEAV12@PEBVUnicodeString@2@0AEAW4UErrorCode@@@Z
        824  337 00049600 ?createWithCanonicalFallback@LocaleKey@icu@@SAPEAV12@PEBVUnicodeString@2@0HAEAW4UErrorCode@@@Z
        825  338 0001D9F0 ?createWordInstance@BreakIterator@icu@@SAPEAV12@AEBVLocale@2@AEAW4UErrorCode@@@Z
        826  339 0005CAC0 ?current32@UCharCharacterIterator@icu@@UEBAHXZ
        827  33A 0001EEA0 ?current@BytesTrie@icu@@QEBA?AW4UStringTrieResult@@XZ
        828  33B 0003B1B0 ?current@Normalizer@icu@@QEAAHXZ
        829  33C 0003EF40 ?current@RuleBasedBreakIterator@icu@@UEBAHXZ
        830  33D 0005CB50 ?current@UCharCharacterIterator@icu@@UEBA_SXZ
        831  33E 0005AB30 ?current@UCharsTrie@icu@@QEBA?AW4UStringTrieResult@@XZ
        832  33F 00048100 ?currentDescriptor@ICUServiceKey@icu@@UEBAAEAVUnicodeString@2@AEAV32@@Z
        833  340 000496C0 ?currentDescriptor@LocaleKey@icu@@UEBAAEAVUnicodeString@2@AEAV32@@Z
        834  341 00048160 ?currentID@ICUServiceKey@icu@@UEBAAEAVUnicodeString@2@AEAV32@@Z
        835  342 00049740 ?currentID@LocaleKey@icu@@UEBAAEAVUnicodeString@2@AEAV32@@Z
        836  343 00049770 ?currentLocale@LocaleKey@icu@@UEBAAEAVLocale@2@AEAV32@@Z
        837  344 0000C7C0 ?data@CharString@icu@@QEAAPEADXZ
        838  345 0000C7C0 ?data@CharString@icu@@QEBAPEBDXZ
        839  346 0000C7C0 ?data@StringPiece@icu@@QEBAPEBDXZ
        840  347 00021250 ?decompose@Hangul@icu@@SAHHQEA_S@Z
        841  348 00037D00 ?decompose@Normalizer2Impl@icu@@AEBACHGAEAVReorderingBuffer@2@AEAW4UErrorCode@@@Z
        842  349 00037E30 ?decompose@Normalizer2Impl@icu@@QEBAAEAVUnicodeString@2@AEBV32@AEAV32@AEAW4UErrorCode@@@Z
        843  34A 00037EE0 ?decompose@Normalizer2Impl@icu@@QEBAPEB_SPEB_S0PEAVReorderingBuffer@2@AEAW4UErrorCode@@@Z
        844  34B 00038150 ?decompose@Normalizer2Impl@icu@@QEBAXPEB_S0AEAVUnicodeString@2@HAEAW4UErrorCode@@@Z
        845  34C 0003B200 ?decompose@Normalizer@icu@@SAXAEBVUnicodeString@2@CHAEAV32@AEAW4UErrorCode@@@Z
        846  34D 00038220 ?decomposeAndAppend@Normalizer2Impl@icu@@QEBAXPEB_S0CAEAVUnicodeString@2@AEAVReorderingBuffer@2@AEAW4UErrorCode@@@Z
        847  34E 00038370 ?decomposeShort@Normalizer2Impl@icu@@AEBAPEBEPEBE0CCAEAVReorderingBuffer@2@AEAW4UErrorCode@@@Z
        848  34F 000386E0 ?decomposeShort@Normalizer2Impl@icu@@AEBAPEB_SPEB_S0CCAEAVReorderingBuffer@2@AEAW4UErrorCode@@@Z
        849  350 0004BD50 ?deleteCompactBuilder@StringTrieBuilder@icu@@IEAAXXZ
        850  351 0004ADF0 ?deleteIfZeroRefCount@SharedObject@icu@@QEBAXXZ
        851  352 0001E900 ?destinationIndex@Iterator@Edits@icu@@QEBAHXZ
        852  353 00026BE0 ?destinationIndexFromSourceIndex@Iterator@Edits@icu@@QEAAHHAEAW4UErrorCode@@@Z
        853  354 00092AB0 ?doAppend@UnicodeString@icu@@AEAAAEAV12@AEBV12@HH@Z
        854  355 00092B20 ?doAppend@UnicodeString@icu@@AEAAAEAV12@PEB_SHH@Z
        855  356 00018800 ?doCaseCompare@UnicodeString@icu@@AEBACHHAEBV12@HHI@Z
        856  357 00094E30 ?doCaseCompare@UnicodeString@icu@@AEBACHHPEB_SHHI@Z
        857  358 000188A0 ?doCharAt@UnicodeString@icu@@AEBA_SH@Z
        858  359 00095340 ?doCodepageCreate@UnicodeString@icu@@AEAAXPEBDH0@Z
        859  35A 000954F0 ?doCodepageCreate@UnicodeString@icu@@AEAAXPEBDHPEAUUConverter@@AEAW4UErrorCode@@@Z
        860  35B 000188F0 ?doCompare@UnicodeString@icu@@AEBACHHAEBV12@HH@Z
        861  35C 00092C60 ?doCompare@UnicodeString@icu@@AEBACHHPEB_SHH@Z
        862  35D 00018980 ?doCompareCodePointOrder@UnicodeString@icu@@AEBACHHAEBV12@HH@Z
        863  35E 00092D50 ?doCompareCodePointOrder@UnicodeString@icu@@AEBACHHPEB_SHH@Z
        864  35F 00092DF0 ?doEquals@UnicodeString@icu@@AEBACAEBV12@H@Z
        865  360 00095650 ?doExtract@UnicodeString@icu@@AEBAHHHPEADHPEAUUConverter@@AEAW4UErrorCode@@@Z
        866  361 00018A10 ?doExtract@UnicodeString@icu@@AEBAXHHAEAV12@@Z
        867  362 00092E30 ?doExtract@UnicodeString@icu@@AEBAXHHPEA_SH@Z
        868  363 00092EA0 ?doHashCode@UnicodeString@icu@@AEBAHXZ
        869  364 00092EE0 ?doIndexOf@UnicodeString@icu@@AEBAHHHH@Z
        870  365 00092F50 ?doIndexOf@UnicodeString@icu@@AEBAH_SHH@Z
        871  366 00092FC0 ?doLastIndexOf@UnicodeString@icu@@AEBAHHHH@Z
        872  367 00093030 ?doLastIndexOf@UnicodeString@icu@@AEBAH_SHH@Z
        873  368 000930B0 ?doReplace@UnicodeString@icu@@AEAAAEAV12@HHAEBV12@HH@Z
        874  369 00093120 ?doReplace@UnicodeString@icu@@AEAAAEAV12@HHPEB_SHH@Z
        875  36A 000933E0 ?doReverse@UnicodeString@icu@@AEAAAEAV12@HH@Z
        876  36B 0000E400 ?dumpCache@RuleBasedBreakIterator@icu@@QEAAXXZ
        877  36C 0000E400 ?dumpTables@RuleBasedBreakIterator@icu@@QEAAXXZ
        878  36D 000B18F0 ?elementAt@UVector@icu@@QEBAPEAXH@Z
        879  36E 0001B550 ?elementAti@UVector32@icu@@QEBAHH@Z
        880  36F 000B2CE0 ?elementAti@UVector64@icu@@QEBA_JH@Z
        881  370 000B1910 ?elementAti@UVector@icu@@QEBAHH@Z
        882  371 00018A70 ?empty@StringPiece@icu@@QEBACXZ
        883  372 00018A70 ?empty@UStack@icu@@QEBACXZ
        884  373 00018A70 ?empty@UVector32@icu@@QEBACXZ
        885  374 00018190 ?endIndex@CharacterIterator@icu@@QEBAHXZ
        886  375 0003B220 ?endIndex@Normalizer@icu@@QEBAHXZ
        887  376 00018A80 ?endsWith@UnicodeString@icu@@QEBACAEBV12@@Z
        888  377 00018B10 ?endsWith@UnicodeString@icu@@QEBACAEBV12@HH@Z
        889  378 00018B80 ?endsWith@UnicodeString@icu@@QEBACPEB_SHH@Z
        890  379 00018C10 ?endsWith@UnicodeString@icu@@QEBACVConstChar16Ptr@2@H@Z
        891  37A 00008A80 ?endsWithFileSeparator@CharString@icu@@QEBACXZ
        892  37B 00002B10 ?ensureBufferCapacity@UnicodeSet@icu@@AEAAXHAEAW4UErrorCode@@@Z
        893  37C 00038870 ?ensureCanonIterData@Normalizer2Impl@icu@@QEBACAEAW4UErrorCode@@@Z
        894  37D 0001FE30 ?ensureCapacity@BytesTrieBuilder@icu@@AEAACH@Z
        895  37E 00007930 ?ensureCapacity@CharString@icu@@AEAACHHAEAW4UErrorCode@@@Z
        896  37F 0005B9F0 ?ensureCapacity@UCharsTrieBuilder@icu@@AEAACH@Z
        897  380 0001B580 ?ensureCapacity@UVector32@icu@@QEAACHAEAW4UErrorCode@@@Z
        898  381 000B2D00 ?ensureCapacity@UVector64@icu@@QEAACHAEAW4UErrorCode@@@Z
        899  382 00005990 ?ensureCapacity@UVector@icu@@QEAACHAEAW4UErrorCode@@@Z
        900  383 00002A60 ?ensureCapacity@UnicodeSet@icu@@AEAAXHAEAW4UErrorCode@@@Z
        901  384 000A2890 ?ensureCharsCapacity@StringEnumeration@icu@@IEAAXHAEAW4UErrorCode@@@Z
        902  385 000231F0 ?ensureEndsWithFileSeparator@CharString@icu@@QEAAAEAV12@AEAW4UErrorCode@@@Z
        903  386 0000C500 ?equalNodes@StringTrieBuilder@icu@@SACPEBX0@Z
        904  387 0001DA10 ?equals@Hashtable@icu@@QEBACAEBV12@@Z
        905  388 00038900 ?equals@ReorderingBuffer@icu@@QEBACPEBE0@Z
        906  389 00038A80 ?equals@ReorderingBuffer@icu@@QEBACPEB_S0@Z
        907  38A 000B2270 ?equals@UVector32@icu@@QEBACAEBV12@@Z
        908  38B 000B1930 ?equals@UVector@icu@@QEBACAEBV12@@Z
        909  38C 00027940 ?errorName@ErrorCode@icu@@QEBAPEBDXZ
        910  38D 000A9900 ?escapeUnprintable@ICU_Utility@icu@@SACAEAVUnicodeString@2@H@Z
        911  38E 0008C190 ?exclusiveOr@UnicodeSet@icu@@AEAAXPEBHHC@Z
        912  38F 000B2540 ?expandCapacity@UVector32@icu@@QEAACHAEAW4UErrorCode@@@Z
        913  390 000B2D20 ?expandCapacity@UVector64@icu@@QEAACHAEAW4UErrorCode@@@Z
        914  391 000212E0 ?extract@CanonicalIterator@icu@@AEAAPEAVHashtable@2@PEAV32@HPEB_SHHAEAW4UErrorCode@@@Z
        915  392 00008650 ?extract@UnicodeString@icu@@QEBAHHHPEADHW4EInvariant@12@@Z
        916  393 000957C0 ?extract@UnicodeString@icu@@QEBAHHHPEADI@Z
        917  394 000957F0 ?extract@UnicodeString@icu@@QEBAHHHPEADIPEBD@Z
        918  395 00018C80 ?extract@UnicodeString@icu@@QEBAHHHPEADPEBD@Z
        919  396 00095980 ?extract@UnicodeString@icu@@QEBAHPEADHPEAUUConverter@@AEAW4UErrorCode@@@Z
        920  397 00093540 ?extract@UnicodeString@icu@@QEBAHVChar16Ptr@2@HAEAW4UErrorCode@@@Z
        921  398 00018CB0 ?extract@UnicodeString@icu@@QEBAXHHAEAV12@@Z
        922  399 00018CC0 ?extract@UnicodeString@icu@@QEBAXHHVChar16Ptr@2@H@Z
        923  39A 00018CD0 ?extractBetween@UnicodeString@icu@@QEBAXHHPEA_SH@Z
        924  39B 000935F0 ?extractBetween@UnicodeString@icu@@UEBAXHHAEAV12@@Z
        925  39C 0000E480 ?fallback@ICUServiceKey@icu@@UEAACXZ
        926  39D 00049790 ?fallback@LocaleKey@icu@@UEAACXZ
        927  39E 00093650 ?fastCopyFrom@UnicodeString@icu@@QEAAAEAV12@AEBV12@@Z
        928  39F 0001DA30 ?find@Hashtable@icu@@QEBAPEBUUHashElement@@AEBVUnicodeString@2@@Z
        929  3A0 00018D30 ?findAndReplace@UnicodeString@icu@@QEAAAEAV12@AEBV12@0@Z
        930  3A1 00018DC0 ?findAndReplace@UnicodeString@icu@@QEAAAEAV12@HHAEBV12@0@Z
        931  3A2 00093660 ?findAndReplace@UnicodeString@icu@@QEAAAEAV12@HHAEBV12@HH0HH@Z
        932  3A3 0008C2C0 ?findCodePoint@UnicodeSet@icu@@AEBAHH@Z
        933  3A4 0001E910 ?findDestinationIndex@Iterator@Edits@icu@@QEAACHAEAW4UErrorCode@@@Z
        934  3A5 00026C40 ?findIndex@Iterator@Edits@icu@@AEAAHHCAEAW4UErrorCode@@@Z
        935  3A6 00038AC0 ?findNextCompBoundary@Normalizer2Impl@icu@@AEBAPEB_SPEB_S0C@Z
        936  3A7 00038B50 ?findNextFCDBoundary@Normalizer2Impl@icu@@AEBAPEB_SPEB_S0@Z
        937  3A8 00038C90 ?findPreviousCompBoundary@Normalizer2Impl@icu@@AEBAPEB_SPEB_S0C@Z
        938  3A9 00038D20 ?findPreviousFCDBoundary@Normalizer2Impl@icu@@AEBAPEB_SPEB_S0@Z
