Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\spacebridge.dll

File Type: DLL

  Section contains the following exports for spacebridge.dll

    00000000 characteristics
    D7EB1722 time date stamp
        0.00 version
           1 ordinal base
        1142 number of functions
        1142 number of names

    ordinal hint RVA      name

         72   47 00002920 DRIVE_LAYOUT_INFORMATION_GPT_Get_DiskId
         73   48 00002C00 DRIVE_LAYOUT_INFORMATION_GPT_Get_MaxPartitionCount
         74   49 00002AF0 DRIVE_LAYOUT_INFORMATION_GPT_Get_StartingUsableOffset
         75   4A 00002BE0 DRIVE_LAYOUT_INFORMATION_GPT_Get_UsableLength
         76   4B 00002940 DRIVE_LAYOUT_INFORMATION_GPT_Set_DiskId
         77   4C 00002C10 DRIVE_LAYOUT_INFORMATION_GPT_Set_MaxPartitionCount
         78   4D 00002B00 DRIVE_LAYOUT_INFORMATION_GPT_Set_StartingUsableOffset
         79   4E 00002BF0 DRIVE_LAYOUT_INFORMATION_GPT_Set_UsableLength
         80   4F 00002C20 DRIVE_LAYOUT_INFORMATION_MBR_Get_CxxSize
         81   50 00002AB0 DRIVE_LAYOUT_INFORMATION_MBR_Get_Signature
         82   51 00002AC0 DRIVE_LAYOUT_INFORMATION_MBR_Set_Signature
         83   52 00002AA0 PARTITION_INFORMATION_EX_Get_CxxSize
         84   53 00002B50 PARTITION_INFORMATION_EX_Get_Gpt
         85   54 00002B50 PARTITION_INFORMATION_EX_Get_Mbr
         86   55 00002AF0 PARTITION_INFORMATION_EX_Get_PartitionLength
         87   56 00002B10 PARTITION_INFORMATION_EX_Get_PartitionNumber
         88   57 00002AB0 PARTITION_INFORMATION_EX_Get_PartitionStyle
         89   58 00002B30 PARTITION_INFORMATION_EX_Get_RewritePartition
         90   59 00002AD0 PARTITION_INFORMATION_EX_Get_StartingOffset
         91   5A 00002B80 PARTITION_INFORMATION_EX_Set_Gpt
         92   5B 00002B60 PARTITION_INFORMATION_EX_Set_Mbr
         93   5C 00002B00 PARTITION_INFORMATION_EX_Set_PartitionLength
         94   5D 00002B20 PARTITION_INFORMATION_EX_Set_PartitionNumber
         95   5E 00002AC0 PARTITION_INFORMATION_EX_Set_PartitionStyle
         96   5F 00002B40 PARTITION_INFORMATION_EX_Set_RewritePartition
         97   60 00002AE0 PARTITION_INFORMATION_EX_Set_StartingOffset
         98   61 00002980 PARTITION_INFORMATION_GPT_Get_Attributes
         99   62 00002910 PARTITION_INFORMATION_GPT_Get_CxxSize
        100   63 000029A0 PARTITION_INFORMATION_GPT_Get_Name
        101   64 00002950 PARTITION_INFORMATION_GPT_Get_PartitionId
        102   65 00002920 PARTITION_INFORMATION_GPT_Get_PartitionType
        103   66 00002990 PARTITION_INFORMATION_GPT_Set_Attributes
        104   67 000029B0 PARTITION_INFORMATION_GPT_Set_Name
        105   68 00002970 PARTITION_INFORMATION_GPT_Set_PartitionId
        106   69 00002940 PARTITION_INFORMATION_GPT_Set_PartitionType
        107   6A 00002A10 PARTITION_INFORMATION_MBR_Get_BootIndicator
        108   6B 00002860 PARTITION_INFORMATION_MBR_Get_CxxSize
        109   6C 00002A50 PARTITION_INFORMATION_MBR_Get_HiddenSectors
        110   6D 00002A70 PARTITION_INFORMATION_MBR_Get_PartitionId
        111   6E 000029F0 PARTITION_INFORMATION_MBR_Get_PartitionType
        112   6F 00002A30 PARTITION_INFORMATION_MBR_Get_RecognizedPartition
        113   70 00002A20 PARTITION_INFORMATION_MBR_Set_BootIndicator
