Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\spacebridge.dll

File Type: DLL

  Section contains the following exports for spacebridge.dll

    00000000 characteristics
    D7EB1722 time date stamp
        0.00 version
           1 ordinal base
        1142 number of functions
        1142 number of names

    ordinal hint RVA      name

        399  18E 00005A60 SDB_DRIVE_Set_Description
        400  18F 00005210 SDB_DRIVE_Set_DriveId
        401  190 00005DB0 SDB_DRIVE_Set_Element
        402  191 00003E60 SDB_DRIVE_Set_ExtentArray
        403  192 00005A80 SDB_DRIVE_Set_Flags
        404  193 00005DF0 SDB_DRIVE_Set_InMaintenance
        405  194 00005D90 SDB_DRIVE_Set_MediaType
        406  195 00005A50 SDB_DRIVE_Set_Name
        407  196 00005DD0 SDB_DRIVE_Set_RepairDelayTime
        408  197 00005E10 SDB_DRIVE_Set_TempFlags
        409  198 00005E40 SDB_DRIVE_Set_TempListEntry
        410  199 00005AA0 SDB_DRIVE_Set_Usage
        411  19A 00005E90 SDB_DRIVE_Unformat
        412  19B 00006EB0 SDB_EXTENT_Associate
        413  19C 00006E40 SDB_EXTENT_Clone
        414  19D 00004FB0 SDB_EXTENT_CollectTelemetry
        415  19E 00006D30 SDB_EXTENT_Construct
        416  19F 00006E90 SDB_EXTENT_Format
        417  1A0 00006F10 SDB_EXTENT_GetDrive
        418  1A1 00006EA0 SDB_EXTENT_GetSize
        419  1A2 00006EF0 SDB_EXTENT_GetSpace
        420  1A3 00006F00 SDB_EXTENT_GetTier
        421  1A4 00006DD0 SDB_EXTENT_Get_ColumnNumber
        422  1A5 00005A90 SDB_EXTENT_Get_CopyId
        423  1A6 00006D20 SDB_EXTENT_Get_CxxSize
        424  1A7 00003DD0 SDB_EXTENT_Get_DriveOffset
        425  1A8 00006DB0 SDB_EXTENT_Get_DriveRecordId
        426  1A9 00006DF0 SDB_EXTENT_Get_Flags
        427  1AA 00002980 SDB_EXTENT_Get_Length
        428  1AB 00003E10 SDB_EXTENT_Get_NextExtentInSlab
        429  1AC 00005AB0 SDB_EXTENT_Get_ReplacementCopyId
        430  1AD 00004DA0 SDB_EXTENT_Get_SpaceOffset
        431  1AE 00004A70 SDB_EXTENT_Get_SpaceRecordId
        432  1AF 00006E10 SDB_EXTENT_Get_TempFlags
        433  1B0 00004A70 SDB_EXTENT_Get_TierRecordId
        434  1B1 00005D60 SDB_EXTENT_Initialize
        435  1B2 00005D60 SDB_EXTENT_IntegrityCheck
        436  1B3 00006F30 SDB_EXTENT_Provisioning
        437  1B4 00007040 SDB_EXTENT_ResidingOnDisk
        438  1B5 00006F80 SDB_EXTENT_Resiliency
        439  1B6 00006DE0 SDB_EXTENT_Set_ColumnNumber
        440  1B7 00005AA0 SDB_EXTENT_Set_CopyId
        441  1B8 00004A60 SDB_EXTENT_Set_DriveOffset
        442  1B9 00006DC0 SDB_EXTENT_Set_DriveRecordId
        443  1BA 00006E00 SDB_EXTENT_Set_Flags
        444  1BB 00002990 SDB_EXTENT_Set_Length
        445  1BC 00006E30 SDB_EXTENT_Set_NextExtentInSlab
        446  1BD 00005AC0 SDB_EXTENT_Set_ReplacementCopyId
        447  1BE 00004DB0 SDB_EXTENT_Set_SpaceOffset
        448  1BF 00004A80 SDB_EXTENT_Set_SpaceRecordId
        449  1C0 00006E20 SDB_EXTENT_Set_TempFlags
        450  1C1 00004A80 SDB_EXTENT_Set_TierRecordId
        451  1C2 00006FD0 SDB_EXTENT_SupportsSafeReallocation
        452  1C3 00006E50 SDB_EXTENT_Unformat
        453  1C4 00005D60 SDB_METADATA_Associate
        454  1C5 000071A0 SDB_METADATA_Clone
        455  1C6 00004FB0 SDB_METADATA_CollectTelemetry
        456  1C7 00005A00 SDB_METADATA_Destruct
        457  1C8 000071F0 SDB_METADATA_Format
        458  1C9 00007200 SDB_METADATA_GetSize
        459  1CA 00003230 SDB_METADATA_Get_CxxSize
        460  1CB 00002C00 SDB_METADATA_Get_NumberOfMetadataDrives
        461  1CC 00007180 SDB_METADATA_Initialize
        462  1CD 00007210 SDB_METADATA_IntegrityCheck
        463  1CE 00002C10 SDB_METADATA_Set_NumberOfMetadataDrives
        464  1CF 000071B0 SDB_METADATA_Unformat
        465  1D0 000050F0 SDB_OBJECT_Associate
        466  1D1 00005010 SDB_OBJECT_Clone
        467  1D2 00005190 SDB_OBJECT_CollectTelemetry
        468  1D3 00002610 SDB_OBJECT_Destruct
        469  1D4 00005080 SDB_OBJECT_Format
        470  1D5 000051B0 SDB_OBJECT_GetSize
        471  1D6 00002DE0 SDB_OBJECT_Get_CxxSize
        472  1D7 00002DA0 SDB_OBJECT_Get_Key
        473  1D8 00004FA0 SDB_OBJECT_Get_Pending
        474  1D9 00002AF0 SDB_OBJECT_Get_Record
        475  1DA 000032B0 SDB_OBJECT_Get_Temporary
        476  1DB 00002E70 SDB_OBJECT_Get_Version
        477  1DC 00004FC0 SDB_OBJECT_Initialize
        478  1DD 000050A0 SDB_OBJECT_IntegrityCheck
        479  1DE 000051D0 SDB_OBJECT_ResidingOnDisk
        480  1DF 00005140 SDB_OBJECT_SanityCheck
        481  1E0 00002DB0 SDB_OBJECT_Set_Key
        482  1E1 00004FB0 SDB_OBJECT_Set_Pending
        483  1E2 00002B00 SDB_OBJECT_Set_Record
        484  1E3 000032C0 SDB_OBJECT_Set_Temporary
        485  1E4 00002E80 SDB_OBJECT_Set_Version
        486  1E5 00005030 SDB_OBJECT_Unformat
        487  1E6 00005D40 SDB_POOL_Associate
        488  1E7 00005620 SDB_POOL_CONFIG_Construct
        489  1E8 00005690 SDB_POOL_CONFIG_CreateAssociations
        490  1E9 000011A0 SDB_POOL_CONFIG_CreateDriveRecord
        491  1EA 000011A0 SDB_POOL_CONFIG_CreateExtentRecord
        492  1EB 000011A0 SDB_POOL_CONFIG_CreatePoolRecord
        493  1EC 000011A0 SDB_POOL_CONFIG_CreateSpaceRecord
        494  1ED 000011A0 SDB_POOL_CONFIG_CreateTierRecord
        495  1EE 00003690 SDB_POOL_CONFIG_Destruct
        496  1EF 00005860 SDB_POOL_CONFIG_ExportRecords
        497  1F0 00005790 SDB_POOL_CONFIG_FindConfigSpace
        498  1F1 00005760 SDB_POOL_CONFIG_FindDriveById
        499  1F2 00005750 SDB_POOL_CONFIG_FindExtent
        500  1F3 00005880 SDB_POOL_CONFIG_FindRecordByRecordId
        501  1F4 00005770 SDB_POOL_CONFIG_FindSpaceById
        502  1F5 00005780 SDB_POOL_CONFIG_FindTierById
        503  1F6 000057E0 SDB_POOL_CONFIG_FindTopLevelSpace
        504  1F7 00005840 SDB_POOL_CONFIG_GetRecord
        505  1F8 00005850 SDB_POOL_CONFIG_GetRecordByType
        506  1F9 000057A0 SDB_POOL_CONFIG_GetSpaceConfigSlotByDrive
        507  1FA 00005610 SDB_POOL_CONFIG_Get_CxxSize
        508  1FB 00003E30 SDB_POOL_CONFIG_Get_PoolRecord
        509  1FC 00005870 SDB_POOL_CONFIG_ImportRecords
        510  1FD 000057F0 SDB_POOL_CONFIG_InsertRecord
        511  1FE 00005710 SDB_POOL_CONFIG_IntegrityCheck
        512  1FF 000056D0 SDB_POOL_CONFIG_OnUpdate
        513  200 00005830 SDB_POOL_CONFIG_RemoveRecord
        514  201 00003E40 SDB_POOL_CONFIG_Set_PoolRecord
        515  202 00005C90 SDB_POOL_Clone
        516  203 00004FB0 SDB_POOL_CollectTelemetry
        517  204 00005A00 SDB_POOL_Destruct
        518  205 00005CE0 SDB_POOL_Format
        519  206 00005CF0 SDB_POOL_GetSize
        520  207 00004140 SDB_POOL_Get_Attributes
        521  208 00005AB0 SDB_POOL_Get_BytesPerLogicalSector
        522  209 00005AD0 SDB_POOL_Get_BytesPerPhysicalSector
        523  20A 00005A90 SDB_POOL_Get_CompatibleVersion
        524  20B 00004100 SDB_POOL_Get_ConsumedCapacity
        525  20C 000059F0 SDB_POOL_Get_CxxSize
        526  20D 00004090 SDB_POOL_Get_DefaultPerformance
        527  20E 00005B50 SDB_POOL_Get_DefaultProvisioning
        528  20F 00005B80 SDB_POOL_Get_DefaultResiliencyType
        529  210 00004650 SDB_POOL_Get_Description
        530  211 00005A70 SDB_POOL_Get_Flags
        531  212 00003DD0 SDB_POOL_Get_Name
        532  213 00005A30 SDB_POOL_Get_PoolId
        533  214 00005B10 SDB_POOL_Get_RapidRegeneration
        534  215 000041A0 SDB_POOL_Get_RebalanceUnitsInProgress
        535  216 00004180 SDB_POOL_Get_RebalanceUnitsProcessed
        536  217 00004160 SDB_POOL_Get_RebalanceUnitsRemaining
        537  218 00005BA0 SDB_POOL_Get_ResiliencyTemplatesAt
        538  219 00005B30 SDB_POOL_Get_RetireMissingDrives
        539  21A 00005C30 SDB_POOL_Get_SdLength
        540  21B 00005AF0 SDB_POOL_Get_Threshold
        541  21C 00005C10 SDB_POOL_Get_TotalCapacity
        542  21D 00005C50 SDB_POOL_Initialize
        543  21E 00005D00 SDB_POOL_IntegrityCheck
        544  21F 00005D60 SDB_POOL_SanityCheck
        545  220 00004150 SDB_POOL_Set_Attributes
        546  221 00005AC0 SDB_POOL_Set_BytesPerLogicalSector
        547  222 00005AE0 SDB_POOL_Set_BytesPerPhysicalSector
        548  223 00005AA0 SDB_POOL_Set_CompatibleVersion
        549  224 00004110 SDB_POOL_Set_ConsumedCapacity
        550  225 00005BF0 SDB_POOL_Set_DefaultPerformance
        551  226 00005B60 SDB_POOL_Set_DefaultProvisioning
        552  227 00005B90 SDB_POOL_Set_DefaultResiliencyType
        553  228 00005A60 SDB_POOL_Set_Description
        554  229 00005A80 SDB_POOL_Set_Flags
        555  22A 00005A50 SDB_POOL_Set_Name
        556  22B 00005210 SDB_POOL_Set_PoolId
        557  22C 00005B20 SDB_POOL_Set_RapidRegeneration
        558  22D 000041B0 SDB_POOL_Set_RebalanceUnitsInProgress
        559  22E 00004190 SDB_POOL_Set_RebalanceUnitsProcessed
        560  22F 00004170 SDB_POOL_Set_RebalanceUnitsRemaining
        561  230 00005BC0 SDB_POOL_Set_ResiliencyTemplatesAt
        562  231 00005B40 SDB_POOL_Set_RetireMissingDrives
        563  232 00005C40 SDB_POOL_Set_SdLength
        564  233 00005B00 SDB_POOL_Set_Threshold
        565  234 00005C20 SDB_POOL_Set_TotalCapacity
        566  235 00005CA0 SDB_POOL_Unformat
        567  236 00004F90 SDB_RECORD_Abort
        568  237 00004F80 SDB_RECORD_Commit
        569  238 00004F40 SDB_RECORD_Delete
        570  239 00004D20 SDB_RECORD_Destruct
        571  23A 00004E40 SDB_RECORD_Format
        572  23B 00004E80 SDB_RECORD_Format2
        573  23C 00004D50 SDB_RECORD_FromListEntry
        574  23D 00004E90 SDB_RECORD_GetHeader
        575  23E 00004EA0 SDB_RECORD_GetObject
        576  23F 00002980 SDB_RECORD_Get_ActiveObject
        577  240 00004D60 SDB_RECORD_Get_Census
        578  241 00002AF0 SDB_RECORD_Get_Config
        579  242 00003230 SDB_RECORD_Get_CxxSize
        580  243 00002B10 SDB_RECORD_Get_Id
        581  244 00004D50 SDB_RECORD_Get_ListEntry
        582  245 00004DA0 SDB_RECORD_Get_PendingObject
        583  246 00004D80 SDB_RECORD_Get_TransFlags
        584  247 00002B30 SDB_RECORD_Get_Type
        585  248 00004DC0 SDB_RECORD_Initialize
        586  249 00004EE0 SDB_RECORD_IsDeleted
        587  24A 00004ED0 SDB_RECORD_IsNew
        588  24B 00004EB0 SDB_RECORD_IsPreTouched
        589  24C 00004EC0 SDB_RECORD_IsTouched
        590  24D 00004EF0 SDB_RECORD_PreTouch
        591  24E 00002990 SDB_RECORD_Set_ActiveObject
        592  24F 00004D70 SDB_RECORD_Set_Census
        593  250 00002B00 SDB_RECORD_Set_Config
        594  251 00002B20 SDB_RECORD_Set_Id
        595  252 00002940 SDB_RECORD_Set_ListEntry
        596  253 00004DB0 SDB_RECORD_Set_PendingObject
        597  254 00004D90 SDB_RECORD_Set_TransFlags
        598  255 00002B40 SDB_RECORD_Set_Type
        599  256 00004F30 SDB_RECORD_Touch
        600  257 00004E00 SDB_RECORD_Unformat
        601  258 000064D0 SDB_SPACE_Associate
        602  259 000011A0 SDB_SPACE_CONFIG_Create
        603  25A 00005940 SDB_SPACE_CONFIG_CreateColumnRecord
        604  25B 00005990 SDB_SPACE_CONFIG_DeleteColumnRecords
        605  25C 00005980 SDB_SPACE_CONFIG_FindColumnRecord
        606  25D 000059D0 SDB_SPACE_CONFIG_GetMetadataRecord
        607  25E 00005890 SDB_SPACE_CONFIG_Get_CxxSize
        608  25F 000058A0 SDB_SPACE_CONFIG_Get_NumberOfCopies
        609  260 000059E0 SDB_SPACE_CONFIG_HasMetadata
        610  261 000058C0 SDB_SPACE_CONFIG_Load
        611  262 000058B0 SDB_SPACE_CONFIG_Set_NumberOfCopies
        612  263 00005900 SDB_SPACE_CONFIG_Upgrade
        613  264 00006420 SDB_SPACE_Clone
        614  265 00006510 SDB_SPACE_CollectTelemetry
        615  266 00005A00 SDB_SPACE_Destruct
        616  267 00006620 SDB_SPACE_FindExtent
        617  268 00006630 SDB_SPACE_FindExtentByReplacement
        618  269 000065D0 SDB_SPACE_FindFirstExtent
        619  26A 00006600 SDB_SPACE_FindNextExtent
        620  26B 00006470 SDB_SPACE_Format
        621  26C 000069B0 SDB_SPACE_GetAllocatedCapacity
        622  26D 00006830 SDB_SPACE_GetChild
        623  26E 00006880 SDB_SPACE_GetChild2
        624  26F 000067E0 SDB_SPACE_GetExtent
        625  270 00006720 SDB_SPACE_GetNumberOfCopies
        626  271 00006480 SDB_SPACE_GetSize
        627  272 00006910 SDB_SPACE_GetTier
        628  273 00006640 SDB_SPACE_GetUnusedCopyId
        629  274 00006360 SDB_SPACE_Get_Attributes
        630  275 000061B0 SDB_SPACE_Get_Capacity
        631  276 00004070 SDB_SPACE_Get_ChildListHead
        632  277 00005DC0 SDB_SPACE_Get_ChildListNext
        633  278 00006180 SDB_SPACE_Get_CxxSize
        634  279 00004650 SDB_SPACE_Get_Description
        635  27A 00006320 SDB_SPACE_Get_DetachReason
        636  27B 000062E0 SDB_SPACE_Get_ExtentArray
        637  27C 00005A70 SDB_SPACE_Get_Flags
        638  27D 00003DD0 SDB_SPACE_Get_Name
        639  27E 00004160 SDB_SPACE_Get_NewCapacity
        640  27F 000063A0 SDB_SPACE_Get_NumberOfMetadataDrives
        641  280 000041E0 SDB_SPACE_Get_OldReallocationsCompleted
        642  281 00006280 SDB_SPACE_Get_ParentRecordId
        643  282 00006250 SDB_SPACE_Get_Performance
        644  283 00006380 SDB_SPACE_Get_Priority
        645  284 000061F0 SDB_SPACE_Get_Provisioning
        646  285 00004200 SDB_SPACE_Get_ReallocationsCompleted
        647  286 00004220 SDB_SPACE_Get_ReallocationsRemaining
        648  287 00006220 SDB_SPACE_Get_Resiliency
        649  288 000062C0 SDB_SPACE_Get_ScopeCount
        650  289 000062A0 SDB_SPACE_Get_ScopeType
        651  28A 00006340 SDB_SPACE_Get_SdLength
        652  28B 00005C10 SDB_SPACE_Get_SlabSize
        653  28C 000061D0 SDB_SPACE_Get_Slot
        654  28D 00004260 SDB_SPACE_Get_SpaceConfig
        655  28E 00005A30 SDB_SPACE_Get_SpaceId
        656  28F 000063C0 SDB_SPACE_Get_TempFlags
        657  290 00006300 SDB_SPACE_Get_TierListHead
        658  291 00006190 SDB_SPACE_Get_Usage
        659  292 000063E0 SDB_SPACE_Initialize
        660  293 000068C0 SDB_SPACE_InsertChild
        661  294 000067A0 SDB_SPACE_InsertExtentRecord
        662  295 00006950 SDB_SPACE_InsertTier
        663  296 00006490 SDB_SPACE_IntegrityCheck
        664  297 000066C0 SDB_SPACE_IsOffsetRebalancing
        665  298 00006960 SDB_SPACE_NeedsInit
        666  299 00006920 SDB_SPACE_NumberOfTiers
        667  29A 00006900 SDB_SPACE_RemoveChild
        668  29B 000067F0 SDB_SPACE_RemoveExtentRecord
        669  29C 00006520 SDB_SPACE_ResidingOnDisk
        670  29D 00005D60 SDB_SPACE_SanityCheck
        671  29E 00006370 SDB_SPACE_Set_Attributes
        672  29F 000061C0 SDB_SPACE_Set_Capacity
        673  2A0 00004080 SDB_SPACE_Set_ChildListHead
        674  2A1 00005DD0 SDB_SPACE_Set_ChildListNext
        675  2A2 00005A60 SDB_SPACE_Set_Description
        676  2A3 00006330 SDB_SPACE_Set_DetachReason
        677  2A4 000062F0 SDB_SPACE_Set_ExtentArray
        678  2A5 00005A80 SDB_SPACE_Set_Flags
        679  2A6 00005A50 SDB_SPACE_Set_Name
        680  2A7 00004170 SDB_SPACE_Set_NewCapacity
        681  2A8 000063B0 SDB_SPACE_Set_NumberOfMetadataDrives
        682  2A9 000041F0 SDB_SPACE_Set_OldReallocationsCompleted
        683  2AA 00006290 SDB_SPACE_Set_ParentRecordId
        684  2AB 00006260 SDB_SPACE_Set_Performance
        685  2AC 00006390 SDB_SPACE_Set_Priority
        686  2AD 00006200 SDB_SPACE_Set_Provisioning
        687  2AE 00004210 SDB_SPACE_Set_ReallocationsCompleted
        688  2AF 00004230 SDB_SPACE_Set_ReallocationsRemaining
        689  2B0 00006230 SDB_SPACE_Set_Resiliency
        690  2B1 000062D0 SDB_SPACE_Set_ScopeCount
        691  2B2 000062B0 SDB_SPACE_Set_ScopeType
        692  2B3 00006350 SDB_SPACE_Set_SdLength
        693  2B4 00005C20 SDB_SPACE_Set_SlabSize
        694  2B5 000061E0 SDB_SPACE_Set_Slot
        695  2B6 00004270 SDB_SPACE_Set_SpaceConfig
        696  2B7 00005210 SDB_SPACE_Set_SpaceId
        697  2B8 000063D0 SDB_SPACE_Set_TempFlags
        698  2B9 00006310 SDB_SPACE_Set_TierListHead
        699  2BA 000061A0 SDB_SPACE_Set_Usage
        700  2BB 00006430 SDB_SPACE_Unformat
        701  2BC 00006C10 SDB_TIER_AppendRegion
        702  2BD 00006BD0 SDB_TIER_Associate
        703  2BE 00006B20 SDB_TIER_Clone
        704  2BF 00004FB0 SDB_TIER_CollectTelemetry
        705  2C0 00005A00 SDB_TIER_Destruct
        706  2C1 00006B70 SDB_TIER_Format
        707  2C2 00006C50 SDB_TIER_GetChild
        708  2C3 00006CA0 SDB_TIER_GetChild2
        709  2C4 00006B80 SDB_TIER_GetSize
        710  2C5 00004070 SDB_TIER_Get_Capacity
        711  2C6 00003E70 SDB_TIER_Get_ChildListHead
        712  2C7 00003E90 SDB_TIER_Get_ChildListNext
        713  2C8 00006AB0 SDB_TIER_Get_Class
        714  2C9 00005D70 SDB_TIER_Get_CxxSize
        715  2CA 00004650 SDB_TIER_Get_Description
        716  2CB 00005A70 SDB_TIER_Get_Flags
        717  2CC 00003DD0 SDB_TIER_Get_Name
        718  2CD 00005DC0 SDB_TIER_Get_NewCapacity
        719  2CE 00006A50 SDB_TIER_Get_NumberOfRegions
        720  2CF 00005B80 SDB_TIER_Get_ParentRecordId
        721  2D0 000069D0 SDB_TIER_Get_Provisioning
        722  2D1 00003E50 SDB_TIER_Get_Regions
        723  2D2 00006A00 SDB_TIER_Get_Resiliency
        724  2D3 00006A90 SDB_TIER_Get_ScopeCount
        725  2D4 00006A70 SDB_TIER_Get_ScopeType
        726  2D5 000062E0 SDB_TIER_Get_Space
        727  2D6 00006A30 SDB_TIER_Get_SpaceRecordId
        728  2D7 00006AD0 SDB_TIER_Get_TempSpaceId
        729  2D8 00005A30 SDB_TIER_Get_TierId
        730  2D9 00003EB0 SDB_TIER_Get_TierListNext
        731  2DA 00005A90 SDB_TIER_Get_Usage
        732  2DB 00006B10 SDB_TIER_Initialize
        733  2DC 00006CE0 SDB_TIER_InsertChild
        734  2DD 00006B90 SDB_TIER_IntegrityCheck
        735  2DE 00003030 SDB_TIER_REGION_Get_CxxSize
        736  2DF 00002AD0 SDB_TIER_REGION_Get_Length
        737  2E0 00002870 SDB_TIER_REGION_Get_SpaceOffset
        738  2E1 00002AE0 SDB_TIER_REGION_Set_Length
        739  2E2 00002880 SDB_TIER_REGION_Set_SpaceOffset
        740  2E3 00004080 SDB_TIER_Set_Capacity
        741  2E4 00003E80 SDB_TIER_Set_ChildListHead
        742  2E5 00003EA0 SDB_TIER_Set_ChildListNext
        743  2E6 00006AC0 SDB_TIER_Set_Class
        744  2E7 00005A60 SDB_TIER_Set_Description
        745  2E8 00005A80 SDB_TIER_Set_Flags
        746  2E9 00005A50 SDB_TIER_Set_Name
        747  2EA 00005DD0 SDB_TIER_Set_NewCapacity
        748  2EB 00006A60 SDB_TIER_Set_NumberOfRegions
        749  2EC 00005B90 SDB_TIER_Set_ParentRecordId
        750  2ED 000069E0 SDB_TIER_Set_Provisioning
        751  2EE 00003E60 SDB_TIER_Set_Regions
        752  2EF 00006A10 SDB_TIER_Set_Resiliency
        753  2F0 00006AA0 SDB_TIER_Set_ScopeCount
        754  2F1 00006A80 SDB_TIER_Set_ScopeType
        755  2F2 000062F0 SDB_TIER_Set_Space
        756  2F3 00006A40 SDB_TIER_Set_SpaceRecordId
        757  2F4 00006AF0 SDB_TIER_Set_TempSpaceId
        758  2F5 00005210 SDB_TIER_Set_TierId
        759  2F6 00003EC0 SDB_TIER_Set_TierListNext
        760  2F7 00005AA0 SDB_TIER_Set_Usage
        761  2F8 00006B30 SDB_TIER_Unformat
        762  2F9 00003030 SP_PERFORMANCE_INFO_Get_CxxSize
        763  2FA 00002AD0 SP_PERFORMANCE_INFO_Get_ReadCacheSize
        764  2FB 00002870 SP_PERFORMANCE_INFO_Get_WriteCacheSize
        765  2FC 00002AE0 SP_PERFORMANCE_INFO_Set_ReadCacheSize
        766  2FD 00002880 SP_PERFORMANCE_INFO_Set_WriteCacheSize
        767  2FE 00002AD0 SP_PROVISIONING_INFO_Get_AllocationSize
        768  2FF 00002DE0 SP_PROVISIONING_INFO_Get_CxxSize
        769  300 00002B10 SP_PROVISIONING_INFO_Get_MaxFdType
        770  301 000028D0 SP_PROVISIONING_INFO_Get_MediaType
        771  302 000028F0 SP_PROVISIONING_INFO_Get_MinFdType
        772  303 00002AB0 SP_PROVISIONING_INFO_Get_Type
        773  304 00002AE0 SP_PROVISIONING_INFO_Set_AllocationSize
        774  305 00002B20 SP_PROVISIONING_INFO_Set_MaxFdType
        775  306 000028E0 SP_PROVISIONING_INFO_Set_MediaType
        776  307 00002900 SP_PROVISIONING_INFO_Set_MinFdType
        777  308 00002AC0 SP_PROVISIONING_INFO_Set_Type
        778  309 00003CE0 SP_RESILIENCY_INFO_DefaultNumberOfColumns
        779  30A 00002860 SP_RESILIENCY_INFO_Get_CxxSize
        780  30B 00002A50 SP_RESILIENCY_INFO_Get_FaultTolerance
        781  30C 000028F0 SP_RESILIENCY_INFO_Get_Interleave
        782  30D 000028D0 SP_RESILIENCY_INFO_Get_NumberOfColumns
        783  30E 00002890 SP_RESILIENCY_INFO_Get_NumberOfCopies
        784  30F 000028B0 SP_RESILIENCY_INFO_Get_NumberOfGroups
        785  310 00002AB0 SP_RESILIENCY_INFO_Get_Type
        786  311 00003AD0 SP_RESILIENCY_INFO_IsEqual
        787  312 00003B80 SP_RESILIENCY_INFO_MaximumFaultTolerance
        788  313 00003DB0 SP_RESILIENCY_INFO_MaximumInterleave
        789  314 00003D10 SP_RESILIENCY_INFO_MaximumNumberOfColumns
        790  315 00003BF0 SP_RESILIENCY_INFO_MaximumNumberOfCopies
        791  316 00003C30 SP_RESILIENCY_INFO_MaximumNumberOfGroups
        792  317 00003B70 SP_RESILIENCY_INFO_MinimumFaultTolerance
        793  318 00003DA0 SP_RESILIENCY_INFO_MinimumInterleave
        794  319 00003CB0 SP_RESILIENCY_INFO_MinimumNumberOfColumns
        795  31A 00003BD0 SP_RESILIENCY_INFO_MinimumNumberOfCopies
        796  31B 000011A0 SP_RESILIENCY_INFO_MinimumNumberOfGroups
        797  31C 00003B50 SP_RESILIENCY_INFO_NumberOfDataColumns
        798  31D 00003BB0 SP_RESILIENCY_INFO_SetFaultTolerance
        799  31E 00003D40 SP_RESILIENCY_INFO_SetNumberOfColumns
        800  31F 00003C10 SP_RESILIENCY_INFO_SetNumberOfCopies
        801  320 00003C50 SP_RESILIENCY_INFO_SetNumberOfGroups
        802  321 00002A60 SP_RESILIENCY_INFO_Set_FaultTolerance
        803  322 00002900 SP_RESILIENCY_INFO_Set_Interleave
        804  323 000028E0 SP_RESILIENCY_INFO_Set_NumberOfColumns
        805  324 000028A0 SP_RESILIENCY_INFO_Set_NumberOfCopies
        806  325 000028C0 SP_RESILIENCY_INFO_Set_NumberOfGroups
        807  326 00002AC0 SP_RESILIENCY_INFO_Set_Type
        808  327 00003B10 SP_RESILIENCY_INFO_Validate
        809  328 000073A0 SS_RECORD_Construct
        810  329 000074A0 SS_RECORD_CopyFrom
        811  32A 000074B0 SS_RECORD_CopyTo
        812  32B 00007550 SS_RECORD_Format
        813  32C 00004D50 SS_RECORD_FromListEntry
        814  32D 00007460 SS_RECORD_Get_BufferAt
        815  32E 00002DE0 SS_RECORD_Get_CxxSize
        816  32F 00007410 SS_RECORD_Get_Header
        817  330 00007440 SS_RECORD_Get_Index
        818  331 00002B10 SS_RECORD_Get_Key
        819  332 00004D50 SS_RECORD_Get_ListEntry
        820  333 00007270 SS_RECORD_HEADER_Construct
        821  334 00007370 SS_RECORD_HEADER_Format
        822  335 00007260 SS_RECORD_HEADER_Get_CxxSize
        823  336 000072D0 SS_RECORD_HEADER_Get_Flags
        824  337 000072F0 SS_RECORD_HEADER_Get_Size
        825  338 000029F0 SS_RECORD_HEADER_Get_Type
        826  339 00002A10 SS_RECORD_HEADER_Get_Version
        827  33A 000072E0 SS_RECORD_HEADER_Set_Flags
        828  33B 00007300 SS_RECORD_HEADER_Set_Size
        829  33C 00002A00 SS_RECORD_HEADER_Set_Type
        830  33D 00002A20 SS_RECORD_HEADER_Set_Version
        831  33E 00007310 SS_RECORD_HEADER_Unformat
        832  33F 00007480 SS_RECORD_Initialize
        833  340 000074F0 SS_RECORD_IsComplete
        834  341 00007470 SS_RECORD_Set_BufferAt
        835  342 00007420 SS_RECORD_Set_Header
        836  343 00007450 SS_RECORD_Set_Index
        837  344 00002B20 SS_RECORD_Set_Key
        838  345 00002940 SS_RECORD_Set_ListEntry
        839  346 00007510 SS_RECORD_Unformat
        840  347 00007AD0 SS_STORE_AbortPaths
        841  348 00004FB0 SS_STORE_AbortTransaction
        842  349 00007930 SS_STORE_AddPath
        843  34A 000011A0 SS_STORE_AtomicUpdatePhase1
        844  34B 00004FB0 SS_STORE_AtomicUpdatePhase3
        845  34C 00004FB0 SS_STORE_AtomicUpdateRevertPhase1
        846  34D 000011A0 SS_STORE_BeginTransaction
        847  34E 00007C50 SS_STORE_CleanupRecords
        848  34F 00007AC0 SS_STORE_CommitPaths
        849  350 00007C10 SS_STORE_CommitTransaction
        850  351 00005200 SS_STORE_CommitTransactionPhase1
        851  352 00004FB0 SS_STORE_CommitTransactionPhase2
        852  353 000076F0 SS_STORE_Construct
        853  354 000077A0 SS_STORE_Create
        854  355 00007990 SS_STORE_CreateRecord
        855  356 000079D0 SS_STORE_DeleteRecord
        856  357 00003690 SS_STORE_Destruct
        857  358 00007C00 SS_STORE_DoubleIncrement
        858  359 00007A50 SS_STORE_FindPath
        859  35A 00007A80 SS_STORE_FindPath2
        860  35B 00007A10 SS_STORE_GetRecord
        861  35C 000059F0 SS_STORE_Get_CxxSize
        862  35D 00007760 SS_STORE_Get_PresentPaths
        863  35E 00007780 SS_STORE_Get_TotalPaths
        864  35F 00007590 SS_STORE_HEADER_Construct
        865  360 000076E0 SS_STORE_HEADER_Format
        866  361 00004DA0 SS_STORE_HEADER_Get_ActiveSequence
        867  362 000028F0 SS_STORE_HEADER_Get_BlockSize
        868  363 00002B10 SS_STORE_HEADER_Get_BlockWatermark
