Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\rpcrt4.dll

File Type: DLL

  Section contains the following exports for RPCRT4.dll

    00000000 characteristics
    28D25D35 time date stamp
        0.00 version
        1000 ordinal base
         554 number of functions
         553 number of names

    ordinal hint RVA      name

       1120   6C 00051410 I_RpcServerUseProtseqEp2W
       1121   6D 000AA030 I_RpcSessionStrictContextHandle
       1122   6E 00069390 I_RpcSetDCOMAppId
       1123   6F 0005F950 I_RpcSetSystemHandle
       1124   70 000C4FA0 I_RpcSsDontSerializeContext
       1125   71 00075360 I_RpcSystemFunction001
       1126   72 0005BE30 I_RpcSystemHandleTypeSpecificWork
       1127   73 000B2290 I_RpcTransConnectionAllocatePacket
       1128   74 000B22A0 I_RpcTransConnectionFreePacket
       1129   75 00067A30 I_RpcTransConnectionReallocPacket
       1130   76 000698B0 I_RpcTransDatagramAllocate
       1131   77 000698B0 I_RpcTransDatagramAllocate2
       1132   78 000698B0 I_RpcTransDatagramFree
       1133   79 00066930 I_RpcTransGetThreadEvent
       1134   7A 000B4810 I_RpcTransGetThreadEventThreadOptional
       1135   7B 000B2320 I_RpcTransIoCancelled
       1136   7C 000B4210 I_RpcTransServerNewConnection
       1137   7D 000ABA60 I_RpcTurnOnEEInfoPropagation
       1011   7E 000AAD60 I_RpcVerifierCorruptionExpected
       1138   7F 000B86B0 I_UuidCreate
       1139   80 00053B60 MesBufferHandleReset
       1140   81 00053E60 MesDecodeBufferHandleCreate
       1141   82 00053A30 MesDecodeIncrementalHandleCreate
       1142   83 00053AD0 MesEncodeDynBufferHandleCreate
       1143   84 00054030 MesEncodeFixedBufferHandleCreate
       1144   85 00053990 MesEncodeIncrementalHandleCreate
       1145   86 00057E20 MesHandleFree
       1146   87 00053CE0 MesIncrementalHandleReset
       1147   88 000C9900 MesInqProcEncodingId
       1148   89 0004A610 NDRCContextBinding
       1149   8A 00041610 NDRCContextMarshall
       1150   8B 000C4D10 NDRCContextUnmarshall
       1151   8C 000C4FC0 NDRSContextMarshall
       1152   8D 00040270 NDRSContextMarshall2
       1153   8E 000C5030 NDRSContextMarshallEx
       1154   8F 000C5050 NDRSContextUnmarshall
       1155   90 00011DE0 NDRSContextUnmarshall2
       1156   91 000C50A0 NDRSContextUnmarshallEx
       1157   92 000DDEC0 Ndr64AsyncClientCall
       1158   93 000DFF60 Ndr64AsyncServerCall64
       1159   94 000DD720 Ndr64AsyncServerCallAll
       1160   95 000C8C60 Ndr64DcomAsyncClientCall
       1161   96 000C8CD0 Ndr64DcomAsyncStubCall
       1162   97 000CAC30 NdrAllocate
       1163   98 000014D0 NdrAsyncClientCall
       1164   99 00002650 NdrAsyncServerCall
       1165   9A 000649F0 NdrByteCountPointerBufferSize
       1166   9B 000654D0 NdrByteCountPointerFree
       1167   9C 00063FE0 NdrByteCountPointerMarshall
       1168   9D 00062440 NdrByteCountPointerUnmarshall
       1169   9E 0005BB80 NdrCStdStubBuffer2_Release
       1170   9F 00059D70 NdrCStdStubBuffer_Release
       1171   A0 00002B90 NdrClearOutParameters
       1172   A1 000023F0 NdrClientCall2
       1173   A2 000D8D10 NdrClientCall3
       1174   A3 000C60E0 NdrClientContextMarshall
       1175   A4 000C7D70 NdrClientContextUnmarshall
       1176   A5 0002DCD0 NdrClientInitialize
       1177   A6 0002DC90 NdrClientInitializeNew
       1178   A7 00046970 NdrComplexArrayBufferSize
       1179   A8 00047DF0 NdrComplexArrayFree
       1180   A9 000440B0 NdrComplexArrayMarshall
       1181   AA 0003F3F0 NdrComplexArrayMemorySize
       1182   AB 00015580 NdrComplexArrayUnmarshall
       1183   AC 00047240 NdrComplexStructBufferSize
       1184   AD 000497A0 NdrComplexStructFree
       1185   AE 000458F0 NdrComplexStructMarshall
       1186   AF 000431C0 NdrComplexStructMemorySize
       1187   B0 00044A60 NdrComplexStructUnmarshall
       1188   B1 00044020 NdrConformantArrayBufferSize
       1189   B2 00048420 NdrConformantArrayFree
       1190   B3 00043F20 NdrConformantArrayMarshall
       1191   B4 0003EFE0 NdrConformantArrayMemorySize
       1192   B5 00015170 NdrConformantArrayUnmarshall
       1193   B6 0004A0E0 NdrConformantStringBufferSize
       1194   B7 000403F0 NdrConformantStringMarshall
       1195   B8 0003F8F0 NdrConformantStringMemorySize
       1196   B9 0001B8A0 NdrConformantStringUnmarshall
       1197   BA 000493D0 NdrConformantStructBufferSize
       1198   BB 000C5B80 NdrConformantStructFree
       1199   BC 00049C50 NdrConformantStructMarshall
       1200   BD 0003F650 NdrConformantStructMemorySize
       1201   BE 000181C0 NdrConformantStructUnmarshall
       1202   BF 0003FD10 NdrConformantVaryingArrayBufferSize
       1203   C0 00065110 NdrConformantVaryingArrayFree
       1204   C1 0003FBC0 NdrConformantVaryingArrayMarshall
       1205   C2 0006B500 NdrConformantVaryingArrayMemorySize
       1206   C3 0005EAC0 NdrConformantVaryingArrayUnmarshall
       1207   C4 000C6D30 NdrConformantVaryingStructBufferSize
       1208   C5 000C5BF0 NdrConformantVaryingStructFree
       1209   C6 000C6130 NdrConformantVaryingStructMarshall
       1210   C7 000CBC30 NdrConformantVaryingStructMemorySize
       1211   C8 000C7DD0 NdrConformantVaryingStructUnmarshall
       1212   C9 00060410 NdrContextHandleInitialize
       1213   CA 000C6E10 NdrContextHandleSize
       1214   CB 000CE590 NdrConvert
       1215   CC 000CE6B0 NdrConvert2
       1216   CD 00028EA0 NdrCorrelationFree
       1217   CE 00065460 NdrCorrelationInitialize
       1218   CF 000CE920 NdrCorrelationPass
       1219   D0 000C8D50 NdrCreateServerInterfaceFromStub
       1220   D1 000C8DA0 NdrDcomAsyncClientCall
       1221   D2 000C8E10 NdrDcomAsyncStubCall
       1222   D3 0005A040 NdrDllCanUnloadNow
       1223   D4 0005A090 NdrDllGetClassObject
       1224   D5 000C8E90 NdrDllRegisterProxy
       1225   D6 000C8F00 NdrDllUnregisterProxy
       1226   D7 00071060 NdrEncapsulatedUnionBufferSize
       1227   D8 00071310 NdrEncapsulatedUnionFree
       1228   D9 00071210 NdrEncapsulatedUnionMarshall
       1229   DA 00071360 NdrEncapsulatedUnionMemorySize
       1230   DB 00070F30 NdrEncapsulatedUnionUnmarshall
       1231   DC 00049D60 NdrFixedArrayBufferSize
       1232   DD 00066A70 NdrFixedArrayFree
       1233   DE 0005C820 NdrFixedArrayMarshall
       1234   DF 000400D0 NdrFixedArrayMemorySize
       1235   E0 0005E2B0 NdrFixedArrayUnmarshall
       1236   E1 000596C0 NdrFreeBuffer
       1012   E2 0005BBD0 NdrFullPointerFree
       1013   E3 000297A0 NdrFullPointerInsertRefId
       1014   E4 000295B0 NdrFullPointerQueryPointer
       1015   E5 00029AD0 NdrFullPointerQueryRefId
       1237   E6 00025BD0 NdrFullPointerXlatFree
       1238   E7 00029840 NdrFullPointerXlatInit
       1239   E8 000C8F70 NdrGetBaseInterfaceFromStub
       1240   E9 00017580 NdrGetBuffer
       1241   EA 000C8FE0 NdrGetDcomProtocolVersion
       1242   EB 000CE990 NdrGetSimpleTypeBufferAlignment
       1243   EC 000CE9B0 NdrGetSimpleTypeBufferSize
       1244   ED 00068A10 NdrGetSimpleTypeMemorySize
       1245   EE 00065580 NdrGetTypeFlags
       1246   EF 00058640 NdrGetUserMarshalInfo
       1247   F0 000C6E50 NdrInterfacePointerBufferSize
       1248   F1 000C5C90 NdrInterfacePointerFree
       1249   F2 000C6290 NdrInterfacePointerMarshall
