Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\rpcrt4.dll

File Type: DLL

  Section contains the following exports for RPCRT4.dll

    00000000 characteristics
    28D25D35 time date stamp
        0.00 version
        1000 ordinal base
         554 number of functions
         553 number of names

    ordinal hint RVA      name

       1500  1EF 00075330 RpcServerUseProtseqExW
       1501  1F0 000B84D0 RpcServerUseProtseqIfA
       1502  1F1 000B8520 RpcServerUseProtseqIfExA
       1503  1F2 00074910 RpcServerUseProtseqIfExW
       1504  1F3 000748C0 RpcServerUseProtseqIfW
       1505  1F4 00066790 RpcServerUseProtseqW
       1506  1F5 000B48E0 RpcServerYield
       1507  1F6 000CF430 RpcSmAllocate
       1508  1F7 000CF470 RpcSmClientFree
       1509  1F8 000CF490 RpcSmDestroyClientContext
       1510  1F9 000CF4B0 RpcSmDisableAllocate
       1511  1FA 000CF4E0 RpcSmEnableAllocate
       1512  1FB 000CF510 RpcSmFree
       1513  1FC 000CF530 RpcSmGetThreadHandle
       1514  1FD 000CF570 RpcSmSetClientAllocFree
       1515  1FE 000CF590 RpcSmSetThreadHandle
       1516  1FF 000CF5B0 RpcSmSwapClientAllocFree
       1517  200 000CF5D0 RpcSsAllocate
       1518  201 00064C90 RpcSsContextLockExclusive
       1519  202 000C50C0 RpcSsContextLockShared
       1520  203 0003E060 RpcSsDestroyClientContext
       1521  204 000CF660 RpcSsDisableAllocate
       1522  205          RpcSsDontSerializeContext (forwarded to RPCRT4.I_RpcSsDontSerializeContext)
       1523  206 000CF670 RpcSsEnableAllocate
       1524  207 000CF680 RpcSsFree
       1525  208 00067320 RpcSsGetContextBinding
       1526  209 000CF690 RpcSsGetThreadHandle
       1527  20A 000CF6F0 RpcSsSetClientAllocFree
       1528  20B 000CF760 RpcSsSetThreadHandle
       1529  20C 000CF830 RpcSsSwapClientAllocFree
       1530  20D 0003AAA0 RpcStringBindingComposeA
       1531  20E 00027BF0 RpcStringBindingComposeW
       1532  20F 000389F0 RpcStringBindingParseA
       1533  210 000358E0 RpcStringBindingParseW
       1534  211 00039280 RpcStringFreeA
       1535  212 00039600 RpcStringFreeW
       1536  213 000B4930 RpcTestCancel
       1537  214 000CAE70 RpcUserFree
       1538  215 000F0AF0 SimpleTypeAlignment
       1539  216 000F0A30 SimpleTypeBufferSize
       1540  217 000EF240 SimpleTypeMemorySize
       1541  218 0002B720 TowerConstruct
       1542  219 0002B0F0 TowerExplode
       1543  21A 000B86D0 UuidCompare
       1544  21B 0003F780 UuidCreate
       1545  21C 0006A5C0 UuidCreateNil
       1546  21D 00062210 UuidCreateSequential
       1547  21E 00059E80 UuidEqual
       1548  21F 00067810 UuidFromStringA
       1549  220 00028370 UuidFromStringW
       1550  221 00003E70 UuidHash
       1551  222 00034AD0 UuidIsNil
       1552  223 000707B0 UuidToStringA
       1553  224 00028940 UuidToStringW
       1018  225 000EB368 pfnFreeRoutines
       1019  226 000EB370 pfnMarshallRoutines
       1020  227 000EB378 pfnSizeRoutines
       1021  228 000EB380 pfnUnmarshallRoutines
       1000      000656A0 [NONAME]

  Summary

        2000 .data
        1000 .didat
        8000 .ndr64
        D000 .pdata
       2B000 .rdata
        2000 .reloc
        5000 .rsrc
       D7000 .text
