Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\msvcp110_win.dll

File Type: DLL

  Section contains the following exports for msvcp110_win.dll

    00000000 characteristics
    D4B73854 time date stamp
        0.00 version
           1 ordinal base
        1497 number of functions
        1497 number of names

    ordinal hint RVA      name

         46   2D 000125B0 ??0?$basic_streambuf@GU?$char_traits@G@std@@@std@@IEAA@XZ
         47   2E 00012660 ??0?$basic_streambuf@_WU?$char_traits@_W@std@@@std@@IEAA@AEBV01@@Z
         48   2F 00012780 ??0?$basic_streambuf@_WU?$char_traits@_W@std@@@std@@IEAA@W4_Uninitialized@1@@Z
         49   30 000127A0 ??0?$basic_streambuf@_WU?$char_traits@_W@std@@@std@@IEAA@XZ
         50   31 00012850 ??0?$codecvt@DDH@std@@QEAA@AEBV_Locinfo@1@_K@Z
         51   32 00012870 ??0?$codecvt@DDH@std@@QEAA@_K@Z
         52   33 00009300 ??0?$codecvt@GDH@std@@QEAA@AEBV_Locinfo@1@_K@Z
         53   34 00009350 ??0?$codecvt@GDH@std@@QEAA@_K@Z
         54   35 000093D0 ??0?$codecvt@_SDH@std@@QEAA@AEBV_Locinfo@1@KW4_Codecvt_mode@1@_K@Z
         55   36 00009400 ??0?$codecvt@_SDH@std@@QEAA@AEBV_Locinfo@1@_K@Z
         56   37 00009430 ??0?$codecvt@_SDH@std@@QEAA@_K@Z
         57   38 000094A0 ??0?$codecvt@_UDH@std@@QEAA@AEBV_Locinfo@1@KW4_Codecvt_mode@1@_K@Z
         58   39 000094D0 ??0?$codecvt@_UDH@std@@QEAA@AEBV_Locinfo@1@_K@Z
         59   3A 00009500 ??0?$codecvt@_UDH@std@@QEAA@_K@Z
         60   3B 00009560 ??0?$codecvt@_WDH@std@@QEAA@AEBV_Locinfo@1@_K@Z
         61   3C 000095B0 ??0?$codecvt@_WDH@std@@QEAA@_K@Z
         62   3D 00009630 ??0?$ctype@D@std@@QEAA@AEBV_Locinfo@1@_K@Z
         63   3E 00009670 ??0?$ctype@D@std@@QEAA@PEBF_N_K@Z
         64   3F 00009750 ??0?$ctype@G@std@@QEAA@AEBV_Locinfo@1@_K@Z
         65   40 000097B0 ??0?$ctype@G@std@@QEAA@_K@Z
         66   41 00009840 ??0?$ctype@_W@std@@QEAA@AEBV_Locinfo@1@_K@Z
         67   42 000098A0 ??0?$ctype@_W@std@@QEAA@_K@Z
         68   43 000128D0 ??0?$num_get@DV?$istreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@QEAA@AEBV_Locinfo@1@_K@Z
         69   44 000128F0 ??0?$num_get@DV?$istreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@QEAA@_K@Z
         70   45 00012950 ??0?$num_get@GV?$istreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@QEAA@AEBV_Locinfo@1@_K@Z
         71   46 00012970 ??0?$num_get@GV?$istreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@QEAA@_K@Z
         72   47 000129D0 ??0?$num_get@_WV?$istreambuf_iterator@_WU?$char_traits@_W@std@@@std@@@std@@QEAA@AEBV_Locinfo@1@_K@Z
         73   48 000129F0 ??0?$num_get@_WV?$istreambuf_iterator@_WU?$char_traits@_W@std@@@std@@@std@@QEAA@_K@Z
         74   49 00012A50 ??0?$num_put@DV?$ostreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@QEAA@AEBV_Locinfo@1@_K@Z
         75   4A 00012A70 ??0?$num_put@DV?$ostreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@QEAA@_K@Z
         76   4B 00012AD0 ??0?$num_put@GV?$ostreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@QEAA@AEBV_Locinfo@1@_K@Z
         77   4C 00012AF0 ??0?$num_put@GV?$ostreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@QEAA@_K@Z
         78   4D 00012B50 ??0?$num_put@_WV?$ostreambuf_iterator@_WU?$char_traits@_W@std@@@std@@@std@@QEAA@AEBV_Locinfo@1@_K@Z
         79   4E 00012B70 ??0?$num_put@_WV?$ostreambuf_iterator@_WU?$char_traits@_W@std@@@std@@@std@@QEAA@_K@Z
         80   4F 00012BD0 ??0?$time_get@DV?$istreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@IEAA@PEBD_K@Z
         81   50 00012C30 ??0?$time_get@DV?$istreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@QEAA@AEBV_Locinfo@1@_K@Z
         82   51 00012C70 ??0?$time_get@DV?$istreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@QEAA@_K@Z
         83   52 00012CE0 ??0?$time_get@GV?$istreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@IEAA@PEBD_K@Z
         84   53 00012D40 ??0?$time_get@GV?$istreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@QEAA@AEBV_Locinfo@1@_K@Z
         85   54 00012D80 ??0?$time_get@GV?$istreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@QEAA@_K@Z
         86   55 00012DF0 ??0?$time_get@_WV?$istreambuf_iterator@_WU?$char_traits@_W@std@@@std@@@std@@IEAA@PEBD_K@Z
         87   56 00012E50 ??0?$time_get@_WV?$istreambuf_iterator@_WU?$char_traits@_W@std@@@std@@@std@@QEAA@AEBV_Locinfo@1@_K@Z
         88   57 00012E90 ??0?$time_get@_WV?$istreambuf_iterator@_WU?$char_traits@_W@std@@@std@@@std@@QEAA@_K@Z
         89   58 00012F00 ??0?$time_put@DV?$ostreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@QEAA@AEBV_Locinfo@1@_K@Z
         90   59 00012F40 ??0?$time_put@DV?$ostreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@QEAA@_K@Z
         91   5A 00012FB0 ??0?$time_put@GV?$ostreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@IEAA@PEBD_K@Z
         92   5B 00013020 ??0?$time_put@GV?$ostreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@QEAA@AEBV_Locinfo@1@_K@Z
         93   5C 00013060 ??0?$time_put@GV?$ostreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@QEAA@_K@Z
         94   5D 000130D0 ??0?$time_put@_WV?$ostreambuf_iterator@_WU?$char_traits@_W@std@@@std@@@std@@IEAA@PEBD_K@Z
         95   5E 00013140 ??0?$time_put@_WV?$ostreambuf_iterator@_WU?$char_traits@_W@std@@@std@@@std@@QEAA@AEBV_Locinfo@1@_K@Z
         96   5F 00013180 ??0?$time_put@_WV?$ostreambuf_iterator@_WU?$char_traits@_W@std@@@std@@@std@@QEAA@_K@Z
         97   60 00009930 ??0Init@ios_base@std@@QEAA@XZ
         98   61 00009950 ??0_Container_base12@std@@QEAA@AEBU01@@Z
         99   62 00009950 ??0_Container_base12@std@@QEAA@XZ
        100   63 00009960 ??0_Facet_base@std@@QEAA@AEBV01@@Z
        101   64 00009960 ??0_Facet_base@std@@QEAA@XZ
        102   65 00042DF0 ??0_Init_locks@std@@QEAA@XZ
        103   66 00009980 ??0_Locimp@locale@std@@AEAA@AEBV012@@Z
        104   67 00009A10 ??0_Locimp@locale@std@@AEAA@_N@Z
        105   68 00009A60 ??0_Locinfo@std@@QEAA@HPEBD@Z
        106   69 00009B10 ??0_Locinfo@std@@QEAA@PEBD@Z
        107   6A 00042E50 ??0_Lockit@std@@QEAA@H@Z
        108   6B 00042EA0 ??0_Lockit@std@@QEAA@XZ
        109   6C 000370D0 ??0_Pad@std@@QEAA@AEBV01@@Z
        110   6D 00009BB0 ??0_Timevec@std@@QEAA@AEBV01@@Z
        111   6E 00009BD0 ??0_Timevec@std@@QEAA@PEAX@Z
        112   6F 00043850 ??0_UShinit@std@@QEAA@XZ
        113   70 00037230 ??0_Winit@std@@QEAA@XZ
        114   71 00009BE0 ??0codecvt_base@std@@QEAA@_K@Z
        115   72 00009C00 ??0ctype_base@std@@QEAA@_K@Z
        116   73 00009C20 ??0facet@locale@std@@IEAA@_K@Z
        117   74 00009BD0 ??0id@locale@std@@QEAA@_K@Z
