Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\ucrtbase.dll

File Type: DLL

  Section contains the following exports for ucrtbase.dll

    00000000 characteristics
    490B0AEB time date stamp
        0.00 version
           1 ordinal base
        2483 number of functions
        2483 number of names

    ordinal hint RVA      name

        674  2A1 0005C260 _o__Strftime
        675  2A2 00013010 _o__W_Getdays
        676  2A3 00012FF0 _o__W_Getmonths
        677  2A4 00010AD0 _o__W_Gettnames
        678  2A5 0005C290 _o__Wcsftime
        679  2A6 00012310 _o____lc_codepage_func
        680  2A7 00011C20 _o____lc_collate_cp_func
        681  2A8 000123F0 _o____lc_locale_name_func
        682  2A9 000122C0 _o____mb_cur_max_func
        683  2AA 000109C0 _o___acrt_iob_func
        684  2AB 0005C2C0 _o___conio_common_vcprintf
        685  2AC 0005C2F0 _o___conio_common_vcprintf_p
        686  2AD 0005C320 _o___conio_common_vcprintf_s
        687  2AE 0005C350 _o___conio_common_vcscanf
        688  2AF 0005C380 _o___conio_common_vcwprintf
        689  2B0 0005C3B0 _o___conio_common_vcwprintf_p
        690  2B1 0005C3E0 _o___conio_common_vcwprintf_s
        691  2B2 0005C410 _o___conio_common_vcwscanf
        692  2B3 0005C440 _o___daylight
        693  2B4 0005C460 _o___dstbias
        694  2B5 0005C480 _o___fpe_flt_rounds
        695  2B6 000238E0 _o___p___argc
        696  2B7 0005C4A0 _o___p___argv
        697  2B8 00023680 _o___p___wargv
        698  2B9 0005C4C0 _o___p__acmdln
        699  2BA 000230B0 _o___p__commode
        700  2BB 0005C4E0 _o___p__environ
        701  2BC 0005C500 _o___p__fmode
        702  2BD 0005C520 _o___p__mbcasemap
        703  2BE 0005C540 _o___p__mbctype
        704  2BF 0005C560 _o___p__pgmptr
        705  2C0 0005C580 _o___p__wcmdln
        706  2C1 0005C5A0 _o___p__wenviron
        707  2C2 0005C5C0 _o___p__wpgmptr
        708  2C3 00011C40 _o___pctype_func
        709  2C4 0005C5E0 _o___pwctype_func
        710  2C5 00001A00 _o___std_exception_copy
        711  2C6 00021020 _o___std_exception_destroy
        712  2C7 00013F20 _o___std_type_info_destroy_list
        713  2C8 00015A30 _o___std_type_info_name
        714  2C9 00001E50 _o___stdio_common_vfprintf
        715  2CA 0005C600 _o___stdio_common_vfprintf_p
        716  2CB 0005C640 _o___stdio_common_vfprintf_s
        717  2CC 0005C680 _o___stdio_common_vfscanf
        718  2CD 0005C6C0 _o___stdio_common_vfwprintf
        719  2CE 0005C700 _o___stdio_common_vfwprintf_p
        720  2CF 0005C740 _o___stdio_common_vfwprintf_s
        721  2D0 0005C780 _o___stdio_common_vfwscanf
        722  2D1 000132B0 _o___stdio_common_vsnprintf_s
        723  2D2 00020720 _o___stdio_common_vsnwprintf_s
        724  2D3 00012C10 _o___stdio_common_vsprintf
        725  2D4 0005C7C0 _o___stdio_common_vsprintf_p
        726  2D5 00012A50 _o___stdio_common_vsprintf_s
        727  2D6 00022C50 _o___stdio_common_vsscanf
        728  2D7 00012330 _o___stdio_common_vswprintf
        729  2D8 0005C800 _o___stdio_common_vswprintf_p
        730  2D9 00013050 _o___stdio_common_vswprintf_s
        731  2DA 00021300 _o___stdio_common_vswscanf
        732  2DB 00002AC0 _o___timezone
        733  2DC 0005C840 _o___tzname
        734  2DD 0005C860 _o___wcserror
        735  2DE 0005C880 _o__access
        736  2DF 0005C8A0 _o__access_s
        737  2E0 00022FF0 _o__aligned_free
        738  2E1 00022FA0 _o__aligned_malloc
        739  2E2 0005C8C0 _o__aligned_msize
        740  2E3 0005C8E0 _o__aligned_offset_malloc
        741  2E4 0005C900 _o__aligned_offset_realloc
        742  2E5 0005C930 _o__aligned_offset_recalloc
        743  2E6 0005C960 _o__aligned_realloc
        744  2E7 0005C980 _o__aligned_recalloc
        745  2E8 0005C9B0 _o__atodbl
        746  2E9 0005C9D0 _o__atodbl_l
        747  2EA 0005C9F0 _o__atof_l
        748  2EB 0005CA10 _o__atoflt
        749  2EC 0005CA30 _o__atoflt_l
        750  2ED 0005CA50 _o__atoi64
        751  2EE 0005CA70 _o__atoi64_l
        752  2EF 0005CA90 _o__atoi_l
        753  2F0 0005CA90 _o__atol_l
        754  2F1 0005CAB0 _o__atoldbl
        755  2F2 0005CAD0 _o__atoldbl_l
        756  2F3 0005CA70 _o__atoll_l
        757  2F4 0005CAF0 _o__beep
        758  2F5 0005CB00 _o__beginthread
        759  2F6 00022A00 _o__beginthreadex
        760  2F7 0005CB20 _o__cabs
        761  2F8 0005CB50 _o__callnewh
        762  2F9 00011C60 _o__calloc_base
        763  2FA 0005CB60 _o__cexit
        764  2FB 0005CB80 _o__cgets
        765  2FC 0005CBA0 _o__cgets_s
        766  2FD 0005CBC0 _o__cgetws
        767  2FE 0005CBE0 _o__cgetws_s
        768  2FF 0005CC00 _o__chdir
        769  300 0005CC20 _o__chdrive
        770  301 0005CC40 _o__chmod
        771  302 0005CC60 _o__chsize
        772  303 0005CC70 _o__chsize_s
        773  304 0005CC80 _o__close
        774  305 0005CCA0 _o__commit
        775  306 00022F80 _o__configthreadlocale
        776  307 00022600 _o__configure_narrow_argv
        777  308 00022620 _o__configure_wide_argv
        778  309 0005CCC0 _o__controlfp_s
        779  30A 0005CCE0 _o__cputs
        780  30B 0005CD00 _o__cputws
        781  30C 0005CD20 _o__creat
        782  30D 00023710 _o__create_locale
        783  30E 000208D0 _o__crt_atexit
        784  30F 0005CD40 _o__ctime32_s
        785  310 0005CD60 _o__ctime64_s
        786  311 0005CD80 _o__cwait
        787  312 0005CDA0 _o__d_int
        788  313 0005CDC0 _o__dclass
        789  314 0005CDD0 _o__difftime32
        790  315 00022E90 _o__difftime64
        791  316 0005CDE0 _o__dlog
        792  317 0005CE00 _o__dnorm
        793  318 0005CE10 _o__dpcomp
        794  319 0005CE30 _o__dpoly
        795  31A 0005CE50 _o__dscale
        796  31B 0005CE70 _o__dsign
        797  31C 0005CE90 _o__dsin
        798  31D 00021B80 _o__dtest
        799  31E 0005CEB0 _o__dunscale
        800  31F 0005CED0 _o__dup
        801  320 0005CEF0 _o__dup2
        802  321 0005CF10 _o__dupenv_s
        803  322 0005CF30 _o__ecvt
        804  323 00002700 _o__ecvt_s
        805  324 0005CF60 _o__endthread
        806  325 0005CF80 _o__endthreadex
        807  326 0005CFA0 _o__eof
        808  327 000133B0 _o__errno
        809  328 0005CFC0 _o__except1
        810  329 00013F30 _o__execute_onexit_table
        811  32A 0005CFF0 _o__execv
        812  32B 0005D010 _o__execve
        813  32C 0005D030 _o__execvp
        814  32D 0005D050 _o__execvpe
        815  32E 0005D070 _o__exit
        816  32F 0005D090 _o__expand
        817  330 0005D0B0 _o__fclose_nolock
        818  331 0005D0D0 _o__fcloseall
        819  332 0005D0F0 _o__fcvt
        820  333 0005D120 _o__fcvt_s
        821  334 0005D160 _o__fd_int
        822  335 0005D180 _o__fdclass
        823  336 0005D190 _o__fdexp
        824  337 0005D1B0 _o__fdlog
        825  338 0005D1D0 _o__fdopen
        826  339 0005D1E0 _o__fdpcomp
        827  33A 0005D200 _o__fdpoly
        828  33B 0005D220 _o__fdscale
        829  33C 0005D240 _o__fdsign
        830  33D 0005D260 _o__fdsin
        831  33E 0005D280 _o__fflush_nolock
        832  33F 0005D2A0 _o__fgetc_nolock
        833  340 0005D2C0 _o__fgetchar
        834  341 0005D2E0 _o__fgetwc_nolock
        835  342 0005D300 _o__fgetwchar
        836  343 0005D320 _o__filelength
        837  344 0005D340 _o__filelengthi64
        838  345 0005D360 _o__fileno
        839  346 0005D380 _o__findclose
        840  347 0005D3A0 _o__findfirst32
        841  348 0005D3C0 _o__findfirst32i64
        842  349 0005D3E0 _o__findfirst64
        843  34A 0005D400 _o__findfirst64i32
        844  34B 0005D420 _o__findnext32
        845  34C 0005D440 _o__findnext32i64
        846  34D 0005D460 _o__findnext64
        847  34E 0005D480 _o__findnext64i32
        848  34F 0005D4A0 _o__flushall
        849  350 000154A0 _o__fpclass
        850  351 0005D4C0 _o__fpclassf
        851  352 0005D4E0 _o__fputc_nolock
        852  353 0005D500 _o__fputchar
        853  354 0005D520 _o__fputwc_nolock
        854  355 0005D540 _o__fputwchar
        855  356 0005D560 _o__fread_nolock
        856  357 0005D590 _o__fread_nolock_s
        857  358 00023530 _o__free_base
        858  359 0005D5D0 _o__free_locale
        859  35A 0005D5E0 _o__fseek_nolock
        860  35B 00001DD0 _o__fseeki64
        861  35C 0005D600 _o__fseeki64_nolock
        862  35D 0005D620 _o__fsopen
        863  35E 0005D640 _o__fstat32
        864  35F 0005D650 _o__fstat32i64
        865  360 0005D660 _o__fstat64
        866  361 0005D670 _o__fstat64i32
        867  362 0005D680 _o__ftell_nolock
        868  363 0005D6A0 _o__ftelli64
        869  364 0005D6C0 _o__ftelli64_nolock
        870  365 0005D6E0 _o__ftime32
        871  366 0005D6F0 _o__ftime32_s
        872  367 0005D700 _o__ftime64
        873  368 0005D710 _o__ftime64_s
        874  369 0005D720 _o__fullpath
        875  36A 0005D740 _o__futime32
        876  36B 0005D750 _o__futime64
        877  36C 0005D760 _o__fwrite_nolock
        878  36D 000230D0 _o__gcvt
        879  36E 0005D790 _o__gcvt_s
        880  36F 0005D7C0 _o__get_daylight
        881  370 0005D7E0 _o__get_doserrno
        882  371 0005D7F0 _o__get_dstbias
        883  372 00011A50 _o__get_errno
        884  373 0005D810 _o__get_fmode
        885  374 0005D830 _o__get_heap_handle
        886  375 0005D840 _o__get_initial_narrow_environment
        887  376 00023900 _o__get_initial_wide_environment
        888  377 0005D860 _o__get_invalid_parameter_handler
        889  378 00023940 _o__get_narrow_winmain_command_line
        890  379 000240D0 _o__get_osfhandle
        891  37A 0005D880 _o__get_pgmptr
        892  37B 00014570 _o__get_stream_buffer_pointers
        893  37C 0005D890 _o__get_terminate
        894  37D 0005D8A0 _o__get_thread_local_invalid_parameter_handler
        895  37E 0005D8C0 _o__get_timezone
        896  37F 0005D8E0 _o__get_tzname
        897  380 00023260 _o__get_wide_winmain_command_line
        898  381 0005D910 _o__get_wpgmptr
        899  382 0005D920 _o__getc_nolock
        900  383 0005D940 _o__getch
        901  384 0005D960 _o__getch_nolock
        902  385 0005D980 _o__getche
        903  386 0005D9A0 _o__getche_nolock
        904  387 0005D9C0 _o__getcwd
        905  388 0005D9E0 _o__getdcwd
        906  389 0005DA00 _o__getdiskfree
        907  38A 0005DA10 _o__getdllprocaddr
        908  38B 0005DA30 _o__getdrive
        909  38C 0005DA50 _o__getdrives
        910  38D 0005DA60 _o__getmbcp
        911  38E 0005DA80 _o__getsystime
        912  38F 0005DA90 _o__getw
        913  390 0005DAB0 _o__getwc_nolock
        914  391 0005DAD0 _o__getwch
        915  392 0005DAF0 _o__getwch_nolock
        916  393 0005DB10 _o__getwche
        917  394 0005DB30 _o__getwche_nolock
        918  395 0005DB50 _o__getws
        919  396 0005DB70 _o__getws_s
        920  397 0005DB90 _o__gmtime32
        921  398 0005DBB0 _o__gmtime32_s
        922  399 0005DBD0 _o__gmtime64
        923  39A 000235D0 _o__gmtime64_s
        924  39B 0005DBF0 _o__heapchk
        925  39C 0005DC10 _o__heapmin
        926  39D 0005DC30 _o__hypot
        927  39E 0005DC50 _o__hypotf
        928  39F 0005DC70 _o__i64toa
        929  3A0 0005DC90 _o__i64toa_s
        930  3A1 0005DCC0 _o__i64tow
        931  3A2 000234B0 _o__i64tow_s
        932  3A3 00023920 _o__initialize_narrow_environment
        933  3A4 00010AB0 _o__initialize_onexit_table
        934  3A5 00023240 _o__initialize_wide_environment
        935  3A6 0005DCE0 _o__invalid_parameter_noinfo
        936  3A7 0005DD00 _o__invalid_parameter_noinfo_noreturn
        937  3A8 0005DD20 _o__isatty
        938  3A9 0005DD40 _o__isctype
        939  3AA 0005DD60 _o__isctype_l
        940  3AB 0005DD80 _o__isleadbyte_l
        941  3AC 0005DDA0 _o__ismbbalnum
        942  3AD 0005DDC0 _o__ismbbalnum_l
        943  3AE 0005DDE0 _o__ismbbalpha
        944  3AF 0005DE00 _o__ismbbalpha_l
        945  3B0 0005DE20 _o__ismbbblank
        946  3B1 0005DE40 _o__ismbbblank_l
        947  3B2 0005DE60 _o__ismbbgraph
        948  3B3 0005DE80 _o__ismbbgraph_l
        949  3B4 0005DEA0 _o__ismbbkalnum
        950  3B5 0005DEC0 _o__ismbbkalnum_l
        951  3B6 0005DEE0 _o__ismbbkana
        952  3B7 0005DF00 _o__ismbbkana_l
        953  3B8 0005DF20 _o__ismbbkprint
        954  3B9 0005DF40 _o__ismbbkprint_l
        955  3BA 0005DF60 _o__ismbbkpunct
        956  3BB 0005DF80 _o__ismbbkpunct_l
        957  3BC 00012B80 _o__ismbblead
        958  3BD 0005DFA0 _o__ismbblead_l
        959  3BE 0005DFC0 _o__ismbbprint
        960  3BF 0005DFE0 _o__ismbbprint_l
        961  3C0 0005E000 _o__ismbbpunct
        962  3C1 0005E020 _o__ismbbpunct_l
        963  3C2 0005E040 _o__ismbbtrail
        964  3C3 0005E060 _o__ismbbtrail_l
        965  3C4 0005E080 _o__ismbcalnum
        966  3C5 0005E0A0 _o__ismbcalnum_l
        967  3C6 0005E0C0 _o__ismbcalpha
        968  3C7 0005E0E0 _o__ismbcalpha_l
        969  3C8 0005E100 _o__ismbcblank
        970  3C9 0005E120 _o__ismbcblank_l
        971  3CA 0005E140 _o__ismbcdigit
        972  3CB 0005E160 _o__ismbcdigit_l
        973  3CC 0005E180 _o__ismbcgraph
        974  3CD 0005E1A0 _o__ismbcgraph_l
        975  3CE 0005E1C0 _o__ismbchira
        976  3CF 0005E1E0 _o__ismbchira_l
        977  3D0 0005E200 _o__ismbckata
        978  3D1 0005E220 _o__ismbckata_l
        979  3D2 0005E240 _o__ismbcl0
        980  3D3 0005E260 _o__ismbcl0_l
        981  3D4 0005E280 _o__ismbcl1
        982  3D5 0005E2A0 _o__ismbcl1_l
        983  3D6 0005E2C0 _o__ismbcl2
        984  3D7 0005E2E0 _o__ismbcl2_l
        985  3D8 0005E300 _o__ismbclegal
        986  3D9 0005E320 _o__ismbclegal_l
        987  3DA 0005E340 _o__ismbclower
        988  3DB 0005E360 _o__ismbclower_l
        989  3DC 0005E380 _o__ismbcprint
        990  3DD 0005E3A0 _o__ismbcprint_l
        991  3DE 0005E3C0 _o__ismbcpunct
        992  3DF 0005E3E0 _o__ismbcpunct_l
        993  3E0 0005E400 _o__ismbcspace
        994  3E1 0005E420 _o__ismbcspace_l
        995  3E2 0005E440 _o__ismbcsymbol
        996  3E3 0005E460 _o__ismbcsymbol_l
        997  3E4 0005E480 _o__ismbcupper
        998  3E5 0005E4A0 _o__ismbcupper_l
        999  3E6 0005E4C0 _o__ismbslead
       1000  3E7 0005E4E0 _o__ismbslead_l
       1001  3E8 0005E500 _o__ismbstrail
       1002  3E9 0005E520 _o__ismbstrail_l
       1003  3EA 0005E540 _o__iswctype_l
       1004  3EB 0005E560 _o__itoa
       1005  3EC 00021BC0 _o__itoa_s
       1006  3ED 00023FF0 _o__itow
       1007  3EE 00012010 _o__itow_s
       1008  3EF 0005E580 _o__j0
       1009  3F0 0005E5A0 _o__j1
       1010  3F1 0005E5C0 _o__jn
       1011  3F2 0005E5E0 _o__kbhit
       1012  3F3 0005E600 _o__ld_int
       1013  3F4 0005CDC0 _o__ldclass
       1014  3F5 0005E620 _o__ldexp
       1015  3F6 0005CDE0 _o__ldlog
       1016  3F7 0005CE10 _o__ldpcomp
       1017  3F8 0005CE30 _o__ldpoly
       1018  3F9 0005E640 _o__ldscale
       1019  3FA 0005E660 _o__ldsign
       1020  3FB 0005CE90 _o__ldsin
       1021  3FC 0005E670 _o__ldtest
       1022  3FD 0005E680 _o__ldunscale
       1023  3FE 0005E6A0 _o__lfind
       1024  3FF 0005E6D0 _o__lfind_s
       1025  400 0005E710 _o__loaddll
       1026  401 0005E720 _o__localtime32
       1027  402 0005E740 _o__localtime32_s
       1028  403 0005E760 _o__localtime64
       1029  404 00002C10 _o__localtime64_s
       1030  405 000010E0 _o__lock_file
       1031  406 0005E780 _o__locking
       1032  407 0005E7A0 _o__logb
       1033  408 0005E7C0 _o__logbf
       1034  409 0005E7E0 _o__lsearch
       1035  40A 0005E810 _o__lsearch_s
       1036  40B 00024070 _o__lseek
       1037  40C 0005E850 _o__lseeki64
       1038  40D 00011D40 _o__ltoa
       1039  40E 00021BC0 _o__ltoa_s
       1040  40F 0005E870 _o__ltow
       1041  410 00022280 _o__ltow_s
       1042  411 0005E890 _o__makepath
       1043  412 0005E8C0 _o__makepath_s
       1044  413 0005E900 _o__malloc_base
       1045  414 0005E920 _o__mbbtombc
       1046  415 0005E940 _o__mbbtombc_l
       1047  416 0005E960 _o__mbbtype
       1048  417 0005E970 _o__mbbtype_l
       1049  418 0005E990 _o__mbccpy
       1050  419 0005E9B0 _o__mbccpy_l
       1051  41A 0005E9D0 _o__mbccpy_s
       1052  41B 0005EA00 _o__mbccpy_s_l
       1053  41C 0005EA30 _o__mbcjistojms
       1054  41D 0005EA50 _o__mbcjistojms_l
       1055  41E 0005EA70 _o__mbcjmstojis
       1056  41F 0005EA90 _o__mbcjmstojis_l
       1057  420 0005EAB0 _o__mbclen
       1058  421 0005EAD0 _o__mbclen_l
       1059  422 0005EAF0 _o__mbctohira
       1060  423 0005EB10 _o__mbctohira_l
       1061  424 0005EB30 _o__mbctokata
       1062  425 0005EB50 _o__mbctokata_l
       1063  426 0005EB70 _o__mbctolower
       1064  427 0005EB90 _o__mbctolower_l
       1065  428 0005EBB0 _o__mbctombb
       1066  429 0005EBD0 _o__mbctombb_l
       1067  42A 0005EBF0 _o__mbctoupper
       1068  42B 0005EC10 _o__mbctoupper_l
       1069  42C 0005EC30 _o__mblen_l
       1070  42D 0005EC50 _o__mbsbtype
       1071  42E 0005EC70 _o__mbsbtype_l
       1072  42F 0005EC90 _o__mbscat_s
       1073  430 0005ECB0 _o__mbscat_s_l
       1074  431 0005ECE0 _o__mbschr
       1075  432 0005ED00 _o__mbschr_l
       1076  433 0005ED20 _o__mbscmp
       1077  434 0005ED40 _o__mbscmp_l
       1078  435 0005ED60 _o__mbscoll
       1079  436 0005ED80 _o__mbscoll_l
       1080  437 0005EDA0 _o__mbscpy_s
       1081  438 0005EDC0 _o__mbscpy_s_l
       1082  439 0005EDF0 _o__mbscspn
       1083  43A 0005EE10 _o__mbscspn_l
       1084  43B 0005EE30 _o__mbsdec
       1085  43C 0005EE50 _o__mbsdec_l
       1086  43D 0005EE70 _o__mbsicmp
       1087  43E 0005EE90 _o__mbsicmp_l
       1088  43F 0005EEB0 _o__mbsicoll
       1089  440 0005EED0 _o__mbsicoll_l
       1090  441 0005EEF0 _o__mbsinc
       1091  442 0005EF00 _o__mbsinc_l
       1092  443 0005EF20 _o__mbslen
       1093  444 0005EF40 _o__mbslen_l
       1094  445 0005EF60 _o__mbslwr
       1095  446 0005EF80 _o__mbslwr_l
       1096  447 0005EFA0 _o__mbslwr_s
       1097  448 0005EFC0 _o__mbslwr_s_l
       1098  449 0005EFE0 _o__mbsnbcat
       1099  44A 0005F000 _o__mbsnbcat_l
       1100  44B 0005F030 _o__mbsnbcat_s
       1101  44C 0005F060 _o__mbsnbcat_s_l
       1102  44D 0005F0A0 _o__mbsnbcmp
       1103  44E 0005F0C0 _o__mbsnbcmp_l
       1104  44F 0005F0F0 _o__mbsnbcnt
       1105  450 0005F110 _o__mbsnbcnt_l
       1106  451 0005F130 _o__mbsnbcoll
       1107  452 0005F150 _o__mbsnbcoll_l
       1108  453 0005F180 _o__mbsnbcpy
       1109  454 0005F1A0 _o__mbsnbcpy_l
       1110  455 0005F1D0 _o__mbsnbcpy_s
       1111  456 0005F200 _o__mbsnbcpy_s_l
       1112  457 0005F240 _o__mbsnbicmp
       1113  458 0005F260 _o__mbsnbicmp_l
       1114  459 0005F290 _o__mbsnbicoll
       1115  45A 0005F2B0 _o__mbsnbicoll_l
       1116  45B 0005F2E0 _o__mbsnbset
       1117  45C 0005F300 _o__mbsnbset_l
       1118  45D 0005F330 _o__mbsnbset_s
       1119  45E 0005F360 _o__mbsnbset_s_l
       1120  45F 0005F3A0 _o__mbsncat
       1121  460 0005F3C0 _o__mbsncat_l
       1122  461 0005F3F0 _o__mbsncat_s
       1123  462 0005F420 _o__mbsncat_s_l
       1124  463 0005F460 _o__mbsnccnt
       1125  464 0005F480 _o__mbsnccnt_l
       1126  465 0005F4A0 _o__mbsncmp
       1127  466 0005F4C0 _o__mbsncmp_l
       1128  467 0005F4F0 _o__mbsncoll
       1129  468 0005F510 _o__mbsncoll_l
       1130  469 0005F540 _o__mbsncpy
       1131  46A 0005F560 _o__mbsncpy_l
       1132  46B 0005F590 _o__mbsncpy_s
       1133  46C 0005F5C0 _o__mbsncpy_s_l
       1134  46D 0005F600 _o__mbsnextc
       1135  46E 0005F610 _o__mbsnextc_l
       1136  46F 0005F630 _o__mbsnicmp
       1137  470 0005F650 _o__mbsnicmp_l
       1138  471 0005F680 _o__mbsnicoll
       1139  472 0005F6A0 _o__mbsnicoll_l
       1140  473 0005F6D0 _o__mbsninc
       1141  474 0005F6F0 _o__mbsninc_l
       1142  475 0005F710 _o__mbsnlen
       1143  476 0005F730 _o__mbsnlen_l
       1144  477 0005F750 _o__mbsnset
       1145  478 0005F770 _o__mbsnset_l
       1146  479 0005F7A0 _o__mbsnset_s
       1147  47A 0005F7D0 _o__mbsnset_s_l
       1148  47B 0005F810 _o__mbspbrk
       1149  47C 0005F830 _o__mbspbrk_l
       1150  47D 0005F850 _o__mbsrchr
       1151  47E 0005F870 _o__mbsrchr_l
       1152  47F 0005F890 _o__mbsrev
       1153  480 0005F8B0 _o__mbsrev_l
       1154  481 0005F8D0 _o__mbsset
       1155  482 0005F8F0 _o__mbsset_l
       1156  483 0005F910 _o__mbsset_s
       1157  484 0005F930 _o__mbsset_s_l
       1158  485 0005F960 _o__mbsspn
       1159  486 0005F980 _o__mbsspn_l
       1160  487 0005F9A0 _o__mbsspnp
       1161  488 0005F9C0 _o__mbsspnp_l
       1162  489 0005F9E0 _o__mbsstr
       1163  48A 0005FA00 _o__mbsstr_l
       1164  48B 0005FA20 _o__mbstok
       1165  48C 0005FA40 _o__mbstok_l
       1166  48D 0005FA60 _o__mbstok_s
       1167  48E 0005FA80 _o__mbstok_s_l
       1168  48F 0005FAB0 _o__mbstowcs_l
       1169  490 0005FAE0 _o__mbstowcs_s_l
       1170  491 00022910 _o__mbstrlen
       1171  492 0005FB20 _o__mbstrlen_l
       1172  493 0005FB40 _o__mbstrnlen
       1173  494 0005FB60 _o__mbstrnlen_l
       1174  495 0005FB80 _o__mbsupr
       1175  496 0005FBA0 _o__mbsupr_l
       1176  497 0005FBC0 _o__mbsupr_s
       1177  498 0005FBE0 _o__mbsupr_s_l
       1178  499 0005FC00 _o__mbtowc_l
       1179  49A 0005FC30 _o__memicmp
       1180  49B 0005FC50 _o__memicmp_l
       1181  49C 0005FC80 _o__mkdir
       1182  49D 0005FCA0 _o__mkgmtime32
       1183  49E 00021D70 _o__mkgmtime64
       1184  49F 0005FCC0 _o__mktemp
       1185  4A0 0005FCE0 _o__mktemp_s
       1186  4A1 0005FD00 _o__mktime32
       1187  4A2 00021D90 _o__mktime64
       1188  4A3 000126C0 _o__msize
       1189  4A4 0005FD20 _o__nextafter
       1190  4A5 0005FD40 _o__nextafterf
       1191  4A6 0005FD60 _o__open_osfhandle
       1192  4A7 0005FD80 _o__pclose
       1193  4A8 0005FDA0 _o__pipe
       1194  4A9 0005FDC0 _o__popen
       1195  4AA 0005FDE0 _o__purecall
       1196  4AB 0005FE00 _o__putc_nolock
       1197  4AC 0005FE20 _o__putch
       1198  4AD 0005FE40 _o__putch_nolock
       1199  4AE 0005FE60 _o__putenv
       1200  4AF 0005FE80 _o__putenv_s
       1201  4B0 0005FEA0 _o__putw
       1202  4B1 0005FEC0 _o__putwc_nolock
       1203  4B2 0005FEE0 _o__putwch
       1204  4B3 0005FF00 _o__putwch_nolock
       1205  4B4 0005FF20 _o__putws
       1206  4B5 0005FF40 _o__read
       1207  4B6 00010A90 _o__realloc_base
       1208  4B7 00015440 _o__recalloc
       1209  4B8 00012430 _o__register_onexit_function
       1210  4B9 0005FF60 _o__resetstkoflw
       1211  4BA 0005FF80 _o__rmdir
       1212  4BB 0005FFA0 _o__rmtmp
       1213  4BC 0005FFC0 _o__scalb
       1214  4BD 0005FFE0 _o__scalbf
       1215  4BE 00060000 _o__searchenv
       1216  4BF 00060020 _o__searchenv_s
       1217  4C0 00060050 _o__seh_filter_dll
       1218  4C1 00060070 _o__seh_filter_exe
       1219  4C2 00060090 _o__set_abort_behavior
       1220  4C3 000226A0 _o__set_app_type
       1221  4C4 000600A0 _o__set_doserrno
       1222  4C5 00011D00 _o__set_errno
       1223  4C6 00022F60 _o__set_fmode
       1224  4C7 000600B0 _o__set_invalid_parameter_handler
       1225  4C8 000600D0 _o__set_new_handler
       1226  4C9 00022F40 _o__set_new_mode
       1227  4CA 000600E0 _o__set_thread_local_invalid_parameter_handler
       1228  4CB 00060100 _o__seterrormode
       1229  4CC 00060120 _o__setmbcp
       1230  4CD 00060140 _o__setmode
       1231  4CE 00060160 _o__setsystime
       1232  4CF 00060180 _o__sleep
       1233  4D0 00060190 _o__sopen
       1234  4D1 000601C0 _o__sopen_dispatch
       1235  4D2 00060200 _o__sopen_s
       1236  4D3 00060230 _o__spawnv
       1237  4D4 00060250 _o__spawnve
       1238  4D5 00060280 _o__spawnvp
       1239  4D6 000602A0 _o__spawnvpe
       1240  4D7 000602D0 _o__splitpath
       1241  4D8 00022750 _o__splitpath_s
       1242  4D9 00060300 _o__stat32
       1243  4DA 00060320 _o__stat32i64
       1244  4DB 00060340 _o__stat64
       1245  4DC 00060360 _o__stat64i32
       1246  4DD 00060380 _o__strcoll_l
       1247  4DE 000603A0 _o__strdate
       1248  4DF 000603C0 _o__strdate_s
       1249  4E0 000229C0 _o__strdup
       1250  4E1 000603E0 _o__strerror
       1251  4E2 00060400 _o__strerror_s
       1252  4E3 00060420 _o__strftime_l
       1253  4E4 00012590 _o__stricmp
       1254  4E5 00060450 _o__stricmp_l
       1255  4E6 00060470 _o__stricoll
       1256  4E7 00060490 _o__stricoll_l
       1257  4E8 000604B0 _o__strlwr
       1258  4E9 000604D0 _o__strlwr_l
       1259  4EA 000237F0 _o__strlwr_s
       1260  4EB 000604F0 _o__strlwr_s_l
       1261  4EC 00060510 _o__strncoll
       1262  4ED 00060530 _o__strncoll_l
       1263  4EE 00014270 _o__strnicmp
       1264  4EF 00060560 _o__strnicmp_l
       1265  4F0 00060590 _o__strnicoll
       1266  4F1 000605B0 _o__strnicoll_l
       1267  4F2 000605E0 _o__strnset_s
       1268  4F3 00060610 _o__strset_s
       1269  4F4 00060630 _o__strtime
       1270  4F5 00060650 _o__strtime_s
       1271  4F6 00060670 _o__strtod_l
       1272  4F7 00060690 _o__strtof_l
       1273  4F8 000606B0 _o__strtoi64
       1274  4F9 000606D0 _o__strtoi64_l
       1275  4FA 00060700 _o__strtol_l
       1276  4FB 00060670 _o__strtold_l
       1277  4FC 000606D0 _o__strtoll_l
       1278  4FD 00002BE0 _o__strtoui64
       1279  4FE 00060730 _o__strtoui64_l
       1280  4FF 00060760 _o__strtoul_l
       1281  500 00060730 _o__strtoull_l
       1282  501 00060790 _o__strupr
       1283  502 000607B0 _o__strupr_l
       1284  503 000607D0 _o__strupr_s
       1285  504 000607F0 _o__strupr_s_l
       1286  505 00060810 _o__strxfrm_l
       1287  506 00060840 _o__swab
       1288  507 00060860 _o__tell
       1289  508 00060880 _o__telli64
       1290  509 000608A0 _o__timespec32_get
       1291  50A 000608C0 _o__timespec64_get
