Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\ucrtbase.dll

File Type: DLL

  Section contains the following exports for ucrtbase.dll

    00000000 characteristics
    490B0AEB time date stamp
        0.00 version
           1 ordinal base
        2483 number of functions
        2483 number of names

    ordinal hint RVA      name

        146   91 00067D90 _aligned_offset_malloc
        147   92 00067E60 _aligned_offset_realloc
        148   93 000680C0 _aligned_offset_recalloc
        149   94 000683C0 _aligned_realloc
        150   95 000685C0 _aligned_recalloc
        151   96 00070360 _assert
        152   97 00063A40 _atodbl
        153   98 00063A50 _atodbl_l
        154   99 00063A60 _atof_l
        155   9A 00063A70 _atoflt
        156   9B 00063A80 _atoflt_l
        157   9C 00019620 _atoi64
        158   9D 000648E0 _atoi64_l
        159   9E 00064920 _atoi_l
        160   9F 00064920 _atol_l
        161   A0 000647E0 _atoldbl
        162   A1 000647F0 _atoldbl_l
        163   A2 000648E0 _atoll_l
        164   A3 000B19C0 _beep
        165   A4 000708A0 _beginthread
        166   A5 00021C70 _beginthreadex
        167   A6 00083230 _byteswap_uint64
        168   A7 000832B0 _byteswap_ulong
        169   A8 000832E0 _byteswap_ushort
        170   A9 000706F0 _c_exit
        171   AA 00031A10 _cabs
        172   AB 00068AA0 _callnewh
        173   AC 0000AEA0 _calloc_base
        174   AD 00070710 _cexit
        175   AE 00093650 _cgets
        176   AF 000936D0 _cgets_s
        177   B0 00093820 _cgetws
        178   B1 000938A0 _cgetws_s
        179   B2 000B14C0 _chdir
        180   B3 000B1510 _chdrive
        181   B4 000340D0 _chgsign
        182   B5 00034100 _chgsignf
        183   B6 0009C390 _chmod
        184   B7 000A1000 _chsize
        185   B8 000A11A0 _chsize_s
        186   B9 00037200 _clearfp
        187   BA 00017350 _close
        188   BB 000A1380 _commit
        189   BC 00021420 _configthreadlocale
        190   BD 0001DB30 _configure_narrow_argv
        191   BE 0001DE50 _configure_wide_argv
        192   BF 00037280 _control87
        193   C0 00037290 _controlfp
        194   C1 00087BF0 _controlfp_s
        195   C2 00034120 _copysign
        196   C3 00034160 _copysignf
        197   C4 00096390 _cputs
        198   C5 00096430 _cputws
        199   C6 000A1420 _creat
        200   C7 00022CF0 _create_locale
        201   C8 000707B0 _crt_at_quick_exit
        202   C9 00021470 _crt_atexit
        203   CA 000A4620 _ctime32
        204   CB 000A46A0 _ctime32_s
        205   CC 000A46B0 _ctime64
        206   CD 000A4730 _ctime64_s
        207   CE 000ABBB0 _cwait
        208   CF 0001ED40 _d_int
        209   D0 0008F990 _dclass
        210   D1 0008A5B0 _dexp
        211   D2 000A4860 _difftime32
        212   D3 00023460 _difftime64
        213   D4 0008F270 _dlog
        214   D5 00092CF0 _dnorm
        215   D6 0008F9B0 _dpcomp
        216   D7 000899F0 _dpoly
        217   D8 00092F90 _dscale
        218   D9 0008FA30 _dsign
        219   DA 0008DF20 _dsin
        220   DB 0001EC80 _dtest
        221   DC 00093510 _dunscale
        222   DD 000A1680 _dup
        223   DE 000A18E0 _dup2
        224   DF 000A7660 _dupenv_s
        225   E0 00065220 _ecvt
        226   E1 00002FA0 _ecvt_s
        227   E2 00070980 _endthread
        228   E3 000709A0 _endthreadex
        229   E4 000A1C40 _eof
        230   E5 000112B0 _errno
        231   E6 0008CEB0 _except1
        232   E7 000A9FC0 _execl
        233   E8 000AA000 _execle
        234   E9 000AA3A0 _execlp
        235   EA 000AA3E0 _execlpe
        236   EB 00013CD0 _execute_onexit_table
        237   EC 000AB160 _execv
        238   ED 000AB180 _execve
        239   EE 000AB860 _execvp
        240   EF 000AB880 _execvpe
        241   F0 000706D0 _exit
        242   F1 00068830 _expand
        243   F2 000172C0 _fclose_nolock
        244   F3 00070AB0 _fcloseall
        245   F4 000652A0 _fcvt
        246   F5 00065370 _fcvt_s
        247   F6 00002340 _fd_int
        248   F7 0008FA60 _fdclass
        249   F8 0008A920 _fdexp
        250   F9 0008F440 _fdlog
        251   FA 00092EA0 _fdnorm
        252   FB 00071050 _fdopen
        253   FC 0008FA80 _fdpcomp
        254   FD 00089CB0 _fdpoly
        255   FE 00093230 _fdscale
        256   FF 0008FB00 _fdsign
        257  100 0008E810 _fdsin
        258  101 00001BF0 _fdtest
        259  102 000935B0 _fdunscale
        260  103 00018210 _fflush_nolock
        261  104 00001260 _fgetc_nolock
        262  105 00071100 _fgetchar
        263  106 00071360 _fgetwc_nolock
        264  107 00071520 _fgetwchar
        265  108 000A1FB0 _filelength
        266  109 000A1FC0 _filelengthi64
        267  10A 00016030 _fileno
        268  10B 0009D580 _findclose
        269  10C 0009D5B0 _findfirst32
        270  10D 0009D5F0 _findfirst32i64
        271  10E 0009D630 _findfirst64
        272  10F 0009D670 _findfirst64i32
        273  110 0009D6B0 _findnext32
        274  111 0009D740 _findnext32i64
        275  112 0009D7D0 _findnext64
        276  113 0009D860 _findnext64i32
        277  114 00034190 _finite
        278  115 000341C0 _finitef
        279  116 000710F0 _flushall
        280  117 00037620 _fpclass
        281  118 000376B0 _fpclassf
        282  119 00034330 _fpieee_flt
        283  11A 000372A0 _fpreset
        284  11B 000181F0 _fputc_nolock
        285  11C 000717D0 _fputchar
        286  11D 00071840 _fputwc_nolock
        287  11E 000719B0 _fputwchar
        288  11F 00071C30 _fread_nolock
        289  120 00017F10 _fread_nolock_s
        290  121 0000C7D0 _free_base
        291  122 0006C6A0 _free_locale
        292  123 00071F60 _fseek_nolock
        293  124 00002420 _fseeki64
        294  125 00071F70 _fseeki64_nolock
        295  126 00071720 _fsopen
        296  127 000A0920 _fstat32
        297  128 000A0930 _fstat32i64
        298  129 000A0940 _fstat64
        299  12A 000A0950 _fstat64i32
        300  12B 000722E0 _ftell_nolock
        301  12C 000722F0 _ftelli64
        302  12D 00072300 _ftelli64_nolock
        303  12E 000A4BD0 _ftime32
        304  12F 000A4BD0 _ftime32_s
        305  130 000A4BE0 _ftime64
        306  131 000A4BE0 _ftime64_s
        307  132 0009E000 _fullpath
        308  133 000A6910 _futime32
        309  134 000A6920 _futime64
        310  135 000169C0 _fwrite_nolock
        311  136 00002DF0 _gcvt
        312  137 00002E30 _gcvt_s
        313  138 0008C020 _get_FMA3_enable
        314  139 0006C790 _get_current_locale
