Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\msvcrt.dll

File Type: DLL

  Section contains the following exports for msvcrt.dll

    00000000 characteristics
    F362C2F9 time date stamp
        0.00 version
           1 ordinal base
        1317 number of functions
        1317 number of names

    ordinal hint RVA      name

        644  283 0005A930 _memicmp
        645  284 0005A9A0 _memicmp_l
        646  285 000086C0 _mkdir
        647  286 00063570 _mkgmtime
        648  287 00063580 _mkgmtime32
        649  288 00063890 _mkgmtime64
        650  289 0001D500 _mktemp
        651  28A 0001D570 _mktemp_s
        652  28B 00063590 _mktime32
        653  28C 000638A0 _mktime64
        654  28D 00019B00 _msize
        655  28E 00027DC0 _msize_dbg
        656  28F 00068DF0 _nextafter
        657  290 00068FE0 _nextafterf
        658  291 0002AA20 _onexit
        659  292 0001D6F0 _open
        660  293 0001CAE0 _open_osfhandle
        661  294 00094D00 _osplatform
        662  295 00094D04 _osver
        663  296 00048560 _pclose
        664  297 0008F200 _pctype
        665  298 00094CF0 _pgmptr
        666  299 0001E0F0 _pipe
        667  29A 00048650 _popen
        668  29B 00048DA0 _printf_l
        669  29C 00048DD0 _printf_p
        670  29D 00048E00 _printf_p_l
        671  29E 00048E30 _printf_s_l
        672  29F 0002C2B0 _purecall
        673  2A0 0001E400 _putch
        674  2A1 0002C2D0 _putenv
        675  2A2 0002C5A0 _putenv_s
        676  2A3 00048F40 _putw
        677  2A4 0001B0C0 _putwch
        678  2A5 00049010 _putws
        679  2A6 0008F208 _pwctype
        680  2A7 0001E4E0 _read
        681  2A8 00027DD0 _realloc_dbg
        682  2A9 00019B50 _resetstkoflw
        683  2AA 00008700 _rmdir
        684  2AB 000490E0 _rmtmp
        685  2AC 0002BF10 _rotl
        686  2AD 0002BF20 _rotl64
        687  2AE 0002BF40 _rotr
        688  2AF 0002BF50 _rotr64
        689  2B0 00069180 _scalb
        690  2B1 00069370 _scalbf
        691  2B2 00049190 _scanf_l
        692  2B3 000491D0 _scanf_s_l
        693  2B4 000492F0 _scprintf
        694  2B5 00049320 _scprintf_l
        695  2B6 00049350 _scprintf_p_l
        696  2B7 000494E0 _scwprintf
        697  2B8 00049510 _scwprintf_l
        698  2B9 00049540 _scwprintf_p_l
        699  2BA 0002C630 _searchenv
        700  2BB 0002C650 _searchenv_s
        701  2BC 00068AA0 _set_controlfp
        702  2BD 00007EE0 _set_doserrno
        703  2BE 00007F10 _set_errno
        704  2BF 0002B1E0 _set_error_mode
        705  2C0 00015F20 _set_fileinfo
        706  2C1 0001C440 _set_fmode
        707  2C2 00048170 _set_output_format
        708  2C3 00019880 _set_sbh_threshold
        709  2C4 00007000 _seterrormode
        710  2C5 00073270 _setjmp
        711  2C6 00073330 _setjmpex
        712  2C7 000481D0 _setmaxstdio
        713  2C8 00020C50 _setmbcp
        714  2C9 0001C4A0 _setmode
        715  2CA 00062590 _setsystime
        716  2CB 00006BD0 _sleep
        717  2CC 000496C0 _snprintf
        718  2CD 000497B0 _snprintf_c
        719  2CE 00049880 _snprintf_c_l
        720  2CF 00049780 _snprintf_l
        721  2D0 000345E0 _snprintf_s
        722  2D1 00049380 _snprintf_s_l
        723  2D2 000498B0 _snscanf
        724  2D3 000498F0 _snscanf_l
        725  2D4 000346D0 _snscanf_s
        726  2D5 00049930 _snscanf_s_l
        727  2D6 000499F0 _snwprintf
        728  2D7 00049AE0 _snwprintf_l
        729  2D8 00034720 _snwprintf_s
        730  2D9 00049570 _snwprintf_s_l
        731  2DA 00049B10 _snwscanf
        732  2DB 00049B50 _snwscanf_l
        733  2DC 00034810 _snwscanf_s
        734  2DD 00049B90 _snwscanf_s_l
        735  2DE 0001D7D0 _sopen
        736  2DF 0001D8F0 _sopen_s
        737  2E0 00015F30 _spawnl
        738  2E1 00016020 _spawnle
        739  2E2 00016120 _spawnlp
        740  2E3 00016210 _spawnlpe
        741  2E4 00016310 _spawnv
        742  2E5 00016370 _spawnve
        743  2E6 000166B0 _spawnvp
        744  2E7 000166C0 _spawnvpe
        745  2E8 0002C9A0 _splitpath
        746  2E9 0002CCE0 _splitpath_s
        747  2EA 000493B0 _sprintf_l
        748  2EB 000493E0 _sprintf_p_l
        749  2EC 00049410 _sprintf_s_l
        750  2ED 00049C60 _sscanf_l
        751  2EE 00049CA0 _sscanf_s_l
        752  2EF 00008820 _stat
        753  2F0 00008830 _stat64
        754  2F1 00008CD0 _stati64
        755  2F2 00068AE0 _statusfp
        756  2F3 0005AAE0 _strcmpi
        757  2F4 0005AC10 _strcoll_l
        758  2F5 000638B0 _strdate
        759  2F6 000638E0 _strdate_s
        760  2F7 0005A800 _strdup
        761  2F8 0005A880 _strdup_dbg
        762  2F9 0002CFA0 _strerror
        763  2FA 0002D110 _strerror_s
        764  2FB 0005AAE0 _stricmp
        765  2FC 0005AB40 _stricmp_l
        766  2FD 0005AD00 _stricoll
        767  2FE 0005AD20 _stricoll_l
        768  2FF 0005B010 _strlwr
        769  300 0005B090 _strlwr_l
        770  301 0005B0C0 _strlwr_s
        771  302 0005B0D0 _strlwr_s_l
        772  303 0005B130 _strncoll
        773  304 0005B1A0 _strncoll_l
        774  305 0005B330 _strnicmp
        775  306 0005B3A0 _strnicmp_l
        776  307 0005B490 _strnicoll
        777  308 0005B4B0 _strnicoll_l
        778  309 0005B5E0 _strnset
        779  30A 0005B600 _strnset_s
        780  30B 0005B690 _strrev
        781  30C 0005B6D0 _strset
        782  30D 0005B6F0 _strset_s
        783  30E 00063A20 _strtime
        784  30F 00063A50 _strtime_s
        785  310 00003F30 _strtod_l
        786  311 00004340 _strtoi64
        787  312 00004380 _strtoi64_l
        788  313 000046A0 _strtol_l
        789  314 000043B0 _strtoui64
        790  315 000043F0 _strtoui64_l
        791  316 000046D0 _strtoul_l
        792  317 0005B970 _strupr
        793  318 0005B9F0 _strupr_l
        794  319 0005BA20 _strupr_s
        795  31A 0005BA30 _strupr_s_l
        796  31B 0005BA90 _strxfrm_l
        797  31C 000047C0 _swab
        798  31D 000495A0 _swprintf
        799  31E 00049DB0 _swprintf_c
        800  31F 00049EB0 _swprintf_c_l
        801  320 00049660 _swprintf_p_l
        802  321 00049690 _swprintf_s_l
        803  322 00049EE0 _swscanf_l
        804  323 00049F20 _swscanf_s_l
        805  324 00076530 _sys_errlist
        806  325 0007B150 _sys_nerr
        807  326 0001EEF0 _tell
        808  327 0001EF10 _telli64
        809  328 0004A060 _tempnam
        810  329 0004A320 _tempnam_dbg
        811  32A 00063B70 _time32
        812  32B 00063BE0 _time64
        813  32C 00090CD8 _timezone
        814  32D 00004830 _tolower
        815  32E 00004840 _tolower_l
        816  32F 000049D0 _toupper
        817  330 000049E0 _toupper_l
        818  331 00004B60 _towlower_l
        819  332 00004C50 _towupper_l
        820  333 00090088 _tzname
        821  334 00063F40 _tzset
        822  335 00002950 _ui64toa
        823  336 00002AE0 _ui64toa_s
        824  337 00002DF0 _ui64tow
        825  338 00002FC0 _ui64tow_s
        826  339 00002970 _ultoa
        827  33A 00002B00 _ultoa_s
        828  33B 00002E10 _ultow
        829  33C 00002FE0 _ultow_s
        830  33D 0002D210 _umask
        831  33E 0002D240 _umask_s
        832  33F 0001BF90 _ungetch
        833  340 0001CED0 _ungetwch
        834  341 00008CE0 _unlink
        835  342 0003B410 _unlock
        836  343 00062170 _utime
        837  344 00062180 _utime32
        838  345 00062430 _utime64
        839  346 0003D3E0 _vcprintf
        840  347 0003D3F0 _vcprintf_l
        841  348 0003DEA0 _vcprintf_p
        842  349 0003DEB0 _vcprintf_p_l
        843  34A 0003F180 _vcprintf_s
        844  34B 0003F190 _vcprintf_s_l
        845  34C 00041F30 _vcwprintf
        846  34D 00041F40 _vcwprintf_l
        847  34E 00042AE0 _vcwprintf_p
        848  34F 00042AF0 _vcwprintf_p_l
        849  350 00043E60 _vcwprintf_s
        850  351 00043E70 _vcwprintf_s_l
        851  352 0004A330 _vfprintf_l
        852  353 0004A360 _vfprintf_p
        853  354 0004A390 _vfprintf_p_l
        854  355 0004A3C0 _vfprintf_s_l
        855  356 0004A5B0 _vfwprintf_l
        856  357 0004A5E0 _vfwprintf_p
        857  358 0004A610 _vfwprintf_p_l
        858  359 0004A640 _vfwprintf_s_l
        859  35A 0004A780 _vprintf_l
        860  35B 0004A7A0 _vprintf_p
        861  35C 0004A7C0 _vprintf_p_l
        862  35D 0004A7E0 _vprintf_s_l
        863  35E 0004A8F0 _vscprintf
        864  35F 0004A970 _vscprintf_l
        865  360 0004A990 _vscprintf_p_l
        866  361 0004AA60 _vscwprintf
        867  362 0004AA80 _vscwprintf_l
        868  363 0004AAA0 _vscwprintf_p_l
        869  364 0004AB90 _vsnprintf
        870  365 0004AC70 _vsnprintf_c
        871  366 0004ACB0 _vsnprintf_c_l
        872  367 0004ABB0 _vsnprintf_l
        873  368 00034610 _vsnprintf_s
        874  369 0004ADE0 _vsnprintf_s_l
        875  36A 0004B020 _vsnwprintf
        876  36B 0004B040 _vsnwprintf_l
        877  36C 00034750 _vsnwprintf_s
        878  36D 0004B130 _vsnwprintf_s_l
        879  36E 0004A9B0 _vsprintf_l
        880  36F 0004AF10 _vsprintf_p
        881  370 0004AF50 _vsprintf_p_l
        882  371 0004AF90 _vsprintf_s_l
        883  372 0004AAC0 _vswprintf
        884  373 0004B260 _vswprintf_c
        885  374 0004B2A0 _vswprintf_c_l
        886  375 0004AAE0 _vswprintf_l
        887  376 0004B400 _vswprintf_p_l
        888  377 0004B440 _vswprintf_s_l
        889  378 0004B4D0 _vwprintf_l
        890  379 0004B4F0 _vwprintf_p
        891  37A 0004B510 _vwprintf_p_l
        892  37B 0004B530 _vwprintf_s_l
        893  37C 00008D30 _waccess
        894  37D 00008D50 _waccess_s
        895  37E 000646C0 _wasctime
        896  37F 00064750 _wasctime_s
        897  380 0002D2A0 _wassert
        898  381 00008DF0 _wchdir
        899  382 00008F50 _wchmod
        900  383 000945B8 _wcmdln
        901  384 0001EF30 _wcreat
        902  385 0005BC30 _wcscoll_l
        903  386 0005BD90 _wcsdup
        904  387 0005BE20 _wcsdup_dbg
        905  388 0002DAD0 _wcserror
        906  389 0002DB90 _wcserror_s
        907  38A 00061760 _wcsftime_l
        908  38B 0005BE30 _wcsicmp
        909  38C 0005BEF0 _wcsicmp_l
        910  38D 0005C000 _wcsicoll
        911  38E 0005C0C0 _wcsicoll_l
        912  38F 0005C400 _wcslwr
        913  390 0005C490 _wcslwr_l
        914  391 0005C4C0 _wcslwr_s
        915  392 0005C4D0 _wcslwr_s_l
        916  393 0005C530 _wcsncoll
        917  394 0005C5A0 _wcsncoll_l
        918  395 0005C6A0 _wcsnicmp
        919  396 0005C770 _wcsnicmp_l
        920  397 0005C8B0 _wcsnicoll
        921  398 0005C980 _wcsnicoll_l
        922  399 0005CB00 _wcsnset
        923  39A 0005CB30 _wcsnset_s
        924  39B 0005CBD0 _wcsrev
        925  39C 0005CC20 _wcsset
        926  39D 0005CC40 _wcsset_s
        927  39E 00004D40 _wcstod_l
        928  39F 00005160 _wcstoi64
        929  3A0 000051A0 _wcstoi64_l
        930  3A1 000054B0 _wcstol_l
        931  3A2 000055D0 _wcstombs_l
        932  3A3 00005900 _wcstombs_s_l
        933  3A4 000051D0 _wcstoui64
        934  3A5 00005210 _wcstoui64_l
        935  3A6 000054E0 _wcstoul_l
        936  3A7 0005CF00 _wcsupr
        937  3A8 0005CF90 _wcsupr_l
        938  3A9 0005CFC0 _wcsupr_s
        939  3AA 0005CFD0 _wcsupr_s_l
        940  3AB 0005D030 _wcsxfrm_l
        941  3AC 00064A90 _wctime
        942  3AD 00064AA0 _wctime32
        943  3AE 00064B30 _wctime32_s
        944  3AF 00064BE0 _wctime64
        945  3B0 00064C70 _wctime64_s
        946  3B1 00005A50 _wctomb_l
        947  3B2 00005AE0 _wctomb_s_l
        948  3B3 0007AA90 _wctype
        949  3B4 00094CE8 _wenviron
        950  3B5 000169B0 _wexecl
        951  3B6 00016A90 _wexecle
        952  3B7 00016B80 _wexeclp
        953  3B8 00016C60 _wexeclpe
        954  3B9 00016D50 _wexecv
        955  3BA 00016DB0 _wexecve
        956  3BB 000170D0 _wexecvp
        957  3BC 000170E0 _wexecvpe
        958  3BD 0004B590 _wfdopen
        959  3BE 00007010 _wfindfirst
        960  3BF 00007030 _wfindfirst64
        961  3C0 000072E0 _wfindfirsti64
        962  3C1 00007020 _wfindnext
        963  3C2 00007190 _wfindnext64
        964  3C3 000072F0 _wfindnexti64
        965  3C4 0004B7B0 _wfopen
        966  3C5 0004B7D0 _wfopen_s
        967  3C6 0004B930 _wfreopen
        968  3C7 0004BA50 _wfreopen_s
        969  3C8 0004B840 _wfsopen
        970  3C9 00008FE0 _wfullpath
        971  3CA 00009130 _wfullpath_dbg
        972  3CB 00009140 _wgetcwd
        973  3CC 00009190 _wgetdcwd
        974  3CD 0002DD50 _wgetenv
        975  3CE 0002DE90 _wgetenv_s
        976  3CF 00094D0C _winmajor
        977  3D0 00094D10 _winminor
        978  3D1 00034E60 _winput_s
        979  3D2 00094D08 _winver
        980  3D3 0002DFA0 _wmakepath
        981  3D4 0002DFD0 _wmakepath_s
        982  3D5 00009320 _wmkdir
        983  3D6 0001EF80 _wmktemp
        984  3D7 0001EFF0 _wmktemp_s
        985  3D8 0001F940 _wopen
        986  3D9 00035E50 _woutput_s
        987  3DA 0002E150 _wperror
        988  3DB 00094CF8 _wpgmptr
        989  3DC 0004BA70 _wpopen
        990  3DD 0004C1D0 _wprintf_l
        991  3DE 0004C200 _wprintf_p
        992  3DF 0004C230 _wprintf_p_l
        993  3E0 0004C260 _wprintf_s_l
        994  3E1 0002E2E0 _wputenv
        995  3E2 0002E5E0 _wputenv_s
        996  3E3 00009360 _wremove
        997  3E4 000093B0 _wrename
        998  3E5 0001FB50 _write
        999  3E6 00009530 _wrmdir
       1000  3E7 0004C370 _wscanf_l
       1001  3E8 0004C3B0 _wscanf_s_l
       1002  3E9 0002E670 _wsearchenv
       1003  3EA 0002E690 _wsearchenv_s
       1004  3EB 0002E9E0 _wsetlocale
       1005  3EC 0001FA00 _wsopen
       1006  3ED 0001FB10 _wsopen_s
       1007  3EE 00017370 _wspawnl
       1008  3EF 00017460 _wspawnle
       1009  3F0 00017560 _wspawnlp
       1010  3F1 00017650 _wspawnlpe
       1011  3F2 00017750 _wspawnv
       1012  3F3 000177B0 _wspawnve
       1013  3F4 00017AE0 _wspawnvp
       1014  3F5 00017AF0 _wspawnvpe
       1015  3F6 0002EC70 _wsplitpath
       1016  3F7 0002EFB0 _wsplitpath_s
       1017  3F8 00009660 _wstat
       1018  3F9 00009740 _wstat64
       1019  3FA 00009B40 _wstati64
       1020  3FB 00064D30 _wstrdate
       1021  3FC 00064D60 _wstrdate_s
       1022  3FD 00064EC0 _wstrtime
       1023  3FE 00064EF0 _wstrtime_s
       1024  3FF 00017D90 _wsystem
       1025  400 0004C430 _wtempnam
       1026  401 0004C6E0 _wtempnam_dbg
       1027  402 0004C6F0 _wtmpnam
       1028  403 0004C8E0 _wtmpnam_s
       1029  404 00005CF0 _wtof
       1030  405 00005D00 _wtof_l
       1031  406 00005DD0 _wtoi
       1032  407 00005E00 _wtoi64
       1033  408 00005E20 _wtoi64_l
       1034  409 00005E40 _wtoi_l
       1035  40A 00005E60 _wtol
       1036  40B 00005E40 _wtol_l
       1037  40C 000093A0 _wunlink
       1038  40D 00065030 _wutime
       1039  40E 00065040 _wutime32
       1040  40F 000650E0 _wutime64
       1041  410 00069D80 _y0
       1042  411 00069F10 _y1
       1043  412 0006A0C0 _yn
       1044  413 0002F270 abort
       1045  414 0002B500 abs
       1046  415 0006A4A0 acos
       1047  416 0006A780 acosf
       1048  417 00065180 asctime
       1049  418 00065210 asctime_s
       1050  419 0006AA00 asin
       1051  41A 0006ACC0 asinf
       1052  41B 0006AF10 atan
       1053  41C 0006B170 atan2
       1054  41D 0006B8C0 atan2f
       1055  41E 0006BD30 atanf
       1056  41F 0002AB40 atexit
       1057  420 00001290 atof
       1058  421 00002100 atoi
       1059  422 00002130 atol
       1060  423 0002F310 bsearch
       1061  424 0002F420 bsearch_s
       1062  425 000061F0 btowc
       1063  426 00019CA0 calloc
       1064  427 0006BF70 ceil
       1065  428 0006C090 ceilf
       1066  429 0004CB80 clearerr
       1067  42A 0004CB90 clearerr_s
       1068  42B 00065560 clock
       1069  42C 0006C170 cos
       1070  42D 0006CCE0 cosf
       1071  42E 0006D500 cosh
       1072  42F 0006D9E0 coshf
       1073  430 000619F0 ctime
       1074  431 00061B90 difftime
       1075  432 0002F540 div
       1076  433 0003A960 exit
       1077  434 0006DDE0 exp
       1078  435 0006E1D0 expf
       1079  436 0006E490 fabs
       1080  437 0004CCE0 fclose
       1081  438 0004CD60 feof
       1082  439 0004CDA0 ferror
       1083  43A 000475B0 fflush
       1084  43B 0004CDE0 fgetc
       1085  43C 0004CF10 fgetpos
       1086  43D 0004CF70 fgets
       1087  43E 0004D310 fgetwc
       1088  43F 0004D390 fgetws
       1089  440 0006E580 floor
       1090  441 0006E690 floorf
       1091  442 0006E760 fmod
       1092  443 0006ECB0 fmodf
       1093  444 00047DA0 fopen
       1094  445 00047DC0 fopen_s
       1095  446 000477B0 fprintf
       1096  447 000478F0 fprintf_s
       1097  448 0004D460 fputc
       1098  449 0004D5A0 fputs
       1099  44A 0004D8C0 fputwc
       1100  44B 0004D950 fputws
       1101  44C 0004DCC0 fread
       1102  44D 00019CF0 free
       1103  44E 0004DE90 freopen
       1104  44F 0004DED0 freopen_s
       1105  450 0006EF70 frexp
       1106  451 000479E0 fscanf
       1107  452 00047A20 fscanf_s
       1108  453 0004DFA0 fseek
       1109  454 0004E020 fsetpos
       1110  455 0004E260 ftell
       1111  456 00047EF0 fwprintf
       1112  457 00047F90 fwprintf_s
       1113  458 0004E490 fwrite
       1114  459 00048040 fwscanf
       1115  45A 00048080 fwscanf_s
       1116  45B 0004CDE0 getc
       1117  45C 00047160 getchar
       1118  45D 0002F720 getenv
       1119  45E 0002F780 getenv_s
       1120  45F 0004E780 gets
       1121  460 0004D380 getwc
       1122  461 00047180 getwchar
       1123  462 000628A0 gmtime
       1124  463 00003620 is_wctype
       1125  464 00001790 isalnum
       1126  465 00001830 isalpha
       1127  466 000018D0 iscntrl
       1128  467 00001960 isdigit
       1129  468 000019F0 isgraph
       1130  469 00003440 isleadbyte
       1131  46A 00001A90 islower
       1132  46B 00001B20 isprint
       1133  46C 00001BC0 ispunct
       1134  46D 00001C50 isspace
       1135  46E 00001CE0 isupper
       1136  46F 00003490 iswalnum
       1137  470 000034A0 iswalpha
       1138  471 000034B0 iswascii
       1139  472 000034D0 iswcntrl
       1140  473 00003630 iswctype
       1141  474 000034E0 iswdigit
       1142  475 000034F0 iswgraph
       1143  476 00003500 iswlower
       1144  477 00003510 iswprint
       1145  478 00003520 iswpunct
       1146  479 00003530 iswspace
       1147  47A 00003540 iswupper
       1148  47B 00003550 iswxdigit
       1149  47C 00001D70 isxdigit
       1150  47D 0002B500 labs
       1151  47E 0006F070 ldexp
       1152  47F 0002F540 ldiv
       1153  480 0002F880 localeconv
       1154  481 00062F20 localtime
       1155  482 0006F1F0 log
       1156  483 0006F4D0 log10
       1157  484 0006F810 log10f
       1158  485 0006FA10 logf
       1159  486 0002F8D0 longjmp
       1160  487 00019D40 malloc
       1161  488 000037C0 mblen
       1162  489 00006260 mbrlen
       1163  48A 000062B0 mbrtowc
       1164  48B 0005A880 mbsdup_dbg
       1165  48C 00006320 mbsrtowcs
       1166  48D 00006330 mbsrtowcs_s
       1167  48E 00003B40 mbstowcs
       1168  48F 00003B60 mbstowcs_s
       1169  490 00003F20 mbtowc
       1170  491 0005D1F0 memchr
       1171  492 0005D220 memcmp
       1172  493 00074980 memcpy
       1173  494 0005D300 memcpy_s
       1174  495 00074980 memmove
       1175  496 0005D3A0 memmove_s
       1176  497 00074CC0 memset
       1177  498 000635A0 mktime
       1178  499 0006FC20 modf
       1179  49A 0006FCF0 modff
       1180  49B 0002F900 perror
       1181  49C 00073550 pow
       1182  49D 00074110 powf
       1183  49E 00048E60 printf
       1184  49F 00048F10 printf_s
       1185  4A0 0004D460 putc
       1186  4A1 00047920 putchar
       1187  4A2 0004E7A0 puts
       1188  4A3 0004D940 putwc
       1189  4A4 00047940 putwchar
       1190  4A5 0002F9D0 qsort
       1191  4A6 0002FD80 qsort_s
       1192  4A7 0002AC70 raise
       1193  4A8 00030150 rand
       1194  4A9 000301B0 rand_s
       1195  4AA 00019E20 realloc
       1196  4AB 00008CF0 remove
       1197  4AC 00009B50 rename
       1198  4AD 0004E920 rewind
       1199  4AE 00049210 scanf
       1200  4AF 00036A30 scanf_s
       1201  4B0 0004E9F0 setbuf
       1202  4B1 00073310 setjmp
       1203  4B2 00029C00 setlocale
       1204  4B3 0004EA20 setvbuf
       1205  4B4 0002AED0 signal
       1206  4B5 0006C590 sin
       1207  4B6 0006D0B0 sinf
       1208  4B7 0006FD90 sinh
       1209  4B8 000702B0 sinhf
       1210  4B9 00049440 sprintf
       1211  4BA 00036A90 sprintf_s
       1212  4BB 000706C0 sqrt
       1213  4BC 000707D0 sqrtf
       1214  4BD 00030180 srand
       1215  4BE 00049CE0 sscanf
       1216  4BF 00036B30 sscanf_s
       1217  4C0 0005A6A0 strcat
       1218  4C1 0005D420 strcat_s
       1219  4C2 0005D4C0 strchr
       1220  4C3 0005D500 strcmp
       1221  4C4 0005ACF0 strcoll
       1222  4C5 0005A740 strcpy
       1223  4C6 0005D5C0 strcpy_s
       1224  4C7 0005D640 strcspn
       1225  4C8 000302F0 strerror
       1226  4C9 000303A0 strerror_s
       1227  4CA 00060080 strftime
       1228  4CB 0005D6F0 strlen
       1229  4CC 0005D7B0 strncat
       1230  4CD 0005D950 strncat_s
       1231  4CE 0005DA50 strncmp
       1232  4CF 0005DB20 strncpy
       1233  4D0 0005DC90 strncpy_s
       1234  4D1 0005DD70 strnlen
       1235  4D2 0005DD90 strpbrk
       1236  4D3 0005DE40 strrchr
       1237  4D4 0005DE70 strspn
       1238  4D5 0005DF40 strstr
       1239  4D6 000040C0 strtod
       1240  4D7 0005DFA0 strtok
       1241  4D8 0005E0E0 strtok_s
       1242  4D9 00004700 strtol
       1243  4DA 00004780 strtoul
       1244  4DB 0005BC20 strxfrm
       1245  4DC 000495A0 swprintf
       1246  4DD 00036BA0 swprintf_s
       1247  4DE 00049F60 swscanf
       1248  4DF 00036C40 swscanf_s
       1249  4E0 00017EB0 system
       1250  4E1 000708C0 tan
       1251  4E2 00070FD0 tanf
       1252  4E3 00071470 tanh
       1253  4E4 00071730 tanhf
       1254  4E5 00063BD0 time
       1255  4E6 0004F1A0 tmpfile
       1256  4E7 0004F1D0 tmpfile_s
       1257  4E8 0004F1E0 tmpnam
       1258  4E9 0004F220 tmpnam_s
       1259  4EA 000049A0 tolower
       1260  4EB 00004B30 toupper
       1261  4EC 00004C40 towlower
       1262  4ED 00004D30 towupper
       1263  4EE 0004F3A0 ungetc
       1264  4EF 0004F610 ungetwc
       1265  4F0 00062170 utime
       1266  4F1 0004A3F0 vfprintf
       1267  4F2 0004A580 vfprintf_s
       1268  4F3 0004A670 vfwprintf
       1269  4F4 0004A750 vfwprintf_s
       1270  4F5 0004A800 vprintf
       1271  4F6 0004A8D0 vprintf_s
       1272  4F7 0004AB90 vsnprintf
       1273  4F8 0004AA40 vsprintf
       1274  4F9 00036AC0 vsprintf_s
       1275  4FA 0004AAC0 vswprintf
       1276  4FB 00036BD0 vswprintf_s
       1277  4FC 0004B550 vwprintf
       1278  4FD 0004B570 vwprintf_s
       1279  4FE 000066E0 wcrtomb
       1280  4FF 00006720 wcrtomb_s
       1281  500 0005E240 wcscat
       1282  501 0005E2B0 wcscat_s
       1283  502 0005E360 wcschr
       1284  503 0005E390 wcscmp
       1285  504 0005BD10 wcscoll
       1286  505 0005E280 wcscpy
       1287  506 0005E3D0 wcscpy_s
       1288  507 0005E460 wcscspn
       1289  508 00061790 wcsftime
       1290  509 0005E4B0 wcslen
       1291  50A 0005E4D0 wcsncat
       1292  50B 0005E520 wcsncat_s
       1293  50C 0005E630 wcsncmp
       1294  50D 0005E670 wcsncpy
       1295  50E 0005E6C0 wcsncpy_s
       1296  50F 0005E7B0 wcsnlen
       1297  510 0005E7E0 wcspbrk
       1298  511 0005E820 wcsrchr
       1299  512 000067C0 wcsrtombs
       1300  513 000067D0 wcsrtombs_s
       1301  514 0005E860 wcsspn
       1302  515 0005E8B0 wcsstr
       1303  516 00004EC0 wcstod
       1304  517 0005E920 wcstok
       1305  518 0005E9F0 wcstok_s
       1306  519 00005510 wcstol
       1307  51A 00005A10 wcstombs
       1308  51B 00005A20 wcstombs_s
       1309  51C 00005590 wcstoul
       1310  51D 0005D1E0 wcsxfrm
       1311  51E 000068B0 wctob
       1312  51F 00005C90 wctomb
       1313  520 00005CD0 wctomb_s
       1314  521 0004C290 wprintf
       1315  522 0004C340 wprintf_s
       1316  523 0004C3F0 wscanf
       1317  524 00036CB0 wscanf_s

  Summary

        8000 .data
        5000 .pdata
       19000 .rdata
        1000 .reloc
        1000 .rsrc
       75000 .text
