Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\msvcrt.dll

File Type: DLL

  Section contains the following exports for msvcrt.dll

    00000000 characteristics
    F362C2F9 time date stamp
        0.00 version
           1 ordinal base
        1317 number of functions
        1317 number of names

    ordinal hint RVA      name

        113   6F 000282B0 ___mb_cur_max_func
        114   70 000288D0 ___setlc_active_func
        115   71 000288E0 ___unguarded_readlc_active_add_func
        116   72 00094CC8 __argc
        117   73 00094CD0 __argv
        118   74 00090468 __badioinfo
        119   75 0002A170 __crtCompareStringA
        120   76 0002A200 __crtCompareStringW
        121   77 0002A2E0 __crtGetLocaleInfoW
        122   78 0002A340 __crtGetStringTypeW
        123   79 0002A7C0 __crtLCMapStringA
        124   7A 0002A860 __crtLCMapStringW
        125   7B 000617B0 __daylight
        126   7C 0002A940 __dllonexit
        127   7D 00007D40 __doserrno
        128   7E 000617C0 __dstbias
        129   7F 0002AB60 __fpecode
        130   80 00007A30 __getmainargs
        131   81 00094D28 __initenv
        132   82 0003D180 __iob_func
        133   83 000012A0 __isascii
        134   84 000012C0 __iscsym
        135   85 000012F0 __iscsymf
        136   86 000946E8 __lc_codepage
        137   87 000946EC __lc_collate_cp
        138   88 000946D0 __lc_handle
        139   89 0002B140 __lconv_init
        140   8A 00090904 __mb_cur_max
        141   8B 0002B160 __pctype_func
        142   8C 00095940 __pioinfo
        143   8D 0002B1B0 __pwctype_func
        144   8E 0002AB90 __pxcptinfoptrs
        145   8F 0002B1C0 __set_app_type
        146   90 00095B44 __setlc_active
        147   91 00068650 __setusermatherr
        148   92 0005A630 __strncnt
        149   93 0003A980 __threadhandle
        150   94 0003A990 __threadid
        151   95 00001320 __toascii
        152   96 00012800 __unDName
        153   97 00012910 __unDNameEx
         48   98 0000ABB0 __uncaught_exception
        154   99 00095B40 __unguarded_readlc_active
        155   9A 00094CD8 __wargv
        156   9B 0002B240 __wcserror
        157   9C 0002B3D0 __wcserror_s
        158   9D 0005A660 __wcsncnt
        159   9E 00007AB0 __wgetmainargs
        160   9F 00094D20 __winitenv
        161   A0 0002B4E0 _abs64
        162   A1 00007F40 _access
        163   A2 00007F60 _access_s
        164   A3 000945B0 _acmdln
        165   A4 0008F2E8 _aexit_rtn
        166   A5 000193B0 _aligned_free
        167   A6 00027D60 _aligned_free_dbg
        168   A7 000193E0 _aligned_malloc
        169   A8 000193E0 _aligned_malloc_dbg
        170   A9 000193F0 _aligned_offset_malloc
        171   AA 00027D70 _aligned_offset_malloc_dbg
        172   AB 000194C0 _aligned_offset_realloc
        173   AC 00027D80 _aligned_offset_realloc_dbg
        174   AD 000196B0 _aligned_realloc
        175   AE 000196B0 _aligned_realloc_dbg
        176   AF 0003A320 _amsg_exit
        177   B0 0002B510 _assert
        178   B1 00001E10 _atodbl
        179   B2 00001E20 _atodbl_l
        180   B3 000011A0 _atof_l
        181   B4 00001EF0 _atoflt_l
        182   B5 000020A0 _atoi64
        183   B6 000020C0 _atoi64_l
        184   B7 000020E0 _atoi_l
        185   B8 000020E0 _atol_l
        186   B9 00001FC0 _atoldbl
        187   BA 00001FD0 _atoldbl_l
        188   BB 00006BC0 _beep
        189   BC 0003ADB0 _beginthread
        190   BD 0003AFC0 _beginthreadex
        191   BE 0003A380 _c_exit
        192   BF 000686C0 _cabs
        193   C0 000192E0 _callnewh
        194   C1 00027D90 _calloc_dbg
        195   C2 0003A3A0 _cexit
        196   C3 0001A5B0 _cgets
        197   C4 0001A640 _cgets_s
        198   C5 0001A780 _cgetws
        199   C6 0001A7F0 _cgetws_s
        200   C7 00008000 _chdir
        201   C8 00008150 _chdrive
        202   C9 000686E0 _chgsign
        203   CA 00068710 _chgsignf
        204   CB 000082E0 _chmod
        205   CC 0001A9E0 _chsize
        206   CD 0001ABA0 _chsize_s
        207   CE 00002150 _chvalidator
        208   CF 00002170 _chvalidator_l
        209   D0 00068730 _clearfp
        210   D1 0001ACB0 _close
        211   D2 0001AE70 _commit
