Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\migisol.dll

File Type: DLL

  Section contains the following exports for migisol.dll

    00000000 characteristics
    C8F5EB64 time date stamp
        0.00 version
           1 ordinal base
         739 number of functions
         739 number of names

    ordinal hint RVA      name

         79   4E 00003370 ??4CIlNt4Kernel32@@QEAAAEAV0@AEBV0@@Z
         80   4F 00003370 ??4CIlNt4Netapi32@@QEAAAEAV0@$$QEAV0@@Z
         81   50 00003370 ??4CIlNt4Netapi32@@QEAAAEAV0@AEBV0@@Z
         82   51 00003370 ??4CIlNt4Setupapi@@QEAAAEAV0@$$QEAV0@@Z
         83   52 00003370 ??4CIlNt4Setupapi@@QEAAAEAV0@AEBV0@@Z
         84   53 00003370 ??4CIlNt4User32@@QEAAAEAV0@$$QEAV0@@Z
         85   54 00003370 ??4CIlNt4User32@@QEAAAEAV0@AEBV0@@Z
         86   55 00003370 ??4CIlNt4Userenv@@QEAAAEAV0@$$QEAV0@@Z
         87   56 00003370 ??4CIlNt4Userenv@@QEAAAEAV0@AEBV0@@Z
         88   57 00003370 ??4CIlNt6Userenv@@QEAAAEAV0@$$QEAV0@@Z
         89   58 00003370 ??4CIlNt6Userenv@@QEAAAEAV0@AEBV0@@Z
         90   59 00001C10 ??4CIlOle32@@QEAAAEAV0@$$QEAV0@@Z
         91   5A 00001C10 ??4CIlOle32@@QEAAAEAV0@AEBV0@@Z
         92   5B 00001C10 ??4CIlOleaut32@@QEAAAEAV0@$$QEAV0@@Z
         93   5C 00001C10 ??4CIlOleaut32@@QEAAAEAV0@AEBV0@@Z
         94   5D 00001C10 ??4CIlSetupapi@@QEAAAEAV0@$$QEAV0@@Z
         95   5E 00001C10 ??4CIlSetupapi@@QEAAAEAV0@AEBV0@@Z
         96   5F 00001C10 ??4CIlShell32@@QEAAAEAV0@$$QEAV0@@Z
         97   60 00001C10 ??4CIlShell32@@QEAAAEAV0@AEBV0@@Z
         98   61 00001C10 ??4CIlUser32@@QEAAAEAV0@$$QEAV0@@Z
         99   62 00001C10 ??4CIlUser32@@QEAAAEAV0@AEBV0@@Z
        100   63 00001C10 ??4CIlVersion@@QEAAAEAV0@$$QEAV0@@Z
        101   64 00001C10 ??4CIlVersion@@QEAAAEAV0@AEBV0@@Z
        102   65 00003370 ??4CIlW2kDynWs2_32@@QEAAAEAV0@$$QEAV0@@Z
        103   66 00003370 ??4CIlW2kDynWs2_32@@QEAAAEAV0@AEBV0@@Z
        104   67 00001C10 ??4CIlWimgapi@@QEAAAEAV0@$$QEAV0@@Z
        105   68 00001C10 ??4CIlWimgapi@@QEAAAEAV0@AEBV0@@Z
        106   69 00001C10 ??4CIlWs2_32@@QEAAAEAV0@$$QEAV0@@Z
        107   6A 00001C10 ??4CIlWs2_32@@QEAAAEAV0@AEBV0@@Z
        108   6B 0000B168 ??_7CIlAdvapi32@@6B@
        109   6C 0000B518 ??_7CIlDeplorch@@6B@
        110   6D 0000B858 ??_7CIlIphlpapi@@6B@
        111   6E 0000B588 ??_7CIlKernel32@@6B@
        112   6F 0000B158 ??_7CIlMuisetupapi@@6B@
        113   70 0000B378 ??_7CIlNt4Advapi32@@6B@
        114   71 0000B308 ??_7CIlNt4Kernel32@@6B@
        115   72 0000B860 ??_7CIlNt4Netapi32@@6B@
        116   73 0000B8B0 ??_7CIlNt4Setupapi@@6B@
        117   74 0000B968 ??_7CIlNt4User32@@6B@
        118   75 0000B8A8 ??_7CIlNt4Userenv@@6B@
        119   76 0000B400 ??_7CIlNt6Userenv@@6B@
        120   77 0000B338 ??_7CIlOle32@@6B@
        121   78 0000B970 ??_7CIlOleaut32@@6B@
        122   79 0000B128 ??_7CIlSetupapi@@6B@
        123   7A 0000B118 ??_7CIlShell32@@6B@
        124   7B 0000B568 ??_7CIlUser32@@6B@
        125   7C 0000B2F0 ??_7CIlVersion@@6B@
        126   7D 0000B520 ??_7CIlW2kDynWs2_32@@6B@
        127   7E 0000B4E0 ??_7CIlWimgapi@@6B@
        128   7F 0000B408 ??_7CIlWs2_32@@6B@
        129   80 000017C0 ?AdjustTokenPrivileges@CIlAdvapi32@@UEAAHPEAXHPEAU_TOKEN_PRIVILEGES@@K1PEAK@Z
        130   81 00001630 ?AllocateAndInitializeSid@CIlAdvapi32@@UEAAHPEAU_SID_IDENTIFIER_AUTHORITY@@EKKKKKKKKPEAPEAX@Z
