Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\migisol.dll

File Type: DLL

  Section contains the following exports for migisol.dll

    00000000 characteristics
    C8F5EB64 time date stamp
        0.00 version
           1 ordinal base
         739 number of functions
         739 number of names

    ordinal hint RVA      name

        278  115 00004C90 ?IlNetUserGetLocalGroups@CIlNt4Netapi32@@CAKPEBG0KKPEAPEAEKPEAK2@Z
        279  116 00004750 ?IlNetWkstaGetInfo@CIlNt4Netapi32@@CAKPEAGKPEAPEAE@Z
        280  117 00020290 ?IlNt4Advapi32@@3VCIlNt4Advapi32@@A
        281  118 00020230 ?IlNt4Kernel32@@3VCIlNt4Kernel32@@A
        282  119 00020318 ?IlNt4Netapi32@@3VCIlNt4Netapi32@@A
        283  11A 000202E8 ?IlNt4Setupapi@@3VCIlNt4Setupapi@@A
        284  11B 00020338 ?IlNt4User32@@3VCIlNt4User32@@A
        285  11C 00020258 ?IlNt4Userenv@@3VCIlNt4Userenv@@A
        286  11D 000202C0 ?IlNt6Userenv@@3VCIlNt6Userenv@@A
        287  11E 000202E0 ?IlOle32@@3VCIlOle32@@A
        288  11F 00020270 ?IlOleaut32@@3VCIlOleaut32@@A
        289  120 00002350 ?IlOpenSCManagerW@CIlNt4Advapi32@@CAPEAUSC_HANDLE__@@PEBG0K@Z
        290  121 00002460 ?IlOpenServiceW@CIlNt4Advapi32@@CAPEAUSC_HANDLE__@@PEAU2@PEBGK@Z
        291  122 000042E0 ?IlProcess32FirstW@CIlNt4Kernel32@@CAHPEAXPEAUtagPROCESSENTRY32W@@@Z
        292  123 000043F0 ?IlProcess32NextW@CIlNt4Kernel32@@CAHPEAXPEAUtagPROCESSENTRY32W@@@Z
        293  124 00002580 ?IlQueryServiceConfigW@CIlNt4Advapi32@@CAHPEAUSC_HANDLE__@@PEAU_QUERY_SERVICE_CONFIGW@@KPEAK@Z
        294  125 000040A0 ?IlRegisterWaitForSingleObject@CIlNt4Kernel32@@CAHPEAPEAXPEAXP6AX1E@Z1KK@Z
        295  126 000066C0 ?IlSetupCloseFileQueue@CIlNt4Setupapi@@CAHPEAX@Z
        296  127 00005CB0 ?IlSetupDiBuildDriverInfoList@CIlNt4Setupapi@@CAHPEAXPEAU_SP_DEVINFO_DATA@@K@Z
        297  128 00006140 ?IlSetupDiCallClassInstaller@CIlNt4Setupapi@@CAHIPEAXPEAU_SP_DEVINFO_DATA@@@Z
        298  129 00005580 ?IlSetupDiCreateDeviceInfoListExW@CIlNt4Setupapi@@CAPEAXPEBU_GUID@@PEAUHWND__@@PEBGPEAX@Z
        299  12A 00006360 ?IlSetupDiDestroyDeviceInfoList@CIlNt4Setupapi@@CAHPEAX@Z
        300  12B 00005BA0 ?IlSetupDiDestroyDriverInfoList@CIlNt4Setupapi@@CAHPEAXPEAU_SP_DEVINFO_DATA@@K@Z
        301  12C 00005A90 ?IlSetupDiEnumDeviceInfo@CIlNt4Setupapi@@CAHPEAXKPEAU_SP_DEVINFO_DATA@@@Z
        302  12D 00006E90 ?IlSetupDiEnumDeviceInterfaces@CIlNt4Setupapi@@CAHPEAXPEAU_SP_DEVINFO_DATA@@PEBU_GUID@@KPEAU_SP_DEVICE_INTERFACE_DATA@@@Z
        303  12E 00006BE0 ?IlSetupDiEnumDriverInfoW@CIlNt4Setupapi@@CAHPEAXPEAU_SP_DEVINFO_DATA@@KKPEAU_SP_DRVINFO_DATA_V2_W@@@Z
        304  12F 000056E0 ?IlSetupDiGetClassDevsExW@CIlNt4Setupapi@@CAPEAXPEBU_GUID@@PEBGPEAUHWND__@@KPEAX13@Z
        305  130 00005830 ?IlSetupDiGetClassDevsW@CIlNt4Setupapi@@CAPEAXPEBU_GUID@@PEBGPEAUHWND__@@K@Z
        306  131 00005F20 ?IlSetupDiGetDeviceInstallParamsW@CIlNt4Setupapi@@CAHPEAXPEAU_SP_DEVINFO_DATA@@PEAU_SP_DEVINSTALL_PARAMS_W@@@Z
        307  132 00006FF0 ?IlSetupDiGetDeviceInterfaceDetailW@CIlNt4Setupapi@@CAHPEAXPEAU_SP_DEVICE_INTERFACE_DATA@@PEAU_SP_DEVICE_INTERFACE_DETAIL_DATA_W@@KPEAKPEAU_SP_DEVINFO_DATA@@@Z
        308  133 00006A80 ?IlSetupDiGetDeviceRegistryPropertyW@CIlNt4Setupapi@@CAHPEAXPEAU_SP_DEVINFO_DATA@@KPEAKPEAEK2@Z
        309  134 00005DF0 ?IlSetupDiGetDriverInfoDetailW@CIlNt4Setupapi@@CAHPEAXPEAU_SP_DEVINFO_DATA@@PEAU_SP_DRVINFO_DATA_V2_W@@PEAU_SP_DRVINFO_DETAIL_DATA_W@@KPEAK@Z
        310  135 00006D40 ?IlSetupDiOpenDevRegKey@CIlNt4Setupapi@@CAPEAUHKEY__@@PEAXPEAU_SP_DEVINFO_DATA@@KKKK@Z
        311  136 00005970 ?IlSetupDiOpenDeviceInfoW@CIlNt4Setupapi@@CAHPEAXPEBGPEAUHWND__@@KPEAU_SP_DEVINFO_DATA@@@Z
        312  137 00006030 ?IlSetupDiSetDeviceInstallParamsW@CIlNt4Setupapi@@CAHPEAXPEAU_SP_DEVINFO_DATA@@PEAU_SP_DEVINSTALL_PARAMS_W@@@Z
        313  138 00006250 ?IlSetupDiSetSelectedDriverW@CIlNt4Setupapi@@CAHPEAXPEAU_SP_DEVINFO_DATA@@PEAU_SP_DRVINFO_DATA_V2_W@@@Z
        314  139 000067E0 ?IlSetupGetInfInformationW@CIlNt4Setupapi@@CAHPEBXKPEAU_SP_INF_INFORMATION@@KPEAK@Z
        315  13A 00006460 ?IlSetupOpenFileQueue@CIlNt4Setupapi@@CAPEAXXZ
        316  13B 00006920 ?IlSetupQueryInfOriginalFileInformationW@CIlNt4Setupapi@@CAHPEAU_SP_INF_INFORMATION@@IPEAU_SP_ALTPLATFORM_INFO_V2@@PEAU_SP_ORIGINAL_FILE_INFO_W@@@Z
        317  13C 00006590 ?IlSetupScanFileQueueW@CIlNt4Setupapi@@CAHPEAXKPEAUHWND__@@P6AI0I_K2@Z0PEAK@Z
        318  13D 00020330 ?IlSetupapi@@3VCIlSetupapi@@A
        319  13E 000202B8 ?IlShell32@@3VCIlShell32@@A
        320  13F 00002AE0 ?IlStartServiceW@CIlNt4Advapi32@@CAHPEAUSC_HANDLE__@@KPEAPEBG@Z
        321  140 00002EE0 ?IlUnlockServiceDatabase@CIlNt4Advapi32@@CAHPEAX@Z
        322  141 00020248 ?IlUser32@@3VCIlUser32@@A
        323  142 000202D8 ?IlVersion@@3VCIlVersion@@A
        324  143 00020300 ?IlW2kDynWs2_32@@3VCIlW2kDynWs2_32@@A
        325  144 00020288 ?IlWimgapi@@3VCIlWimgapi@@A
        326  145 00020278 ?IlWs2_32@@3VCIlWs2_32@@A
        327  146 00007F20 ?Ilfreeaddrinfo@CIlW2kDynWs2_32@@CAXPEAUaddrinfo@@@Z
        328  147 00007E00 ?Ilgetaddrinfo@CIlW2kDynWs2_32@@CAHPEBD0PEBUaddrinfo@@PEAPEAU2@@Z
        329  148 00007CB0 ?Ilgetnameinfo@CIlW2kDynWs2_32@@CAHPEBUsockaddr@@HPEADK1KH@Z
        330  149 00003D30 ?InitializeCriticalSection@CIlKernel32@@UEAAXPEAU_RTL_CRITICAL_SECTION@@@Z
        331  14A 00001B80 ?InitializeSecurityDescriptor@CIlAdvapi32@@UEAAHPEAXK@Z
        332  14B 000030C0 ?InitiateSystemShutdownExW@CIlNt4Advapi32@@UEAAHPEAG0KHHK@Z
        333  14C 000016C0 ?IsValidSid@CIlAdvapi32@@UEAAHPEAX@Z
        334  14D 00003D50 ?LeaveCriticalSection@CIlKernel32@@UEAAXPEAU_RTL_CRITICAL_SECTION@@@Z
        335  14E 000071D0 ?LoadIconW@CIlUser32@@UEAAPEAUHICON__@@PEAUHINSTANCE__@@PEBG@Z
        336  14F 00003F70 ?LoadLibraryW@CIlKernel32@@UEAAPEAUHINSTANCE__@@PEBG@Z
        337  150 00002DC0 ?LockServiceDatabase@CIlNt4Advapi32@@UEAAPEAXPEAUSC_HANDLE__@@@Z
        338  151 00007270 ?LockSetForegroundWindow@CIlNt4User32@@UEAAHI@Z
        339  152 00001540 ?LookupAccountNameW@CIlAdvapi32@@UEAAHPEBG0PEAXPEAKPEAG2PEAW4_SID_NAME_USE@@@Z
        340  153 00001590 ?LookupAccountSidW@CIlAdvapi32@@UEAAHPEBGPEAXPEAGPEAK23PEAW4_SID_NAME_USE@@@Z
        341  154 000017A0 ?LookupPrivilegeValueW@CIlAdvapi32@@UEAAHPEBG0PEAU_LUID@@@Z
        342  155 00003E80 ?MapViewOfFile@CIlKernel32@@UEAAPEAXPEAXKKK_K@Z
        343  156 00007220 ?MessageBoxA@CIlUser32@@UEAAHPEAUHWND__@@PEBD1I@Z
        344  157 000071F0 ?MessageBoxW@CIlUser32@@UEAAHPEAUHWND__@@PEBG1I@Z
        345  158 000036E0 ?MoveFileExW@CIlKernel32@@UEAAHPEBG0K@Z
        346  159 000036C0 ?MoveFileW@CIlKernel32@@UEAAHPEBG0@Z
        347  15A 000051B0 ?NetApiBufferFree@CIlNt4Netapi32@@UEAAKPEAX@Z
        348  15B 00004F00 ?NetLocalGroupAdd@CIlNt4Netapi32@@UEAAKPEBGKPEAEPEAK@Z
        349  15C 00004DC0 ?NetLocalGroupAddMembers@CIlNt4Netapi32@@UEAAKPEBG0KPEAEK@Z
        350  15D 00005030 ?NetLocalGroupEnum@CIlNt4Netapi32@@UEAAKPEBGKPEAPEAEKPEAK2PEA_K@Z
        351  15E 00004840 ?NetUserAdd@CIlNt4Netapi32@@UEAAKPEBGKPEAEPEAK@Z
        352  15F 00004970 ?NetUserDel@CIlNt4Netapi32@@UEAAKPEBG0@Z
        353  160 00004A80 ?NetUserEnum@CIlNt4Netapi32@@UEAAKPEBGKKPEAPEAEKPEAK22@Z
        354  161 00004C20 ?NetUserGetLocalGroups@CIlNt4Netapi32@@UEAAKPEBG0KKPEAPEAEKPEAK2@Z
        355  162 00004730 ?NetWkstaGetInfo@CIlNt4Netapi32@@UEAAKPEAGKPEAPEAE@Z
        356  163 00003CA0 ?OpenEventW@CIlKernel32@@UEAAPEAXKHPEBG@Z
        357  164 00003B10 ?OpenProcess@CIlKernel32@@UEAAPEAXKHK@Z
        358  165 000015E0 ?OpenProcessToken@CIlAdvapi32@@UEAAHPEAXKPEAPEAX@Z
        359  166 00002330 ?OpenSCManagerW@CIlNt4Advapi32@@UEAAPEAUSC_HANDLE__@@PEBG0K@Z
        360  167 00002440 ?OpenServiceW@CIlNt4Advapi32@@UEAAPEAUSC_HANDLE__@@PEAU2@PEBGK@Z
        361  168 000071A0 ?PostMessageW@CIlUser32@@UEAAHPEAUHWND__@@I_K_J@Z
        362  169 000042C0 ?Process32FirstW@CIlNt4Kernel32@@UEAAHPEAXPEAUtagPROCESSENTRY32W@@@Z
        363  16A 000043D0 ?Process32NextW@CIlNt4Kernel32@@UEAAHPEAXPEAUtagPROCESSENTRY32W@@@Z
        364  16B 00002550 ?QueryServiceConfigW@CIlNt4Advapi32@@UEAAHPEAUSC_HANDLE__@@PEAU_QUERY_SERVICE_CONFIGW@@KPEAK@Z
        365  16C 00003EC0 ?RaiseException@CIlKernel32@@UEAAXKKKPEB_K@Z
        366  16D 000037A0 ?ReadFile@CIlKernel32@@UEAAHPEAX0KPEAKPEAU_OVERLAPPED@@@Z
        367  16E 00001500 ?RegCloseKey@CIlAdvapi32@@UEAAJPEAUHKEY__@@@Z
        368  16F 00001240 ?RegCreateKeyExW@CIlAdvapi32@@UEAAJPEAUHKEY__@@PEBGKPEAGKKPEAU_SECURITY_ATTRIBUTES@@PEAPEAU2@PEAK@Z
        369  170 000014C0 ?RegDeleteKeyW@CIlAdvapi32@@UEAAJPEAUHKEY__@@PEBG@Z
        370  171 000014E0 ?RegDeleteValueW@CIlAdvapi32@@UEAAJPEAUHKEY__@@PEBG@Z
        371  172 000013C0 ?RegEnumKeyExW@CIlAdvapi32@@UEAAJPEAUHKEY__@@KPEAGPEAK212PEAU_FILETIME@@@Z
        372  173 00001460 ?RegEnumValueW@CIlAdvapi32@@UEAAJPEAUHKEY__@@KPEAGPEAK22PEAE2@Z
        373  174 00001510 ?RegFlushKey@CIlAdvapi32@@UEAAJPEAUHKEY__@@@Z
        374  175 00001200 ?RegLoadKeyW@CIlAdvapi32@@UEAAJPEAUHKEY__@@PEBG1@Z
        375  176 000012B0 ?RegOpenKeyExW@CIlAdvapi32@@UEAAJPEAUHKEY__@@PEBGKKPEAPEAU2@@Z
        376  177 00001320 ?RegQueryInfoKeyW@CIlAdvapi32@@UEAAJPEAUHKEY__@@PEAGPEAK22222222PEAU_FILETIME@@@Z
        377  178 000012E0 ?RegQueryValueExW@CIlAdvapi32@@UEAAJPEAUHKEY__@@PEBGPEAK2PEAE2@Z
        378  179 00001B40 ?RegSetKeySecurity@CIlAdvapi32@@UEAAJPEAUHKEY__@@KPEAX@Z
        379  17A 00001420 ?RegSetValueExW@CIlAdvapi32@@UEAAJPEAUHKEY__@@PEBGKKPEBEK@Z
        380  17B 00001220 ?RegUnLoadKeyW@CIlAdvapi32@@UEAAJPEAUHKEY__@@PEBG@Z
        381  17C 00004050 ?RegisterWaitForSingleObject@CIlNt4Kernel32@@UEAAHPEAPEAXPEAXP6AX1E@Z1KK@Z
        382  17D 00001CD0 ?ReleaseProc@CDynLib@@IEAAXAEAP6A_JXZAEAK@Z
        383  17E 000039A0 ?RemoveDirectoryW@CIlKernel32@@UEAAHPEBG@Z
        384  17F 00003D00 ?ResetEvent@CIlKernel32@@UEAAHPEAX@Z
        385  180 00003C20 ?SetEndOfFile@CIlKernel32@@UEAAHPEAX@Z
        386  181 00003DD0 ?SetErrorMode@CIlKernel32@@UEAAII@Z
        387  182 00003CF0 ?SetEvent@CIlKernel32@@UEAAHPEAX@Z
        388  183 000038E0 ?SetFileAttributesW@CIlKernel32@@UEAAHPEBGK@Z
        389  184 00003800 ?SetFilePointer@CIlKernel32@@UEAAKPEAXJPEAJK@Z
        390  185 00003BF0 ?SetFileTime@CIlKernel32@@UEAAHPEAXPEBU_FILETIME@@11@Z
        391  186 000034B0 ?SetLastError@CIlKernel32@@UEAAXK@Z
        392  187 00001BA0 ?SetNamedSecurityInfoW@CIlAdvapi32@@UEAAKPEAGW4_SE_OBJECT_TYPE@@KPEAX2PEAU_ACL@@3@Z
        393  188 00001B60 ?SetSecurityDescriptorOwner@CIlAdvapi32@@UEAAHPEAX0H@Z
        394  189 00001750 ?SetSecurityInfo@CIlAdvapi32@@UEAAKPEAXW4_SE_OBJECT_TYPE@@K00PEAU_ACL@@2@Z
        395  18A 000066A0 ?SetupCloseFileQueue@CIlNt4Setupapi@@UEAAHPEAX@Z
        396  18B 00005520 ?SetupCloseInfFile@CIlSetupapi@@UEAAXPEAX@Z
        397  18C 00005C90 ?SetupDiBuildDriverInfoList@CIlNt4Setupapi@@UEAAHPEAXPEAU_SP_DEVINFO_DATA@@K@Z
        398  18D 00006120 ?SetupDiCallClassInstaller@CIlNt4Setupapi@@UEAAHIPEAXPEAU_SP_DEVINFO_DATA@@@Z
        399  18E 00005550 ?SetupDiCreateDeviceInfoListExW@CIlNt4Setupapi@@UEAAPEAXPEBU_GUID@@PEAUHWND__@@PEBGPEAX@Z
        400  18F 00006340 ?SetupDiDestroyDeviceInfoList@CIlNt4Setupapi@@UEAAHPEAX@Z
        401  190 00005B80 ?SetupDiDestroyDriverInfoList@CIlNt4Setupapi@@UEAAHPEAXPEAU_SP_DEVINFO_DATA@@K@Z
        402  191 00005A70 ?SetupDiEnumDeviceInfo@CIlNt4Setupapi@@UEAAHPEAXKPEAU_SP_DEVINFO_DATA@@@Z
        403  192 00006E50 ?SetupDiEnumDeviceInterfaces@CIlNt4Setupapi@@UEAAHPEAXPEAU_SP_DEVINFO_DATA@@PEBU_GUID@@KPEAU_SP_DEVICE_INTERFACE_DATA@@@Z
        404  193 00006BA0 ?SetupDiEnumDriverInfoW@CIlNt4Setupapi@@UEAAHPEAXPEAU_SP_DEVINFO_DATA@@KKPEAU_SP_DRVINFO_DATA_V2_W@@@Z
        405  194 00005680 ?SetupDiGetClassDevsExW@CIlNt4Setupapi@@UEAAPEAXPEBU_GUID@@PEBGPEAUHWND__@@KPEAX13@Z
        406  195 00005800 ?SetupDiGetClassDevsW@CIlNt4Setupapi@@UEAAPEAXPEBU_GUID@@PEBGPEAUHWND__@@K@Z
        407  196 00005F00 ?SetupDiGetDeviceInstallParamsW@CIlNt4Setupapi@@UEAAHPEAXPEAU_SP_DEVINFO_DATA@@PEAU_SP_DEVINSTALL_PARAMS_W@@@Z
        408  197 00006FA0 ?SetupDiGetDeviceInterfaceDetailW@CIlNt4Setupapi@@UEAAHPEAXPEAU_SP_DEVICE_INTERFACE_DATA@@PEAU_SP_DEVICE_INTERFACE_DETAIL_DATA_W@@KPEAKPEAU_SP_DEVINFO_DATA@@@Z
        409  198 00006A20 ?SetupDiGetDeviceRegistryPropertyW@CIlNt4Setupapi@@UEAAHPEAXPEAU_SP_DEVINFO_DATA@@KPEAKPEAEK2@Z
        410  199 00005DA0 ?SetupDiGetDriverInfoDetailW@CIlNt4Setupapi@@UEAAHPEAXPEAU_SP_DEVINFO_DATA@@PEAU_SP_DRVINFO_DATA_V2_W@@PEAU_SP_DRVINFO_DETAIL_DATA_W@@KPEAK@Z
        411  19A 00006CF0 ?SetupDiOpenDevRegKey@CIlNt4Setupapi@@UEAAPEAUHKEY__@@PEAXPEAU_SP_DEVINFO_DATA@@KKKK@Z
        412  19B 00005930 ?SetupDiOpenDeviceInfoW@CIlNt4Setupapi@@UEAAHPEAXPEBGPEAUHWND__@@KPEAU_SP_DEVINFO_DATA@@@Z
        413  19C 00006010 ?SetupDiSetDeviceInstallParamsW@CIlNt4Setupapi@@UEAAHPEAXPEAU_SP_DEVINFO_DATA@@PEAU_SP_DEVINSTALL_PARAMS_W@@@Z
        414  19D 00006230 ?SetupDiSetSelectedDriverW@CIlNt4Setupapi@@UEAAHPEAXPEAU_SP_DEVINFO_DATA@@PEAU_SP_DRVINFO_DATA_V2_W@@@Z
        415  19E 00005450 ?SetupFindFirstLineW@CIlSetupapi@@UEAAHPEAXPEBG1PEAU_INFCONTEXT@@@Z
        416  19F 000054B0 ?SetupFindNextLine@CIlSetupapi@@UEAAHPEAU_INFCONTEXT@@0@Z
        417  1A0 000067A0 ?SetupGetInfInformationW@CIlNt4Setupapi@@UEAAHPEBXKPEAU_SP_INF_INFORMATION@@KPEAK@Z
        418  1A1 000054D0 ?SetupGetLineTextW@CIlSetupapi@@UEAAHPEAU_INFCONTEXT@@PEAXPEBG2PEAGKPEAK@Z
        419  1A2 00005480 ?SetupGetStringFieldW@CIlSetupapi@@UEAAHPEAU_INFCONTEXT@@KPEAGKPEAK@Z
        420  1A3 00006440 ?SetupOpenFileQueue@CIlNt4Setupapi@@UEAAPEAXXZ
        421  1A4 00005420 ?SetupOpenInfFileW@CIlSetupapi@@UEAAPEAXPEBG0KPEAI@Z
        422  1A5 000068F0 ?SetupQueryInfOriginalFileInformationW@CIlNt4Setupapi@@UEAAHPEAU_SP_INF_INFORMATION@@IPEAU_SP_ALTPLATFORM_INFO_V2@@PEAU_SP_ORIGINAL_FILE_INFO_W@@@Z
        423  1A6 00006540 ?SetupScanFileQueueW@CIlNt4Setupapi@@UEAAHPEAXKPEAUHWND__@@P6AI0I_K2@Z0PEAK@Z
        424  1A7 00007170 ?ShellExecuteExW@CIlShell32@@UEAAHPEAU_SHELLEXECUTEINFOW@@@Z
        425  1A8 00003D10 ?Sleep@CIlKernel32@@UEAAXK@Z
        426  1A9 00002AC0 ?StartServiceW@CIlNt4Advapi32@@UEAAHPEAUSC_HANDLE__@@KPEAPEBG@Z
        427  1AA 00003390 ?SysprepIsStagedOS@CIlDeplorch@@UEAAHXZ
        428  1AB 00003B50 ?TerminateProcess@CIlKernel32@@UEAAHPEAXI@Z
        429  1AC 00002EC0 ?UnlockServiceDatabase@CIlNt4Advapi32@@UEAAHPEAX@Z
        430  1AD 00003EB0 ?UnmapViewOfFile@CIlKernel32@@UEAAHPEBX@Z
        431  1AE 000053F0 ?VariantClear@CIlOleaut32@@UEAAJPEAUtagVARIANT@@@Z
        432  1AF 00007710 ?VerQueryValueW@CIlVersion@@UEAAHQEAXPEBGPEAPEAXPEAI@Z
        433  1B0 00004000 ?VirtualAlloc@CIlKernel32@@UEAAPEAXPEAX_KKK@Z
        434  1B1 00004030 ?VirtualFree@CIlKernel32@@UEAAHPEAX_KK@Z
        435  1B2 00007820 ?WIMApplyImage@CIlWimgapi@@UEAAHPEAXPEAGK@Z
        436  1B3 00007840 ?WIMCloseHandle@CIlWimgapi@@UEAAHPEAX@Z
        437  1B4 00007760 ?WIMCreateFile@CIlWimgapi@@UEAAPEAXPEAGKKKKPEAK@Z
        438  1B5 000077C0 ?WIMLoadImage@CIlWimgapi@@UEAAPEAXPEAXK@Z
        439  1B6 000077E0 ?WIMRegisterMessageCallback@CIlWimgapi@@UEAAKPEAXP6A_JXZ0@Z
        440  1B7 000077A0 ?WIMSetTemporaryPath@CIlWimgapi@@UEAAHPEAXPEAG@Z
        441  1B8 00007800 ?WIMUnregisterMessageCallback@CIlWimgapi@@UEAAHPEAXP6A_JXZ@Z
        442  1B9 00007890 ?WSACleanup@CIlWs2_32@@UEAAHXZ
        443  1BA 000078A0 ?WSAGetLastError@CIlWs2_32@@UEAAHXZ
        444  1BB 00007BA0 ?WSAIoctl@CIlWs2_32@@UEAAH_KKPEAXK1KPEAKPEAU_OVERLAPPED@@P6AXKK3K@Z@Z
        445  1BC 00007870 ?WSAStartup@CIlWs2_32@@UEAAHGPEAUWSAData@@@Z
        446  1BD 00003CC0 ?WaitForMultipleObjects@CIlKernel32@@UEAAKKPEBQEAXHK@Z
        447  1BE 00003B70 ?WaitForSingleObject@CIlKernel32@@UEAAKPEAXK@Z
        448  1BF 000037D0 ?WriteFile@CIlKernel32@@UEAAHPEAXPEBXKPEAKPEAU_OVERLAPPED@@@Z
        449  1C0 00007C10 ?__WSAFDIsSet@CIlWs2_32@@UEAAH_KPEAUfd_set@@@Z
        450  1C1 00007B80 ?accept@CIlWs2_32@@UEAA_K_KPEAUsockaddr@@PEAH@Z
        451  1C2 000079E0 ?bind@CIlWs2_32@@UEAAH_KPEBUsockaddr@@H@Z
        452  1C3 000078D0 ?closesocket@CIlWs2_32@@UEAAH_K@Z
        453  1C4 00007B30 ?connect@CIlWs2_32@@UEAAH_KPEBUsockaddr@@H@Z
        454  1C5 00007F00 ?freeaddrinfo@CIlW2kDynWs2_32@@UEAAXPEAUaddrinfo@@@Z
        455  1C6 00020028 ?g_Advapi32@@3PEAUIAdvapi32Interface@@EA
        456  1C7 00020058 ?g_Deplorch@@3PEAUIDeplorchInterface@@EA
        457  1C8 00020010 ?g_Iphlpapi@@3PEAUIIphlpapiInterface@@EA
        458  1C9 00020050 ?g_Kernel32@@3PEAUIKernel32Interface@@EA
        459  1CA 000200A0 ?g_Muisetupapi@@3PEAUIMuisetupapiInterface@@EA
        460  1CB 00020070 ?g_Nt4Advapi32@@3PEAUIW2kAdvapi32Interface@@EA
        461  1CC 00020088 ?g_Nt4Kernel32@@3PEAUIW2kKernel32Interface@@EA
        462  1CD 00020040 ?g_Nt4Netapi32@@3PEAUIW2kNetapi32Interface@@EA
        463  1CE 00020098 ?g_Nt4Setupapi@@3PEAUIW2kSetupapiInterface@@EA
        464  1CF 00020048 ?g_Nt4User32@@3PEAUIW2kUser32Interface@@EA
        465  1D0 00020000 ?g_Nt4Userenv@@3PEAUIW2kUserenvInterface@@EA
        466  1D1 00020008 ?g_Nt6Userenv@@3PEAUINt6UserenvInterface@@EA
        467  1D2 00020030 ?g_Ole32@@3PEAUIOle32Interface@@EA
        468  1D3 00020038 ?g_Oleaut32@@3PEAUIOleaut32Interface@@EA
        469  1D4 00020020 ?g_Setupapi@@3PEAUISetupapiInterface@@EA
        470  1D5 00020068 ?g_Shell32@@3PEAUIShell32Interface@@EA
        471  1D6 00020060 ?g_User32@@3PEAUIUser32Interface@@EA
        472  1D7 00020078 ?g_Version@@3PEAUIVersionInterface@@EA
        473  1D8 00020090 ?g_W2kWs2_32@@3PEAUIlW2kDynWs2_32Interface@@EA
        474  1D9 00020080 ?g_Wimgapi@@3PEAUIWimgapiInterface@@EA
        475  1DA 00020018 ?g_Ws2_32@@3PEAUIWs2_32Interface@@EA
        476  1DB 000027D0 ?get_ChangeServiceConfigW@CIlNt4Advapi32@@QEAAP6AHPEAUSC_HANDLE__@@KKKPEBG1PEAK1111@ZXZ
        477  1DC 00003000 ?get_CloseServiceHandle@CIlNt4Advapi32@@QEAAP6AHPEAUSC_HANDLE__@@@ZXZ
        478  1DD 00002010 ?get_ConvertSecurityDescriptorToStringSecurityDescriptorW@CIlNt4Advapi32@@QEAAP6AHPEAXKKPEAPEAGPEAK@ZXZ
        479  1DE 00001DC0 ?get_ConvertSidToStringSidW@CIlNt4Advapi32@@QEAAP6AHPEAXPEAPEAG@ZXZ
        480  1DF 00002140 ?get_ConvertStringSecurityDescriptorToSecurityDescriptorW@CIlNt4Advapi32@@QEAAP6AHPEBGKPEAPEAXPEAK@ZXZ
        481  1E0 00001ED0 ?get_ConvertStringSidToSidW@CIlNt4Advapi32@@QEAAP6AHPEAGPEAPEAX@ZXZ
        482  1E1 000075C0 ?get_CreateProfile@CIlNt6Userenv@@QEAAP6AJPEBG0PEAGK@ZXZ
        483  1E2 00002A00 ?get_CreateServiceW@CIlNt4Advapi32@@QEAAP6APEAUSC_HANDLE__@@PEAU2@PEBG1KKKK11PEAK111@ZXZ
        484  1E3 00004200 ?get_CreateToolhelp32Snapshot@CIlNt4Kernel32@@QEAAP6APEAXKK@ZXZ
        485  1E4 00007450 ?get_CreateUserProfileExW@CIlNt4Userenv@@QEAAP6AHPEAXPEBG1PEAGKH@ZXZ
        486  1E5 00002270 ?get_CreateWellKnownSid@CIlNt4Advapi32@@QEAAP6AHW4WELL_KNOWN_SID_TYPE@@PEAX1PEAK@ZXZ
        487  1E6 00003270 ?get_EncryptFileW@CIlNt4Advapi32@@QEAAP6AHPEBG@ZXZ
        488  1E7 00002D00 ?get_EnumServicesStatusExW@CIlNt4Advapi32@@QEAAP6AHPEAUSC_HANDLE__@@W4_SC_ENUM_TYPE@@KKPEAEKPEAK33PEBG@ZXZ
        489  1E8 00004530 ?get_GetSystemWindowsDirectoryW@CIlNt4Kernel32@@QEAAP6AIPEAGI@ZXZ
        490  1E9 00004630 ?get_GlobalMemoryStatusEx@CIlNt4Kernel32@@QEAAP6AHPEAU_MEMORYSTATUSEX@@@ZXZ
        491  1EA 00003160 ?get_InitiateSystemShutdownExW@CIlNt4Advapi32@@QEAAP6AHPEAG0KHHK@ZXZ
        492  1EB 00002E00 ?get_LockServiceDatabase@CIlNt4Advapi32@@QEAAP6APEAXPEAUSC_HANDLE__@@@ZXZ
        493  1EC 000072B0 ?get_LockSetForegroundWindow@CIlNt4User32@@QEAAP6AHI@ZXZ
        494  1ED 000051F0 ?get_NetApiBufferFree@CIlNt4Netapi32@@QEAAP6AKPEAX@ZXZ
        495  1EE 00004F70 ?get_NetLocalGroupAdd@CIlNt4Netapi32@@QEAAP6AKPEBGKPEAEPEAK@ZXZ
        496  1EF 00004E40 ?get_NetLocalGroupAddMembers@CIlNt4Netapi32@@QEAAP6AKPEBG0KPEAEK@ZXZ
        497  1F0 000050F0 ?get_NetLocalGroupEnum@CIlNt4Netapi32@@QEAAP6AKPEBGKPEAPEAEKPEAK2PEA_K@ZXZ
