Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\archiveint.dll

File Type: DLL

  Section contains the following exports for archiveint.dll

    00000000 characteristics
    2B167212 time date stamp
        0.00 version
           1 ordinal base
         409 number of functions
         409 number of names

    ordinal hint RVA      name

        136   87 00004D20 archive_entry_symlink
        137   88 00004D80 archive_entry_symlink_utf8
        138   89 00004DE0 archive_entry_symlink_w
        139   8A 00004E40 archive_entry_uid
        140   8B 00004E50 archive_entry_uname
        141   8C 00004EA0 archive_entry_uname_utf8
        142   8D 00004F00 archive_entry_uname_w
        143   8E 00005490 archive_entry_unset_atime
        144   8F 00005510 archive_entry_unset_birthtime
        145   90 00005590 archive_entry_unset_ctime
        146   91 000057A0 archive_entry_unset_mtime
        147   92 00005930 archive_entry_unset_size
        148   93 00005260 archive_entry_update_gname_utf8
        149   94 000053C0 archive_entry_update_hardlink_utf8
        150   95 000056C0 archive_entry_update_link_utf8
        151   96 00005830 archive_entry_update_pathname_utf8
        152   97 00005A80 archive_entry_update_symlink_utf8
        153   98 00005BA0 archive_entry_update_uname_utf8
        154   99 00006E50 archive_entry_xattr_add_entry
        155   9A 00006DE0 archive_entry_xattr_clear
        156   9B 00006F10 archive_entry_xattr_count
        157   9C 00006F60 archive_entry_xattr_next
        158   9D 00006F30 archive_entry_xattr_reset
        159   9E 0003B810 archive_errno
        160   9F 0003B820 archive_error_string
        161   A0 00004690 archive_file_count
        162   A1 0003BF30 archive_filter_bytes
        163   A2 0003BED0 archive_filter_code
        164   A3 0003BEF0 archive_filter_count
        165   A4 0003BF10 archive_filter_name
        166   A5 0003B840 archive_format
        167   A6 00004610 archive_format_name
        168   A7 0003BF50 archive_free
        169   A8 000110A0 archive_liblz4_version
        170   A9 000110A0 archive_liblzma_version
        171   AA 000092E0 archive_match_exclude_entry
        172   AB 00008480 archive_match_exclude_pattern
        173   AC 00008580 archive_match_exclude_pattern_from_file
        174   AD 000085F0 archive_match_exclude_pattern_from_file_w
        175   AE 00008500 archive_match_exclude_pattern_w
        176   AF 000083D0 archive_match_excluded
        177   B0 00008300 archive_match_free
        178   B1 00009150 archive_match_include_date
        179   B2 000091F0 archive_match_include_date_w
        180   B3 00009240 archive_match_include_file_time
        181   B4 00009290 archive_match_include_file_time_w
        182   B5 00009EA0 archive_match_include_gid
        183   B6 00009FC0 archive_match_include_gname
        184   B7 0000A020 archive_match_include_gname_w
        185   B8 00008660 archive_match_include_pattern
        186   B9 00008760 archive_match_include_pattern_from_file
        187   BA 000087D0 archive_match_include_pattern_from_file_w
        188   BB 000086E0 archive_match_include_pattern_w
        189   BC 000090E0 archive_match_include_time
        190   BD 00009E40 archive_match_include_uid
        191   BE 00009F00 archive_match_include_uname
        192   BF 00009F60 archive_match_include_uname_w
        193   C0 00008240 archive_match_new
        194   C1 0000A080 archive_match_owner_excluded
        195   C2 00008840 archive_match_path_excluded
        196   C3 000088C0 archive_match_path_unmatched_inclusions
        197   C4 00008900 archive_match_path_unmatched_inclusions_next
        198   C5 00008980 archive_match_path_unmatched_inclusions_next_w
        199   C6 00009370 archive_match_time_excluded
        200   C7 0003B890 archive_position_compressed
        201   C8 0003B8B0 archive_position_uncompressed
        202   C9 0000DD40 archive_read_add_callback_data
        203   CA 0000F4E0 archive_read_add_passphrase
        204   CB 0000DE70 archive_read_append_callback_data
        205   CC 0000F720 archive_read_append_filter
