Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\ifsutil.dll

File Type: DLL

  Section contains the following exports for IfsUtil.dll

    00000000 characteristics
    F3C8EAD5 time date stamp
        0.00 version
           1 ordinal base
         321 number of functions
         321 number of names

    ordinal hint RVA      name

         74   49 00022780 ?DestroyWrites@WRITEVIEW_CACHE@@QEAAXXZ
         75   4A 00012060 ?DismountAndLock@IO_DP_DRIVE@@QEAAEXZ
         76   4B 00014710 ?DismountVolume@IFS_SYSTEM@@SAEPEBVWSTRING@@@Z
         77   4C 00018080 ?DoesIntersectSet@NUMBER_SET@@QEBAEVBIG_INT@@0@Z
         78   4D 00008850 ?DosDriveNameToNtDriveName@IFS_SYSTEM@@SAEPEBVWSTRING@@PEAV2@@Z
         79   4E 00008D30 ?DumpHashTable@SPARSE_SET@@QEAAXXZ
         80   4F 00011790 ?EliminateCycles@DIGRAPH@@QEAAEPEAVCONTAINER@@PEAE@Z
         81   50 00008D40 ?EnableFileSystem@IFS_SYSTEM@@SAEPEBVWSTRING@@@Z
         82   51 00014840 ?EnableVolumeCompression@IFS_SYSTEM@@SAEPEBVWSTRING@@@Z
         83   52 000149C0 ?EnableVolumeIntegrity@IFS_SYSTEM@@SAEPEBVWSTRING@@G@Z
         84   53 00008D80 ?EnableVolumeUpgrade@IFS_SYSTEM@@SAEPEBVWSTRING@@@Z
         85   54 00018100 ?Enumerate@NUMBER_SET@@QEBAEEPEAVBIG_INT@@0@Z
         86   55 00002B40 ?Export@FORMAT_SQM@@QEAAEH@Z
         87   56 00014BD0 ?FileSetAttributes@IFS_SYSTEM@@SAEPEBVWSTRING@@KPEAK@Z
         88   57 00008C90 ?FlushCache@IO_DP_DRIVE@@QEAAEXZ
         89   58 000207A0 ?ForceAutochk@VOL_LIODPDRV@@QEAAEEKKGPEBVWSTRING@@@Z
         90   59 00002900 ?Format@VOL_LIODPDRV@@QEAA?AW4FORMAT_ERROR_CODE@@PEBVWSTRING@@PEAVMESSAGE@@KKK@Z
         91   5A 00008120 ?FormatScaleQuickFormatVerify@IFS_SYSTEM@@SAE_KPEAK11PEA_K@Z
         92   5B 00008170 ?FormatScaleTotalFreeClusters@IFS_SYSTEM@@SAE_K0PEAK1PEA_K2@Z
         93   5C 000039E0 ?GenerateLabelNotification@SUPERAREA@@SAJPEBVWSTRING@@PEAV2@PEAU_FILE_FS_SIZE_INFORMATION@@PEAU_FILE_FS_VOLUME_INFORMATION@@@Z
         94   5D 00017890 ?GetAt@MOUNT_POINT_MAP@@QEAAEKPEAVWSTRING@@0@Z
         95   5E 00017910 ?GetAt@MOUNT_POINT_MAP@@QEAAEKPEAVWSTRING@@0PEAE@Z
         96   5F 0000D4B0 ?GetBuffer@TLINK@@QEAAPEAXPEAX@Z
         97   60 00007680 ?GetCannedSecurity@IFS_SYSTEM@@SAPEAVCANNED_SECURITY@@XZ
         98   61 00008520 ?GetCannedSecurityDescriptor@CANNED_SECURITY@@QEAAPEAXW4_CANNED_SECURITY_TYPE@@PEAK@Z
         99   62 0001AB50 ?GetCurrentSnapshot@SNAPSHOT@@SAPEAV1@XZ
        100   63 0000D4C0 ?GetData@TLINK@@QEAAAEAVBIG_INT@@G@Z
        101   64 0000D4F0 ?GetData@TLINK@@QEAAAEAVBIG_INT@@PEAX@Z
        102   65 0000D500 ?GetDrive@SECRUN@@QEAAPEAVIO_DP_DRIVE@@XZ
        103   66 0000D510 ?GetDrive@SUPERAREA@@QEAAPEAVIO_DP_DRIVE@@XZ
        104   67 00021200 ?GetFileSystemName@VOL_LIODPDRV@@QEAAPEBGXZ
        105   68 0000D520 ?GetFirst@TLINK@@QEAAPEAXXZ
        106   69 0000D540 ?GetIoErrorDisplayFlags@IO_DP_DRIVE@@QEBAKXZ
        107   6A 0000D550 ?GetMessageW@IO_DP_DRIVE@@QEAAPEAVMESSAGE@@XZ
        108   6B 0000D560 ?GetMessageW@SUPERAREA@@QEAAPEAVMESSAGE@@XZ
        109   6C 0000D580 ?GetNext@TLINK@@QEAAPEAXPEAX@Z
        110   6D 0001BC30 ?GetNextDataSlot@TLINK@@QEAAAEAVBIG_INT@@XZ
        111   6E 0000D590 ?GetPerfFreq@BLOCK_CACHE@@QEAA_KXZ
        112   6F 0000D5A0 ?GetPhaseSubPhase@DRIVE_CACHE@@SAXPEAPEAG0@Z
        113   70 0001AB60 ?GetSnapshotErrorMessage@SNAPSHOT@@SAEJPEAVWSTRING@@@Z
        114   71 0001AB80 ?GetSnapshotGlobalDeviceName@SNAPSHOT@@QEAAPEAGXZ
        115   72 0001ABA0 ?GetSnapshotNtDeviceName@SNAPSHOT@@QEAAPEAGXZ
        116   73 0000D5F0 ?GetSortedFirst@TLINK@@QEAAPEAXXZ
        117   74 0000D610 ?GetSortedNext@TLINK@@QEAAPEAXPEAX@Z
        118   75 00014CB0 ?GetSystemTime@IFS_SYSTEM@@SAXPEAU_TIME_FIELDS@@@Z
        119   76 0001ABC0 ?GetVolumeSnapshot@SNAPSHOT@@SAJPEAVWSTRING@@PEAPEAV1@@Z
        120   77 00012800 ?HardRead@IO_DP_DRIVE@@QEAAEVBIG_INT@@KPEAX@Z
        121   78 00001BD0 ?HardWrite@IO_DP_DRIVE@@QEAAEVBIG_INT@@KPEAXE@Z
        122   79 0000FB70 ?Initialize@BLOCK_CACHE@@QEAAEPEAVIO_DP_DRIVE@@@Z
        123   7A 00006E00 ?Initialize@CANNED_SECURITY@@QEAAEXZ
        124   7B 000118F0 ?Initialize@DIGRAPH@@QEAAEK@Z
        125   7C 00012830 ?Initialize@DP_DRIVE@@QEAAEPEBVWSTRING@@0PEAVMESSAGE@@EE@Z
        126   7D 00004230 ?Initialize@DP_DRIVE@@QEAAEPEBVWSTRING@@PEAVMESSAGE@@EE@Z
        127   7E 000020D0 ?Initialize@FORMAT_SQM@@QEAAEPEAVDP_DRIVE@@PEBGKK@Z
        128   7F 00007FF0 ?Initialize@INTSTACK@@QEAAEXZ
        129   80 00012C20 ?Initialize@LOG_IO_DP_DRIVE@@QEAAEPEAXE@Z
        130   81 00012C30 ?Initialize@LOG_IO_DP_DRIVE@@QEAAEPEBVWSTRING@@0PEAVMESSAGE@@E@Z
        131   82 00012C40 ?Initialize@LOG_IO_DP_DRIVE@@QEAAEPEBVWSTRING@@PEAVMESSAGE@@E@Z
        132   83 0001CA10 ?Initialize@MEDIA_TRACK_INFORMATION@@QEAAXPEAU_TRACK_INFORMATION2@@@Z
        133   84 0000D620 ?Initialize@MEDIA_TRACK_INFORMATION_SORTED_BY_SIZE@@QEAAXPEAVMEDIA_TRACK_INFORMATION@@@Z
        134   85 000179A0 ?Initialize@MOUNT_POINT_MAP@@QEAAEXZ
        135   86 00006360 ?Initialize@NUMBER_SET@@QEAAEXZ
