Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\ifsutil.dll

File Type: DLL

  Section contains the following exports for IfsUtil.dll

    00000000 characteristics
    F3C8EAD5 time date stamp
        0.00 version
           1 ordinal base
         321 number of functions
         321 number of names

    ordinal hint RVA      name

        260  103 00017B90 ?QueryVolumeName@MOUNT_POINT_MAP@@QEAAEPEAVWSTRING@@0@Z
        261  104 00016D70 ?QueryVolumeSize@IFS_SYSTEM@@SAEPEBVWSTRING@@PEA_K@Z
        262  105 000132D0 ?QueryWriteBlockSize@DP_DRIVE@@UEBAKXZ
        263  106 0000D740 ?QueryWriteUsage@IO_DP_DRIVE@@QEAAXPEA_K0@Z
        264  107 00008590 ?Read@IO_DP_DRIVE@@QEAAEVBIG_INT@@KPEAX@Z
        265  108 000086D0 ?Read@SECRUN@@UEAAEXZ
        266  109 0001F0A0 ?ReadFormattableCapacity@DP_DRIVE@@QEAAEEPEAKPEAE0@Z
        267  10A 00021290 ?Recover@VOL_LIODPDRV@@QEAAEPEBVWSTRING@@PEAVMESSAGE@@@Z
        268  10B 000132E0 ?ReinitializeDriveParameters@DP_DRIVE@@QEAAEPEAVMESSAGE@@@Z
        269  10C 0001F5D0 ?ReinitiateBackgroundFormat@DP_DRIVE@@QEAAEXZ
        270  10D 0001B170 ?ReleaseVolumeSnapshot@SNAPSHOT@@SAEPEAV1@@Z
        271  10E 00018280 ?Remove@NUMBER_SET@@QEAAEPEBV1@@Z
        272  10F 000182E0 ?Remove@NUMBER_SET@@QEAAEVBIG_INT@@0@Z
        273  110 00018350 ?Remove@NUMBER_SET@@QEAAEVBIG_INT@@@Z
        274  111 00024B60 ?Remove@WRITEVIEW_CACHE@@QEAAXPEAVWRITEVIEW_CACHE_ENTRY@@@Z
        275  112 00007FA0 ?RemoveAll@NUMBER_SET@@QEAAEXZ
        276  113 0001BA00 ?RemoveAll@SPARSE_SET@@QEAAEXZ
        277  114 00011D70 ?RemoveEdge@DIGRAPH@@QEAAEKK@Z
        278  115 00017380 ?ReverseCopy@INTSTACK@@QEAAEPEAV1@@Z
        279  116 00011E30 ?SearchForMatch@DIGRAPH@@QEAAEKPEAVBITVECTOR@@PEAVNUMBER_SET@@PEAEPEAVBIG_INT@@@Z
        280  117 0001FB00 ?SendPowLowLevelFormat@DP_DRIVE@@QEAAEPEAVMESSAGE@@@Z
        281  118 0001A680 ?SendSonyMSFormatCmd@DP_DRIVE@@QEAAEE@Z
        282  119 0001A720 ?SendSonyMSInquiryCmd@DP_DRIVE@@QEAAEPEAUSONY_MS_INQUIRY_DATA@@@Z
        283  11A 0001A7B0 ?SendSonyMSModeSenseCmd@DP_DRIVE@@QEAAEPEAUSONY_MS_MODE_SENSE_DATA@@@Z
        284  11B 0001A850 ?SendSonyMSRequestSenseCmd@DP_DRIVE@@QEAAEPEAU_SENSE_DATA@@@Z
        285  11C 0001A8E0 ?SendSonyMSTestUnitReadyCmd@DP_DRIVE@@QEAAEPEAU_SENSE_DATA@@@Z
        286  11D 000080C0 ?Set@BIG_INT@@QEAAXEPEBE@Z
        287  11E 00021310 ?SetAutochkTimeOut@VOL_LIODPDRV@@SAEK@Z
        288  11F 00008BA0 ?SetCache@IO_DP_DRIVE@@QEAAXPEAVDRIVE_CACHE@@@Z
        289  120 00002700 ?SetDaxAttribute@IO_DP_DRIVE@@QEAA?AW4FORMAT_ERROR_CODE@@E@Z
        290  121 00008CC0 ?SetFileSystemName@VOL_LIODPDRV@@QEAAEPEBG@Z
        291  122 0000D790 ?SetIoErrorDisplayFlags@IO_DP_DRIVE@@QEAAXK@Z
        292  123 00017C50 ?SetIsSystemPartition@MOUNT_POINT_MAP@@QEAAEPEAVWSTRING@@E@Z
        293  124 0000D7A0 ?SetLastStatus@DP_DRIVE@@QEAAXJ@Z
        294  125 0000D7B0 ?SetPhaseSubPhase@DRIVE_CACHE@@SAXPEAG0@Z
        295  126 0001FCD0 ?SetPowTrackConfiguration@DP_DRIVE@@QEAAEE@Z
        296  127 00013410 ?SetSectors@DP_DRIVE@@QEAAXVBIG_INT@@@Z
        297  128 000087B0 ?SetSystemId@LOG_IO_DP_DRIVE@@QEAAEE@Z
        298  129 00013420 ?SetVerifyHandle@IO_DP_DRIVE@@QEAAPEAXPEAX@Z
        299  12A 00021360 ?SetVolumeLabelAndPrintFormatReport@VOL_LIODPDRV@@QEAAEPEBVWSTRING@@PEAVMESSAGE@@@Z
        300  12B 0001BD40 ?ShellSort@TLINK@@QEAAXXZ
        301  12C 0000D820 ?Sort@TLINK@@QEAAXXZ
        302  12D 000107F0 ?SqmExport@BLOCK_CACHE@@UEAAEP6AEPEAXKEPEADZZ0@Z
        303  12E 00013430 ?SqmExport@IO_DP_DRIVE@@QEAAEPEBVWSTRING@@P6AEPEAXKEPEADZZ1@Z
        304  12F 00024BC0 ?SqmExport@WRITEVIEW_CACHE@@UEAAEP6AEPEAXKEPEADZZ0@Z
        305  130 00018370 ?Subtract@NUMBER_SET@@QEAAEPEAV1@0@Z
        306  131 00008D30 ?TraverseLinkList@TLINK@@QEAAXXZ
        307  132 00013B30 ?Verify@IO_DP_DRIVE@@QEAAEVBIG_INT@@0@Z
        308  133 00013C80 ?Verify@IO_DP_DRIVE@@QEAAEVBIG_INT@@0PEAVNUMBER_SET@@@Z
        309  134 00013F80 ?VerifyRead@IO_DP_DRIVE@@QEAAEVBIG_INT@@KPEAX@Z
        310  135 0001A2C0 ?VerifyRead@SECRUN@@UEAAEPEAE@Z
        311  136 00020280 ?WaitForUnit@DP_DRIVE@@QEAAEPEAVMESSAGE@@@Z
        312  137 00020300 ?WaitForWriteCompletion@DP_DRIVE@@QEAAEPEAVMESSAGE@@@Z
        313  138 00007800 ?Write@IO_DP_DRIVE@@QEAAEVBIG_INT@@KPEAX@Z
        314  139 000084D0 ?Write@SECRUN@@UEAAEXZ
        315  13A 00021630 ?WriteEntireDrive@VOL_LIODPDRV@@UEAA?AW4FORMAT_ERROR_CODE@@PEAVMESSAGE@@PEAXKII@Z
        316  13B 00016F30 ?WriteToFile@IFS_SYSTEM@@SAEPEBVWSTRING@@PEAXKE@Z
        317  13C 00003BE0 GetDefaultFileSystemIfs
        318  13D 00008B30 InvalidateFve
        319  13E 000082E0 NotifyFveAfterFormat
        320  13F 000145D0 RegisterExtensionCallbacks
        321  140 00021900 RestoreThreadExecutionState

  Summary

        1000 .data
        1000 .didat
        2000 .pdata
        C000 .rdata
        1000 .reloc
        1000 .rsrc
       25000 .text
