Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\esent.dll

File Type: DLL

  Section contains the following exports for ESENT.dll

    00000000 characteristics
    5D87557D time date stamp
        0.00 version
           1 ordinal base
         375 number of functions
         375 number of names

    ordinal hint RVA      name

        135   86 001B6540 JetEndDatabaseIncrementalReseedW
        136   87 001B6790 JetEndExternalBackup
        137   88 001B67C0 JetEndExternalBackupInstance
        138   89 001B69B0 JetEndExternalBackupInstance2
        139   8A 00041900 JetEndSession
        140   8B 001B6CA0 JetEndSurrogateBackup
        141   8C 00083690 JetEnumerateColumns
        142   8D 000B7BE0 JetEscrowUpdate
        143   8E 001B7510 JetExternalRestore
        144   8F 001B6F90 JetExternalRestore2
        145   90 001B6F90 JetExternalRestore2A
        146   91 001B7320 JetExternalRestore2W
        147   92 001B7510 JetExternalRestoreA
        148   93 001B8320 JetExternalRestoreW
        149   94 001B8510 JetFreeBuffer
        150   95 001B8700 JetGetAttachInfo
        151   96 001B8700 JetGetAttachInfoA
        152   97 001B8750 JetGetAttachInfoInstance
        153   98 001B8750 JetGetAttachInfoInstanceA
        154   99 001B8B80 JetGetAttachInfoInstanceW
        155   9A 001B8DC0 JetGetAttachInfoW
        156   9B 000CCD00 JetGetBookmark
        157   9C 000323A0 JetGetColumnInfo
        158   9D 000323A0 JetGetColumnInfoA
        159   9E 00032540 JetGetColumnInfoW
        160   9F 001B8E10 JetGetCounter
        161   A0 000E2E50 JetGetCurrentIndex
        162   A1 000E2E50 JetGetCurrentIndexA
        163   A2 001B9230 JetGetCurrentIndexW
        164   A3 001B9480 JetGetCursorInfo
        165   A4 000EF580 JetGetDatabaseFileInfo
        166   A5 000EF580 JetGetDatabaseFileInfoA
        167   A6 000E1F30 JetGetDatabaseFileInfoW
        168   A7 000ECEC0 JetGetDatabaseInfo
        169   A8 000ECEC0 JetGetDatabaseInfoA
        170   A9 000F1FD0 JetGetDatabaseInfoW
        171   AA 001B9830 JetGetDatabasePages
        172   AB 00007D90 JetGetErrorInfoW
        173   AC 000EBCD0 JetGetIndexInfo
        174   AD 000EBCD0 JetGetIndexInfoA
        175   AE 001B9CE0 JetGetIndexInfoW
        176   AF 001B9F20 JetGetInstanceInfo
        177   B0 001B9F20 JetGetInstanceInfoA
        178   B1 001BA1E0 JetGetInstanceInfoW
        179   B2 001BA360 JetGetInstanceMiscInfo
        180   B3 001BA840 JetGetLS
        181   B4 000F0810 JetGetLock
        182   B5 001BABC0 JetGetLogFileInfo
        183   B6 001BABC0 JetGetLogFileInfoA
        184   B7 001BB070 JetGetLogFileInfoW
        185   B8 001BB210 JetGetLogInfo
        186   B9 001BB210 JetGetLogInfoA
        187   BA 001BB700 JetGetLogInfoInstance
        188   BB 001BB260 JetGetLogInfoInstance2
        189   BC 001BB260 JetGetLogInfoInstance2A
        190   BD 001BB4B0 JetGetLogInfoInstance2W
        191   BE 001BB700 JetGetLogInfoInstanceA
        192   BF 001BBC00 JetGetLogInfoInstanceW
        193   C0 001BBE40 JetGetLogInfoW
        194   C1 001BBE90 JetGetMaxDatabaseSize
        195   C2 001BC1E0 JetGetObjectInfo
        196   C3 001BC1E0 JetGetObjectInfoA
        197   C4 001BC840 JetGetObjectInfoW
        198   C5 001BCA90 JetGetPageInfo
        199   C6 001BCCA0 JetGetPageInfo2
        200   C7 000BE2B0 JetGetRecordPosition
        201   C8 001BD300 JetGetRecordSize
        202   C9 001BD550 JetGetRecordSize2
        203   CA 001BD980 JetGetResourceParam
        204   CB 000CA4E0 JetGetSecondaryIndexBookmark
        205   CC 001BDD10 JetGetSessionInfo
        206   CD 00008370 JetGetSessionParameter
        207   CE 001BDFE0 JetGetSystemParameter
        208   CF 001BDFE0 JetGetSystemParameterA
        209   D0 000D5D10 JetGetSystemParameterW
        210   D1 000DE4D0 JetGetTableColumnInfo
        211   D2 000DE4D0 JetGetTableColumnInfoA
        212   D3 0002FD40 JetGetTableColumnInfoW
        213   D4 000EA6B0 JetGetTableIndexInfo
        214   D5 000EA6B0 JetGetTableIndexInfoA
        215   D6 000E0790 JetGetTableIndexInfoW
        216   D7 000D40D0 JetGetTableInfo
        217   D8 000D40D0 JetGetTableInfoA
        218   D9 001BE390 JetGetTableInfoW
        219   DA 001BE5F0 JetGetThreadStats
        220   DB 001BE890 JetGetTruncateLogInfoInstance
        221   DC 001BE890 JetGetTruncateLogInfoInstanceA
        222   DD 001BECF0 JetGetTruncateLogInfoInstanceW
        223   DE 001BEF30 JetGetVersion
        224   DF 000BAD50 JetGotoBookmark
        225   E0 001BF230 JetGotoPosition
        226   E1 000D1B00 JetGotoSecondaryIndexBookmark
        227   E2 001BF5C0 JetGrowDatabase
        228   E3 001BF9A0 JetIdle
        229   E4 000CBEC0 JetIndexRecordCount
        230   E5 001BFC80 JetIndexRecordCount2
        231   E6 00016CA0 JetInit
        232   E7 0000A190 JetInit2
        233   E8 00018210 JetInit3
        234   E9 00018210 JetInit3A
        235   EA 00016C20 JetInit3W
        236   EB 001BFED0 JetInit4
        237   EC 001BFED0 JetInit4A
        238   ED 000189B0 JetInit4W
        239   EE 000DC9D0 JetIntersectIndexes
        240   EF 00085220 JetMakeKey
        241   F0 00084A40 JetMove
        242   F1 001BFF50 JetOSSnapshotAbort
        243   F2 001C01B0 JetOSSnapshotEnd
        244   F3 001C03C0 JetOSSnapshotFreeze
        245   F4 001C03C0 JetOSSnapshotFreezeA
        246   F5 001C0710 JetOSSnapshotFreezeW
        247   F6 001C08B0 JetOSSnapshotGetFreezeInfo
        248   F7 001C08B0 JetOSSnapshotGetFreezeInfoA
        249   F8 001C0BC0 JetOSSnapshotGetFreezeInfoW
        250   F9 001C0D60 JetOSSnapshotPrepare
        251   FA 001C0F70 JetOSSnapshotPrepareInstance
        252   FB 001C1290 JetOSSnapshotThaw
        253   FC 001C14A0 JetOSSnapshotTruncateLog
        254   FD 001C16B0 JetOSSnapshotTruncateLogInstance
        255   FE 001C19D0 JetOnlinePatchDatabasePage
        256   FF 0003EAE0 JetOpenDatabase
        257  100 0003EAE0 JetOpenDatabaseA
        258  101 0009F740 JetOpenDatabaseW
        259  102 001C1D90 JetOpenFile
        260  103 001C1D90 JetOpenFileA
        261  104 001C1E00 JetOpenFileInstance
        262  105 001C1E00 JetOpenFileInstanceA
        263  106 001C2260 JetOpenFileInstanceW
        264  107 001C24B0 JetOpenFileSectionInstance
        265  108 001C24B0 JetOpenFileSectionInstanceA
        266  109 001C27E0 JetOpenFileSectionInstanceW
        267  10A 001C2A60 JetOpenFileW
        268  10B 00032A50 JetOpenTable
        269  10C 00032A50 JetOpenTableA
