Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\ws2_32.dll

File Type: DLL

  Section contains the following exports for WS2_32.dll

    00000000 characteristics
    4EE4FBBF time date stamp
        0.00 version
           1 ordinal base
         500 number of functions
         195 number of names

    ordinal hint RVA      name

        165   86 0003DD90 WSCWriteProviderOrderEx
        166   87 0000F9F0 WahCloseApcHelper
        167   88 00039770 WahCloseHandleHelper
        168   89 0003A440 WahCloseNotificationHandleHelper
        169   8A 000397D0 WahCloseSocketHandle
        170   8B 00012A60 WahCloseThread
        171   8C 00039840 WahCompleteRequest
        172   8D 0000E4D0 WahCreateHandleContextTable
        173   8E 00014A70 WahCreateNotificationHandle
        174   8F 00039930 WahCreateSocketHandle
        175   90 000135B0 WahDestroyHandleContextTable
        176   91 00039B40 WahDisableNonIFSHandleSupport
        177   92 00039C60 WahEnableNonIFSHandleSupport
        178   93 0000F7C0 WahEnumerateHandleContexts
        179   94 0000FE00 WahInsertHandleContext
        180   95 0003A480 WahNotifyAllProcesses
        181   96 0000E490 WahOpenApcHelper
        182   97 0000E370 WahOpenCurrentThread
        183   98 00039E90 WahOpenHandleHelper
        184   99 00015290 WahOpenNotificationHandleHelper
        185   9A 00038E30 WahQueueUserApc
        186   9B 00010F20 WahReferenceContextByHandle
        187   9C 00011A70 WahRemoveHandleContext
        188   9D 00014940 WahWaitForNotification
        189   9E 0003A7C0 WahWriteLSPEvent
        151   9F 00012AF0 __WSAFDIsSet
          1   A0 000146E0 accept
          2   A1 000122D0 bind
          3   A2 00005560 closesocket
          4   A3 00011510 connect
        190   A4 000024B0 freeaddrinfo
        191   A5 00003490 getaddrinfo
         51   A6 00028BB0 gethostbyaddr
         52   A7 00028D90 gethostbyname
         57   A8 00028FA0 gethostname
        192   A9 00001950 getnameinfo
          5   AA 00010A70 getpeername
         53   AB 000279A0 getprotobyname
         54   AC 00027B30 getprotobynumber
         55   AD 00029190 getservbyname
         56   AE 000293E0 getservbyport
          6   AF 00010B50 getsockname
          7   B0 00012410 getsockopt
          8   B1 00001940 htonl
          9   B2 00012AD0 htons
         11   B3 0000FAF0 inet_addr
         12   B4 00012EC0 inet_ntoa
        193   B5 00024360 inet_ntop
        194   B6 000243F0 inet_pton
         10   B7 00011870 ioctlsocket
         13   B8 000112B0 listen
         14   B9 00001940 ntohl
         15   BA 00012AD0 ntohs
         16   BB 00010860 recv
         17   BC 00011170 recvfrom
         18   BD 00014220 select
         19   BE 000100B0 send
         20   BF 00011640 sendto
         21   C0 00010FA0 setsockopt
         22   C1 00011790 shutdown
         23   C2 00005700 socket

  Summary

        1000 .data
        1000 .didat
        4000 .pdata
        D000 .rdata
        1000 .reloc
       12000 .rsrc
       43000 .text
        3000 .wpp_sf
