Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\shlwapi.dll

File Type: DLL

  Section contains the following exports for SHLWAPI.dll

    00000000 characteristics
    4392C932 time date stamp
        0.00 version
           1 ordinal base
         930 number of functions
         379 number of names

    ordinal hint RVA      name

        736   8C 0000DDF0 PathRemoveExtensionA
        737   8D 00007C30 PathRemoveExtensionW
        738   8E 0000DE00 PathRemoveFileSpecA
        739   8F 00007B60 PathRemoveFileSpecW
        740   90 0000DE10 PathRenameExtensionA
        741   91 0000DE20 PathRenameExtensionW
        742   92 0000DE30 PathSearchAndQualifyA
        743   93 0000DE40 PathSearchAndQualifyW
        744   94 000122E0 PathSetDlgItemPathA
        745   95 00016010 PathSetDlgItemPathW
        746   96 0000DE50 PathSkipRootA
        747   97 00008E00 PathSkipRootW
        748   98 0000DE60 PathStripPathA
        749   99 00002190 PathStripPathW
        750   9A 0000DE70 PathStripToRootA
        751   9B 00008D60 PathStripToRootW
        752   9C 0000DE80 PathUnExpandEnvStringsA
        753   9D 0000DE90 PathUnExpandEnvStringsW
        754   9E 00012440 PathUndecorateA
        755   9F 000161B0 PathUndecorateW
        756   A0 00012520 PathUnmakeSystemFolderA
        757   A1 00016250 PathUnmakeSystemFolderW
        758   A2 0000DEA0 PathUnquoteSpacesA
        759   A3 000094B0 PathUnquoteSpacesW
        219   A4 000047D0 QISearch
          7   A5 0001DD10 SHAllocShared
        345   A6 00010690 SHAnsiToAnsi
        215   A7 000106A0 SHAnsiToUnicode
        760   A8 0001A220 SHAutoComplete
        761   A9 000106B0 SHCopyKeyA
        762   AA 000106C0 SHCopyKeyW
         12   AB 00007C20 SHCreateMemStream
        763   AC 00007930 SHCreateShellPalette
        764   AD 000106D0 SHCreateStreamOnFileA
        765   AE 000106E0 SHCreateStreamOnFileEx
        766   AF 000106F0 SHCreateStreamOnFileW
        767   B0          SHCreateStreamWrapper (forwarded to SHUNIMPL.#471)
         16   B1 00007C80 SHCreateThread
        768   B2 00010700 SHCreateThreadRef
        615   B3 00009470 SHCreateThreadWithHandle
        278   B4 00009280 SHCreateWorkerWindowW
        769   B5 00010710 SHDeleteEmptyKeyA
        770   B6 00010720 SHDeleteEmptyKeyW
        771   B7 00010730 SHDeleteKeyA
        772   B8 00010740 SHDeleteKeyW
        773   B9          SHDeleteOrphanKeyA (forwarded to SHUNIMPL.#446)
        774   BA          SHDeleteOrphanKeyW (forwarded to SHUNIMPL.#447)
        775   BB 00010750 SHDeleteValueA
        776   BC 00010760 SHDeleteValueW
        777   BD 00010770 SHEnumKeyExA
        778   BE 00010780 SHEnumKeyExW
        779   BF 00010790 SHEnumValueA
        780   C0 000107A0 SHEnumValueW
        353   C1 000168F0 SHFormatDateTimeA
        354   C2 00016970 SHFormatDateTimeW
         10   C3 0001DD20 SHFreeShared
        781   C4 00017BA0 SHGetInverseCMAP
        782   C5 000107B0 SHGetThreadRef
        783   C6 000107C0 SHGetValueA
        784   C7 00007B30 SHGetValueW
        515   C8 00005830 SHGetViewStatePropertyBag
        204   C9 00006100 SHIsChildOrSelf
        785   CA 00007EE0 SHIsLowMemoryMachine
        487   CB 00007C90 SHLoadIndirectString
          8   CC 0001DD50 SHLockShared
        185   CD 0001AAF0 SHMessageBoxCheckA
        191   CE 0001AE40 SHMessageBoxCheckW
        786   CF 000107D0 SHOpenRegStream2A
        787   D0 000107E0 SHOpenRegStream2W
        788   D1 000107F0 SHOpenRegStreamA
        789   D2 00010800 SHOpenRegStreamW
        281   D3 00008530 SHPackDispParamsV
        236   D4 000021B0 SHPinDllOfCLSID
        567   D5 0001F220 SHPropertyBag_ReadStrAlloc
        570   D6 0001F280 SHPropertyBag_WriteBSTR
        790   D7 00010810 SHQueryInfoKeyA
        791   D8 00010820 SHQueryInfoKeyW
        792   D9 00010830 SHQueryValueExA
        793   DA 00010840 SHQueryValueExW
        794   DB 0000DEC0 SHRegCloseUSKey
        795   DC 0000DED0 SHRegCreateUSKeyA
        796   DD 0000DEE0 SHRegCreateUSKeyW
        797   DE 0000DEF0 SHRegDeleteEmptyUSKeyA
        798   DF 0000DF00 SHRegDeleteEmptyUSKeyW
        799   E0 0000DF10 SHRegDeleteUSValueA
        800   E1 0000DF20 SHRegDeleteUSValueW
        801   E2 00010850 SHRegDuplicateHKey
        802   E3 0000DF30 SHRegEnumUSKeyA
        803   E4 0000DF40 SHRegEnumUSKeyW
        804   E5 0000DF50 SHRegEnumUSValueA
        805   E6 0000DF60 SHRegEnumUSValueW
        806   E7 0000DF70 SHRegGetBoolUSValueA
        807   E8 00008D70 SHRegGetBoolUSValueW
        630   E9 0000B010 SHRegGetBoolValueFromHKCUHKLM
        280   EA 00010860 SHRegGetIntW
        808   EB 00010870 SHRegGetPathA
        809   EC 00010880 SHRegGetPathW
        810   ED 0000DF80 SHRegGetUSValueA
        811   EE 0000DF90 SHRegGetUSValueW
        812   EF 00010890 SHRegGetValueA
        629   F0 0000A710 SHRegGetValueFromHKCUHKLM
        813   F1 00007BF0 SHRegGetValueW
        814   F2 0000DFA0 SHRegOpenUSKeyA
        815   F3 0000DFB0 SHRegOpenUSKeyW
        816   F4 0000DFC0 SHRegQueryInfoUSKeyA
        817   F5 0000DFD0 SHRegQueryInfoUSKeyW
        818   F6 0000DFE0 SHRegQueryUSValueA
        819   F7 0000DFF0 SHRegQueryUSValueW
        820   F8 000108A0 SHRegSetPathA
        821   F9 000108B0 SHRegSetPathW
        822   FA 0000E000 SHRegSetUSValueA
        823   FB 0000E010 SHRegSetUSValueW
        824   FC 0000E020 SHRegWriteUSValueA
        825   FD 0000E030 SHRegWriteUSValueW
        826   FE 00027FA0 SHRegisterValidateTemplate
        827   FF 000108C0 SHReleaseThreadRef
        467  100 00015210 SHRunIndirectRegClientCommand
        432  101 0001B130 SHSendMessageBroadcastA
        433  102 0001B160 SHSendMessageBroadcastW
        828  103 00009490 SHSetThreadRef
        829  104 000108D0 SHSetValueA
        830  105 00009450 SHSetValueW
        831  106 000061F0 SHSkipJunction
        832  107 000108E0 SHStrDupA
        833  108 00007CB0 SHStrDupW
        203  109 0001B370 SHStripMneumonicA
        225  10A 000064F0 SHStripMneumonicW
        217  10B 000108F0 SHUnicodeToAnsi
        218  10C          SHUnicodeToAnsiCP (forwarded to SHCORE.#151)
        346  10D 00010900 SHUnicodeToUnicode
          9  10E 0001DD70 SHUnlockShared
        834  10F 00012E80 ShellMessageBoxA
        388  110 000171E0 ShellMessageBoxW
        835  111 0000E050 StrCSpnA
        836  112 0000E060 StrCSpnIA
        837  113 0000E070 StrCSpnIW
        838  114 0000E080 StrCSpnW
        839  115 0000E090 StrCatBuffA
        840  116 0000E0A0 StrCatBuffW
        841  117 0000E0B0 StrCatChainW
        842  118 000175E0 StrCatW
        843  119 0000E0C0 StrChrA
        844  11A 0000E0D0 StrChrIA
        845  11B 00007BE0 StrChrIW
        846  11C 0000E0E0 StrChrNIW
        847  11D 0000E0F0 StrChrNW
        848  11E 00004580 StrChrW
        155  11F 0000E100 StrCmpCA
        156  120 000078B0 StrCmpCW
        157  121 000074F0 StrCmpICA
        158  122 00006C20 StrCmpICW
        849  123 00002180 StrCmpIW
        850  124 0000E110 StrCmpLogicalW
        851  125 0000E120 StrCmpNA
        151  126 0000E130 StrCmpNCA
        152  127 0000E140 StrCmpNCW
        852  128 0000E150 StrCmpNIA
        153  129 0000E160 StrCmpNICA
        154  12A 00007C00 StrCmpNICW
        853  12B 00008D50 StrCmpNIW
        854  12C 00004EF0 StrCmpNW
        855  12D 000044F0 StrCmpW
        856  12E 0000E170 StrCpyNW
        857  12F 00017620 StrCpyW
        858  130 0000E1A0 StrDupA
        859  131 00006E70 StrDupW
        860  132 000176F0 StrFormatByteSize64A
        861  133 00017760 StrFormatByteSizeA
        862  134 00001F70 StrFormatByteSizeEx
        863  135 00017770 StrFormatByteSizeW
        864  136 00017780 StrFormatKBSizeA
        865  137 00017800 StrFormatKBSizeW
        866  138 00017BF0 StrFromTimeIntervalA
        867  139 00017C70 StrFromTimeIntervalW
        868  13A 0000E1B0 StrIsIntlEqualA
        869  13B 0000E1C0 StrIsIntlEqualW
        870  13C 00017650 StrNCatA
        871  13D 000176A0 StrNCatW
        872  13E 0000E1D0 StrPBrkA
        873  13F 00008E20 StrPBrkW
        874  140 0000E1E0 StrRChrA
        875  141 0000E1F0 StrRChrIA
        876  142 00008850 StrRChrIW
        877  143 00008AB0 StrRChrW
        878  144 0000E200 StrRStrIA
        879  145 0000E210 StrRStrIW
        880  146 00017810 StrRetToBSTR
        881  147 00017820 StrRetToBufA
        882  148 00007BC0 StrRetToBufW
        883  149 000178E0 StrRetToStrA
        884  14A 00017960 StrRetToStrW
        885  14B 0000E220 StrSpnA
        886  14C 0000E230 StrSpnW
        887  14D 0000E240 StrStrA
        888  14E 0000E250 StrStrIA
        889  14F 00007BB0 StrStrIW
        890  150 0000E260 StrStrNIW
        891  151 0000E270 StrStrNW
        892  152 0000E280 StrStrW
        893  153 0000E290 StrToInt64ExA
        894  154 0000E2A0 StrToInt64ExW
        895  155 0000E2B0 StrToIntA
        896  156 0000E2C0 StrToIntExA
        897  157 00008E10 StrToIntExW
        898  158 00004500 StrToIntW
        899  159 0000E2D0 StrTrimA
        900  15A 00008800 StrTrimW
        901  15B 0000E2E0 UrlApplySchemeA
        902  15C 0000E2F0 UrlApplySchemeW
        903  15D 0000E300 UrlCanonicalizeA
        904  15E 00007170 UrlCanonicalizeW
        905  15F 0000E310 UrlCombineA
        906  160 000078A0 UrlCombineW
        907  161 0000E320 UrlCompareA
        908  162 0000E330 UrlCompareW
        909  163 0000E340 UrlCreateFromPathA
        910  164 0000E350 UrlCreateFromPathW
        911  165 0000E360 UrlEscapeA
        912  166 00007740 UrlEscapeW
        462  167 0000E370 UrlFixupW
        913  168 0000E380 UrlGetLocationA
        914  169 0000E390 UrlGetLocationW
        915  16A 0000E3A0 UrlGetPartA
        916  16B 00006400 UrlGetPartW
        917  16C 0000E3B0 UrlHashA
        918  16D 0000E3C0 UrlHashW
        919  16E 0000E3D0 UrlIsA
        920  16F 0000E3E0 UrlIsNoHistoryA
        921  170 00007CA0 UrlIsNoHistoryW
        922  171 0000E3F0 UrlIsOpaqueA
        923  172 0000E400 UrlIsOpaqueW
        924  173 00006A10 UrlIsW
        925  174 0000E410 UrlUnescapeA
        926  175 00007090 UrlUnescapeW
        276  176 0001B4A0 WhichPlatform
        927  177 000185C0 wnsprintfA
        928  178 00018610 wnsprintfW
        929  179 00018660 wvnsprintfA
        930  17A 000186A0 wvnsprintfW
          3      00011900 [NONAME]
          4      00001930 [NONAME]
          5      000119F0 [NONAME]
          6      00001490 [NONAME]
         11      0001DD60 [NONAME]
         13               [NONAME] (forwarded to SHUNIMPL.#429)
         17      000070E0 [NONAME]
         18      000047E0 [NONAME]
         19      00007B40 [NONAME]
         20      00004910 [NONAME]
         21      00006B40 [NONAME]
         22      00006410 [NONAME]
         23      00017A00 [NONAME]
         24      000026E0 [NONAME]
         25               [NONAME] (forwarded to user32.IsCharAlphaW)
         26               [NONAME] (forwarded to user32.IsCharUpperW)
         27               [NONAME] (forwarded to user32.IsCharLowerW)
         28               [NONAME] (forwarded to user32.IsCharAlphaNumericW)
         30      0000DA90 [NONAME]
         31      0000DAC0 [NONAME]
         32      0000DAA0 [NONAME]
         33      0000DAB0 [NONAME]
         34      0000DAE0 [NONAME]
         35      00017A80 [NONAME]
         36               [NONAME] (forwarded to USER32.AppendMenuW)
         37               [NONAME] (forwarded to USER32.CallWindowProcW)
         38               [NONAME] (forwarded to USER32.CharLowerW)
         39               [NONAME] (forwarded to USER32.CharLowerBuffW)
         40               [NONAME] (forwarded to USER32.CharNextW)
         41               [NONAME] (forwarded to USER32.CharPrevW)
