Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\dbghelp.dll

File Type: DLL

  Section contains the following exports for dbghelp.dll

    00000000 characteristics
     5F0E9A4 time date stamp
        0.00 version
        1101 ordinal base
         254 number of functions
         240 number of names

    ordinal hint RVA      name

       1244   7F 0011BFD0 SymGetModuleInfo64
       1245   80 0000AA00 SymGetModuleInfoW
       1246   81 0000AA00 SymGetModuleInfoW64
       1121   82 001195D0 SymGetOmapBlockBase
       1247   83 0011C070 SymGetOmaps
       1248   84 00010E90 SymGetOptions
       1249   85 0011C150 SymGetScope
       1250   86 0011C1D0 SymGetScopeW
       1251   87 0011C2E0 SymGetSearchPath
       1252   88 0011C360 SymGetSearchPathW
       1253   89 0011C3C0 SymGetSourceFile
       1254   8A 0011C440 SymGetSourceFileChecksum
       1255   8B 0011C4D0 SymGetSourceFileChecksumW
       1256   8C 0011C5E0 SymGetSourceFileFromToken
       1257   8D 0011C690 SymGetSourceFileFromTokenW
       1258   8E 0011C700 SymGetSourceFileToken
       1259   8F 0011C770 SymGetSourceFileTokenW
       1260   90 0011C830 SymGetSourceFileW
       1261   91 0011C8B0 SymGetSourceVarFromToken
       1262   92 0011C980 SymGetSourceVarFromTokenW
       1263   93 0011CA30 SymGetSymFromAddr
       1264   94 0011CA30 SymGetSymFromAddr64
       1265   95 0011CA70 SymGetSymFromName
       1266   96 0011CA70 SymGetSymFromName64
       1267   97 0011CAE0 SymGetSymNext
       1268   98 0011CAE0 SymGetSymNext64
       1269   99 0011CB00 SymGetSymPrev
       1270   9A 0011CB00 SymGetSymPrev64
       1271   9B 00125280 SymGetSymbolFile
       1272   9C 001253B0 SymGetSymbolFileW
       1273   9D 0011CB10 SymGetTypeFromName
       1274   9E 0011CBC0 SymGetTypeFromNameW
       1275   9F 0011CD20 SymGetTypeInfo
       1276   A0 0011CD60 SymGetTypeInfoEx
