Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\wbemcomn.dll

File Type: DLL

  Section contains the following exports for wbemcomn.dll

    00000000 characteristics
    264DE62A time date stamp
        0.00 version
           1 ordinal base
        1397 number of functions
        1397 number of names

    ordinal hint RVA      name

         81   50 00005CA0 ??0CNtAce@@QEAA@PEAU_ACCESS_ALLOWED_ACE@@@Z
         82   51 00023BB0 ??0CNtAce@@QEAA@XZ
         83   52 00039700 ??0CNtAcl@@QEAA@AEBV0@@Z
         84   53 00039780 ??0CNtAcl@@QEAA@K@Z
         85   54 000055F0 ??0CNtAcl@@QEAA@PEAU_ACL@@@Z
         86   55 00039800 ??0CNtSecurityDescriptor@@QEAA@AEAV0@@Z
         87   56 00005810 ??0CNtSecurityDescriptor@@QEAA@PEAX@Z
         88   57 00005A90 ??0CNtSecurityDescriptor@@QEAA@XZ
         89   58 00039830 ??0CNtSid@@QEAA@AEBV0@@Z
         90   59 00039950 ??0CNtSid@@QEAA@PEAG@Z
         91   5A 00009610 ??0CNtSid@@QEAA@PEAX@Z
         92   5B 00039AA0 ??0CNtSid@@QEAA@W4SidType@0@@Z
         93   5C 00012AF0 ??0CNtSid@@QEAA@XZ
         94   5D 00010A40 ??0CPropertyName@@QEAA@AEBV0@@Z
         95   5E 00011720 ??0CPropertyName@@QEAA@XZ
         96   5F 000323A0 ??0CQl1ParseSink@@QEAA@$$QEAV0@@Z
         97   60 000323A0 ??0CQl1ParseSink@@QEAA@AEBV0@@Z
         98   61 000323A0 ??0CQl1ParseSink@@QEAA@XZ
         99   62 00042640 ??0CRegistryMinMaxLimitControl@@QEAA@$$QEAV0@@Z
        100   63 00042640 ??0CRegistryMinMaxLimitControl@@QEAA@AEBV0@@Z
        101   64 00042720 ??0CRegistryMinMaxLimitControl@@QEAA@HPEBG0000@Z
        102   65 00034230 ??0CSafeArray@@QEAA@AEAV0@@Z
        103   66 00007D90 ??0CSafeArray@@QEAA@HHHH@Z
        104   67 00034270 ??0CSafeArray@@QEAA@PEAUtagSAFEARRAY@@HHH@Z
        105   68 00012A90 ??0CStaticCritSec@@QEAA@XZ
        106   69 00035680 ??0CTextTemplate@@QEAA@AEBV0@@Z
        107   6A 000356C0 ??0CTextTemplate@@QEAA@PEBG@Z
        108   6B 00034F10 ??0CTimerGenerator@@QEAA@AEBV0@@Z
        109   6C 00035010 ??0CTimerGenerator@@QEAA@XZ
        110   6D 00035090 ??0CTimerInstruction@@QEAA@AEBV0@@Z
        111   6E 00035090 ??0CTimerInstruction@@QEAA@XZ
        112   6F 00044ED0 ??0CTraceSessionControl@@QEAA@XZ
        113   70 0002AC00 ??0CUnk@@QEAA@AEBV0@@Z
        114   71 00011AC0 ??0CUnk@@QEAA@PEAVCLifeControl@@PEAUIUnknown@@@Z
        115   72 0002AC30 ??0CUnkInternal@@QEAA@AEBV0@@Z
        116   73 00012780 ??0CUnkInternal@@QEAA@PEAVCLifeControl@@@Z
        117   74 0000A110 ??0CVar@@QEAA@AEBV0@@Z
        118   75 0002AC60 ??0CVar@@QEAA@D@Z
        119   76 0002AC90 ??0CVar@@QEAA@E@Z
        120   77 0002ACC0 ??0CVar@@QEAA@F@Z
        121   78 00002570 ??0CVar@@QEAA@FH@Z
        122   79 0002ACF0 ??0CVar@@QEAA@G@Z
        123   7A 00002180 ??0CVar@@QEAA@HPEAG@Z
        124   7B 0002AD20 ??0CVar@@QEAA@HPEAUtagSAFEARRAY@@@Z
        125   7C 0002AD60 ??0CVar@@QEAA@HVauto_bstr@@@Z
        126   7D 0002ADF0 ??0CVar@@QEAA@J@Z
        127   7E 0002AE20 ??0CVar@@QEAA@K@Z
        128   7F 0002AE50 ??0CVar@@QEAA@M@Z
        129   80 0002AE80 ??0CVar@@QEAA@N@Z
        130   81 0002AEB0 ??0CVar@@QEAA@PEADH@Z
        131   82 0002AEF0 ??0CVar@@QEAA@PEAGH@Z
        132   83 0002AF30 ??0CVar@@QEAA@PEAU_FILETIME@@@Z
        133   84 0002AF60 ??0CVar@@QEAA@PEAU_GUID@@H@Z
        134   85 0002AFA0 ??0CVar@@QEAA@PEAUtagBLOB@@H@Z
        135   86 0002AFE0 ??0CVar@@QEAA@PEAUtagVARIANT@@@Z
        136   87 0002B020 ??0CVar@@QEAA@PEAVCVarVector@@H@Z
        137   88 0000EC30 ??0CVar@@QEAA@XZ
        138   89 00036B50 ??0CVarVector@@QEAA@AEAV0@@Z
        139   8A 0000C960 ??0CVarVector@@QEAA@HHH@Z
        140   8B 00007BB0 ??0CVarVector@@QEAA@HPEAUtagSAFEARRAY@@H@Z
        141   8C 000121D0 ??0CVarVector@@QEAA@XZ
        142   8D 00044EF0 ??0CWMITraceSettings@@QEAA@XZ
        143   8E 00041400 ??0CWQLScanner@@QEAA@AEAV0@@Z
        144   8F 0000D0D0 ??0CWQLScanner@@QEAA@PEAVCGenLexSource@@@Z
        145   90 0002DDC0 ??0CWStringArray@@QEAA@AEAV0@@Z
        146   91 000115D0 ??0CWStringArray@@QEAA@HH@Z
        147   92 00004900 ??0CWbemCallSecurity@@AEAA@AEBV0@@Z
        148   93 00004BA0 ??0CWbemCallSecurity@@AEAA@XZ
        149   94 00013000 ??0CWbemCriticalSection@@QEAA@XZ
