Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\wbemcomn.dll

File Type: DLL

  Section contains the following exports for wbemcomn.dll

    00000000 characteristics
    264DE62A time date stamp
        0.00 version
           1 ordinal base
        1397 number of functions
        1397 number of names

    ordinal hint RVA      name

        333  14C 000025D0 ??4CWin32DefaultArena@@QEAAAEAV0@AEBV0@@Z
        334  14D 000025D0 ??4MD5@@QEAAAEAV0@$$QEAV0@@Z
        335  14E 000025D0 ??4MD5@@QEAAAEAV0@AEBV0@@Z
        336  14F 00032920 ??4QL1_Parser@@QEAAAEAV0@AEBV0@@Z
        337  150 00032970 ??4QL_LEVEL_1_RPN_EXPRESSION@@QEAAAEAU0@AEBU0@@Z
        338  151 000106D0 ??4QL_LEVEL_1_TOKEN@@QEAAAEAU0@AEBU0@@Z
        339  152 00010880 ??4QL_LEVEL_1_TOKEN@@QEAAAEAU0@AEBU_tag_WbemQl1Token@@@Z
        340  153 00023750 ??4Registry@@QEAAAEAV0@AEBV0@@Z
        341  154 000025D0 ??4SHA256@@QEAAAEAV0@$$QEAV0@@Z
        342  155 000025D0 ??4SHA256@@QEAAAEAV0@AEBV0@@Z
        343  156 00003370 ??4WString2@@QEAAAEAV0@AEBV0@@Z
        344  157 000035C0 ??4WString2@@QEAAAEAV0@PEBG@Z
        345  158 00005E70 ??4WString@@QEAAAEAV0@AEBV0@@Z
        346  159 00010300 ??4WString@@QEAAAEAV0@PEBG@Z
        347  15A 0002B2D0 ??8CEventLogRecord@@QEAAHAEBV0@@Z
        348  15B 00009280 ??8CNtSid@@QEAAHAEAV0@@Z
        349  15C 00032A10 ??8CPropertyName@@QEAAHAEBU_tag_WbemPropertyName@@@Z
        350  15D 00001ED0 ??8CVar@@QEAAHAEAV0@@Z
        351  15E 00036E90 ??8CVarVector@@QEAAHAEAV0@@Z
        352  15F 0000B660 ??ACFlexArray@@QEAAAEAPEAXH@Z
        353  160 0000CE40 ??ACFlexArray@@QEBAPEAXH@Z
        354  161 00014850 ??ACSmallArrayBlob@@QEBAPEAXH@Z
        355  162 00036EB0 ??ACVarVector@@QEAAAEAVCVar@@H@Z
        356  163 00010480 ??ACWStringArray@@QEBAPEAGH@Z
        357  164 00040BA0 ??AWString2@@QEBAGH@Z
        358  165 0003FC30 ??AWString@@QEBAGH@Z
        359  166 000102A0 ??BCHex@@QEAAJXZ
        360  167 0002B370 ??BCVar@@QEAA?AU_FILETIME@@XZ
        361  168 0002B390 ??BCVar@@QEAADXZ
        362  169 0002B390 ??BCVar@@QEAAEXZ
        363  16A 00012700 ??BCVar@@QEAAFXZ
        364  16B 00012700 ??BCVar@@QEAAGXZ
        365  16C 000111A0 ??BCVar@@QEAAJXZ
        366  16D 000111A0 ??BCVar@@QEAAKXZ
        367  16E 0002B3A0 ??BCVar@@QEAAMXZ
        368  16F 0002B3B0 ??BCVar@@QEAANXZ
        369  170 000104F0 ??BCVar@@QEAAPEADXZ
        370  171 000104F0 ??BCVar@@QEAAPEAGXZ
        371  172 000104F0 ??BCVar@@QEAAPEAU_GUID@@XZ
        372  173 000021C0 ??BCVar@@QEAAPEAUtagBLOB@@XZ
        373  174 000104F0 ??BCVar@@QEAAPEAVCVarVector@@XZ
        374  175 000119D0 ??BWString2@@QEAAPEAGXZ
        375  176 000119D0 ??BWString2@@QEBAPEBGXZ
        376  177 000119D0 ??BWString@@QEAAPEAGXZ
        377  178 000119D0 ??BWString@@QEBAPEBGXZ
        378  179 00024590 ??DCWbemInterval@@QEBA?AV0@N@Z
        379  17A 000245B0 ??GCWbemTime@@QEBA?AV0@AEBVCWbemTimeSpan@@@Z
        380  17B 00014980 ??GCWbemTime@@QEBA?AVCWbemInterval@@AEBV0@@Z
        381  17C 000245D0 ??HCWbemInterval@@QEBA?AV0@V0@@Z
        382  17D 0000EE40 ??HCWbemTime@@QEBA?AV0@AEBVCWbemInterval@@@Z
        383  17E 000245F0 ??HCWbemTime@@QEBA?AV0@AEBVCWbemTimeSpan@@@Z
        384  17F 00024610 ??MCWbemInterval@@QEAAHV0@@Z
        385  180 00024620 ??MCWbemTime@@QEBAHAEBV0@@Z
        386  181 0002B3C0 ??MWString2@@QEBAHPEBG@Z
        387  182 0002B3C0 ??MWString@@QEBAHPEBG@Z
        388  183 00024640 ??NCWbemTime@@QEBAHAEBV0@@Z
        389  184 0002B3F0 ??NWString2@@QEBAHPEBG@Z
        390  185 0002B3F0 ??NWString@@QEBAHPEBG@Z
        391  186 000149C0 ??OCWbemInterval@@QEAAHV0@@Z
        392  187 00024660 ??OCWbemTime@@QEBAHAEBV0@@Z
        393  188 0002B420 ??OWString2@@QEBAHPEBG@Z
        394  189 0002B420 ??OWString@@QEBAHPEBG@Z
        395  18A 00024680 ??PCWbemTime@@QEBAHAEBV0@@Z
        396  18B 0002B450 ??PWString2@@QEBAHPEBG@Z
        397  18C 0002B450 ??PWString@@QEBAHPEBG@Z
        398  18D 00043950 ??R?$SZLess@PEBG@@QEBA_NAEBQEBG0@Z
        399  18E 00013420 ??RCIdentityTest@@UEAAHPEAVCTimerInstruction@@@Z
        400  18F 00040BC0 ??RWString2@@QEBA?AV0@HH@Z
        401  190 0003FC60 ??RWString@@QEBA?AV0@HH@Z
        402  191 000246A0 ??YCWbemInterval@@QEAAXV0@@Z
        403  192 00040D20 ??YWString2@@QEAAAEAV0@AEBV0@@Z
        404  193 00004190 ??YWString2@@QEAAAEAV0@G@Z
        405  194 00004150 ??YWString2@@QEAAAEAV0@PEBG@Z
        406  195 000025C0 ??YWString@@QEAAAEAV0@AEBV0@@Z
        407  196 0003FDC0 ??YWString@@QEAAAEAV0@G@Z
        408  197 00011620 ??YWString@@QEAAAEAV0@PEBG@Z
        409  198 0004BD60 ??_7?$SZLess@PEBG@@6B@
        410  199 0004C080 ??_7C9XAce@@6B@
        411  19A 0004BC90 ??_7CAbstractQl1Parser@@6B@
        412  19B 0004BE80 ??_7CArena@@6B@
        413  19C 0004BC00 ??_7CBaseAce@@6B@
        414  19D 0004BCE8 ??_7CBasicUnloadInstruction@@6B@
        415  19E 0004BD90 ??_7CBuffer@@6B@
        416  19F 0004C0C8 ??_7CContainerControl@@6B@
        417  1A0 0004C0E8 ??_7CExecQueue@@6B@
        418  1A1 0004BE20 ??_7CExecRequest@@6B@
        419  1A2 0004C078 ??_7CHaltable@@6B@
        420  1A3 0004BCA0 ??_7CIdentityTest@@6B@
        421  1A4 0004BF00 ??_7CInstructionTest@@6B@
        422  1A5 0004BE00 ??_7CLifeControl@@6B@
        423  1A6 0004BF08 ??_7CLimitControl@@6B@
        424  1A7 0004C1E0 ??_7CMinMaxLimitControl@@6B@
        425  1A8 0004BC48 ??_7CNtAce@@6B@
        426  1A9 0004BEA0 ??_7CQl1ParseSink@@6B@
        427  1AA 0004C1B8 ??_7CRegistryMinMaxLimitControl@@6B@
        428  1AB 0004C198 ??_7CTimerGenerator@@6B@
        429  1AC 0004BCA8 ??_7CTimerInstruction@@6B@
        430  1AD 0004BD28 ??_7CUnk@@6B@
        431  1AE 0004BD68 ??_7CUnkInternal@@6B@
        432  1AF 0004BB30 ??_7CWbemCallSecurity@@6B@
        433  1B0 0004C060 ??_7CWin32DefaultArena@@6B@
        434  1B1 0004BBF0 ??_7QL1_Parser@@6B@
        435  1B2 0004BB90 ??_7QL_LEVEL_1_RPN_EXPRESSION@@6B@
        436  1B3 00022BB0 ??_FCBuffer@@QEAAXXZ
        437  1B4 0002B580 ??_FCEventLog@@QEAAXXZ
        438  1B5 00023860 ??_FCFlexArray@@QEAAXXZ
        439  1B6 00023880 ??_FCFlexQueue@@QEAAXXZ
        440  1B7 00023EB0 ??_FCNtAcl@@QEAAXXZ
        441  1B8 000357D0 ??_FCTextTemplate@@QEAAXXZ
        442  1B9 0002B5A0 ??_FCUnk@@QEAAXXZ
        443  1BA 00023890 ??_FCWStringArray@@QEAAXXZ
        444  1BB 00030E20 ?AbortCompression@CMRCIControl@@QEAAXXZ
        445  1BC 000102A0 ?AbortRequested@CMRCIControl@@QEAAHXZ
        446  1BD 0002B600 ?Access@CSafeArray@@QEAAJPEAPEAX@Z
        447  1BE 00008EB0 ?AccessCheck@CIdentitySecurity@@QEAAHXZ
        448  1BF 00012D10 ?AccessRawArray@CVarVector@@QEAAJPEAPEAX@Z
        449  1C0 0000D420 ?Add@CFlexArray@@QEAAHPEAX@Z
        450  1C1 00042BD0 ?Add@CMinMaxLimitControl@@UEAAJKKPEAK@Z
        451  1C2 00001DF0 ?Add@CVarVector@@QEAAHAEAVCVar@@@Z
        452  1C3 000114B0 ?Add@CVarVector@@QEAAHPEAVCVar@@@Z
        453  1C4 0000CE70 ?Add@CWStringArray@@QEAAHPEBG@Z
        454  1C5 00039F30 ?AddAce@CNtAcl@@QEAAHPEAVCNtAce@@@Z
        455  1C6 00032C10 ?AddAggregationProperty@QL_LEVEL_1_RPN_EXPRESSION@@UEAAXAEBVCPropertyName@@@Z
        456  1C7 00032DB0 ?AddAllAggregationProperties@QL_LEVEL_1_RPN_EXPRESSION@@UEAAXXZ
        457  1C8 00013100 ?AddAllProperties@QL_LEVEL_1_RPN_EXPRESSION@@UEAAXXZ
        458  1C9 000047C0 ?AddAppropriateToken@CAbstractQl1Parser@@IEAAXAEBU_tag_WbemQl1Token@@@Z
        459  1CA 0000B690 ?AddBSTR@CSafeArray@@QEAAHPEAG@Z
        460  1CB 0002B620 ?AddBool@CSafeArray@@QEAAHF@Z
        461  1CC 0002B640 ?AddByte@CSafeArray@@QEAAHE@Z
        462  1CD 00010F30 ?AddChild@CClientOpsNode@@QEAAXPEAV1@@Z
        463  1CE 0000C250 ?AddCulture@CMUILocaleList@@AEAAJPEBGW4LocaleType@CMUILocale@@K@Z
        464  1CF 00034400 ?AddDispatch@CSafeArray@@QEAAHPEAUIDispatch@@@Z
        465  1D0 0002B660 ?AddDouble@CSafeArray@@QEAAHN@Z
        466  1D1 00006210 ?AddElement@CPropertyName@@QEAAXPEBG@Z
        467  1D2 00043A70 ?AddEnvironmentValue@CWbemInstallObject@@SAJPEBG0@Z
        468  1D3 0002B680 ?AddFloat@CSafeArray@@QEAAHM@Z
        469  1D4 00032DC0 ?AddHavingToken@QL_LEVEL_1_RPN_EXPRESSION@@UEAAXAEBU_tag_WbemQl1Token@@@Z
        470  1D5 0002B6A0 ?AddInsertionString@CEventLogRecord@@IEAAXAEAVCInsertionString@@@Z
        471  1D6 0000C430 ?AddLocale@CMUILocaleList@@AEAAJPEBGW4LocaleType@CMUILocale@@K@Z
        472  1D7 0002B6D0 ?AddLong@CSafeArray@@QEAAHJ@Z
        473  1D8 000134D0 ?AddMember@CLimitControl@@UEAAJXZ
        474  1D9 00010900 ?AddProperty@QL_LEVEL_1_RPN_EXPRESSION@@UEAAXAEBVCPropertyName@@@Z
        475  1DA 0002B6F0 ?AddRecord@CEventLog@@IEAAHPEAVCEventLogRecord@@@Z
        476  1DB 00013440 ?AddRef@CBasicUnloadInstruction@@UEAAXXZ
        477  1DC 00012710 ?AddRef@CBuffer@@UEAAKXZ
        478  1DD 0002B740 ?AddRef@CContainerControl@@UEAAXPEAUIUnknown@@@Z
        479  1DE 00013440 ?AddRef@CExecQueue@@QEAAXXZ
        480  1DF 00012710 ?AddRef@CUnk@@UEAAKXZ
        481  1E0 00011970 ?AddRef@CUnkInternal@@UEAAKXZ
        482  1E1 00012710 ?AddRef@CWbemCallSecurity@@UEAAKXZ
        483  1E2 00013110 ?AddRef@QL_LEVEL_1_RPN_EXPRESSION@@QEAAXXZ
        484  1E3 00001E70 ?AddScalar@CSafeArray@@AEAAHTSA_ArrayScalar@@@Z
        485  1E4 0002B620 ?AddShort@CSafeArray@@QEAAHF@Z
        486  1E5 00010500 ?AddToken@QL_LEVEL_1_RPN_EXPRESSION@@QEAAXAEBUQL_LEVEL_1_TOKEN@@@Z
        487  1E6 00010770 ?AddToken@QL_LEVEL_1_RPN_EXPRESSION@@UEAAXAEBU_tag_WbemQl1Token@@@Z
        488  1E7 00034400 ?AddUnknown@CSafeArray@@QEAAHPEAUIUnknown@@@Z
        489  1E8 00034400 ?AddVariant@CSafeArray@@QEAAHPEAUtagVARIANT@@@Z
        490  1E9 00007E00 ?AdjustInitialPriority@CExecQueue@@MEAAXPEAVCExecRequest@@@Z
        491  1EA 00007E00 ?AdjustPriorityForPassing@CExecQueue@@MEAAXPEAVCExecRequest@@@Z
        493  1EB 00022BE0 ?Advance@CBuffer@@QEAAJK@Z
        494  1EC 00041700 ?AliasToTable@CWQLScanner@@QEAAQEAGPEAG@Z
        495  1ED 000229E0 ?Alloc@CWin32DefaultArena@@UEAAPEAX_K@Z
        496  1EE 000258F0 ?AllocAmPm@CDateTimeParser@@IEAAPEAGXZ
        497  1EF 000041D0 ?AppendBuffer@WString2@@AEAAXPEBG_K@Z
        498  1F0 0000C370 ?AppendCulture@CMUILocaleList@@AEAAJPEBG@Z
        499  1F1 0000C550 ?AppendLocale@CMUILocaleList@@AEAAJPEBG@Z
        500  1F2 00035810 ?Apply@CTextTemplate@@QEAAPEAGPEAUIWbemClassObject@@@Z
        501  1F3 0002DFC0 ?Bind@CFlexArray@@QEAAXAEAV1@@Z
        502  1F4 00040D50 ?BindPtr@WString2@@QEAAXPEAG@Z
        503  1F5 000128E0 ?BindPtr@WString@@QEAAXPEAG@Z
        508  1F6 000353C0 ?BreakWait@CInstructionQueue@@QEAAXXZ
        510  1F7 00007FE0 ?BuildSWQLColRef@CWQLScanner@@AEAAHAEAVCFlexArray@@AEAUSWQLColRef@@@Z
        512  1F8 00014790 ?CalcSitOutPenalty@CExecQueue@@MEAAKJ@Z
        513  1F9 00013320 ?CanDelete@CVar@@QEAAHXZ
        514  1FA 00044E00 ?CaptureStackTrace@CMemoryLog@@AEAAXQEAPEAX@Z
        515  1FB 0000FF70 ?Change@CInstructionQueue@@QEAAJPEAVCTimerInstruction@@VCWbemTime@@@Z
        516  1FC 00001D20 ?ChangeTypeTo@CVar@@QEAAHG@Z
        517  1FD 00036FA0 ?ChangeTypeToEx@CVar@@QEAAHGK@Z
        519  1FE 00011810 ?CheckDMTFDateTimeFormat@CDateTimeParser@@SAHPEBGHH@Z
        520  1FF 00025950 ?CheckDMTFDateTimeFormatInternal@CDateTimeParser@@IEAAHPEBG@Z
        521  200 00025BC0 ?CheckDMTFDateTimeInterval@CDateTimeParser@@SAHPEBG@Z
        522  201 00025C10 ?CheckDateFormat@CDateTimeParser@@IEAAHPEBGH@Z
        523  202 00012B10 ?CheckLangNeutral@CMUILocale@@SAJPEBGPEA_N@Z
        524  203 00025F20 ?CheckTimeFormat@CDateTimeParser@@IEAAHPEBGH@Z
        525  204 00007E00 ?CheckType@CSafeArray@@AEAAXH@Z
        526  205 000124E0 ?CleanUp@CWbemInstallObject@@SAXXZ
        527  206 000058E0 ?ClearPropRefs@CWQLScanner@@AEAAXXZ
        528  207 00007640 ?ClearTableRefs@CWQLScanner@@AEAAXXZ
        529  208 00008C00 ?ClearTokens@CWQLScanner@@AEAAXXZ
        530  209 00022C20 ?Clone@CBuffer@@UEAAJPEAPEAUIStream@@@Z
        531  20A 000349B0 ?CloneData@CSmallArrayBlob@@QEAAPEAPEAXXZ
        532  20B 00004BE0 ?CloneThreadContext@CWbemCallSecurity@@UEAAJH@Z
        533  20C 00004F60 ?CloneThreadToken@CWbemCallSecurity@@AEAAJK@Z
        534  20D 0002B760 ?Close@CEventLog@@QEAAHXZ
        535  20E 00012970 ?CoCreateInstance@CWbemInstallObject@@SAJAEBU_GUID@@PEAUIUnknown@@K0PEAPEAX@Z
        536  20F 00043BC0 ?CoGetClassObject@CWbemInstallObject@@SAJAEBU_GUID@@KPEAU_COSERVERINFO@@0PEAPEAX@Z
        537  210 00022D60 ?Commit@CBuffer@@UEAAJK@Z
        538  211 0002E0B0 ?CompareEls@CFlexArray@@KAHPEBX0@Z
        539  212 0002E0B0 ?CompareEls@CSmallArrayBlob@@KAHPEBX0@Z
        540  213 00001EF0 ?CompareTo@CVar@@QEAAHAEAV1@H@Z
        541  214 000370D0 ?CompareTo@CVarVector@@QEAAHAEAV1@H@Z
        543  215 00012120 ?Compress@CFlexArray@@QEAAXXZ
        544  216 000238D0 ?Compress@CWStringArray@@QEAAXXZ
        545  217 00030E30 ?CompressBuffer@CMRCICompression@@QEAAIPEAEK0KW4CompressionLevel@1@@Z
        546  218 00030E60 ?CompressFile@CMRCICompression@@QEAAHPEBG0KW4CompressionLevel@1@PEAVCMRCIControl@@@Z
        547  219 00030F40 ?CompressFileV1@CMRCICompression@@IEAAHHHKW4CompressionLevel@1@PEAVCMRCIControl@@@Z
        548  21A 00042DC0 ?ComputePenalty@CMinMaxLimitControl@@IEAAJKKPEAKPEAH@Z
        549  21B 00036000 ?ConcatWithoutQuotes@CTextTemplate@@AEAAXAEAVWString2@@AEAPEAG@Z
        550  21C 00008990 ?ContainsSid@CNtAcl@@QEAAHAEAVCNtSid@@AEAE@Z
        551  21D 00003660 ?CopyBuffer@WString2@@AEAAXPEBG_K@Z
        552  21E 000139E0 ?CopyData@CSmallArrayBlob@@IEAAXPEAV1@@Z
        553  21F 0002E0C0 ?CopyDataFrom@CFlexArray@@QEAAHAEBV1@@Z
        555  220 00022D70 ?CopyTo@CBuffer@@UEAAJPEAUIStream@@T_ULARGE_INTEGER@@PEAT3@2@Z
        556  221 0000D3A0 ?CopyTo@CNtSid@@QEAAHPEAX@Z
        557  222 00013320 ?CountQuery@CWQLScanner@@QEAAHXZ
        558  223 00013A30 ?CreateBlob@CSmallArrayBlob@@SAPEAV1@H@Z
        559  224 00004B20 ?CreateInst@CWbemCallSecurity@@SAPEAVIWbemCallSecurity@@XZ
        560  225 00013ED0 ?CreateNewThread@CExecQueue@@MEAAHXZ
        562  226 00022FC0 ?CurrentLine@CAbstractQl1Parser@@QEAAHXZ
        563  227 00002240 ?CurrentToken@CAbstractQl1Parser@@QEAAPEAGXZ
        564  228 00025FF0 ?DateFormat10@CDateTimeParser@@IEAAHPEBG0H@Z
        565  229 000261E0 ?DateFormat11@CDateTimeParser@@IEAAHPEBG0H@Z
        566  22A 000263A0 ?DateFormat12@CDateTimeParser@@IEAAHPEBG0H@Z
        567  22B 00026560 ?DateFormat13@CDateTimeParser@@IEAAHPEBG0H@Z
        568  22C 00026720 ?DateFormat14@CDateTimeParser@@IEAAHPEBG0H@Z
        569  22D 000268E0 ?DateFormat15@CDateTimeParser@@IEAAHPEBGH@Z
        570  22E 00026A00 ?DateFormat1@CDateTimeParser@@IEAAHPEBGH@Z
        571  22F 00026CE0 ?DateFormat2@CDateTimeParser@@IEAAHPEBGH@Z
        572  230 00026F20 ?DateFormat3@CDateTimeParser@@IEAAHPEBGH@Z
        573  231 00027200 ?DateFormat4@CDateTimeParser@@IEAAHPEBGH@Z
        574  232 000274E0 ?DateFormat5@CDateTimeParser@@IEAAHPEBGH@Z
        575  233 00027740 ?DateFormat6@CDateTimeParser@@IEAAHPEBGH@Z
        576  234 000279A0 ?DateFormat7@CDateTimeParser@@IEAAHPEBGH@Z
        577  235 00027B60 ?DateFormat8@CDateTimeParser@@IEAAHPEBGH@Z
        578  236 00027DA0 ?DateFormat9@CDateTimeParser@@IEAAHPEBG0H@Z
        579  237 0002E170 ?DebugDump@CFlexArray@@QEAAXXZ
        581  238 000238E0 ?DecrementIndex@CFlexQueue@@IEAAXAEAH@Z
        582  239 0003BC70 ?DeleteAce@CNtAcl@@QEAAHH@Z
        583  23A 00032F40 ?DeletePropertyName@CAbstractQl1Parser@@IEAAXXZ
        584  23B 0003BC90 ?DeleteSacl@CNtSecurityDescriptor@@QEAAJXZ
        585  23C 0002E220 ?DeleteStr@CWStringArray@@QEAAHH@Z
        586  23D 000037C0 ?DeleteString@WString2@@AEAAX_N@Z
        587  23E 00002530 ?DeleteString@WString@@AEAAXPEAG@Z
        588  23F 00033E00 ?DeleteValue@Registry@@QEAAHPEBG@Z
        589  240 00011A00 ?Dequeue@CFlexQueue@@QEAAPEAXXZ
        590  241 000353E0 ?Dequeue@CInstructionQueue@@QEAAJAEAPEAVCTimerInstruction@@AEAVCWbemTime@@@Z
        591  242 0003BE70 ?Deserialize@C9XAce@@UEAA_NPEAE@Z
        592  243 0003BF70 ?Deserialize@CNtAce@@UEAA_NPEAE@Z
        593  244 0002E260 ?Difference@CWStringArray@@SAXAEAV1@00@Z
        594  245 00045020 ?Disable@CTraceSessionControl@@QEAAKXZ
        595  246 00030560 ?DoLike@CLike@@IEAA_NPEBG0G@Z
        596  247 00014690 ?DoesNeedNewThread@CExecQueue@@MEAAHPEAVCExecRequest@@@Z
        597  248 000371F0 ?DoesVectorTypeMatchArrayType@CVarVector@@QEAAHXZ
        598  249 000418F0 ?Dump@CWQLScanner@@QEAAXXZ
        599  24A 00032FB0 ?Dump@QL_LEVEL_1_RPN_EXPRESSION@@QEAAXPEBD@Z
        600  24B 000330E0 ?Dump@QL_LEVEL_1_TOKEN@@QEAAXPEAU_iobuf@@@Z
        602  24C 0002CF10 ?DumpError@CExecRequest@@UEAAXXZ
        603  24D 000132A0 ?DumpText@CVar@@QEAAHPEAU_iobuf@@@Z
        604  24E 00023900 ?ElementSize@CSafeArray@@QEAAHXZ
        605  24F 000111B0 ?Empty@CFlexArray@@QEAAXXZ
        606  250 00009350 ?Empty@CPropertyName@@QEAAXXZ
        607  251 00034490 ?Empty@CSafeArray@@QEAAXXZ
        608  252 00009E90 ?Empty@CVar@@QEAAXXZ
        609  253 00007E10 ?Empty@CVarVector@@QEAAXXZ
        610  254 0000A490 ?Empty@CWStringArray@@QEAAXXZ
        611  255 00003550 ?Empty@WString2@@QEAAXXZ
        612  256 00001FE0 ?Empty@WString@@QEAAXXZ
        613  257 000450B0 ?Enable@CTraceSessionControl@@QEAAKXZ
        616  258 00023EF0 ?EncryptedCall@CIdentitySecurity@@AEAA_NXZ
        617  259 00013D30 ?Enqueue@CExecQueue@@UEAAJPEAVCExecRequest@@PEAPEAX@Z
        618  25A 0000CA90 ?Enqueue@CFlexQueue@@QEAA_NPEAX@Z
        619  25B 0000FA70 ?Enqueue@CInstructionQueue@@QEAAJVCWbemTime@@PEAVCTimerInstruction@@@Z
        620  25C 0002CF60 ?EnqueueAndWait@CExecQueue@@QEAAJPEAVCExecRequest@@@Z
        621  25D 0002D080 ?EnqueueWithoutSleep@CExecQueue@@QEAAJPEAVCExecRequest@@PEAPEAX@Z
        622  25E 00006370 ?EnsureAllocated@CPropertyName@@IEAAXJ@Z
        623  25F 0002E340 ?EnsureExtent@CFlexArray@@QEAAHH@Z
        624  260 00013960 ?EnsureExtent@CSmallArrayBlob@@IEAAPEAV1@H@Z
        625  261 00030860 ?EnsureMatchState@CLike@@AEAAX_K@Z
        626  262 0000ED80 ?EnsureRunning@CTimerGenerator@@AEAAXXZ
        627  263 00022EE0 ?EnsureSize@CBuffer@@AEAAXK@Z
        628  264 00010F00 ?Enter@CCheckedInCritSec@@QEAAXXZ
        629  265 000110B0 ?Enter@CCritSec@@QEAAXXZ
        630  266 0002D280 ?Enter@CExecQueue@@QEAAXXZ
        631  267 000110B0 ?Enter@CStaticCritSec@@QEAAXXZ
        632  268 000129E0 ?Enter@CWbemCriticalSection@@QEAAHK@Z
        633  269 0002B790 ?Equal@WString2@@QEBAHPEBG@Z
        634  26A 0002B790 ?Equal@WString@@QEBAHPEBG@Z
        635  26B 0000C610 ?EqualNoCase@WString2@@QEBAHPEBG@Z
        636  26C 0000C610 ?EqualNoCase@WString@@QEBAHPEBG@Z
        638  26D 00040DA0 ?EscapeQuotes@WString2@@QEBA?AV1@XZ
        639  26E 0003FDF0 ?EscapeQuotes@WString@@QEBA?AV1@XZ
        640  26F 000141C0 ?Execute@CExecQueue@@MEAAHPEAVCThreadRecord@1@@Z
        641  270 00043E50 ?ExpandEnvironmentStringsW@CWbemInstallObject@@SAKPEBGPEAGK@Z
        642  271 00044050 ?ExpandVariableValue@CWbemInstallObject@@CAJPEBGPEAG_KPEA_K@Z
        644  272 00009B80 ?ExtractNext@CWQLScanner@@AEAAPEAUWSLexToken@@H@Z
        645  273 00005D30 ?ExtractSelectType@CWQLScanner@@AEAAHXZ
        646  274 00040E80 ?ExtractToken@WString2@@QEAAHGAEAV1@@Z
        647  275 00040FF0 ?ExtractToken@WString2@@QEAAHPEBGAEAV1@@Z
        648  276 0003FEE0 ?ExtractToken@WString@@QEAAHGAEAV1@@Z
        649  277 00040100 ?ExtractToken@WString@@QEAAHPEBGAEAV1@@Z
        650  278 00007E00 ?Fatal@CSafeArray@@AEAAXPEBD@Z
        651  279 00009F20 ?FillCVarAt@CVarVector@@QEAAXHAEAVCVar@@@Z
        652  27A 00027F90 ?FillDMTF@CDateTimeParser@@QEAAHPEAG_K@Z
        653  27B 000074B0 ?FillVariant@CVar@@QEAAXPEAUtagVARIANT@@H@Z
        654  27C 00030910 ?FinalizeMatchState@CLike@@AEAAXXZ
        655  27D 0000D000 ?FindStr@CWStringArray@@QEAAHPEBGH@Z
        656  27E 000333C0 ?FlipOperator@CAbstractQl1Parser@@IEAAHH@Z
        657  27F 000440E0 ?FlushRepository@CWbemInstallObject@@SAJXZ
        658  280 000229F0 ?Free@CWin32DefaultArena@@UEAAHPEAX@Z
        659  281 000122F0 ?FreeMap@CWbemInstallObject@@SAXXZ
        660  282 000119D0 ?Get100nss@CWbemTime@@QEBA_JXZ
        661  283 00008CA0 ?GetAbsoluteCopy@CNtSecurityDescriptor@@QEAAPEAUSNtAbsoluteSD@@XZ
        662  284 000129D0 ?GetAccessMask@C9XAce@@UEAAKXZ
        663  285 0003BFF0 ?GetAccessMask@CNtAce@@UEAAKXZ
        665  286 0003C010 ?GetAce@CNtAcl@@QEAAHHAEAVCNtAce@@@Z
        666  287 00005C30 ?GetAce@CNtAcl@@QEAAPEAVCNtAce@@H@Z
        667  288 0003C670 ?GetAclSizeInfo@CNtAcl@@QEAAHPEAK0@Z
        668  289 00013320 ?GetActiveImpersonation@CWbemCallSecurity@@UEAAJXZ
        669  28A 000344E0 ?GetActualVarType@CSafeArray@@QEAAHPEAG@Z
        670  28B 00023910 ?GetAreaFlags@CWMITraceSettings@@QEAAKXZ
        671  28C 000120F0 ?GetArenaHeap@CWin32DefaultArena@@SAPEAXXZ
        672  28D 00002240 ?GetArray@CSafeArray@@QEAAPEAUtagSAFEARRAY@@XZ
        673  28E 00012F40 ?GetArrayCopy@CSafeArray@@QEAAPEAUtagSAFEARRAY@@XZ
        674  28F 000025A0 ?GetArrayPtr@CFlexArray@@QEAAPEAPEAXXZ
        675  290 000025A0 ?GetArrayPtr@CFlexArray@@QEBAPEBQEAXXZ
        676  291 000021C0 ?GetArrayPtr@CSmallArrayBlob@@QEAAPEAPEAXXZ
        677  292 000021C0 ?GetArrayPtr@CSmallArrayBlob@@QEBAPEBQEAXXZ
        678  293 000025A0 ?GetArrayPtr@CWStringArray@@QEAAPEAPEBGXZ
        679  294 0000BED0 ?GetAt@CFlexArray@@QEBAPEAXH@Z
        680  295 00014850 ?GetAt@CSmallArrayBlob@@QEBAPEAXH@Z
        681  296 0000B630 ?GetAt@CVarVector@@QEAAAEAVCVar@@H@Z
        682  297 0000CDB0 ?GetAt@CWStringArray@@QEBAPEAGH@Z
        683  298 00023F80 ?GetAuthenticationId@CWbemCallSecurity@@UEAAKAEAU_LUID@@@Z
        684  299 00044100 ?GetAutoRecoverFolder@CWbemInstallObject@@SAPEBGXZ
        685  29A 000021D0 ?GetBSTR@CVar@@QEAAPEAGXZ
        686  29B 00034510 ?GetBSTRAt@CSafeArray@@QEAAPEAGH@Z
        687  29C 0000B7C0 ?GetBSTRAtThrow@CSafeArray@@QEAAPEAGH@Z
