Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\libcrypto.dll

File Type: DLL

  Section contains the following exports for libcrypto.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
        3477 number of functions
        3477 number of names

    ordinal hint RVA      name

        119   76 0000C650 ASN1_STRING_to_UTF8
        120   77 00010520 ASN1_STRING_type
        121   78 00010530 ASN1_STRING_type_new
        122   79 0001D1D0 ASN1_T61STRING_free
        123   7A 000FD360 ASN1_T61STRING_it
        124   7B 0001D1E0 ASN1_T61STRING_new
        125   7C 000FD4B0 ASN1_TBOOLEAN_it
        126   7D 0000D860 ASN1_TIME_adj
        127   7E 0000DA50 ASN1_TIME_check
        128   7F 0000D780 ASN1_TIME_free
        129   80 000FA698 ASN1_TIME_it
        130   81 0000D790 ASN1_TIME_new
        131   82 00017E20 ASN1_TIME_print
        132   83 0000DA90 ASN1_TIME_set
        133   84 0000DAB0 ASN1_TIME_set_string
        134   85 0000DBF0 ASN1_TIME_set_tm
        135   86 0000DC30 ASN1_TIME_to_generalizedtime
        136   87 0000E2C0 ASN1_TYPE_cmp
        137   88 0001D1F0 ASN1_TYPE_free
        138   89 0000E310 ASN1_TYPE_get
        139   8A 00014810 ASN1_TYPE_get_int_octetstring
        140   8B 000149C0 ASN1_TYPE_get_octetstring
        141   8C 0001D200 ASN1_TYPE_new
        142   8D 0000E330 ASN1_TYPE_set
        143   8E 0000E390 ASN1_TYPE_set1
        144   8F 00014A60 ASN1_TYPE_set_int_octetstring
        145   90 00014BA0 ASN1_TYPE_set_octetstring
        146   91 0001D210 ASN1_UNIVERSALSTRING_free
        147   92 000FD1E0 ASN1_UNIVERSALSTRING_it
        148   93 0001D220 ASN1_UNIVERSALSTRING_new
        149   94 0000BC00 ASN1_UNIVERSALSTRING_to_string
        150   95 0000DD80 ASN1_UTCTIME_adj
        151   96 0000DDA0 ASN1_UTCTIME_check
        152   97 0000DDE0 ASN1_UTCTIME_cmp_time_t
        153   98 0001D230 ASN1_UTCTIME_free
        154   99 000FD3F0 ASN1_UTCTIME_it
        155   9A 0001D240 ASN1_UTCTIME_new
        156   9B 00018020 ASN1_UTCTIME_print
        157   9C 0000DEF0 ASN1_UTCTIME_set
        158   9D 0000DF10 ASN1_UTCTIME_set_string
        159   9E 0001D250 ASN1_UTF8STRING_free
        160   9F 000FD210 ASN1_UTF8STRING_it
        161   A0 0001D260 ASN1_UTF8STRING_new
        162   A1 0001D270 ASN1_VISIBLESTRING_free
        163   A2 000FD1B0 ASN1_VISIBLESTRING_it
        164   A3 0001D280 ASN1_VISIBLESTRING_new
        165   A4 00013160 ASN1_add_oid_module
        166   A5 00017110 ASN1_bn_print
        167   A6 00010590 ASN1_check_infinite_end
        168   A7 00010590 ASN1_const_check_infinite_end
        169   A8 000093E0 ASN1_d2i_bio
        170   A9 00009460 ASN1_d2i_fp
        171   AA 00009A50 ASN1_dup
        172   AB 0000F190 ASN1_generate_nconf
        173   AC 0000F1D0 ASN1_generate_v3
        174   AD 000105C0 ASN1_get_object
        175   AE 00009E70 ASN1_i2d_bio
        176   AF 00009F40 ASN1_i2d_fp
        177   B0 00019060 ASN1_item_d2i
        178   B1 00009540 ASN1_item_d2i_bio
        179   B2 000095C0 ASN1_item_d2i_fp
        180   B3 000099D0 ASN1_item_digest
        181   B4 00009B00 ASN1_item_dup
        182   B5 000190E0 ASN1_item_ex_d2i
        183   B6 0001BBC0 ASN1_item_ex_free
        184   B7 0001AF70 ASN1_item_ex_i2d
        185   B8 0001BF90 ASN1_item_ex_new
        186   B9 0001BBD0 ASN1_item_free
        187   BA 0001B2D0 ASN1_item_i2d
        188   BB 0000A080 ASN1_item_i2d_bio
        189   BC 0000A140 ASN1_item_i2d_fp
        190   BD 0001B2E0 ASN1_item_ndef_i2d
        191   BE 0001BFA0 ASN1_item_new
        192   BF 00013380 ASN1_item_pack
        193   C0 0001C560 ASN1_item_print
        194   C1 0000C2A0 ASN1_item_sign
        195   C2 0000C340 ASN1_item_sign_ctx
        196   C3 00013480 ASN1_item_unpack
        197   C4 0000E6E0 ASN1_item_verify
        198   C5 0000A9D0 ASN1_mbstring_copy
        199   C6 0000A9F0 ASN1_mbstring_ncopy
        200   C7 00010790 ASN1_object_size
        201   C8 000134E0 ASN1_pack_string
        202   C9 00010A50 ASN1_parse
        203   CA 00010A80 ASN1_parse_dump
        204   CB 0001BBF0 ASN1_primitive_free
        205   CC 0001BFD0 ASN1_primitive_new
        206   CD 000107D0 ASN1_put_eoc
        207   CE 000107F0 ASN1_put_object
        208   CF 000135E0 ASN1_seq_pack
        209   D0 000136E0 ASN1_seq_unpack
        210   D1 00019A70 ASN1_tag2bit
        211   D2 00010AB0 ASN1_tag2str
        212   D3 00019A90 ASN1_template_d2i
        213   D4 0001BCC0 ASN1_template_free
        214   D5 0001B2F0 ASN1_template_i2d
        215   D6 0001C0E0 ASN1_template_new
        216   D7 0000DF30 ASN1_time_parse
        217   D8 00073470 ASN1_time_tm_clamp_notafter
        218   D9 0000E140 ASN1_time_tm_cmp
        219   DA 00013750 ASN1_unpack_string
        220   DB 000CA5C0 AUTHORITY_INFO_ACCESS_free
        221   DC 0013D480 AUTHORITY_INFO_ACCESS_it
        222   DD 000CA5D0 AUTHORITY_INFO_ACCESS_new
        223   DE 000C5160 AUTHORITY_KEYID_free
        224   DF 0013B600 AUTHORITY_KEYID_it
        225   E0 000C5170 AUTHORITY_KEYID_new
        226   E1 000C6AE0 BASIC_CONSTRAINTS_free
        227   E2 0013BA50 BASIC_CONSTRAINTS_it
        228   E3 000C6AF0 BASIC_CONSTRAINTS_new
        229   E4 00020B50 BF_cbc_encrypt
        230   E5 00020870 BF_cfb64_encrypt
        231   E6 00021070 BF_decrypt
        232   E7 00020A80 BF_ecb_encrypt
        233   E8 000214D0 BF_encrypt
        234   E9 00021930 BF_ofb64_encrypt
        235   EA 00020B40 BF_options
        236   EB 00021B10 BF_set_key
        237   EC 000FD9A8 BIGNUM_it
        238   ED 00026B20 BIO_CONNECT_free
        239   EE 00026B50 BIO_CONNECT_new
        240   EF 00022460 BIO_accept
        241   F0 00013D10 BIO_asn1_get_prefix
        242   F1 00013D60 BIO_asn1_get_suffix
        243   F2 00013DB0 BIO_asn1_set_prefix
        244   F3 00013DE0 BIO_asn1_set_suffix
        245   F4 00023CA0 BIO_callback_ctrl
        246   F5 00023D80 BIO_clear_flags
        247   F6 00023D90 BIO_copy_next_retry
        248   F7 00023DB0 BIO_ctrl
        249   F8 00025F70 BIO_ctrl_get_read_request
        250   F9 00025F90 BIO_ctrl_get_write_guarantee
        251   FA 00023E90 BIO_ctrl_pending
        252   FB 00025FB0 BIO_ctrl_reset_read_request
        253   FC 00023EB0 BIO_ctrl_wpending
        254   FD 00023920 BIO_debug_callback
        255   FE 00027A60 BIO_dgram_non_fatal_error
        256   FF 00021E70 BIO_dump
        257  100 00021EA0 BIO_dump_cb
        258  101 00021EC0 BIO_dump_fp
        259  102 00021EF0 BIO_dump_indent
        260  103 00021F20 BIO_dump_indent_cb
        261  104 00022240 BIO_dump_indent_fp
        262  105 00023ED0 BIO_dup_chain
        263  106 00013E10 BIO_f_asn1
        264  107 00068C40 BIO_f_base64
        265  108 00023530 BIO_f_buffer
        266  109 000692E0 BIO_f_cipher
        267  10A 000697C0 BIO_f_md
        268  10B 000237E0 BIO_f_nbio_test
        269  10C 00023910 BIO_f_null
        270  10D 000292D0 BIO_fd_non_fatal_error
        271  10E 00028000 BIO_fd_should_retry
        272  10F 000240B0 BIO_find_type
        273  110 000240E0 BIO_free
        274  111 00024180 BIO_free_all
        275  112 000225E0 BIO_get_accept_socket
        276  113 00010200 BIO_get_callback
        277  114 000B4F40 BIO_get_callback_arg
        278  115 00024250 BIO_get_ex_data
        279  116 00024260 BIO_get_ex_new_index
        280  117 000228D0 BIO_get_host_ip
        281  118 000229F0 BIO_get_port
        282  119 00024290 BIO_get_retry_BIO
        283  11A 000242C0 BIO_get_retry_reason
        284  11B 00022B10 BIO_gethostbyname
        285  11C 000242D0 BIO_gets
        286  11D 000243F0 BIO_indent
        287  11E 00024510 BIO_int_ctrl
        288  11F 000BAA70 BIO_method_name
        289  120 00072200 BIO_method_type
        290  121 00024530 BIO_new
        291  122 00013F50 BIO_new_NDEF
        292  123 0009A310 BIO_new_PKCS7
        293  124 000253A0 BIO_new_accept
        294  125 00025FE0 BIO_new_bio_pair
        295  126 00026BA0 BIO_new_connect
        296  127 00027A80 BIO_new_dgram
        297  128 00028040 BIO_new_fd
        298  129 00028520 BIO_new_file
        299  12A 00028630 BIO_new_fp
        300  12B 00028CF0 BIO_new_mem_buf
        301  12C 00029260 BIO_new_socket
        302  12D 00024610 BIO_next
        303  12E 000260E0 BIO_nread
        304  12F 00026140 BIO_nread0
        305  130 00024620 BIO_number_read
        306  131 00024630 BIO_number_written
        307  132 00026190 BIO_nwrite
        308  133 000261F0 BIO_nwrite0
        309  134 00024640 BIO_pop
        310  135 000222A0 BIO_printf
        311  136 000246B0 BIO_ptr_ctrl
        312  137 000246E0 BIO_push
        313  138 00024740 BIO_puts
        314  139 00024860 BIO_read
        315  13A 00025400 BIO_s_accept
        316  13B 00026240 BIO_s_bio
        317  13C 00026C00 BIO_s_connect
        318  13D 00027AE0 BIO_s_datagram
        319  13E 000280A0 BIO_s_fd
        320  13F 00028690 BIO_s_file
        321  140 00028D90 BIO_s_mem
        322  141 00028E50 BIO_s_null
        323  142 000292C0 BIO_s_socket
        324  143 00024980 BIO_set
        325  144 00024A20 BIO_set_callback
        326  145 00077150 BIO_set_callback_arg
        327  146 000692F0 BIO_set_cipher
        328  147 000A6300 BIO_set_ex_data
        329  148 00024A30 BIO_set_flags
        330  149 00022B20 BIO_set_tcp_ndelay
        331  14A 00022310 BIO_snprintf
        332  14B 00007F40 BIO_sock_cleanup
        333  14C 00022B60 BIO_sock_error
        334  14D 000D0F10 BIO_sock_init
        335  14E 000292D0 BIO_sock_non_fatal_error
        336  14F 00028000 BIO_sock_should_retry
        337  150 00022BA0 BIO_socket_ioctl
        338  151 000D0FA0 BIO_socket_nbio
        339  152 00024A40 BIO_test_flags
        340  153 00024A50 BIO_vfree
        341  154 00022380 BIO_vprintf
        342  155 000223E0 BIO_vsnprintf
        343  156 00024A60 BIO_write
        344  157 0002B250 BN_BLINDING_convert
        345  158 0002B380 BN_BLINDING_convert_ex
        346  159 0002B4E0 BN_BLINDING_create_param
        347  15A 0002B720 BN_BLINDING_free
        348  15B 0002B760 BN_BLINDING_get_flags
        349  15C 000C1150 BN_BLINDING_get_thread_id
        350  15D 0002B770 BN_BLINDING_invert
        351  15E 0002B7C0 BN_BLINDING_invert_ex
        352  15F 0002B820 BN_BLINDING_new
        353  160 0002B920 BN_BLINDING_set_flags
        354  161 0002B930 BN_BLINDING_set_thread_id
        355  162 0002B940 BN_BLINDING_thread_id
        356  163 0002B950 BN_BLINDING_update
        357  164 0002BB50 BN_CTX_end
        358  165 0002BBD0 BN_CTX_free
        359  166 0002BC60 BN_CTX_get
        360  167 0002BDC0 BN_CTX_init
        361  168 0002BE40 BN_CTX_new
        362  169 0002BEA0 BN_CTX_start
        363  16A 00035DC0 BN_GENCB_call
        364  16B 0002F700 BN_GF2m_add
        365  16C 0002F800 BN_GF2m_arr2poly
        366  16D 0002F880 BN_GF2m_mod
        367  16E 0002F910 BN_GF2m_mod_arr
        368  16F 0002FB90 BN_GF2m_mod_div
        369  170 0002FCB0 BN_GF2m_mod_div_arr
        370  171 0002FE00 BN_GF2m_mod_exp
        371  172 0002FED0 BN_GF2m_mod_exp_arr
        372  173 00030010 BN_GF2m_mod_inv
        373  174 00030570 BN_GF2m_mod_inv_arr
        374  175 00030600 BN_GF2m_mod_mul
        375  176 000306D0 BN_GF2m_mod_mul_arr
        376  177 000309E0 BN_GF2m_mod_solve_quad
        377  178 00030AB0 BN_GF2m_mod_solve_quad_arr
        378  179 00030E60 BN_GF2m_mod_sqr
        379  17A 00030F30 BN_GF2m_mod_sqr_arr
        380  17B 000310C0 BN_GF2m_mod_sqrt
        381  17C 000311E0 BN_GF2m_mod_sqrt_arr
        382  17D 00031280 BN_GF2m_poly2arr
        383  17E 00033100 BN_MONT_CTX_copy
        384  17F 00033180 BN_MONT_CTX_free
        385  180 000331C0 BN_MONT_CTX_init
        386  181 00033200 BN_MONT_CTX_new
        387  182 00033260 BN_MONT_CTX_set
        388  183 00033420 BN_MONT_CTX_set_locked
        389  184 000378C0 BN_RECP_CTX_free
        390  185 000378F0 BN_RECP_CTX_init
        391  186 00037920 BN_RECP_CTX_new
        392  187 00037970 BN_RECP_CTX_set
        393  188 00039320 BN_X931_derive_prime_ex
        394  189 00039640 BN_X931_generate_Xpq
        395  18A 00039750 BN_X931_generate_prime_ex
        396  18B 00029300 BN_add
        397  18C 00038EE0 BN_add_word
        398  18D 00036A00 BN_asc2bn
        399  18E 000319A0 BN_bin2bn
        400  18F 00031B50 BN_bn2bin
        401  190 00036A90 BN_bn2dec
        402  191 00036CE0 BN_bn2hex
        403  192 00033970 BN_bn2mpi
        404  193 00031C20 BN_clear
        405  194 00031C50 BN_clear_bit
        406  195 00032260 BN_clear_free
        407  196 00031CC0 BN_cmp
        408  197 00031D50 BN_consttime_swap
        409  198 00032020 BN_copy
        410  199 00036E80 BN_dec2bn
        411  19A 0002C0D0 BN_div
        412  19B 000379D0 BN_div_recp
        413  19C 00039050 BN_div_word
        414  19D 000320F0 BN_dup
        415  19E 0002C750 BN_exp
        416  19F 00032260 BN_free
        417  1A0 00033570 BN_from_montgomery
        418  1A1 0002E8E0 BN_gcd
        419  1A2 0002BF80 BN_generate_prime
        420  1A3 00035E20 BN_generate_prime_ex
        421  1A4 00034B80 BN_get0_nist_prime_192
        422  1A5 00034B90 BN_get0_nist_prime_224
        423  1A6 00034BA0 BN_get0_nist_prime_256
        424  1A7 00034BB0 BN_get0_nist_prime_384
