Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\msasn1.dll

File Type: DLL

  Section contains the following exports for MSASN1.dll

    00000000 characteristics
    AC91A4B2 time date stamp
        0.00 version
           1 ordinal base
         152 number of functions
         152 number of names

    ordinal hint RVA      name

        130   81 00005A50 ASN1intx_add
        131   82 00008C00 ASN1intx_cmp
        132   83 00005140 ASN1intx_free
        133   84 000090D0 ASN1intx_setuint32
        134   85 00005A50 ASN1intx_sub
        135   86 00009190 ASN1intx_uoctets
        136   87 000091C0 ASN1intxisuint32
        137   88 00008CD0 ASN1objectidentifier2_cmp
        138   89 00008D40 ASN1objectidentifier_cmp
        139   8A 000057B0 ASN1objectidentifier_free
        140   8B 00008DA0 ASN1octetstring_cmp
        141   8C 00005140 ASN1octetstring_free
        142   8D 00008DF0 ASN1open_cmp
        143   8E 00005140 ASN1open_free
        144   8F 000091F0 ASN1uint32_uoctets
        145   90 00008E30 ASN1utctime_cmp
        146   91 00005140 ASN1utf8string_free
        147   92 00008EB0 ASN1ztchar16string_cmp
        148   93 00005270 ASN1ztchar16string_free
        149   94 00008EF0 ASN1ztchar32string_cmp
        150   95 00005270 ASN1ztchar32string_free
        151   96 00008F40 ASN1ztcharstring_cmp
        152   97 00005270 ASN1ztcharstring_free

  Summary

        1000 .data
        1000 .pdata
        4000 .rdata
        1000 .reloc
        1000 .rsrc
        9000 .text
