Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\tapi32.dll

File Type: DLL

  Section contains the following exports for TAPI32.dll

    00000000 characteristics
    EEF0B81D time date stamp
        0.00 version
           1 ordinal base
         278 number of functions
         278 number of names

    ordinal hint RVA      name

        149   94 00009F00 lineNegotiateAPIVersion
        150   95 00009FD0 lineNegotiateExtVersion
        151   96 0000A3F0 lineOpen
        152   97 0000A230 lineOpenA
        153   98 0000A080 lineOpenW
        154   99 0000A7F0 linePark
        155   9A 0000A670 lineParkA
        156   9B 0000A540 lineParkW
        157   9C 0000AA00 linePickup
        158   9D 0000A920 linePickupA
        159   9E 0000A800 linePickupW
        160   9F 0000AC20 linePrepareAddToConference
        161   A0 0000AB10 linePrepareAddToConferenceA
        162   A1 0000AA10 linePrepareAddToConferenceW
        163   A2 0000AC30 lineProxyMessage
        164   A3 0000ACD0 lineProxyResponse
        165   A4 0000AF20 lineRedirect
        166   A5 0000AEA0 lineRedirectA
        167   A6 0000AE10 lineRedirectW
        168   A7 0000AF30 lineRegisterRequestRecipient
        169   A8 0000AFC0 lineReleaseUserUserInfo
        170   A9 0000B050 lineRemoveFromConference
        171   AA 0000B0E0 lineRemoveProvider
        172   AB 0000B110 lineSecureCall
        173   AC 0000B1A0 lineSendUserUserInfo
        174   AD 0000B240 lineSetAgentActivity
        175   AE 0000B2C0 lineSetAgentGroup
        176   AF 0000B360 lineSetAgentMeasurementPeriod
        177   B0 0000B3E0 lineSetAgentSessionState
        178   B1 0000B470 lineSetAgentState
        179   B2 0000B500 lineSetAgentStateEx
        180   B3 0000B6A0 lineSetAppPriority
        181   B4 0000B630 lineSetAppPriorityA
        182   B5 0000B590 lineSetAppPriorityW
        183   B6 0000B6B0 lineSetAppSpecific
        184   B7 0000B740 lineSetCallData
        185   B8 0000B7E0 lineSetCallParams
        186   B9 0000B890 lineSetCallPrivilege
        187   BA 0000B920 lineSetCallQualityOfService
        188   BB 0000B9B0 lineSetCallTreatment
        189   BC 0001FD90 lineSetCurrentLocation
        190   BD 0000BB60 lineSetDevConfig
        191   BE 0000BAC0 lineSetDevConfigA
        192   BF 0000BA40 lineSetDevConfigW
        193   C0 0000BB70 lineSetLineDevStatus
        194   C1 0000BBF0 lineSetMediaControl
        195   C2 0000BD30 lineSetMediaMode
        196   C3 0000BDC0 lineSetNumRings
        197   C4 0000BE40 lineSetQueueMeasurementPeriod
        198   C5 0000BEC0 lineSetStatusMessages
        199   C6 0000BF40 lineSetTerminal
        200   C7 0001FEE0 lineSetTollList
        201   C8 0001FEF0 lineSetTollListA
        202   C9 0001FFD0 lineSetTollListW
        203   CA 0000C390 lineSetupConference
        204   CB 0000C220 lineSetupConferenceA
        205   CC 0000C0B0 lineSetupConferenceW
        206   CD 0000C5B0 lineSetupTransfer
        207   CE 0000C4A0 lineSetupTransferA
        208   CF 0000C3A0 lineSetupTransferW
        209   D0 0000C5C0 lineShutdown
        210   D1 0000C5D0 lineSwapHold
        211   D2 0001F950 lineTranslateAddress
        212   D3 0001F830 lineTranslateAddressA
        213   D4 0001FA10 lineTranslateAddressW
        214   D5 0001F4E0 lineTranslateDialog
        215   D6 0001F3E0 lineTranslateDialogA
        216   D7 0001F4F0 lineTranslateDialogW
        217   D8 0000C660 lineUncompleteCall
        218   D9 0000C6F0 lineUnhold
        219   DA 0000C920 lineUnpark
        220   DB 0000C880 lineUnparkA
        221   DC 0000C780 lineUnparkW
        222   DD 0000C930 phoneClose
        223   DE 0000CB40 phoneConfigDialog
        224   DF 0000CAC0 phoneConfigDialogA
        225   E0 0000C9D0 phoneConfigDialogW
        226   E1 0000CC10 phoneDevSpecific
        227   E2 0000CDD0 phoneGetButtonInfo
        228   E3 0000CD90 phoneGetButtonInfoA
        229   E4 0000CD10 phoneGetButtonInfoW
        230   E5 0000CDE0 phoneGetData
        231   E6 0000CFA0 phoneGetDevCaps
        232   E7 0000CF10 phoneGetDevCapsA
        233   E8 0000CE60 phoneGetDevCapsW
        234   E9 0000CFB0 phoneGetDisplay
        235   EA 0000D040 phoneGetGain
        236   EB 0000D0C0 phoneGetHookSwitch
        237   EC 0000D6A0 phoneGetID
        238   ED 0000D600 phoneGetIDA
        239   EE 0000D2A0 phoneGetIDW
        240   EF 0000D290 phoneGetIcon
        241   F0 0000D210 phoneGetIconA
        242   F1 0000D150 phoneGetIconW
        243   F2 0000D6B0 phoneGetLamp
        244   F3 0000D730 phoneGetMessage
        245   F4 0000D750 phoneGetRing
        246   F5 0000D8B0 phoneGetStatus
        247   F6 0000D870 phoneGetStatusA
        248   F7 0000D8C0 phoneGetStatusMessages
        249   F8 0000D7E0 phoneGetStatusW
        250   F9 0000D960 phoneGetVolume
        251   FA 0000D9E0 phoneInitialize
        252   FB 0000DB40 phoneInitializeExA
        253   FC 0000DA90 phoneInitializeExW
        254   FD 0000DC00 phoneNegotiateAPIVersion
        255   FE 0000DCD0 phoneNegotiateExtVersion
        256   FF 0000DD80 phoneOpen
        257  100 0000E080 phoneSetButtonInfo
        258  101 0000DF00 phoneSetButtonInfoA
        259  102 0000DE80 phoneSetButtonInfoW
        260  103 0000E090 phoneSetData
        261  104 0000E110 phoneSetDisplay
        262  105 0000E1A0 phoneSetGain
