Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\opengl32.dll

File Type: DLL

  Section contains the following exports for OPENGL32.dll

    00000000 characteristics
    9747484E time date stamp
        0.00 version
           1 ordinal base
         368 number of functions
         368 number of names

    ordinal hint RVA      name

        161   A0 0002D800 glLightiv
        162   A1 0002D9F0 glLineStipple
        163   A2 0002DA50 glLineWidth
        164   A3 0002B6B0 glListBase
        165   A4 00030930 glLoadIdentity
        166   A5 00030970 glLoadMatrixd
        167   A6 00030950 glLoadMatrixf
        168   A7 0002E610 glLoadName
        169   A8 0002F520 glLogicOp
        170   A9 0002ED50 glMap1d
        171   AA 0002EDE0 glMap1f
        172   AB 0002EE70 glMap2d
        173   AC 0002EF40 glMap2f
        174   AD 0002F010 glMapGrid1d
        175   AE 0002F080 glMapGrid1f
        176   AF 0002F0F0 glMapGrid2d
        177   B0 0002F190 glMapGrid2f
        178   B1 0002DAB0 glMaterialf
        179   B2 0002DAD0 glMaterialfv
        180   B3 0002DAF0 glMateriali
        181   B4 0002DB10 glMaterialiv
        182   B5 00030990 glMatrixMode
        183   B6 000309D0 glMultMatrixd
        184   B7 000309B0 glMultMatrixf
        185   B8 0002B500 glNewList
        186   B9 0002BDB0 glNormal3b
        187   BA 0002BDD0 glNormal3bv
        188   BB 0002BDF0 glNormal3d
        189   BC 0002BE10 glNormal3dv
        190   BD 0002BE30 glNormal3f
        191   BE 0002BE50 glNormal3fv
        192   BF 0002BE70 glNormal3i
        193   C0 0002BE90 glNormal3iv
        194   C1 0002BEB0 glNormal3s
        195   C2 0002BED0 glNormal3sv
        196   C3 000313B0 glNormalPointer
        197   C4 000309F0 glOrtho
        198   C5 0002E660 glPassThrough
        199   C6 0002F890 glPixelMapfv
        200   C7 0002F900 glPixelMapuiv
        201   C8 0002F970 glPixelMapusv
        202   C9 0002F7D0 glPixelStoref
        203   CA 0002F830 glPixelStorei
        204   CB 0002F710 glPixelTransferf
        205   CC 0002F770 glPixelTransferi
        206   CD 0002F6A0 glPixelZoom
        207   CE 0002DB30 glPointSize
        208   CF 0002DB90 glPolygonMode
        209   D0 000313D0 glPolygonOffset
        210   D1 0002DBF0 glPolygonStipple
        211   D2 0002ED10 glPopAttrib
        212   D3 00031470 glPopClientAttrib
        213   D4 00030AA0 glPopMatrix
        214   D5 0002E6C0 glPopName
        215   D6 00031070 glPrioritizeTextures
        216   D7 0002ED30 glPushAttrib
        217   D8 00031490 glPushClientAttrib
        218   D9 00030AC0 glPushMatrix
        219   DA 0002E720 glPushName
        220   DB 0002BEF0 glRasterPos2d
        221   DC 0002BF60 glRasterPos2dv
        222   DD 0002BFB0 glRasterPos2f
        223   DE 0002C020 glRasterPos2fv
        224   DF 0002C070 glRasterPos2i
        225   E0 0002C0D0 glRasterPos2iv
        226   E1 0002C120 glRasterPos2s
        227   E2 0002C180 glRasterPos2sv
        228   E3 0002C1D0 glRasterPos3d
        229   E4 0002C250 glRasterPos3dv
        230   E5 0002C2A0 glRasterPos3f
        231   E6 0002C320 glRasterPos3fv
        232   E7 0002C370 glRasterPos3i
        233   E8 0002C3E0 glRasterPos3iv
        234   E9 0002C430 glRasterPos3s
        235   EA 0002C4A0 glRasterPos3sv
        236   EB 0002C4F0 glRasterPos4d
        237   EC 0002C580 glRasterPos4dv
        238   ED 0002C5D0 glRasterPos4f
        239   EE 0002C660 glRasterPos4fv
        240   EF 0002C6B0 glRasterPos4i
        241   F0 0002C730 glRasterPos4iv
        242   F1 0002C780 glRasterPos4s
        243   F2 0002C800 glRasterPos4sv
        244   F3 0002F9E0 glReadBuffer
        245   F4 0002FAB0 glReadPixels
        246   F5 0002C850 glRectd
        247   F6 0002C8E0 glRectdv
        248   F7 0002C940 glRectf
        249   F8 0002C9D0 glRectfv
        250   F9 0002CA30 glRecti
        251   FA 0002CAB0 glRectiv
        252   FB 0002CB10 glRects
        253   FC 0002CB90 glRectsv
        254   FD 0002E560 glRenderMode
        255   FE 00030AE0 glRotated
        256   FF 00030B10 glRotatef
        257  100 00030B40 glScaled
        258  101 00030B60 glScalef
        259  102 0002DC40 glScissor
        260  103 0002E500 glSelectBuffer
        261  104 0002DCC0 glShadeModel
        262  105 0002F570 glStencilFunc
        263  106 0002EA40 glStencilMask
        264  107 0002F5E0 glStencilOp
        265  108 0002CBF0 glTexCoord1d
        266  109 0002CC10 glTexCoord1dv
        267  10A 0002CC30 glTexCoord1f
        268  10B 0002CC50 glTexCoord1fv
        269  10C 0002CC70 glTexCoord1i
        270  10D 0002CC90 glTexCoord1iv
        271  10E 0002CCB0 glTexCoord1s
        272  10F 0002CCD0 glTexCoord1sv
        273  110 0002CCF0 glTexCoord2d
        274  111 0002CD10 glTexCoord2dv
        275  112 0002CD30 glTexCoord2f
        276  113 0002CD50 glTexCoord2fv
        277  114 0002CD70 glTexCoord2i
        278  115 0002CD90 glTexCoord2iv
        279  116 0002CDB0 glTexCoord2s
        280  117 0002CDD0 glTexCoord2sv
        281  118 0002CDF0 glTexCoord3d
        282  119 0002CE10 glTexCoord3dv
        283  11A 0002CE30 glTexCoord3f
        284  11B 0002CE50 glTexCoord3fv
        285  11C 0002CE70 glTexCoord3i
        286  11D 0002CE90 glTexCoord3iv
        287  11E 0002CEB0 glTexCoord3s
        288  11F 0002CED0 glTexCoord3sv
        289  120 0002CEF0 glTexCoord4d
        290  121 0002CF20 glTexCoord4dv
        291  122 0002CF40 glTexCoord4f
        292  123 0002CF70 glTexCoord4fv
        293  124 0002CF90 glTexCoord4i
        294  125 0002CFC0 glTexCoord4iv
        295  126 0002CFE0 glTexCoord4s
        296  127 0002D010 glTexCoord4sv
        297  128 000313F0 glTexCoordPointer
        298  129 0002E030 glTexEnvf
        299  12A 0002E0A0 glTexEnvfv
        300  12B 0002E110 glTexEnvi
        301  12C 0002E180 glTexEnviv
        302  12D 0002E1F0 glTexGend
        303  12E 0002E260 glTexGendv
        304  12F 0002E2D0 glTexGenf
        305  130 0002E340 glTexGenfv
        306  131 0002E3B0 glTexGeni
        307  132 0002E420 glTexGeniv
        308  133 0002DED0 glTexImage1D
        309  134 0002DF80 glTexImage2D
        310  135 0002DD10 glTexParameterf
        311  136 0002DD80 glTexParameterfv
        312  137 0002DDF0 glTexParameteri
        313  138 0002DE60 glTexParameteriv
        314  139 000310E0 glTexSubImage1D
        315  13A 00031180 glTexSubImage2D
        316  13B 00030B80 glTranslated
        317  13C 00030BA0 glTranslatef
        318  13D 0002D030 glVertex2d
        319  13E 0002D050 glVertex2dv
        320  13F 0002D070 glVertex2f
        321  140 0002D090 glVertex2fv
        322  141 0002D0B0 glVertex2i
