Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\BdeHdCfgLib.dll

File Type: DLL

  Section contains the following exports for BDEHDCFGLIB.dll

    00000000 characteristics
    78234AC4 time date stamp
        0.00 version
           1 ordinal base
         114 number of functions
         114 number of names

    ordinal hint RVA      name

        103   41 0000EC70 ?Thread_Initialize@CDriveConfiguration@@AEAAJXZ
        104   42 0000C7E0 ?Unload@CBdeCfgLibraryLoader@@QEAAXXZ
         24   43 000082F0 BdeCfgCalculateSizeRequirements
         25   44 00003950 BdeCfgCanCreateActivePartOnDisk
         26   45 00005090 BdeCfgCheckAndGetBootVolume
         27   46 00005BC0 BdeCfgCheckGPTRecoveryPartition
         28   47 00004880 BdeCfgCheckVolumeAsCandidate
         29   48 00007AC0 BdeCfgCleanupOldBootFiles
         30   49 00005410 BdeCfgCountGPTPartitions
         31   4A 00005550 BdeCfgCreateWinREPartitionGPT
         32   4B 00006290 BdeCfgDetectWinRESize
         33   4C 00007240 BdeCfgDetectWinREVolumeName
         34   4D 00006260 BdeCfgDisableWinRE
         35   4E 000025A0 BdeCfgFindBasicVolumeExtent
         36   4F 00003BA0 BdeCfgFindCandidateVolumes
         37   50 00005D60 BdeCfgFindGPTRecoveryPartitionCandidate
         38   51 00003820 BdeCfgFindLargestUnallocatedExtent
         39   52 00005990 BdeCfgFindRecoveryPartitionGPT
         40   53 00002330 BdeCfgFindVolumeWithName
         41   54 00002350 BdeCfgFindVolumeWithProp
         42   55 00005160 BdeCfgGetBootVolume
         43   56 00001E00 BdeCfgGetDeviceNameFromVolume
         44   57 00002370 BdeCfgGetMaxShrinkSize
         45   58 00003140 BdeCfgGetNtfsVolumeSize
         46   59 00001560 BdeCfgGetVolumeDisk
         47   5A 000069E0 BdeCfgGetVolumeDriveLetter
         48   5B 000014C0 BdeCfgGetVolumeFromId
         49   5C 00001350 BdeCfgInitialize
         50   5D 00005770 BdeCfgIsDiskConfiguredForBitLocker
         51   5E 00006170 BdeCfgIsElevated
         52   5F 00005840 BdeCfgIsWinREOnOSVolume
         53   60 00008680 BdeCfgLoadErrorString
         54   61 00008810 BdeCfgLoadResourceString
        105   62 0000CF80 BdeCfgLogCandidateDrive
        106   63 0000DB10 BdeCfgLogClose
        107   64 0000D2B0 BdeCfgLogCommandLineParams
        108   65 0000D8A0 BdeCfgLogDetectedWinRE
        109   66 0000DAA0 BdeCfgLogEnumExtent
        110   67 0000C960 BdeCfgLogError
        111   68 0000CD40 BdeCfgLogFailedTarget
        112   69 0000D270 BdeCfgLogFoundUnallocatedExtent
        113   6A 0000DAD0 BdeCfgLogInit
        114   6B 0000CB80 BdeCfgLogWarning
         55   6C 00007C90 BdeCfgMigrateBootHive
         56   6D 000053B0 BdeCfgMoveWinRE
         57   6E 00006100 BdeCfgRestart
         58   6F 00002EF0 BdeCfgSecureFormatPartition
         59   70 00002400 BdeCfgShrinkSimpleVolume
         60   71 00001480 BdeCfgUninitialize

  Summary

        1000 .data
        1000 .pdata
        6000 .rdata
        1000 .reloc
        3000 .rsrc
       11000 .text
