Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\Tabbtn.dll

File Type: DLL

  Section contains the following exports for TabBtn.dll

    00000000 characteristics
    27A831F5 time date stamp
        0.00 version
           1 ordinal base
         225 number of functions
         225 number of names

    ordinal hint RVA      name

         54   35 00004220 ??A?$CSimpleArray@PEAVCButtonAction@@V?$CSimpleArrayEqualHelper@PEAVCButtonAction@@@ATL@@@ATL@@QEAAAEAPEAVCButtonAction@@H@Z
         55   36 00004220 ??A?$CSimpleArray@PEAVCButtonAction@@V?$CSimpleArrayEqualHelper@PEAVCButtonAction@@@ATL@@@ATL@@QEBAAEBQEAVCButtonAction@@H@Z
         56   37 00004220 ??A?$CSimpleArray@PEAVCButtonSetting@@V?$CSimpleArrayEqualHelper@PEAVCButtonSetting@@@ATL@@@ATL@@QEAAAEAPEAVCButtonSetting@@H@Z
         57   38 00004220 ??A?$CSimpleArray@PEAVCButtonSetting@@V?$CSimpleArrayEqualHelper@PEAVCButtonSetting@@@ATL@@@ATL@@QEBAAEBQEAVCButtonSetting@@H@Z
         58   39 00004220 ??A?$CSimpleArray@PEAVCOrientation@@V?$CSimpleArrayEqualHelper@PEAVCOrientation@@@ATL@@@ATL@@QEAAAEAPEAVCOrientation@@H@Z
         59   3A 00004220 ??A?$CSimpleArray@PEAVCOrientation@@V?$CSimpleArrayEqualHelper@PEAVCOrientation@@@ATL@@@ATL@@QEBAAEBQEAVCOrientation@@H@Z
         60   3B 00004250 ?Add@?$CSimpleArray@PEAUACTION@@V?$CSimpleArrayEqualHelper@PEAUACTION@@@ATL@@@ATL@@QEAAHAEBQEAUACTION@@@Z
         61   3C 00004250 ?Add@?$CSimpleArray@PEAVCButtonAction@@V?$CSimpleArrayEqualHelper@PEAVCButtonAction@@@ATL@@@ATL@@QEAAHAEBQEAVCButtonAction@@@Z
         62   3D 00004250 ?Add@?$CSimpleArray@PEAVCButtonSetting@@V?$CSimpleArrayEqualHelper@PEAVCButtonSetting@@@ATL@@@ATL@@QEAAHAEBQEAVCButtonSetting@@@Z
         63   3E 00004250 ?Add@?$CSimpleArray@PEAVCOrientation@@V?$CSimpleArrayEqualHelper@PEAVCOrientation@@@ATL@@@ATL@@QEAAHAEBQEAVCOrientation@@@Z
         64   3F 000042F0 ?Add@?$CSimpleMap@KPEAVCButtonImages@@V?$CSimpleMapEqualHelper@KPEAVCButtonImages@@@ATL@@@ATL@@QEAAHAEBKAEBQEAVCButtonImages@@@Z
         65   40 00008F00 ?CanRepeat@CButtonAction@@QEBAHXZ
         66   41 00008F60 ?Clone@CButtonAction@@QEBAJPEAPEAV1@@Z
         67   42 00001460 ?CreateExtendedActionObject@CButtonMonitor@@SAJPEAPEAUIUnknown@@@Z
         68   43 0000D030 ?CreateTrayWindow@CFunctionNotification@@AEAAJXZ
         69   44 00007EC0 ?DispatchHidBtnEvents@CHidButton@@QEAAJPEAUHRAWINPUT__@@@Z
         70   45 000043D0 ?DoBuiltInAction@CButtonMonitor@@AEAAJPEAVCButtonAction@@HH@Z
         71   46 00004650 ?DoButtonAction@CButtonMonitor@@AEAAJPEAVCButtonAction@@KHH@Z
         72   47 000048E0 ?ExecuteObject@CButtonMonitor@@AEAAJPEBG0@Z
         73   48 00004960 ?Find@?$CSimpleArray@PEAUACTION@@V?$CSimpleArrayEqualHelper@PEAUACTION@@@ATL@@@ATL@@QEBAHAEBQEAUACTION@@@Z
         74   49 00004960 ?Find@?$CSimpleArray@PEAVCButtonAction@@V?$CSimpleArrayEqualHelper@PEAVCButtonAction@@@ATL@@@ATL@@QEBAHAEBQEAVCButtonAction@@@Z
         75   4A 00004960 ?Find@?$CSimpleArray@PEAVCButtonSetting@@V?$CSimpleArrayEqualHelper@PEAVCButtonSetting@@@ATL@@@ATL@@QEBAHAEBQEAVCButtonSetting@@@Z
         76   4B 00004960 ?Find@?$CSimpleArray@PEAVCOrientation@@V?$CSimpleArrayEqualHelper@PEAVCOrientation@@@ATL@@@ATL@@QEBAHAEBQEAVCOrientation@@@Z
         77   4C 000090D0 ?FindActionById@CActions@@QEAAPEAUACTION@@K@Z
         78   4D 00008260 ?FindDeviceByHandle@CHidButton@@QEAAPEAU_hidbtndev@@PEAX@Z
         79   4E 00004990 ?FindKey@?$CSimpleMap@KPEAVCButtonImages@@V?$CSimpleMapEqualHelper@KPEAVCButtonImages@@@ATL@@@ATL@@QEBAHAEBK@Z
         80   4F 000082D0 ?FindUsage@CHidButton@@AEAAHPEAU_USAGE_AND_PAGE@@KGG@Z
         81   50 000049C0 ?FindVal@?$CSimpleMap@KPEAVCButtonImages@@V?$CSimpleMapEqualHelper@KPEAVCButtonImages@@@ATL@@@ATL@@QEBAHAEBQEAVCButtonImages@@@Z
         82   51 00009190 ?FreeData@CButtonAction@@QEAAXXZ
         83   52 00009240 ?GetActionAt@CActions@@QEAAPEAUACTION@@H@Z
         84   53 000092B0 ?GetActionFromOrientation@CButtonSetting@@QEAAJKPEAPEAVCButtonAction@@00@Z
         85   54 00009460 ?GetAllowedActions@CButtonSetting@@QEAAPEBGXZ
         86   55 000094A0 ?GetButtonActionType@CButtonAction@@QEBA?BW4BUTTONACTION_TYPE@@XZ
         87   56 00004A00 ?GetButtonConfig@CButtonMonitor@@QEAAPEAVCButtonConfig@@XZ
         88   57 000094E0 ?GetButtonCount@CButtonSettings@@QEBAHXZ
         89   58 00009520 ?GetButtonFromId@CButtonSettings@@QEAAJKPEAPEAVCButtonSetting@@@Z
         90   59 000095E0 ?GetButtonIdFromIndex@CButtonSettings@@QEAAKK@Z
         91   5A 00009610 ?GetButtonIds@CButtonSettings@@QEBAJPEAKH@Z
         92   5B 000096C0 ?GetButtonName@CButtonSetting@@QEAAPEBGXZ
         93   5C 000097A0 ?GetButtonName@CButtonSettings@@QEBAPEBGH@Z
         94   5D 00009810 ?GetCount@CActions@@QEAAHXZ
         95   5E 00009850 ?GetCurrentDisplayOrientation@CButtonConfig@@QEAAKXZ
         96   5F 00004A10 ?GetData@?$CSimpleArray@PEAUACTION@@V?$CSimpleArrayEqualHelper@PEAUACTION@@@ATL@@@ATL@@QEBAPEAPEAUACTION@@XZ
