Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\kernel.appcore.dll

File Type: DLL

  Section contains the following exports for AppCore.dll

    00000000 characteristics
    BE88784D time date stamp
        0.00 version
           1 ordinal base
         221 number of functions
         221 number of names

    ordinal hint RVA      name

        131   81 00003360 GetSystemMetadataPathForPackageFamily
        132   82 00003370 GetSystemStateRootFolder
        133   83 00003380 GetTargetPlatformContext
        134   84 00003390 IncrementPackageStatusVersion
        135   85 000033A0 InvalidateAppModelVersionCache
        136   86 000033B0 IsDeveloperModeEnabled
        137   87 000033C0 IsDeveloperModePolicyApplied
        138   88 000033D0 IsOnDemandRegistrationSupportedForExtensionCategory
        139   89 000033E0 IsSideloadingEnabled
        140   8A 000033F0 IsSideloadingPolicyApplied
        141   8B 00003400 OpenPackageInfoByFullName
        142   8C 00003410 OpenPackageInfoByFullNameForUser
        143   8D 00003420 OpenState
        144   8E 00003430 OpenStateAtom
        145   8F 00003440 OpenStateExplicit
        146   90 00003450 OpenStateExplicitForUserSid
        147   91 00003460 OpenStateExplicitForUserSidString
        148   92 00003470 OverrideRoamingDataModificationTimesInRange
        149   93 00003480 PackageFamilyNameFromFullName
        150   94 00003490 PackageFamilyNameFromFullNameA
        151   95 000034A0 PackageFamilyNameFromId
        152   96 000034B0 PackageFamilyNameFromIdA
        153   97 000034C0 PackageFamilyNameFromProductId
        154   98 000034D0 PackageFullNameFromId
        155   99 000034E0 PackageFullNameFromIdA
        156   9A 000034F0 PackageFullNameFromProductId
        157   9B 00003500 PackageIdFromFullName
        158   9C 00003510 PackageIdFromFullNameA
        159   9D 00003520 PackageIdFromProductId
        160   9E 00003530 PackageNameAndPublisherIdFromFamilyName
        161   9F 00003540 PackageNameAndPublisherIdFromFamilyNameA
        162   A0 00003550 PackageRelativeApplicationIdFromProductId
        163   A1 00003560 PackageSidFromFamilyName
          1   A2 00002B60 PackageSidFromProductId
        164   A3 00003570 ParseApplicationUserModelId
        165   A4 00003580 ParseApplicationUserModelIdA
        166   A5 00003590 ProductIdFromPackageFamilyName
