Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\oleaut32.dll

File Type: DLL

  Section contains the following exports for OLEAUT32.dll

    00000000 characteristics
    BCDE805B time date stamp
        0.00 version
           2 ordinal base
         501 number of functions
         425 number of names

    ordinal hint RVA      name

        289   81 0000CF60 VARIANT_UserUnmarshal
        381   82 00002470 VARIANT_UserUnmarshal64
        168   83 00050630 VarAbs
        141   84 00051450 VarAdd
        142   85 00053D10 VarAnd
        124   86 00057470 VarBoolFromCy
        123   87 00057490 VarBoolFromDate
        236   88 00061720 VarBoolFromDec
        126   89 000574A0 VarBoolFromDisp
        233   8A 000574F0 VarBoolFromI1
        119   8B 00057510 VarBoolFromI2
        120   8C 00057530 VarBoolFromI4
        370   8D 00057550 VarBoolFromI8
        121   8E 00057570 VarBoolFromR4
        122   8F 00057590 VarBoolFromR8
        125   90 000179B0 VarBoolFromStr
        118   91 000574F0 VarBoolFromUI1
        234   92 00057510 VarBoolFromUI2
        235   93 00057530 VarBoolFromUI4
        371   94 00057550 VarBoolFromUI8
        313   95 000051D0 VarBstrCat
        314   96 00014FA0 VarBstrCmp
        116   97 00019BD0 VarBstrFromBool
        113   98 000575B0 VarBstrFromCy
        114   99 000191D0 VarBstrFromDate
        232   9A 000013E0 VarBstrFromDec
        115   9B 00057970 VarBstrFromDisp
        229   9C 000579C0 VarBstrFromI1
        109   9D 000579D0 VarBstrFromI2
        110   9E 00016640 VarBstrFromI4
        368   9F 000030D0 VarBstrFromI8
        111   A0 00002CF0 VarBstrFromR4
        112   A1 00003670 VarBstrFromR8
        108   A2 00057A70 VarBstrFromUI1
        230   A3 00057A80 VarBstrFromUI2
        231   A4 00003720 VarBstrFromUI4
        369   A5 000035F0 VarBstrFromUI8
        318   A6 00051E40 VarCat
        176   A7 00016EB0 VarCmp
        306   A8 00054960 VarCyAbs
        299   A9 00054990 VarCyAdd
        311   AA 000549C0 VarCyCmp
        312   AB 000549E0 VarCyCmpR8
        307   AC 00054A40 VarCyFix
        106   AD 00065710 VarCyFromBool
