Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\wininet.dll

File Type: DLL

  Section contains the following exports for WININET.dll

    00000000 characteristics
    EF02D3F2 time date stamp
        0.00 version
         101 ordinal base
         326 number of functions
         298 number of names

    ordinal hint RVA      name

        246   80 000C97F0 HttpSendRequestExA
        247   81 000C3990 HttpSendRequestExW
        248   82 00035910 HttpSendRequestW
        249   83 0017D8F0 HttpWebSocketClose
        250   84 0017DED0 HttpWebSocketCompleteUpgrade
        251   85 0017DA60 HttpWebSocketQueryCloseStatus
        252   86 0017E3C0 HttpWebSocketReceive
        253   87 0017E970 HttpWebSocketSend
        254   88 0017EC50 HttpWebSocketShutdown
        255   89 000150B0 IncrementUrlCacheHeaderData
        256   8A 0018A0E0 InternetAlgIdToStringA
        257   8B 0018A2C0 InternetAlgIdToStringW
        258   8C 0013B0C0 InternetAttemptConnect
        259   8D 00140DA0 InternetAutodial
        260   8E 00137080 InternetAutodialCallback
        261   8F 00140E60 InternetAutodialHangup
        262   90 0013B120 InternetCanonicalizeUrlA
        263   91 000C4510 InternetCanonicalizeUrlW
        264   92 0013B240 InternetCheckConnectionA
        265   93 0013C760 InternetCheckConnectionW
        266   94 0016D510 InternetClearAllPerSiteCookieDecisions
        267   95 0005ECB0 InternetCloseHandle
        268   96 0013B730 InternetCombineUrlA
        269   97 00089920 InternetCombineUrlW
        270   98 0018B2F0 InternetConfirmZoneCrossing
        271   99 0018B2F0 InternetConfirmZoneCrossingA
        272   9A 0001B570 InternetConfirmZoneCrossingW
        273   9B 0013B860 InternetConnectA
        274   9C 000595E0 InternetConnectW
        275   9D 00018F00 InternetConvertUrlFromWireToWideChar
        276   9E 000B8830 InternetCrackUrlA
        277   9F 00067900 InternetCrackUrlW
        278   A0 0013BA50 InternetCreateUrlA
        279   A1 0005C950 InternetCreateUrlW
        280   A2 00140F10 InternetDial
        281   A3 00140F10 InternetDialA
        282   A4 00140FE0 InternetDialW
        283   A5 0016D520 InternetEnumPerSiteCookieDecisionA
        284   A6 0016D590 InternetEnumPerSiteCookieDecisionW
