Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\imagehlp.dll

File Type: DLL

  Section contains the following exports for imagehlp.dll

    00000000 characteristics
      E30045 time date stamp
        0.00 version
           1 ordinal base
         153 number of functions
         153 number of names

    ordinal hint RVA      name

        142   8D 00002A50 SymSrvGetFileIndexStringW
        143   8E 00002A70 SymSrvGetFileIndexes
        144   8F 00002A90 SymSrvGetFileIndexesW
        145   90 00002AB0 SymUnDName
        146   91 00002AB0 SymUnDName64
        147   92 00002AD0 SymUnloadModule
        148   93 00002AD0 SymUnloadModule64
        149   94 00007750 TouchFileTimes
        150   95 00002AF0 UnDecorateSymbolName
        151   96 00008790 UnMapAndLoad
        152   97 00009B60 UpdateDebugInfoFile
        153   98 00009B80 UpdateDebugInfoFileEx

  Summary

        2000 .data
        1000 .didat
        3000 .mrdata
        1000 .pdata
        8000 .rdata
        1000 .reloc
        1000 .rsrc
        B000 .text
