Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    3230AA04 time date stamp
        0.00 version
           8 ordinal base
        2364 number of functions
        2363 number of names

    ordinal hint RVA      name

        131   7A 000784B0 LdrGetDllHandleByName
        132   7B 000459C0 LdrGetDllHandleEx
        133   7C 0004E260 LdrGetDllPath
        134   7D 000D0340 LdrGetFailureData
        135   7E 000E21A0 LdrGetFileNameFromLoadAsDataTable
        136   7F 000876A0 LdrGetKnownDllSectionHandle
        137   80 00082700 LdrGetProcedureAddress
        138   81 0007FA40 LdrGetProcedureAddressEx
        139   82 000093D0 LdrGetProcedureAddressForCaller
        140   83 000D2A60 LdrInitShimEngineDynamic
        141   84 000CF230 LdrInitializeEnclave
        142   85 00075660 LdrInitializeThunk
        143   86 000D0350 LdrIsModuleSxsRedirected
        144   87 0007FB20 LdrLoadAlternateResourceModule
        145   88 000325D0 LdrLoadAlternateResourceModuleEx
        146   89 000457D0 LdrLoadDll
        147   8A 000CF3C0 LdrLoadEnclaveModule
        148   8B 0007EB60 LdrLockLoaderLock
        149   8C 000E2B00 LdrOpenImageFileOptionsKey
        150   8D 00083BE0 LdrProcessInitializationComplete
        151   8E 000E4900 LdrProcessRelocationBlock
        152   8F 000E4930 LdrProcessRelocationBlockEx
        153   90 0007C4E0 LdrQueryImageFileExecutionOptions
        154   91 0007C520 LdrQueryImageFileExecutionOptionsEx
        155   92 0007C5C0 LdrQueryImageFileKeyOption
        156   93 000D0490 LdrQueryModuleServiceTags
        157   94 000D0C80 LdrQueryOptionalDelayLoadedAPI
        158   95 00002A20 LdrQueryProcessModuleInformation
        159   96 00087790 LdrRegisterDllNotification
        160   97 0008F480 LdrRemoveDllDirectory
        161   98 0002ED10 LdrRemoveLoadAsDataTable
        162   99 000E4E00 LdrResFindResource
        163   9A 00029BF0 LdrResFindResourceDirectory
        164   9B 0002C3E0 LdrResGetRCConfig
        165   9C 0008F060 LdrResRelease
        166   9D 00029C80 LdrResSearchResource
        167   9E 00037260 LdrResolveDelayLoadedAPI
        168   9F 000D0D40 LdrResolveDelayLoadsFromDll
        169   A0 00034140 LdrRscIsTypeExist
        170   A1 00002A50 LdrSetAppCompatDllRedirectionCallback
        171   A2 00082C70 LdrSetDefaultDllDirectories
        172   A3 00082CB0 LdrSetDllDirectory
        173   A4 00086670 LdrSetDllManifestProber
        174   A5 000D0930 LdrSetImplicitPathOptions
        175   A6 0008EDD0 LdrSetMUICacheType
        176   A7 00043490 LdrShutdownProcess
        177   A8 00046470 LdrShutdownThread
        178   A9 00083BD0 LdrStandardizeSystemPath
        179   AA 001782D0 LdrSystemDllInitBlock
        180   AB 00056BB0 LdrUnloadAlternateResourceModule
        181   AC 00056BC0 LdrUnloadAlternateResourceModuleEx
        182   AD 00037AB0 LdrUnloadDll
        183   AE 000804C0 LdrUnlockLoaderLock
        184   AF 000D09A0 LdrUnregisterDllNotification
        185   B0 000DFF70 LdrUpdatePackageSearchPath
        186   B1 000D0A50 LdrVerifyImageMatchesChecksum
        187   B2 0008C120 LdrVerifyImageMatchesChecksumEx
        188   B3 0002BCC0 LdrpResGetMappingSize
        189   B4 0002A700 LdrpResGetResourceDirectory
        190   B5 0010DDC0 MD4Final
        191   B6 0010DE90 MD4Init
        192   B7 0010E450 MD4Update
        193   B8 00063BF0 MD5Final
        194   B9 0007EE40 MD5Init
        195   BA 00063CC0 MD5Update
        196   BB 00164280 NlsAnsiCodePage
        197   BC 00164049 NlsMbCodePageTag
        198   BD 001642B0 NlsMbOemCodePageTag
        199   BE 0009F790 NtAcceptConnectPort
        200   BF 0009F750 NtAccessCheck
        201   C0 0009FC70 NtAccessCheckAndAuditAlarm
        202   C1 000A03A0 NtAccessCheckByType
        203   C2 000A0270 NtAccessCheckByTypeAndAuditAlarm
        204   C3 000A03C0 NtAccessCheckByTypeResultList
        205   C4 000A03E0 NtAccessCheckByTypeResultListAndAuditAlarm
        206   C5 000A0400 NtAccessCheckByTypeResultListAndAuditAlarmByHandle
        207   C6 000A0420 NtAcquireProcessActivityReference
        208   C7 000A0030 NtAddAtom
        209   C8 000A0440 NtAddAtomEx
        210   C9 000A0460 NtAddBootEntry
        211   CA 000A0480 NtAddDriverEntry
        212   CB 000A04A0 NtAdjustGroupsToken
        213   CC 0009FF70 NtAdjustPrivilegesToken
        214   CD 000A04C0 NtAdjustTokenClaimsAndDeviceGroups
        215   CE 000A04E0 NtAlertResumeThread
        216   CF 000A0500 NtAlertThread
        217   D0 000A0520 NtAlertThreadByThreadId
        218   D1 000A0540 NtAllocateLocallyUniqueId
        219   D2 000A0560 NtAllocateReserveObject
        220   D3 000A0580 NtAllocateUserPhysicalPages
        221   D4 000A05A0 NtAllocateUuids
        222   D5 0009FA50 NtAllocateVirtualMemory
        223   D6 000A05C0 NtAllocateVirtualMemoryEx
        224   D7 000A05E0 NtAlpcAcceptConnectPort
        225   D8 000A0600 NtAlpcCancelMessage
        226   D9 000A0620 NtAlpcConnectPort
        227   DA 000A0640 NtAlpcConnectPortEx
        228   DB 000A0660 NtAlpcCreatePort
        229   DC 000A0680 NtAlpcCreatePortSection
        230   DD 000A06A0 NtAlpcCreateResourceReserve
        231   DE 000A06C0 NtAlpcCreateSectionView
        232   DF 000A06E0 NtAlpcCreateSecurityContext
        233   E0 000A0700 NtAlpcDeletePortSection
        234   E1 000A0720 NtAlpcDeleteResourceReserve
        235   E2 000A0740 NtAlpcDeleteSectionView
        236   E3 000A0760 NtAlpcDeleteSecurityContext
        237   E4 000A0780 NtAlpcDisconnectPort
        238   E5 000A07A0 NtAlpcImpersonateClientContainerOfPort
        239   E6 000A07C0 NtAlpcImpersonateClientOfPort
        240   E7 000A07E0 NtAlpcOpenSenderProcess
        241   E8 000A0800 NtAlpcOpenSenderThread
        242   E9 000A0820 NtAlpcQueryInformation
        243   EA 000A0840 NtAlpcQueryInformationMessage
        244   EB 000A0860 NtAlpcRevokeSecurityContext
        245   EC 000A0880 NtAlpcSendWaitReceivePort
