Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    3230AA04 time date stamp
        0.00 version
           8 ordinal base
        2364 number of functions
        2363 number of names

    ordinal hint RVA      name

        533  20C 000A2440 NtReleaseWorkerFactoryWorker
        534  20D 0009F870 NtRemoveIoCompletion
        535  20E 000A2460 NtRemoveIoCompletionEx
        536  20F 000A2480 NtRemoveProcessDebug
        537  210 000A24A0 NtRenameKey
        538  211 000A24C0 NtRenameTransactionManager
        539  212 000A24E0 NtReplaceKey
        540  213 000A2500 NtReplacePartitionUnit
        541  214 0009F8D0 NtReplyPort
        542  215 0009F8B0 NtReplyWaitReceivePort
        543  216 0009FCB0 NtReplyWaitReceivePortEx
        544  217 000A2520 NtReplyWaitReplyPort
        545  218 000A2540 NtRequestPort
        546  219 0009FB90 NtRequestWaitReplyPort
        547  21A 000A2560 NtResetEvent
        548  21B 000A2580 NtResetWriteWatch
        549  21C 000A25A0 NtRestoreKey
        550  21D 000A25C0 NtResumeProcess
        551  21E 000A0190 NtResumeThread
        552  21F 000A25E0 NtRevertContainerImpersonation
        553  220 000A2600 NtRollbackComplete
        554  221 000A2620 NtRollbackEnlistment
        555  222 000A2640 NtRollbackRegistryTransaction
        556  223 000A2660 NtRollbackTransaction
        557  224 000A2680 NtRollforwardTransactionManager
        558  225 000A26A0 NtSaveKey
        559  226 000A26C0 NtSaveKeyEx
        560  227 000A26E0 NtSaveMergedKeys
        561  228 000A2700 NtSecureConnectPort
        562  229 000A2720 NtSerializeBoot
        563  22A 000A2740 NtSetBootEntryOrder
        564  22B 000A2760 NtSetBootOptions
        565  22C 000A2780 NtSetCachedSigningLevel
        566  22D 000A27A0 NtSetCachedSigningLevel2
        567  22E 000A27C0 NtSetContextThread
        568  22F 000A27E0 NtSetDebugFilterState
        569  230 000A2800 NtSetDefaultHardErrorPort
        570  231 000A2820 NtSetDefaultLocale
        571  232 000A2840 NtSetDefaultUILanguage
        572  233 000A2860 NtSetDriverEntryOrder
        573  234 000A2880 NtSetEaFile
        574  235 0009F910 NtSetEvent
        575  236 0009FCF0 NtSetEventBoostPriority
        576  237 000A28A0 NtSetHighEventPair
        577  238 000A28C0 NtSetHighWaitLowEventPair
        578  239 000A28E0 NtSetIRTimer
        579  23A 000A2900 NtSetInformationDebugObject
        580  23B 000A2920 NtSetInformationEnlistment
        581  23C 0009FC30 NtSetInformationFile
        582  23D 000A2940 NtSetInformationJobObject
        583  23E 000A2960 NtSetInformationKey
        584  23F 000A02C0 NtSetInformationObject
        585  240 0009FAD0 NtSetInformationProcess
        586  241 000A2980 NtSetInformationResourceManager
        587  242 000A29A0 NtSetInformationSymbolicLink
        588  243 0009F8F0 NtSetInformationThread
        589  244 000A29C0 NtSetInformationToken
        590  245 000A29E0 NtSetInformationTransaction
        591  246 000A2A00 NtSetInformationTransactionManager
        592  247 000A2A20 NtSetInformationVirtualMemory
        593  248 000A2A40 NtSetInformationWorkerFactory
        594  249 000A2A60 NtSetIntervalProfile
        595  24A 000A2A80 NtSetIoCompletion
        596  24B 000A2AA0 NtSetIoCompletionEx
        597  24C 000A2AC0 NtSetLdtEntries
        598  24D 000A2AE0 NtSetLowEventPair
        599  24E 000A2B00 NtSetLowWaitHighEventPair
        600  24F 000A2B20 NtSetQuotaInformationFile
        601  250 000A2B40 NtSetSecurityObject
        602  251 000A2B60 NtSetSystemEnvironmentValue
        603  252 000A2B80 NtSetSystemEnvironmentValueEx
        604  253 000A2BA0 NtSetSystemInformation
        605  254 000A2BC0 NtSetSystemPowerState
        606  255 000A2BE0 NtSetSystemTime
        607  256 000A2C00 NtSetThreadExecutionState
        608  257 000A0380 NtSetTimer
        609  258 000A2C20 NtSetTimer2
        610  259 000A2C40 NtSetTimerEx
        611  25A 000A2C60 NtSetTimerResolution
        612  25B 000A2C80 NtSetUuidSeed
        613  25C 000A0340 NtSetValueKey
        614  25D 000A2CA0 NtSetVolumeInformationFile
        615  25E 000A2CC0 NtSetWnfProcessNotificationEvent
        616  25F 000A2CE0 NtShutdownSystem
        617  260 000A2D00 NtShutdownWorkerFactory
        618  261 000A2D20 NtSignalAndWaitForSingleObject
        619  262 000A2D40 NtSinglePhaseReject
        620  263 000A2D60 NtStartProfile
        621  264 000A2D80 NtStopProfile
        622  265 000A2DA0 NtSubscribeWnfStateChange
        623  266 000A2DC0 NtSuspendProcess
        624  267 000A2DE0 NtSuspendThread
        625  268 000A2E00 NtSystemDebugControl
        626  269 000A2E20 NtTerminateEnclave
        627  26A 000A2E40 NtTerminateJobObject
        628  26B 0009FCD0 NtTerminateProcess
        629  26C 000A01B0 NtTerminateThread
        630  26D 000A2E60 NtTestAlert
        631  26E 000A2E80 NtThawRegistry
        632  26F 000A2EA0 NtThawTransactions
        633  270 000A2EC0 NtTraceControl
        634  271 000A0300 NtTraceEvent
        635  272 000A2EE0 NtTranslateFilePath
        636  273 000A2F00 NtUmsThreadYield
        637  274 000A2F20 NtUnloadDriver
        638  275 000A2F40 NtUnloadKey
        639  276 000A2F60 NtUnloadKey2
        640  277 000A2F80 NtUnloadKeyEx
        641  278 000A2FA0 NtUnlockFile
        642  279 000A2FC0 NtUnlockVirtualMemory
        643  27A 0009FC90 NtUnmapViewOfSection
        644  27B 000A2FE0 NtUnmapViewOfSectionEx
        645  27C 000A3000 NtUnsubscribeWnfStateChange
        646  27D 000A3020 NtUpdateWnfStateData
        647  27E 000A3040 NtVdmControl
        648  27F 000A3060 NtWaitForAlertByThreadId
        649  280 000A3080 NtWaitForDebugEvent
        650  281 000A30A0 NtWaitForKeyedEvent
        651  282 000A02A0 NtWaitForMultipleObjects
        652  283 0009FA90 NtWaitForMultipleObjects32
        653  284 0009F7D0 NtWaitForSingleObject
        654  285 000A30C0 NtWaitForWorkViaWorkerFactory
        655  286 000A30E0 NtWaitHighEventPair
        656  287 000A3100 NtWaitLowEventPair
        657  288 0009F770 NtWorkerFactoryWorkerReady
        658  289 0009F850 NtWriteFile
        659  28A 0009FAB0 NtWriteFileGather
        660  28B 000A0230 NtWriteRequestData
        661  28C 0009FE90 NtWriteVirtualMemory
        662  28D 000A0010 NtYieldExecution
        663  28E 0009F420 NtdllDefWindowProc_A
        664  28F 0009F430 NtdllDefWindowProc_W
        665  290 0009F4E0 NtdllDialogWndProc_A
        666  291 0009F4F0 NtdllDialogWndProc_W
        667  292 000E6F70 PfxFindPrefix
        668  293 000E7050 PfxInitialize
        669  294 000E7070 PfxInsertPrefix
        670  295 000E7190 PfxRemovePrefix
        671  296 00111590 PssNtCaptureSnapshot
        672  297 00111A80 PssNtDuplicateSnapshot
        673  298 00111B00 PssNtFreeRemoteSnapshot
        674  299 00088E90 PssNtFreeSnapshot
        675  29A 00089F50 PssNtFreeWalkMarker
        676  29B 00088FA0 PssNtQuerySnapshot
        677  29C 00089210 PssNtValidateDescriptor
        678  29D 00089130 PssNtWalkSnapshot
        679  29E 00082130 RtlAbortRXact
        680  29F 0006FC60 RtlAbsoluteToSelfRelativeSD
        681  2A0 0007BEA0 RtlAcquirePebLock
        682  2A1 000790A0 RtlAcquirePrivilege
        683  2A2 00080BB0 RtlAcquireReleaseSRWLockExclusive
        684  2A3 00067B90 RtlAcquireResourceExclusive
        685  2A4 00067A50 RtlAcquireResourceShared
        686  2A5 00051900 RtlAcquireSRWLockExclusive
        687  2A6 00033FB0 RtlAcquireSRWLockShared
        688  2A7 00070E50 RtlActivateActivationContext
        689  2A8 00070EA0 RtlActivateActivationContextEx
        690  2A9 00046970 RtlActivateActivationContextUnsafeFast
        691  2AA 00037D10 RtlAddAccessAllowedAce
        692  2AB 0007BF50 RtlAddAccessAllowedAceEx
        693  2AC 0008AB00 RtlAddAccessAllowedObjectAce
        694  2AD 0008ECF0 RtlAddAccessDeniedAce
        695  2AE 00088A60 RtlAddAccessDeniedAceEx
        696  2AF 0008AA50 RtlAddAccessDeniedObjectAce
        697  2B0 000E9770 RtlAddAccessFilterAce
        698  2B1 00069A50 RtlAddAce
        699  2B2 0008B050 RtlAddActionToRXact
        700  2B3 00026950 RtlAddAtomToAtomTable
        701  2B4 000828F0 RtlAddAttributeActionToRXact
        702  2B5 0008E050 RtlAddAuditAccessAce
        703  2B6 00085E40 RtlAddAuditAccessAceEx
        704  2B7 0008AAA0 RtlAddAuditAccessObjectAce
        705  2B8 000E9990 RtlAddCompoundAce
        706  2B9 00057D00 RtlAddFunctionTable
        707  2BA 00057860 RtlAddGrowableFunctionTable
        708  2BB 000EB490 RtlAddIntegrityLabelToBoundaryDescriptor
        709  2BC 00069C20 RtlAddMandatoryAce
        710  2BD 00088060 RtlAddProcessTrustLabelAce
        711  2BE 000524D0 RtlAddRefActivationContext
        712  2BF 00002A50 RtlAddRefMemoryStream
        713  2C0 000E9B00 RtlAddResourceAttributeAce
        714  2C1 00081FD0 RtlAddSIDToBoundaryDescriptor
        715  2C2 000E9E50 RtlAddScopedPolicyIDAce
        716  2C3 000DA770 RtlAddVectoredContinueHandler
        717  2C4 00083900 RtlAddVectoredExceptionHandler
        718  2C5 0002FC90 RtlAddressInSectionTable
        719  2C6 0007B990 RtlAdjustPrivilege
        720  2C7 00073AC0 RtlAllocateActivationContextStack
        721  2C8 000695F0 RtlAllocateAndInitializeSid
        722  2C9 0008D8B0 RtlAllocateAndInitializeSidEx
        723  2CA 00026F80 RtlAllocateHandle
        724  2CB 0000D010 RtlAllocateHeap
        725  2CC 00117010 RtlAllocateMemoryBlockLookaside
        726  2CD 00117100 RtlAllocateMemoryZone
        727  2CE 00086650 RtlAllocateWnfSerializationGroup
        728  2CF 00064E40 RtlAnsiCharToUnicodeChar
        729  2D0 000461E0 RtlAnsiStringToUnicodeSize
        730  2D1 00048C70 RtlAnsiStringToUnicodeString
        731  2D2 000EBCE0 RtlAppendAsciizToString
        732  2D3 000CE850 RtlAppendPathElement
        733  2D4 000EBD50 RtlAppendStringToString
        734  2D5 00042790 RtlAppendUnicodeStringToString
        735  2D6 000364B0 RtlAppendUnicodeToString
        736  2D7 000DCFC0 RtlApplicationVerifierStop
        737  2D8 0008BE90 RtlApplyRXact
        738  2D9 00082100 RtlApplyRXactNoFlush
        739  2DA 000CE3E0 RtlAppxIsFileOwnedByTrustedInstaller
        740  2DB 0007D4D0 RtlAreAllAccessesGranted
        741  2DC 000E7260 RtlAreAnyAccessesGranted
        742  2DD 0008AE90 RtlAreBitsClear
        743  2DE 0007C920 RtlAreBitsSet
        744  2DF 00076C20 RtlAreLongPathsEnabled
        745  2E0 000ECEE0 RtlAssert
        746  2E1 00057AF0 RtlAvlInsertNodeEx
        747  2E2 00059250 RtlAvlRemoveNode
        748  2E3 000ED010 RtlBarrier
        749  2E4 000ED020 RtlBarrierForDelete
        750  2E5 000A366B RtlCallEnclaveReturn
        751  2E6 00110ED0 RtlCancelTimer
        752  2E7 0003BAA0 RtlCanonicalizeDomainName
        753  2E8 0005C450 RtlCapabilityCheck
        754  2E9 0008A450 RtlCapabilityCheckForSingleSessionSku
        755  2EA 000A3760 RtlCaptureContext
        756  2EB 00003690 RtlCaptureStackBackTrace
        757  2EC 00076A90 RtlCharToInteger
        758  2ED 000ED390 RtlCheckBootStatusIntegrity
        759  2EE 0007FEB0 RtlCheckForOrphanedCriticalSections
        760  2EF 0006DE00 RtlCheckPortableOperatingSystem
        761  2F0 0006E5C0 RtlCheckRegistryKey
        762  2F1 00069270 RtlCheckSandboxedToken
        763  2F2 000ED4F0 RtlCheckSystemBootStatusIntegrity
        764  2F3 0003B740 RtlCheckTokenCapability
        765  2F4 000E7270 RtlCheckTokenMembership
        766  2F5 00036B40 RtlCheckTokenMembershipEx
        767  2F6 0002F2F0 RtlCleanUpTEBLangLists
        768  2F7 000757F0 RtlClearAllBits
        769  2F8 000EBE20 RtlClearBit
        770  2F9 0002C8F0 RtlClearBits
        771  2FA 000688B0 RtlClearThreadWorkOnBehalfTicket
        772  2FB 000D7760 RtlCloneMemoryStream
        773  2FC 000D81A0 RtlCloneUserProcess
        774  2FD 000F15C0 RtlCmDecodeMemIoResource
        775  2FE 000F1630 RtlCmEncodeMemIoResource
        776  2FF 000D90B0 RtlCommitDebugInfo
        777  300 000D7760 RtlCommitMemoryStream
        778  301 0008BA00 RtlCompactHeap
        779  302 000F4610 RtlCompareAltitudes
        780  303 000A3EB0 RtlCompareMemory
        781  304 000A3F30 RtlCompareMemoryUlong
        782  305 0008CDA0 RtlCompareString
        783  306 00044160 RtlCompareUnicodeString
        784  307 000441A0 RtlCompareUnicodeStrings
        785  308 000D8480 RtlCompleteProcessCloning
        786  309 000856A0 RtlCompressBuffer
        787  30A 0005FCC0 RtlComputeCrc32
        788  30B 000E1660 RtlComputeImportTableHash
        789  30C 00002B20 RtlComputePrivatizedDllName_U
        790  30D 0008DDF0 RtlConnectToSm
        791  30E 000E5DD0 RtlConsoleMultiByteToUnicodeN
        792  30F 00084EB0 RtlContractHashTable
        793  310 00076FB0 RtlConvertDeviceFamilyInfoToString
        794  311 0008D6E0 RtlConvertExclusiveToShared
        795  312 000EE5F0 RtlConvertLCIDToString
        796  313 00088780 RtlConvertSRWLockExclusiveToShared
        797  314 00067B30 RtlConvertSharedToExclusive
        798  315 00035B90 RtlConvertSidToUnicodeString
        799  316 000D8A90 RtlConvertToAutoInheritSecurityObject
        800  317 000EBE30 RtlCopyBitMap
        801  318 00089F80 RtlCopyContext
        802  319 000F4A60 RtlCopyExtendedContext
        803  31A 0007A020 RtlCopyLuid
        804  31B 000E7290 RtlCopyLuidAndAttributesArray
        805  31C 00087870 RtlCopyMappedMemory
        806  31D 000A6200 RtlCopyMemory
        807  31E 000A3F60 RtlCopyMemoryNonTemporal
        808  31F 000D7760 RtlCopyMemoryStreamTo
        809  320 000D7760 RtlCopyOutOfProcessMemoryStreamTo
        810  321 0006F9F0 RtlCopySecurityDescriptor
        811  322 00035FE0 RtlCopySid
        812  323 000E72C0 RtlCopySidAndAttributesArray
        813  324 00088310 RtlCopyString
        814  325 00036430 RtlCopyUnicodeString
        815  326 00080C00 RtlCrc32
        816  327 000F51D0 RtlCrc64
        817  328 00039750 RtlCreateAcl
        818  329 00071960 RtlCreateActivationContext
        819  32A 00069700 RtlCreateAndSetSD
        820  32B 00026550 RtlCreateAtomTable
        821  32C 000ED560 RtlCreateBootStatusDataFile
        822  32D 00084A20 RtlCreateBoundaryDescriptor
        823  32E 000247D0 RtlCreateEnvironment
        824  32F 00024FA0 RtlCreateEnvironmentEx
        825  330 000749C0 RtlCreateHashTable
        826  331 0008BE80 RtlCreateHashTableEx
        827  332 0001B200 RtlCreateHeap
        828  333 0007C6B0 RtlCreateMemoryBlockLookaside
        829  334 0007C880 RtlCreateMemoryZone
        830  335 000D8590 RtlCreateProcessParameters
        831  336 00024760 RtlCreateProcessParametersEx
        832  337 000247F0 RtlCreateProcessParametersWithTemplate
        833  338 000D7890 RtlCreateProcessReflection
        834  339 00025EA0 RtlCreateQueryDebugBuffer
        835  33A 000EDDC0 RtlCreateRegistryKey
        836  33B 0003A510 RtlCreateSecurityDescriptor
        837  33C 0005C100 RtlCreateServiceSid
        838  33D 0008C680 RtlCreateSystemVolumeInformationFolder
        839  33E 0007EDD0 RtlCreateTagHeap
        840  33F 0003E9B0 RtlCreateTimer
        841  340 00084750 RtlCreateTimerQueue
        842  341 000F5BF0 RtlCreateUmsCompletionList
        843  342 000F5D10 RtlCreateUmsThreadContext
        844  343 00037C80 RtlCreateUnicodeString
        845  344 00046320 RtlCreateUnicodeStringFromAsciiz
        846  345 000E2A40 RtlCreateUserProcess
        847  346 0008CE70 RtlCreateUserProcessEx
        848  347 000D8AA0 RtlCreateUserSecurityObject
        849  348 00074D50 RtlCreateUserStack
        850  349 0006C140 RtlCreateUserThread
        851  34A 0005F5E0 RtlCreateVirtualAccountSid
        852  34B 000356B0 RtlCultureNameToLCID
        853  34C 000E5F40 RtlCustomCPToUnicodeN
        854  34D 00062790 RtlCutoverTimeToSystemTime
        855  34E 000D90C0 RtlDeCommitDebugInfo
        856  34F 000D8600 RtlDeNormalizeProcessParams
        857  350 00073CC0 RtlDeactivateActivationContext
        858  351 00048B20 RtlDeactivateActivationContextUnsafeFast
        859  352 00083BD0 RtlDebugPrintTimes
        860  353 00069DA0 RtlDecodePointer
        861  354 000DD760 RtlDecodeRemotePointer
        862  355 00085C10 RtlDecodeSystemPointer
        863  356 000F4820 RtlDecompressBuffer
        864  357 00081BD0 RtlDecompressBufferEx
        865  358 000F48A0 RtlDecompressFragment
        866  359 00002040 RtlDefaultNpAcl
        867  35A 000665C0 RtlDelete
        868  35B 00078CA0 RtlDeleteAce
        869  35C 00026650 RtlDeleteAtomFromAtomTable
        870  35D 000ED030 RtlDeleteBarrier
        871  35E 00071D80 RtlDeleteBoundaryDescriptor
        872  35F 0004CED0 RtlDeleteCriticalSection
        873  360 000660A0 RtlDeleteElementGenericTable
        874  361 00064600 RtlDeleteElementGenericTableAvl
        875  362 00064870 RtlDeleteElementGenericTableAvlEx
        876  363 00058EE0 RtlDeleteFunctionTable
        877  364 000590B0 RtlDeleteGrowableFunctionTable
        878  365 0007CFD0 RtlDeleteHashTable
        879  366 00065FF0 RtlDeleteNoSplay
        880  367 0008ED20 RtlDeleteRegistryValue
        881  368 0004CE30 RtlDeleteResource
        882  369 0007D6B0 RtlDeleteSecurityObject
        883  36A 0003E760 RtlDeleteTimer
        884  36B 00110EE0 RtlDeleteTimerQueue
        885  36C 00086A30 RtlDeleteTimerQueueEx
        886  36D 000F5E20 RtlDeleteUmsCompletionList
        887  36E 000F5E80 RtlDeleteUmsThreadContext
        888  36F 000F5EE0 RtlDequeueUmsCompletionListItems
        889  370 000F6850 RtlDeregisterSecureMemoryCacheCallback
        890  371 000886B0 RtlDeregisterWait
        891  372 0003D970 RtlDeregisterWaitEx
        892  373 0004BD80 RtlDeriveCapabilitySidsFromName
        893  374 0008AF10 RtlDestroyAtomTable
        894  375 000838D0 RtlDestroyEnvironment
        895  376 00088630 RtlDestroyHandleTable
        896  377 0001C480 RtlDestroyHeap
        897  378 00087990 RtlDestroyMemoryBlockLookaside
        898  379 000879F0 RtlDestroyMemoryZone
        899  37A 000838D0 RtlDestroyProcessParameters
        900  37B 0007ACD0 RtlDestroyQueryDebugBuffer
        901  37C 00084810 RtlDetectHeapLeaks
        902  37D 0007B050 RtlDetermineDosPathNameType_U
        903  37E 000CE550 RtlDisableThreadProfiling
        904  37F 00023B70 RtlDllShutdownInProgress
        905  380 00063020 RtlDnsHostNameToComputerName
        906  381 00024640 RtlDoesFileExists_U
        907  382 00049F30 RtlDosApplyFileIsolationRedirection_Ustr
        908  383 000CEAA0 RtlDosLongPathNameToNtPathName_U_WithStatus
        909  384 000CEAD0 RtlDosLongPathNameToRelativeNtPathName_U_WithStatus
        910  385 0003DCD0 RtlDosPathNameToNtPathName_U
        911  386 0003DD00 RtlDosPathNameToNtPathName_U_WithStatus
        912  387 0003DCA0 RtlDosPathNameToRelativeNtPathName_U
        913  388 00009EB0 RtlDosPathNameToRelativeNtPathName_U_WithStatus
        914  389 0008D4A0 RtlDosSearchPath_U
        915  38A 00042AB0 RtlDosSearchPath_Ustr
        916  38B 000EB660 RtlDowncaseUnicodeChar
        917  38C 00075360 RtlDowncaseUnicodeString
        918  38D 000F7670 RtlDrainNonVolatileFlush
        919  38E 000E90C0 RtlDumpResource
        920  38F 0007AEC0 RtlDuplicateUnicodeString
        921  390 0008AFD0 RtlEmptyAtomTable
        922  391 000E9110 RtlEnableEarlyCriticalSectionEventCreation
        923  392 000CE5C0 RtlEnableThreadProfiling
        924  393 000A3590 RtlEnclaveCallDispatch
        925  394 000A35C1 RtlEnclaveCallDispatchReturn
        926  395 00072B60 RtlEncodePointer
        927  396 000DD7D0 RtlEncodeRemotePointer
        928  397 00087AA0 RtlEncodeSystemPointer
        929  398 000842D0 RtlEndEnumerationHashTable
        930  399 00083BD0 RtlEndStrongEnumerationHashTable
        931  39A 000F4A30 RtlEndWeakEnumerationHashTable
        932  39B 00009A90 RtlEnterCriticalSection
        933  39C 000F5F70 RtlEnterUmsSchedulingMode
        934  39D 000F1A30 RtlEnumProcessHeaps
        935  39E 00068C00 RtlEnumerateEntryHashTable
        936  39F 00065F80 RtlEnumerateGenericTable
        937  3A0 000678D0 RtlEnumerateGenericTableAvl
        938  3A1 000F6600 RtlEnumerateGenericTableLikeADirectory
        939  3A2 00067F80 RtlEnumerateGenericTableWithoutSplaying
        940  3A3 00068920 RtlEnumerateGenericTableWithoutSplayingAvl
        941  3A4 0008B9F0 RtlEqualComputerName
        942  3A5 0003BA20 RtlEqualDomainName
        943  3A6 000E7380 RtlEqualLuid
        944  3A7 0003A2D0 RtlEqualPrefixSid
        945  3A8 00068360 RtlEqualSid
        946  3A9 00071CC0 RtlEqualString
        947  3AA 0004B5F0 RtlEqualUnicodeString
        948  3AB 00088D10 RtlEqualWnfChangeStamps
        949  3AC 000878F0 RtlEraseUnicodeString
        950  3AD 000F77C0 RtlEthernetAddressToStringA
        951  3AE 000F7A10 RtlEthernetAddressToStringW
        952  3AF 000F7A80 RtlEthernetStringToAddressA
        953  3B0 000F7BC0 RtlEthernetStringToAddressW
        954  3B1 000F6050 RtlExecuteUmsThread
        955  3B2 00066D20 RtlExitUserProcess
        956  3B3 0006A2A0 RtlExitUserThread
        957  3B4 00043BD0 RtlExpandEnvironmentStrings
        958  3B5 00040B50 RtlExpandEnvironmentStrings_U
        959  3B6 0008BF40 RtlExpandHashTable
        960  3B7 00086BF0 RtlExtendCorrelationVector
        961  3B8 000EB4A0 RtlExtendMemoryBlockLookaside
        962  3B9 000EB510 RtlExtendMemoryZone
        963  3BA 000EC040 RtlExtractBitMap
        964  3BB 000F7E60 RtlFillMemory
        965  3BC 00083BD0 RtlFinalReleaseOutOfProcessMemoryStream
        966  3BD 0003A3F0 RtlFindAceByType
        967  3BE 00049AC0 RtlFindActivationContextSectionGuid
        968  3BF 0004A860 RtlFindActivationContextSectionString
        969  3C0 0004B390 RtlFindCharInUnicodeString
        970  3C1 000297D0 RtlFindClearBits
        971  3C2 00029490 RtlFindClearBitsAndSet
        972  3C3 000EC1E0 RtlFindClearRuns
        973  3C4 000F1720 RtlFindClosestEncodableLength
        974  3C5 0007CC80 RtlFindExportedRoutineByName
        975  3C6 0005FAB0 RtlFindLastBackwardRunClear
        976  3C7 00087F20 RtlFindLeastSignificantBit
        977  3C8 000EC4D0 RtlFindLongestRunClear
        978  3C9 0002F4D0 RtlFindMessage
        979  3CA 000882F0 RtlFindMostSignificantBit
        980  3CB 0005FB70 RtlFindNextForwardRunClear
        981  3CC 0008E5B0 RtlFindSetBits
        982  3CD 000EC510 RtlFindSetBitsAndClear
        983  3CE 000EB6C0 RtlFindUnicodeSubstring
        984  3CF 000A31D0 RtlFirstEntrySList
        985  3D0 00036020 RtlFirstFreeAce
        986  3D1 00028840 RtlFlsAlloc
        987  3D2 0002C990 RtlFlsFree
        988  3D3 000775B0 RtlFlushHeaps
        989  3D4 000F76A0 RtlFlushNonVolatileMemory
        990  3D5 000F7F10 RtlFlushNonVolatileMemoryRanges
        991  3D6 000F6910 RtlFlushSecureMemoryCache
        992  3D7 000347B0 RtlFormatCurrentUserKeyPath
        993  3D8 000F7E80 RtlFormatMessage
        994  3D9 0005A1F0 RtlFormatMessageEx
        995  3DA 00073BE0 RtlFreeActivationContextStack
        996  3DB 00043240 RtlFreeAnsiString
        997  3DC 00025E60 RtlFreeHandle
        998  3DD 00012480 RtlFreeHeap
        999  3DE 00117160 RtlFreeMemoryBlockLookaside
       1000  3DF 000F7FA0 RtlFreeNonVolatileToken
       1001  3E0 0008CE50 RtlFreeOemString
       1002  3E1 000695B0 RtlFreeSid
       1003  3E2 00073B40 RtlFreeThreadActivationContextStack
       1004  3E3 00043240 RtlFreeUnicodeString
       1005  3E4 0007FA70 RtlFreeUserStack
       1006  3E5 000706E0 RtlGUIDFromString
       1007  3E6 000F8240 RtlGenerate8dot3Name
       1008  3E7 00074850 RtlGetAce
       1009  3E8 00077380 RtlGetActiveActivationContext
       1010  3E9 00085CE0 RtlGetActiveConsoleId
       1011  3EA 0005C220 RtlGetAppContainerNamedObjectPath
       1012  3EB 0005C380 RtlGetAppContainerParent
       1013  3EC 0005D1B0 RtlGetAppContainerSidType
       1014  3ED 000ED170 RtlGetCallersAddress
       1015  3EE 00083880 RtlGetCompressionWorkSpaceSize
       1016  3EF 000F8A20 RtlGetConsoleSessionForegroundProcessId
       1017  3F0 0007D4A0 RtlGetControlSecurityDescriptor
       1018  3F1 000E9140 RtlGetCriticalSectionRecursionCount
       1019  3F2 000787B0 RtlGetCurrentDirectory_U
       1020  3F3 000F8A60 RtlGetCurrentPeb
       1021  3F4 000A40A0 RtlGetCurrentProcessorNumber
       1022  3F5 000A40E0 RtlGetCurrentProcessorNumberEx
       1023  3F6 00012A80 RtlGetCurrentServiceSessionId
       1024  3F7 00074090 RtlGetCurrentTransaction
       1025  3F8 00061050 RtlGetCurrentUmsThread
       1026  3F9 00075600 RtlGetDaclSecurityDescriptor
       1027  3FA 00077090 RtlGetDeviceFamilyInfoEnum
       1028  3FB 0007E520 RtlGetElementGenericTable
       1029  3FC 000F6730 RtlGetElementGenericTableAvl
       1030  3FD 00085BF0 RtlGetEnabledExtendedFeatures
       1031  3FE 000854C0 RtlGetExePath
       1032  3FF 000032D0 RtlGetExtendedContextLength
       1033  400 00003320 RtlGetExtendedContextLength2
       1034  401 000F4A80 RtlGetExtendedFeaturesMask
       1035  402 000275F0 RtlGetFileMUIPath
       1036  403 000CFFE0 RtlGetFrame
       1037  404 00027FF0 RtlGetFullPathName_U
       1038  405 00028020 RtlGetFullPathName_UEx
       1039  406 0004B9C0 RtlGetFullPathName_UstrEx
       1040  407 000E1D30 RtlGetFunctionTableListHead
       1041  408 0007D9E0 RtlGetGroupSecurityDescriptor
       1042  409 00026DE0 RtlGetIntegerAtom
       1043  40A 000E6A10 RtlGetInterruptTimePrecise
       1044  40B 0007B970 RtlGetLastNtStatus
       1045  40C 0008BDB0 RtlGetLastWin32Error
       1046  40D 00068E90 RtlGetLengthWithoutLastFullDosOrNtPathElement
       1047  40E 0008E090 RtlGetLengthWithoutTrailingPathSeperators
       1048  40F 0007E720 RtlGetLocaleFileMappingAddress
       1049  410 00087860 RtlGetLongestNtPathLength
       1050  411 000E6AC0 RtlGetMultiTimePrecise
       1051  412 0009FE10 RtlGetNativeSystemInformation
       1052  413 00085BA0 RtlGetNextEntryHashTable
       1053  414 000F6250 RtlGetNextUmsListItem
       1054  415 000F7FC0 RtlGetNonVolatileToken
       1055  416 000EDE00 RtlGetNtGlobalFlags
       1056  417 0003F240 RtlGetNtProductType
       1057  418 0004BF30 RtlGetNtSystemRoot
       1058  419 000D6CB0 RtlGetNtVersionNumbers
       1059  41A 0007B760 RtlGetOwnerSecurityDescriptor
       1060  41B 0003B510 RtlGetParentLocaleName
       1061  41C 000422F0 RtlGetPersistedStateLocation
       1062  41D 000F1A40 RtlGetProcessHeaps
       1063  41E 0008B540 RtlGetProcessPreferredUILanguages
       1064  41F 00085730 RtlGetProductInfo
       1065  420 00078BE0 RtlGetSaclSecurityDescriptor
       1066  421 00086810 RtlGetSearchPath
       1067  422 00086040 RtlGetSecurityDescriptorRMControl
       1068  423 000E73A0 RtlGetSessionProperties
       1069  424 000ED6C0 RtlGetSetBootStatusData
       1070  425 0003F2B0 RtlGetSuiteMask
       1071  426 0008E950 RtlGetSystemBootStatus
       1072  427 000ED820 RtlGetSystemBootStatusEx
       1073  428 0002E3D0 RtlGetSystemPreferredUILanguages
