Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\winsta.dll

File Type: DLL

  Section contains the following exports for WINSTA.dll

    00000000 characteristics
    D1E21847 time date stamp
        0.00 version
           1 ordinal base
         169 number of functions
         169 number of names

    ordinal hint RVA      name

        124   7B 00018340 WinStationSetAutologonPassword
        125   7C 00028B30 WinStationSetInformationA
        126   7D 00016320 WinStationSetInformationW
        127   7E 00028B60 WinStationSetPoolCount
        128   7F 0002B3B0 WinStationSetRenderHint
        129   80 00016470 WinStationShadow
        130   81 00016610 WinStationShadowAccessCheck
        131   82 00016740 WinStationShadowStop
        132   83 000168A0 WinStationShadowStop2
        133   84 000169C0 WinStationShutdownSystem
        134   85 000169D0 WinStationSwitchToServicesSession
        135   86 00019900 WinStationSystemShutdownStarted
        136   87 00019A20 WinStationSystemShutdownWait
        137   88 00019B00 WinStationTerminateGlassReplacementSession
        138   89 00016AB0 WinStationTerminateProcess
        139   8A 00001B20 WinStationUnRegisterConsoleNotification
        140   8B 00001710 WinStationUnRegisterNotificationEvent
        141   8C 00019C60 WinStationUserLoginAccessCheck
        142   8D 00016C20 WinStationVerify
        143   8E 00016D70 WinStationVirtualOpen
        144   8F 0000A330 WinStationVirtualOpenEx
        145   90 000174F0 WinStationWaitSystemEvent
        146   91 00028B90 _NWLogonQueryAdmin
        147   92 00028BC0 _NWLogonSetAdmin
        148   93 00028BF0 _WinStationAnnoyancePopup
        149   94 00016E20 _WinStationBeepOpen
        150   95 00028C20 _WinStationBreakPoint
        151   96 00028C50 _WinStationCallback
        152   97 00028C80 _WinStationCheckForApplicationName
        153   98 00028CB0 _WinStationFUSCanRemoteUserDisconnect
        154   99 00028CE0 _WinStationGetApplicationInfo
        155   9A 00028D10 _WinStationNotifyDisconnectPipe
        156   9B 00028D40 _WinStationNotifyLogoff
        157   9C 00028D70 _WinStationNotifyLogon
