Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\wlanapi.dll

File Type: DLL

  Section contains the following exports for wlanapi.dll

    00000000 characteristics
    DECE339D time date stamp
        0.00 version
           1 ordinal base
         255 number of functions
         255 number of names

    ordinal hint RVA      name

        106   69 00018070 WFDUnregisterVMgrCallerInt
        107   6A 0000EE40 WFDUpdateDeviceVisibility
        108   6B 00018080 WiFiDisplayResetSinkStateInt
        109   6C 00018090 WiFiDisplaySetSinkClientHandleInt
        110   6D 000180A0 WiFiDisplaySetSinkStateInt
        111   6E 00006630 WlanAllocateMemory
        112   6F 00023480 WlanAllocateProfileIpConfiguration
        113   70 00011BC0 WlanCancelPlap
        114   71 000066C0 WlanCloseHandle
        115   72 00006880 WlanConnect
        116   73 00006BF0 WlanConnectEx
        117   74 00011CB0 WlanConnectWithInput
        118   75 00011ED0 WlanDeinitPlapParams
        119   76 00006C90 WlanDeleteProfile
        120   77 00006CB0 WlanDeviceServiceCommand
        121   78 00007000 WlanDisconnect
        122   79 00011EF0 WlanDoPlap
        123   7A 000130A0 WlanDoesBssMatchSecurity
        124   7B 00013280 WlanEnumAllInterfaces
        125   7C 00007220 WlanEnumInterfaces
        126   7D 000074D0 WlanExtractPsdIEDataList
        127   7E 000078E0 WlanFreeMemory
        128   7F 00019AF0 WlanGenerateProfileXmlBasicSettings
        129   80 00007BE0 WlanGetAvailableNetworkList
        130   81 00007CE0 WlanGetAvailableNetworkList2
        131   82 00007DE0 WlanGetFilterList
        132   83 00007FF0 WlanGetInterfaceCapability
        133   84 000133D0 WlanGetMFPNegotiated
        134   85 00008270 WlanGetNetworkBssList
        135   86 00008560 WlanGetProfile
        136   87 00008850 WlanGetProfileCustomUserData
        137   88 000134E0 WlanGetProfileEapUserDataInfo
        138   89 00013610 WlanGetProfileIndex
        139   8A 00013740 WlanGetProfileKeyInfo
        140   8B 00008B00 WlanGetProfileList
        141   8C 000138B0 WlanGetProfileMetadata
        142   8D 00013A10 WlanGetProfileMetadataWithProfileGuid
        143   8E 00019E70 WlanGetProfileSsidList
        144   8F 00013CA0 WlanGetRadioInformation
        145   90 00008D40 WlanGetSecuritySettings
        146   91 00013DD0 WlanGetStoredRadioState
        147   92 00008FE0 WlanGetSupportedDeviceServices
        148   93 00009240 WlanHostedNetworkForceStart
